0000BED1 0000BF01 _BaseDllMapResourceIdA@4
0000BF19 0000BFA3 _FindResourceA@12
0000BFCD 0000BFD3 _GetSystemDefaultLCID@0
0000BFF4 0000BFF9 _GetUserDefaultLangID@0
0000C02D 0000C038 _IsBadHugeWritePtr@8
0000C03D 0000C060 _ReleaseSemaphore@12
0000C07F 0000C0E3 _GetStringTypeExW@20
0000C0E8 0000C14B _ExitThread@4
0000C161 0000C167 _LdrShutdownThread@0
0000C17D 0000C193 _NlsThreadCleanup@0
0000C198 0000C1D5 _SetThreadPriority@8
0000C200 0000C21E _FreeLibraryAndExitThread@8
0000C270 0000C27D _BaseExitThreadPoolThread@4
0000CD27 0000CD33 _LockResource@4
0000CD38 0000CEDE _LCMapStringW@24
0000CEE3 0000CF4F _MapCase@24
0000CFE2 0000D05F _NlsAnsiToUnicode@24
0000D064 0000D102 _SpecialMBToWC@24
0000D107 0000D239 _CompareStringA@24
0000D23E 0000D282 @GetCPHashNode@4
0000D2C9 0000D2ED _NlsUnicodeToAnsi@20
0000D2F2 0000D3B9 _GetLocaleInfoA@16
0000DE85 0000DE89 _GetCurrentProcess@0
0000DE8E 0000DF06 _DuplicateHandle@28
0000DF14 0000DF34 __global_unwind2
0000DF6F 0000DFCF __local_unwind2
0000DFCF 0000DFD1 __NLG_Return2
0000DFDF 0000E002 __abnormal_termination
0000E002 0000E00B __NLG_Notify1
0000E00B 0000E021 __NLG_Notify
0000E021 0000E029 __NLG_Dispatch2
0000E02E 0000E0AC _BaseComputeProcessDllPath@8
0000E0F9 0000E0FF _LdrLoadDll@16
0000E104 0000E14E _Basep8BitStringToStaticUnicodeString@4
0000E16F 0000E1A4 _BasepEndOfDirName@4
0000E305 0000E46F _BasepComputeProcessPath@12
0000E4CD 0000E4F7 _GetModuleHandleW@4
0000E4FC 0000E502 _LdrGetDllHandle@16
0000E507 0000E537 _GetModuleHandleForUnicodeString@4
0000E549 0000E6BE _BasepGetModuleHandleExW@16
0000E76C 0000E877 _SearchPathW@24
0000E87C 0000E8F1 _FileTimeToSystemTime@8
0000E8F6 0000E942 _FileTimeToLocalFileTime@8
0000E947 0000E9CA _CreateMutexW@12
0000E9CF 0000EA20 _CreateMutexA@12
0000EA25 0000EAA6 _OpenMutexW@12
0000EAAB 0000EAFE _OpenMutexA@12
0000EB0D 0000EE62 _FindFirstFileExW@24
0000EE67 0000EEFA _FindClose@4
0000EF11 0000EF6C _BasepInitializeFindFileHandle@4
0000EF71 0000EF8B _FindFirstFileW@8
0000EFCA 0000F0C4 _FindNextFileW@8
0000F184 0000F20D _GetEnvironmentVariableW@12
0000F212 0000F285 _IsThisARootDirectory@8
0000F28A 0000F2FD _IsSystemLUID@0
0000F302 0000F379 _CheckForSameCurdir@4
0000F37E 0000F3AA _SetCurrentDirectoryW@4
0000F3C1 0000F4EB _BaseDllReadWriteIniFile@32
0000F4F0 0000F75F _BaseDllCaptureIniFileParameters@40
0000F76A 0000F7B1 _BaseDllIniFileNameLength@8
0000F7B6 0000F7EE _BaseDllGetApplicationName@12
0000F7F3 0000F82B _BaseDllGetVariableName@12
0000F830 0000F8DC _BaseDllFindIniFileNameMapping@12
0000F8E1 0000F917 _BaseDllAppendStringToResultBuffer@16
0000F91C 0000F9B3 _BaseDllAppendBufferToResultBuffer@20
0000F9B8 0000F9D0 _BaseDllAppendNullToResultBuffer@4
0000F9ED 0000FA70 _GetPrivateProfileStringW@24
0000FA75 0000FC6C _GetVolumeInformationW@32
0000FCBF 0000FDB8 _GlobalFree@4
0000FDBD 0000FF0D _GlobalAlloc@8
0000FF12 0000FF98 _GlobalUnlock@4
0000FFA9 0001002B _GlobalLock@4
00010041 000100CE _InternalAddAtom@12
000100FC 00010111 _GlobalAddAtomW@4
00010116 0001019C _CreateSemaphoreW@16
000101A1 00010206 _lstrcpynA@12
0001020B 00010211 _RtlEncodePointer@4
00010216 0001021C _RtlDecodePointer@4
0001024E 000102A7 _SetEnvironmentVariableW@8
000102AC 0001042E _BaseCreateStack@16
00010433 000104B7 _BaseInitializeContext@20
000104BC 00010696 _CreateRemoteThread@28
000106C7 000106E9 _CreateThread@24
000106E9 000106F4 _BaseThreadStartThunk@8
000106F5 000106FF _BaseProcessStartThunk@8
00010702 0001078A _SwitchToFiber@4
0001078A 000107AD __ResourceCallEnumLangRoutine@24
000107AE 000107CE __ResourceCallEnumNameRoutine@20
000107CE 000107EB __ResourceCallEnumTypeRoutine@16
000107F0 00010A03 _CreateFileW@28
00010A08 00010A85 _BaseIsThisAConsoleName@8
00010A99 00010AD3 _GetFileSizeEx@8
00010B07 00010B3E _GetFileSize@8
00010B69 00010BA7 _CompareFileTime@8
00010BAC 00010C19 _SystemTimeToFileTime@8
00010C1E 00010CF8 _SetFilePointer@16
00010CFD 00010E12 _GetFileInformationByHandle@8
00010E17 00010EA9 _WriteFile@20
00010EE1 00010F83 _GetFileType@4
00010F88 00010FA3 _HeapDestroy@4
00010FC2 00010FEC _lstrcatW@8
00011071 000110E9 _OpenConsoleW@16
0001115B 00011180 _IsValidCodePage@4
00011185 00011265 _GetFileAttributesExW@12
0001126A 0001129B _GetVersion@0
000112A0 000112ED _BasepProbeForDllManifest@12
000112FD 00011303 _LdrFindResourceDirectory_U@16
00011326 00011346 _DisableThreadLibraryCalls@4
0001134B 00011351 _LdrDisableThreadCalloutsForDll@4
00011365 00011494 _BasepGetTempPathW@12
000114CF 000114F5 _SkipPathTypeIndicator_U@4
000114FA 00011583 _FindLFNorSFN_U@16
00011588 000115C7 _Basep8BitStringToDynamicUnicodeString@8
000115CC 000115ED _GetFileAttributesA@4
000115F2 00011E2A _GetLocaleInfoW@16
00012057 0001205D _wcsncpy
0001208F 000120D8 _NlsGetCurrentUserNlsInfo@24
000120DD 0001211B _StringCopyWorkerW@12
00012120 000121C3 _GetUserInfo@28
0001226E 0001236A @NlsStrCpyW@8
00012449 00012550 _GlobalReAlloc@12
00012561 000125CF @NlsConvertStringToIntegerW@16
000125D4 00012606 _NlsStringIsInRange@12
000126D1 0001272A _FlushFileBuffers@4
0001272F 0001276D _DisconnectNamedPipe@4
00012782 000127AE _PostQueuedCompletionStatus@16
000127B3 000127EB _ChangeTimerQueueTimer@16
00012812 00012832 _SetFileAttributesA@8
00012837 0001283D _GetOEMCP@0
00012842 00012849 _GetSystemDefaultLangID@0
00012893 000129A4 _GetDiskFreeSpaceExW@16
00012A10 00012A78 _BaseCreateThreadPoolThread@12
00012A99 00012B69 _RaiseException@16
00012B6E 00012C41 _GetVersionExA@4
00012C46 00012CAE _HeapCreate@12
00012CB3 00012D1A _GetProcessVersion@4
00012D40 00012DE1 _GetSystemInfoInternal@12
00012DE6 00012E2A _GetSystemInfo@4
00012E2F 00012E90 _TlsAlloc@0
00012EAD 00012F01 _CreateSemaphoreA@16
00012F06 00012F93 _GetCPInfo@8
