000064B1 000064BC ?InitAllocator@CBaseOutputPin@@UAEJPAPAUIMemAllocator@@@Z
000064C1 00006581 ?DecideAllocator@CBaseOutputPin@@UAEJPAUIMemInputPin@@PAPAUIMemAllocator@@@Z
00006586 000065B5 ?GetDeliveryBuffer@CBaseOutputPin@@UAEJPAPAUIMediaSample@@PA_J1K@Z
000065BA 000065E0 ?Deliver@CBaseOutputPin@@UAEJPAUIMediaSample@@@Z
000065E5 000065FB ?DeliverEndOfStream@CBaseOutputPin@@UAEJXZ
00006600 0000661A ?Active@CBaseOutputPin@@UAEJXZ
0000661F 0000663A ?Inactive@CBaseOutputPin@@UAEJXZ
0000663F 00006655 ?DeliverBeginFlush@CBaseOutputPin@@UAEJXZ
0000665A 00006670 ?DeliverEndFlush@CBaseOutputPin@@UAEJXZ
00006675 000066A8 ?DeliverNewSegment@CBaseOutputPin@@UAEJ_J0N@Z
000066AD 000066D1 ??1CBaseInputPin@@UAE@XZ
000066D6 00006713 ?NonDelegatingQueryInterface@CBaseInputPin@@UAGJABU_GUID@@PAPAX@Z
00006718 00006770 ?GetAllocator@CBaseInputPin@@UAGJPAPAUIMemAllocator@@@Z
00006775 000067C7 ?NotifyAllocator@CBaseInputPin@@UAGJPAUIMemAllocator@@H@Z
000067CC 000067FC ?BreakConnect@CBaseInputPin@@UAEJXZ
00006801 00006934 ?Receive@CBaseInputPin@@UAGJPAUIMediaSample@@@Z
00006939 0000697E ?ReceiveMultiple@CBaseInputPin@@UAGJPAPAUIMediaSample@@JPAJ@Z
00006983 00006A28 ?ReceiveCanBlock@CBaseInputPin@@UAGJXZ
00006A2D 00006A58 ?BeginFlush@CBaseInputPin@@UAGJXZ
00006A5D 00006A8C ?EndFlush@CBaseInputPin@@UAGJXZ
00006A91 00006AAB ?Notify@CBaseInputPin@@UAGJPAUIBaseFilter@@UtagQuality@@@Z
00006AB0 00006AD2 ?Inactive@CBaseInputPin@@UAEJXZ
00006AD7 00006B00 ?CheckStreaming@CBaseInputPin@@UAEJXZ
00006B05 00006B96 ?PassNotify@CBaseInputPin@@QAEJAAUtagQuality@@@Z
00006B9B 00006BAF ??1CMediaSample@@UAE@XZ
00006BB4 00006C06 ?QueryInterface@CMediaSample@@UAGJABU_GUID@@PAPAX@Z
00006C0B 00006C21 ?AddRef@CMediaSample@@UAGKXZ
00006C26 00006C7A ?Release@CMediaSample@@UAGKXZ
00006C7F 00006C99 ?SetPointer@CMediaSample@@QAEJPAEJ@Z
00006C9E 00006CB4 ?GetPointer@CMediaSample@@UAGJPAPAE@Z
00006CB9 00006CC8 ?GetSize@CMediaSample@@UAGJXZ
00006CCD 00006D34 ?GetTime@CMediaSample@@UAGJPA_J0@Z
00006D39 00006D97 ?SetTime@CMediaSample@@UAGJPA_J0@Z
00006D9C 00006DDB ?GetMediaTime@CMediaSample@@UAGJPA_J0@Z
00006DE0 00006E14 ?SetMediaTime@CMediaSample@@UAGJPA_J0@Z
00006E19 00006E30 ?IsSyncPoint@CMediaSample@@UAGJXZ
00006E35 00006E53 ?SetSyncPoint@CMediaSample@@UAGJH@Z
00006E58 00006E72 ?IsDiscontinuity@CMediaSample@@UAGJXZ
00006E77 00006E95 ?SetDiscontinuity@CMediaSample@@UAGJH@Z
00006E9A 00006EB3 ?IsPreroll@CMediaSample@@UAGJXZ
00006EB8 00006ED6 ?SetPreroll@CMediaSample@@UAGJH@Z
00006EDB 00006EEA ?GetActualDataLength@CMediaSample@@UAGJXZ
00006EEF 00006F0F ?SetActualDataLength@CMediaSample@@UAGJJ@Z
00006F14 00006F4C ?GetMediaType@CMediaSample@@UAGJPAPAU_AMMediaType@@@Z
00006F51 00006F9A ?SetMediaType@CMediaSample@@UAGJPAU_AMMediaType@@@Z
00006F9F 00007040 ?GetProperties@CMediaSample@@UAGJKPAE@Z
00007045 0000718E ?SetProperties@CMediaSample@@UAGJKPBE@Z
00007193 000071C8 ??1CBaseAllocator@@UAE@XZ
000071CD 00007226 ?NonDelegatingQueryInterface@CBaseAllocator@@UAGJABU_GUID@@PAPAX@Z
0000722B 00007280 ?GetProperties@CBaseAllocator@@UAGJPAU_AllocatorProperties@@@Z
00007285 00007312 ?GetBuffer@CBaseAllocator@@UAGJPAPAUIMediaSample@@PA_J1K@Z
00007317 00007364 ?SetNotify@CBaseAllocator@@UAGJPAUIMemAllocatorNotifyCallbackTemp@@@Z
00007369 000073A5 ?GetFreeCount@CBaseAllocator@@UAGJPAJ@Z
000073AA 000073C8 ?NotifySample@CBaseAllocator@@QAEXXZ
000073CD 00007430 ?Commit@CBaseAllocator@@UAGJXZ
00007435 000074B2 ?Decommit@CBaseAllocator@@UAGJXZ
