000076D6 000076DC ?terminate@@YAXXZ
000076E2 000076E8 ??1type_info@@UAE@XZ
000076EE 000076F4 ___dllonexit
000076FA 00007700 _NdrClientCall2
00007706 0000770C _I_RpcExceptionFilter@4
00007711 000077D5 ?ConvertToUnicode@@YGPAGPAD@Z
000077DA 0000784B ?TakeOwn@@YGKPBG@Z
00007850 00007A03 ?GetFileSize_Recurse@@YGKPBGPA_JPAH@Z
00007A08 00007A2B ?GetSystemDrive@@YGHPAG@Z
00007A30 00007AC3 ?IsSystemDrive@@YGHPAG@Z
00007AC8 00007AF5 ?RegReadDWORD@@YGKPAUHKEY__@@PBGPAK@Z
00007AFA 00007B18 ?RegWriteDWORD@@YGKPAUHKEY__@@PBGPAK@Z
00007B1D 00007B49 ?GetID@@YGKPBG@Z
00007B4E 00007BCA ?GetMachineGuid@@YGPAGXZ
00007BCF 00007C37 ?MakeRestorePath@@YGPAGPAGPBG1@Z
00007C3C 00007CDA ?SetServiceStartupRegistry@@YGKPBGK@Z
00007CDF 00007E20 ?SetServiceStartup@@YGKPBGK@Z
00007E25 00007EB4 ?IsStopSignalled@@YGHPAX@Z
00007EB9 0000803D ?IsAdminOrSystem@@YGHXZ
00008042 00008092 ?SRLoadString@@YGKPBGKPAGK@Z
00008097 000080CD ?SRPathFindExtension@@YGPAGPAG@Z
000080D2 000081FC ?SRGetAltFileName@@YGHPBGPAG@Z
00008201 00008636 ?Delnode_Recurse@@YGKPBGHPAH@Z
0000863B 00008675 ??0CRestorePointEnum@@QAE@PAGHH@Z
0000867A 0000869B ??_GCRestorePoint@@QAEPAXI@Z
000086A0 000087AC ?FindNextRestorePoint@CRestorePointEnum@@QAEKAAVCRestorePoint@@@Z
000087B1 000087CE ?FindClose@CRestorePointEnum@@QAEKXZ
000087D3 000087D8 ??1CRestorePointEnum@@QAE@XZ
000087DD 000089DA ?FindFirstRestorePoint@CRestorePointEnum@@QAEKAAVCRestorePoint@@@Z
000089DF 00008A00 ??_GCRestorePointEnum@@QAEPAXI@Z
00008A05 00008AA9 ?GetCurrentRestorePoint@@YGKAAVCRestorePoint@@@Z
00008AAE 00008AB8 ?GetNum@CRestorePoint@@QAEKXZ
00008ABD 00008AD9 ??$_Allocate@D@std@@YGPADHPAD@Z
00008ADE 00008D0C ?ReadLog@CRestorePoint@@QAEKXZ
00008D11 00008D43 ?erase@?$list@PAU_SR_LOG_ENTRY@@V?$allocator@PAU_SR_LOG_ENTRY@@@std@@@std@@QAE?AViterator@12@V312@@Z
00008D48 00008D68 ??0?$list@PAU_SR_LOG_ENTRY@@V?$allocator@PAU_SR_LOG_ENTRY@@@std@@@std@@QAE@ABV?$allocator@PAU_SR_LOG_ENTRY@@@1@@Z
00008D6D 00008D9B ?erase@?$list@PAU_SR_LOG_ENTRY@@V?$allocator@PAU_SR_LOG_ENTRY@@@std@@@std@@QAE?AViterator@12@V312@0@Z
00008DA0 00008DCF ??1?$list@PAU_SR_LOG_ENTRY@@V?$allocator@PAU_SR_LOG_ENTRY@@@std@@@std@@QAE@XZ
00008DD4 00008DEC ?clear@?$list@PAU_SR_LOG_ENTRY@@V?$allocator@PAU_SR_LOG_ENTRY@@@std@@@std@@QAEXXZ
00008DF1 00008E42 ??0CRestorePoint@@QAE@XZ
00008E47 00008EA0 ?FindClose@CRestorePoint@@QAEKXZ
00008EA5 00008ED3 ??1CRestorePoint@@QAE@XZ
00008ED8 00008EE8 ??0CFindFile@@QAE@XZ
00008EED 000090F8 ?_FindFirstFile@CFindFile@@QAEHPBG0PAU_WIN32_FIND_DATAW@@HH@Z
000090FD 00009239 ?_FindNextFile@CFindFile@@QAEHPBG0PAU_WIN32_FIND_DATAW@@@Z
0000923E 00009244 ?ValidatePutInstanceFlags@Provider@@MAEJJ@Z
0000924A 00009250 ?ValidateDeletionFlags@Provider@@MAEJJ@Z
00009256 0000925C ?ValidateQueryFlags@Provider@@MAEJJ@Z
00009262 00009268 ?ValidateMethodFlags@Provider@@MAEJJ@Z
0000926E 00009274 ?ValidateGetObjFlags@Provider@@MAEJJ@Z
0000927A 00009280 ?ValidateEnumerationFlags@Provider@@MAEJJ@Z
00009286 0000928C ?Flush@Provider@@MAEXXZ
00009292 00009298 ?GetObject@Provider@@MAEJPAVCInstance@@JAAVCFrameworkQuery@@@Z
0000929E 000092A4 ?OnFinalRelease@CThreadBase@@MAEXXZ
000092A9 00009408 _InitAsyncTrace@0
0000940D 0000941C _TermAsyncTrace@0
00009421 00009438 _SetAsyncTraceParams@16
0000943D 00009454 _AsyncStringTrace@12
0000945A 00009460 _CheckTokenMembership@12
00009470 000094AD __chkstk
