0000AFFD 0000B097 _UTF16toUCS4@20
0000B09C 0000B0BD _InitFileBufferInfo@16
0000B0C2 0000B0E1 PtFuncCompare
0000B10C 0000B13A _SortByTag@8
0000B13F 0000B16D _SortByOffset@8
0000B172 0000B1B0 _MarkTableForDeletion@8
0000B1B5 0000B334 _FindCmapSubtable@16
0000B3B9 0000B46A _GetLoca@12
0000B4A5 0000B53F _GetGlyphIdx@20
0000B544 0000B579 _GetGlyphIdx12@12
0000B57E 0000B597 _FreeCmapFormat4@8
0000B59C 0000B637 _ReadAllocCmapFormat4Ids@28
0000B63C 0000B7AC _ReadAllocCmapFormat4Segs@20
0000B7B1 0000B825 _ReadCmapLength@16
0000B82A 0000B910 _ReadAllocCmapFormat4@32
0000B915 0000B9C5 _ReadAllocCmapFormat6@24
0000B9CA 0000BA3F _ReadCmapFormat0@20
0000BA44 0000BAF8 _ReadAllocCmapFormat12@16
0000BAFD 0000BBD1 _GetGlyphHeader@32
0000BBD6 0000BD10 _GetComponentGlyphList@40
0000BE37 0000BE49 _FreeFormat4CharCodes@4
0000BE4E 0000BFFD _ReadAllocFormat4CharGlyphMapList@28
0000C002 0000C0FC _ReadAllocFormat12CharGlyphMapList@24
0000C101 0000C33B _ComputeFormat4CmapData@28
0000C340 0000C4AB _WriteOutFormat4CmapData@32
0000C4B0 0000C56E _ComputeFormat12CmapData@20
0000C573 0000C5E5 _WriteOutFormat12CmapData@24
0000C5EA 0000C64F _CalcMaxNameTableLength@8
0000C6CD 0000CA66 _WriteNameRecords@24
0000CA6B 0000CAB1 _FreeNameRecords@12
0000CAB6 0000CF33 _InsertTable@16
0000CF38 0000CFC4 _WriteNameTable@16
0000CFC9 0000D25E _CompressTables@8
0000D263 0000D3E0 _ReadAllocNameRecords@20
0000DB6A 0000E156 _CreateDeltaTTFEx@64
0000E15B 0000E15F _Mem_Init@0
0000E164 0000E196 _Mem_Alloc
0000E19B 0000E1AF _Mem_Free
0000E1B4 0000E1D1 _Mem_ReAlloc
0000E1D6 0000E29F _log2@4
0000E2A4 0000E2AA _ModTTO@24
0000F298 0000F2E9 _Cleanup_SubTablePointers@8
0000F2EE 0000F8BD _ModSbit@20
0000F8C2 0000F9A6 _ModMaxP@12
0000F9AB 0000FA94 _ModOS2@24
0000FA99 0000FB54 _ModPost@16
0000FB59 0000FCAC _ModName@20
0000FE37 0000FFAD _ModKern@24
0000FFB2 0001025A _ModHdmx@24
0001025F 000103DC _ModLTSH@24
00010400 0001044E _ReduceRatio@8
00010453 000108F2 _ModVDMX@16
000108F7 00010D2D _ModXmtxXhea@32
00010D32 00010FE6 _ModGlyfLocaAndHead@24
000113D0 0001181E _ModCmap@28
00011823 000118C8 _UnicodeToSymbols@16
000118CD 00011FB6 _MakeKeepGlyphList@40
00012138 0001236C _ComputeMaxPStats@40
00012371 00012458 _MortAutoMap@16
00012B4D 000134A0 _TTOAutoMap@16
000134A5 0001356C _AgfaPack_TTF_InMemory@36
00013571 00013636 _AgfaUnPack_TTF_InMemory@32
000137C8 0001387A _MTX_IS_MTX_Data@8
0001387F 000139D9 _MTX_AGFACOMP_UnPack_TTF_InMemory@20
000139DE 000139EF _MTX_AGFACOMP_SetMaxCopyDistance@8
000139F4 00013A14 _MTX_AGFACOMP_Create@4
00013A19 00013A2E _MTX_AGFACOMP_Destroy@4
00013A33 00013B1E _MTX_AGFACOMP_Pack_TTF_InMemory@20
00013B23 00013BC8 _MTX_mem_malloc@8
00013C4C 00013C62 _MTX_mem_free@8
00013C67 00013C7D _MTX_mem_unchain@8
