00003DD8 00003DE4 ?DestroyDSocket@DSOCKET@@QAEXXZ
00003DE9 00003E0A ??_GDSOCKET@@QAEPAXI@Z
00003E0F 00003E26 ??1DSOCKET@@QAE@XZ
00003E2B 00003EA6 _closesocket@4
00003EAB 00003EBB ?DisassociateSocketHandle@DSOCKET@@QAEHXZ
00003EC0 00003F4B _WSAIoctl@36
00003F50 00003F76 _ioctlsocket@12
00003F7B 00003FA5 ___WSAFDIsSet@8
00003FED 00004049 _WSACleanup@0
0000404E 00004117 _WSASocketW@24
00004129 0000420C ?GetCountedCatalogItemFromAttributes@DCATALOG@@QAEHHHHKPAPAVPROTO_CATALOG_ITEM@@@Z
00004211 00004266 _socket@12
0000426B 000042D3 ?GetCountedCatalogItemFromCatalogEntryId@DCATALOG@@QAEHKPAPAVPROTO_CATALOG_ITEM@@@Z
000042D8 000042FA ??0DSOCKET@@QAE@XZ
000042FF 00004340 ?Initialize@DSOCKET@@QAEHPAVPROTO_CATALOG_ITEM@@@Z
00004345 0000436E ?AddSpecialApiReference@DSOCKET@@SGHI@Z
00004373 0000438B ?GetCountedDSocketFromSocketNoExport@DSOCKET@@SGPAV1@I@Z
00004390 00004442 _WPUModifyIFSHandle@12
00004447 0000447B ?AssociateSocketHandle@DSOCKET@@QAEHIE@Z
00004480 000044E6 _bind@12
00004521 000045B0 _setsockopt@20
000045C1 000046E5 _inet_ntoa@4
000046EA 0000484D _getsockopt@20
00004886 000048D8 ?MapUnicodeProtocolInfoToAnsi@@YGHPAU_WSAPROTOCOL_INFOW@@PAU_WSAPROTOCOL_INFOA@@@Z
00004902 00004994 ?LoadProvider@DCATALOG@@AAEHPAVPROTO_CATALOG_ITEM@@@Z
00004999 000049EC ?FindAnotherProviderInstance@DCATALOG@@AAEPAVDPROVIDER@@PAU_GUID@@@Z
00004A07 00004A7E _connect@12
00004A83 00004AD1 _WPUQueryBlockingCallback@16
00004AD6 00004B48 ?NewAddrInfo@@YGPAUaddrinfo@@HHHPAPAPAU1@@Z
00004B82 00004BC7 ?ConvertAddrinfoFromUnicodeToAnsi@@YGHPAUaddrinfoW@@@Z
00004C27 00004CB0 _send@16
00004CB5 00004D2F _WSARecv@28
00004D62 00004D88 ??0NSPROVIDER@@QAE@XZ
00004DAC 00004E22 ?LoadProvider@NSCATALOG@@QAEHPAVNSCATALOGENTRY@@@Z
00004E27 00004F5B ?Initialize@NSPROVIDER@@QAEHPAGPAU_GUID@@@Z
00005075 00005081 ?CloseWinSockRegistryRoot@@YGXPAUHKEY__@@@Z
00005086 00005138 _WSANSPIoctl@32
00005160 0000521C ?Ioctl@NSQUERY@@QAGHKPAXK0KPAKPAU_WSACOMPLETION@@PAU_WSATHREADID@@@Z
00005221 00005250 ?Ioctl@NSPROVIDERSTATE@@QAGHKPAXK0KPAKPAU_WSACOMPLETION@@PAU_WSATHREADID@@@Z
00005255 0000527F ?NSPIoctl@NSPROVIDER@@QAGHPAXK0K0KPAKPAU_WSACOMPLETION@@PAU_WSATHREADID@@@Z
00005284 000052B1 ?MatchProtocols@@YGHKJPAU_WSAQuerySetW@@@Z
0000533D 00005350 ?WSAComputeQuerySetSizeA@@YGHPAU_WSAQuerySetA@@@Z
