00013E6C 00013E77 ?diaEnumerateSymbols@@YGHPAU_PROCESS_ENTRY@@PAU_MODULE_ENTRY@@PADP6GHXZPAXHH@Z
00013E7C 00014015 ?diaGetSymFromAddr@@YGPAU_SYMBOL_ENTRY@@_KPAU_MODULE_ENTRY@@PA_K@Z
0001401A 00014193 ?diaGetLineFromAddr@@YGHPAU_MODULE_ENTRY@@_KPAKPAU_IMAGEHLP_LINE64@@@Z
00014198 0001447C ?diaGetLineNextPrev@@YGHPAU_MODULE_ENTRY@@PAU_IMAGEHLP_LINE64@@K@Z
00014481 0001475E ?diaAddLinesForSourceFile@@YGJPAU_MODULE_ENTRY@@PAUIDiaSourceFile@@PAUIDiaSymbol@@@Z
00014763 00014830 ?diaAddLinesForMod@@YGHPAU_MODULE_ENTRY@@PAUIDiaSymbol@@@Z
00014835 000149C9 ?diaEnumSourceFiles@@YGHPAU_MODULE_ENTRY@@PADP6GHPAU_SOURCEFILE@@PAX@Z3@Z
000149CE 00014AAC ?diaAddLinesForAllMod@@YGHPAU_MODULE_ENTRY@@@Z
00014AB1 00014BC0 ?diaGetSymNextPrev@@YGPAU_SYMBOL_ENTRY@@PAU_MODULE_ENTRY@@_KH@Z
00014BC5 00014C0E ?diaGetChildrenCount@@YGJPAUIDiaSymbol@@PAJ@Z
00014C13 00014CF9 ?diaFindChildren@@YGJPAUIDiaSymbol@@PAU_TI_FINDCHILDREN_PARAMS@@@Z
00014CFE 00014D45 ?diaFindTypeSym@@YGHPAX_KKPAPAUIDiaSymbol@@@Z
00014D4A 00014F0B ?diaGetSymbolInfoEx@@YGJPAX_KKW4_IMAGEHLP_SYMBOL_TYPE_INFO@@0@Z
00014F70 00014FF2 ?diaGetSymbolInfo@@YGJPAX_KKW4_IMAGEHLP_SYMBOL_TYPE_INFO@@0@Z
00014FF7 000150F6 ?diaGetTiForUDT@@YGHPAU_MODULE_ENTRY@@PADPAU_SYMBOL_INFO@@@Z
000150FB 00015304 ?diaEnumUDT@@YGHPAU_MODULE_ENTRY@@PADP6GHPAU_SYMBOL_INFO@@KPAX@Z3@Z
00015309 000153F7 ?diaGetFrameData@@YGHPAX_KPAPAUIDiaFrameData@@@Z
000153FC 0001541D ??_GDIA@@QAEPAXI@Z
00015422 00015439 ?diaRelease@@YGXPAX@Z
0001543E 00015817 ?diaOpenPdb@@YGHPAU_IMGHLP_DEBUG_DATA@@@Z
0001581C 00015832 _GetCurrentProcessHandle@4
00015837 0001587C _GetExpressionEx@12
00015881 00015887 _ExtensionApiVersion@0
0001588C 000158BA _WinDbgExtensionDllInit@12
000158BF 000158E8 _vc7fpo@24
000158ED 00015975 _sym@24
0001597A 000159B1 ?CompareBase@@YAHPBX0@Z
000159B6 00015A10 ?FormatAddr64@@YGPAD_KH@Z
00015A15 00015BB3 _lm@24
00015BB8 00015BFF ?cbSrcFiles@@YGHPAU_SOURCEFILE@@PAX@Z
00015C04 00015FB1 ?GetModuleDumpInfo@@YGHPAXPAU_MODULE_ENTRY@@PAUMODULE_INFO@@@Z
00015FB6 0001639D ?DumpDbgDirectories@@YGHPAXPAUMODULE_INFO@@@Z
000163A2 000165DE ?DumpModuleInfo@@YGXPAXPAUMODULE_INFO@@@Z
000165E3 0001660F ?TruncateArgs@@YGXPAD@Z
00016614 00016734 ?ImageNtHdr32to64@@YGXPAU_IMAGE_NT_HEADERS@@PAU_IMAGE_NT_HEADERS64@@@Z
00016739 000167C6 ?ReadNtHeader@@YGH_KPAU_IMAGE_NT_HEADERS64@@@Z
000167CB 00016B6D ?DumpHeaders@@YGXXZ
00016B72 00016F8A ?DumpSectionHeader@@YGXKPAU_IMAGE_SECTION_HEADER@@@Z
