000033F8 0000342B glRectf
0000342C 0000345F glRectfv
00003460 00003493 glRecti
00003494 000034C7 glRectiv
000034C8 000034FB glRects
000034FC 0000352F glRectsv
00003530 0000355B glNewList
0000355C 00003589 glEndList
0000358C 000035B9 glDeleteLists
000035BC 000035E9 glGenLists
000035EC 00003619 glListBase
0000361C 0000364F glRasterPos2d
00003650 00003683 glRasterPos2dv
00003684 000036B7 glRasterPos2f
000036B8 000036EB glRasterPos2fv
000036EC 0000371F glRasterPos2i
00003720 00003753 glRasterPos2iv
00003754 00003787 glRasterPos2s
00003788 000037BB glRasterPos2sv
000037BC 000037EF glRasterPos3d
000037F0 00003823 glRasterPos3dv
00003824 00003857 glRasterPos3f
00003858 0000388B glRasterPos3fv
0000388C 000038BF glRasterPos3i
000038C0 000038F3 glRasterPos3iv
000038F4 00003927 glRasterPos3s
00003928 0000395B glRasterPos3sv
0000395C 0000398F glRasterPos4d
00003990 000039C3 glRasterPos4dv
000039C4 000039F7 glRasterPos4f
000039F8 00003A2B glRasterPos4fv
00003A2C 00003A5F glRasterPos4i
00003A60 00003A93 glRasterPos4iv
00003A94 00003AC7 glRasterPos4s
00003AC8 00003AFB glRasterPos4sv
00003AFC 00003B2F glClipPlane
00003B30 00003B63 glColorMaterial
00003B64 00003B97 glCullFace
00003B98 00003BCB glFogf
00003BCC 00003BFF glFogfv
00003C00 00003C33 glFogi
00003C34 00003C67 glFogiv
00003C68 00003C9B glFrontFace
00003C9C 00003CCF glHint
00003CD0 00003D03 glLightf
00003D04 00003D37 glLightfv
00003D38 00003D6B glLighti
00003D6C 00003D9F glLightiv
00003DA0 00003DD3 glLightModelf
00003DD4 00003E07 glLightModelfv
00003E08 00003E3B glLightModeli
00003E3C 00003E6F glLightModeliv
00003E70 00003EA3 glLineStipple
00003EA4 00003ED7 glLineWidth
00003ED8 00003F0B glPointSize
00003F0C 00003F3F glPolygonMode
00003F40 00003F73 glPolygonStipple
00003F74 00003FA7 glScissor
00003FA8 00003FDB glFinish
00003FDC 0000400F glShadeModel
00004010 00004043 glTexParameterf
00004044 00004077 glTexParameterfv
00004078 000040AB glTexParameteri
000040AC 000040DF glTexParameteriv
000040E0 00004113 glTexEnvf
00004114 00004147 glTexEnvfv
00004148 0000417B glTexEnvi
0000417C 000041AF glTexEnviv
000041B0 000041E3 glTexGend
000041E4 00004217 glTexGendv
00004218 0000424B glTexGenf
0000424C 0000427F glTexGenfv
00004280 000042B3 glTexGeni
000042B4 000042E7 glTexGeniv
000042E8 0000431B glFeedbackBuffer
0000431C 0000434F glSelectBuffer
00004350 00004383 glRenderMode
00004384 000043B7 glInitNames
000043B8 000043EB glLoadName
000043EC 0000441F glPassThrough
00004420 00004453 glPopName
00004454 00004487 glPushName
00004488 000044BB glDrawBuffer
000044BC 000044EF glStencilMask
000044F0 00004523 glColorMask
00004524 00004557 glDepthMask
00004558 0000458B glIndexMask
0000458C 000045BF glAccum
000045C0 000045F3 glFlush
000045F4 00004627 glMap1d
00004628 0000465B glMap1f
0000465C 0000468F glMap2d
00004690 000046C3 glMap2f
000046C4 000046F7 glMapGrid1d
000046F8 0000472B glMapGrid1f
0000472C 0000475F glMapGrid2d
00004760 00004793 glMapGrid2f
00004794 000047C7 glEvalMesh1
000047C8 000047FB glEvalMesh2
000047FC 0000482F glAlphaFunc
00004830 00004863 glBlendFunc
00004864 00004897 glLogicOp
00004898 000048CB glStencilFunc
000048CC 000048FF glStencilOp
00004900 00004933 glDepthFunc
00004934 00004967 glPixelZoom
00004968 0000499B glPixelTransferf
0000499C 000049CF glPixelTransferi
000049D0 00004A03 glPixelStoref
00004A04 00004A37 glPixelStorei
00004A38 00004A6B glPixelMapfv
00004A6C 00004A9F glPixelMapuiv
