0000C9D5 0000C9F5 ?APIHook_SelectObject@NS_AliasDXDC@@YGPAXPAUHDC__@@PAX@Z
0000C9FA 0000CA1D ?APIHook_SelectPalette@NS_AliasDXDC@@YGPAUHPALETTE__@@PAUHDC__@@PAU2@H@Z
0000CA22 0000CA48 ?APIHook_SetDIBColorTable@NS_AliasDXDC@@YGIPAUHDC__@@IIPBUtagRGBQUAD@@@Z
0000CA4D 0000CA6D ?APIHook_SetStretchBltMode@NS_AliasDXDC@@YGHPAUHDC__@@H@Z
0000CA72 0000CA92 ?APIHook_SetSystemPaletteUse@NS_AliasDXDC@@YGIPAUHDC__@@I@Z
0000CA97 0000CAD8 ?APIHook_StretchBlt@NS_AliasDXDC@@YGHPAUHDC__@@HHHH0HHHHK@Z
0000CADD 0000CB1E ?APIHook_StretchDIBits@NS_AliasDXDC@@YGHPAUHDC__@@HHHHHHHHPBXPBUtagBITMAPINFO@@IK@Z
0000CB23 0000CB4C ?APIHook_TextOutA@NS_AliasDXDC@@YGHPAUHDC__@@HHPBDH@Z
0000CB51 0000D230 ?InitializeHooksMulti@NS_AliasDXDC@@YGPAUtagHOOKAPI@@KPADPAK@Z
0000D235 0000D25F ?AddNode@NS_AllowDesktopSetProp@@YGXPAUPropNode@1@@Z
0000D264 0000D285 ?NotifyFn@NS_AllowDesktopSetProp@@YGHK@Z
0000D28A 0000D299 ??0CString@ShimLib@@QAE@XZ
0000D29E 0000D2B3 ?Compare@CString@ShimLib@@QBEHPBG@Z
0000D2B8 0000D362 ?GetFromAtom@NS_AllowDesktopSetProp@@YG?AVCString@ShimLib@@PBD@Z
0000D367 0000D380 ?IsMatch@NS_AllowDesktopSetProp@@YGHPBGPAVCString@ShimLib@@@Z
0000D385 0000D3AF ?FindMatch@NS_AllowDesktopSetProp@@YGPAUPropNode@1@PBG@Z
0000D3B4 0000D3FF ?RemoveNode@NS_AllowDesktopSetProp@@YGPAUPropNode@1@PBG@Z
0000D404 0000D437 ?GetPropInternal@NS_AllowDesktopSetProp@@YGPAXPBG@Z
0000D43C 0000D4CE ?SetPropInternal@NS_AllowDesktopSetProp@@YGHPBGPAX@Z
0000D4D9 0000D4FA ??_GCString@ShimLib@@QAEPAXI@Z
0000D4FF 0000D527 ?APIHook_SetPropW@NS_AllowDesktopSetProp@@YGHPAUHWND__@@PBGPAX@Z
