0000B05A 0000B076 ?QueryInterface@?$CComObject@VFwOpenPort@@@ATL@@UAGJABU_GUID@@PAPAX@Z
0000B07B 0000B0C0 ??1?$CComObject@VFwAuthApp@@@ATL@@QAE@XZ
0000B0C5 0000B0E1 ?QueryInterface@?$CComObject@VFwAuthApp@@@ATL@@UAGJABU_GUID@@PAPAX@Z
0000B0E6 0000B112 ??1CHNetCfgMgr@@QAE@XZ
0000B117 0000B13A ??1?$CComContainedObject@VCHNetCfgMgr@@@ATL@@QAE@XZ
0000B13F 0000B16B ??1CNetSharingManager@@QAE@XZ
0000B170 0000B193 ??1?$CComContainedObject@VCNetSharingManager@@@ATL@@QAE@XZ
0000B1A2 0000B276 ?RecurseDeleteKey@CRegKey@ATL@@QAEJPBG@Z
0000B27B 0000B2C1 ??1CRegObject@ATL@1@QAE@XZ
0000B2C6 0000B898 ?RegisterSubkeys@CRegParser@ATL@2@IAEJPAGPAUHKEY__@@HH@Z
0000B89D 0000B988 ?AtlRegisterClassCategoriesHelper@ATL@@YGJABU_GUID@@PBU_ATL_CATMAP_ENTRY@1@H@Z
0000B98D 0000BA53 ?AtlModuleUnRegisterTypeLib@ATL@@YGJPAU_ATL_MODULE_30@1@PBG@Z
0000BA58 0000BB57 ?AtlModuleRegisterTypeLib@ATL@@YGJPAU_ATL_MODULE_30@1@PBG@Z
0000BB5C 0000BB99 ??0CHNetCfgMgr@@QAE@XZ
0000BB9E 0000BC09 _DllMain@12
0000BC0E 0000BC3C _DllGetClassObject@12
0000BC41 0000BC75 ??1?$CComObjectNoLock@VCComClassFactory@ATL@@@ATL@@QAE@XZ
0000BC7A 0000BCC8 ?CreateInstance@CComClassFactory@ATL@@UAGJPAUIUnknown@@ABU_GUID@@PAPAX@Z
0000BCCD 0000BCF1 ?LockServer@CComClassFactory@ATL@@UAGJH@Z
0000BCF6 0000BD12 ?QueryInterface@?$CComObjectNoLock@VCComClassFactory@ATL@@@ATL@@UAGJABU_GUID@@PAPAX@Z
0000BD17 0000BD4D ??0CComClassFactory@ATL@@QAE@XZ
0000BD52 0000BD73 ??_G?$CComObject@VCUPnPNAT@@@ATL@@QAEPAXI@Z
0000BD78 0000BD99 ??_G?$CComObject@VFwMgr@@@ATL@@QAEPAXI@Z
0000BD9E 0000BDBF ??_G?$CComObject@VFwOpenPort@@@ATL@@QAEPAXI@Z
0000BDC4 0000BDE5 ??_G?$CComObject@VFwAuthApp@@@ATL@@QAEPAXI@Z
0000BDEA 0000BE0D ?Release@?$CComObject@VCUPnPNAT@@@ATL@@UAGKXZ
0000BE12 0000BE2E ?QueryInterface@?$CComObject@VCUPnPNAT@@@ATL@@UAGJABU_GUID@@PAPAX@Z
0000BE33 0000BE4C ??1?$CComAggObject@VCUPnPNAT@@@ATL@@QAE@XZ
0000BE51 0000BEB0 ?QueryInterface@?$CComAggObject@VCUPnPNAT@@@ATL@@UAGJABU_GUID@@PAPAX@Z
0000BEB5 0000BF11 ??0?$CComObject@VCHNetCfgMgr@@@ATL@@QAE@PAX@Z
0000BF16 0000BF7C ??1?$CComObject@VCHNetCfgMgr@@@ATL@@QAE@XZ
0000BF81 0000BF9D ?QueryInterface@?$CComObject@VCHNetCfgMgrChild@@@ATL@@UAGJABU_GUID@@PAPAX@Z
0000BFA2 0000BFEF ??1?$CComAggObject@VCHNetCfgMgr@@@ATL@@QAE@XZ
0000BFF4 0000C053 ?QueryInterface@?$CComAggObject@VCHNetCfgMgr@@@ATL@@UAGJABU_GUID@@PAPAX@Z
0000C058 0000C0AA ??1?$CComObject@VCNetSharingManager@@@ATL@@QAE@XZ
0000C0AF 0000C0CB ?QueryInterface@?$CComObject@VCNetSharingManager@@@ATL@@UAGJABU_GUID@@PAPAX@Z
0000C0D0 0000C125 ??1?$CComAggObject@VCNetSharingManager@@@ATL@@QAE@XZ
0000C12A 0000C189 ?QueryInterface@?$CComAggObject@VCNetSharingManager@@@ATL@@UAGJABU_GUID@@PAPAX@Z
0000C18E 0000C1BD ?Release@?$CComObject@VFwMgr@@@ATL@@UAGKXZ
0000C1C2 0000C1F1 ?Release@?$CComObject@VFwOpenPort@@@ATL@@UAGKXZ
0000C1F6 0000C225 ?Release@?$CComObject@VFwAuthApp@@@ATL@@UAGKXZ
0000C22A 0000C281 ??0?$CComContainedObject@VCHNetCfgMgr@@@ATL@@QAE@PAX@Z
0000C286 0000C29B ?AddRef@?$CComContainedObject@VCHNetCfgMgr@@@ATL@@UAGKXZ
