0000CCD4 0000CCE9 _GetOpenFileNamePreviewA@4
0000CCEE 0000CD03 _GetSaveFileNamePreviewA@4
0000CD08 0000CD2E _Iwcstombs@12
0000CD33 0000CD56 _Imbstowcs@12
0000CF37 0000CF7B _FileName@4
0000DACC 0000DAF4 _TestForUnicode@4
0000DFD4 0000E024 _SubClassedTrackbarWndProc@16
0000E628 0000E6CA _PositionWindowNearParent@4
0000E6CF 0000E819 _mciDlgProc@16
0000E95A 0000EB7C _GetMPlayerData@4
0000EB81 0000ECC0 _BitmapMCI@4
0000ECC5 0000ED58 _CopyPalette@4
0000ED5D 0000EEB2 _PictureFromDib@8
0000EEB7 0000EFE0 _DibFromBitmap@8
00010455 00011CA6 _MCIWndProc@16
00011DD2 00011E59 _MCIWndRegisterClass
00011E5E 00011F0B _MCIWndCreateW
00011F10 00011F7B _MCIWndCreateA
00011F80 00011FBB __SEH_prolog
00011FBB 00011FCC __SEH_epilog
00011FD4 000120BA __except_handler3
000120BA 000120D5 __seh_longjmp_unwind@4
000120DA 000120E0 _memmove
000120E6 000120EC _wcstombs
000120F2 000120F8 _wcstol
00012100 00012120 __global_unwind2
0001215B 000121BB __local_unwind2
000121BB 000121BD __NLG_Return2
000121CB 000121EE __abnormal_termination
000121EE 000121F7 __NLG_Notify1
000121F7 0001220D __NLG_Notify
0001220D 00012215 __NLG_Dispatch2
0001221A 0001243C __ValidateEH3RN
00012442 00012448 _RtlUnwind@16
0001244E 00012454 _NtQueryVirtualMemory@24
0001245A 00012460 _CheckTokenMembership@12
