00017047 00017227 ?AllocateCMAPtables@@YGJPAUFACE_CACHE@@PAE1@Z
0001722C 00017597 ?CacheFontLinkingData@@YGXXZ
0001759C 000176A2 ?IsFontRegLinked@@YGHPAG@Z
000176A7 000176B2 ?FontIsLinkedPreNT5@@YGHPAUHDC__@@@Z
000176B7 000176E3 ?FontIsLinkedInit@@YGHPAUHDC__@@@Z
000176E8 00017934 ?LoadGdiFont@@YGJPAUFACE_CACHE@@PAEPAG@Z
00017939 00017A8F ?BuildExtenderGlyphTable@@YGJPAUHDC__@@PAGG@Z
00017A94 00017B40 ?GetFontKashidaInfo@@YGJPAUHDC__@@PAUFACE_CACHE@@@Z
00017B45 00017DA8 ?GetFontDetails@@YGJPAUHDC__@@PAUFACE_CACHE@@PAE2PAUFONTCMAPDESC@@@Z
00017DAD 0001815B ?FillCMAP@@YGJPAUHDC__@@PAUFONTCMAPDESC@@PAEPAUFACE_CACHE@@@Z
00018160 000183F1 ?LoadFont@@YGJPAUHDC__@@PAUFACE_CACHE@@@Z
000183F6 00018451 ?OldTTFSetUnicodePages@@YGHKPAE@Z
00018456 00018492 ?FillTable@@YGXPAUtag_UNICODE2GLYPHINDEX@@KPAG@Z
00018497 00018506 ?AdjustOldFontTable@@YGXPAUtag_UNICODE2GLYPHINDEX@@KPAGGGH@Z
0001850B 0001853B ?UDFMapType@@YGHPAEPAI@Z
00018540 0001859D ?UDFLoadFile@@YGHPADPAEK@Z
000185A2 0001862E ?GetFontNameAndMapNum@@YGHPADKPAI@Z
00018633 0001864D ?IsThaiFixedPitch@@YGHPAUFACE_CACHE@@@Z
00018652 000187DC ?UDFLookForFile@@YGHPAD0PAEK@Z
000187E1 00018867 ?UDFReadMap@@YGHPAUHDC__@@PAEKPAI@Z
0001886C 00018B7A ?FillOldFontUnicodePages@@YGHPAUHDC__@@PAUFACE_CACHE@@PAKPAHPAG@Z
00018B7F 00018BB1 ?LevelIncrement@@YGPAUtag_SCRIPT_ANALYSIS@@HH@Z
00018BB6 00018BE2 ?BidiDefaultDigitScript@@YG?AW4SCRIPT@@W41@H@Z
00018BE7 00018C16 ?OutControl@@YGXPAUITEMISE_STATE@@H@Z
00018C1B 00018D24 ?SetEmbeddingLevel@@YGXPAUITEMISE_STATE@@HH@Z
00018D29 00019108 ?OutFormat@@YGXGPAUITEMISE_STATE@@H@Z
0001910D 000191C7 ?OutItem@@YGXPAUITEMISE_STATE@@HW4SCRIPT@@@Z
000191CC 00019831 ?UnicodeBidiAlgorithm@@YGJPBGPBUtag_SCRIPT_CONTROL@@PBUtag_SCRIPT_STATE@@PAUtag_SCRIPT_ITEM@@PAH@Z
00019836 00019942 ?NonBidiAlgorithm@@YGJPBGPAUtag_SCRIPT_ITEM@@PAH@Z
00019947 000199AC ?MergeCharClass@@YGFFPAF@Z
000199B1 00019E97 ?ScriptTokenize@@YGJPBGHHPAUTOKEN@@PAH@Z
00019EA0 00019F72 ?ApplyGcpClass@@YGFPBUtag_SCRIPT_CONTROL@@PBUtag_SCRIPT_STATE@@FH@Z
