00007990 000079B7 _midiOutGetNumDevs@0
00007A48 00007A65 _HashScramble@4
00007A6A 00007A78 _StringIdDict_Initialize@0
00007A7D 00007AC5 _wdmDevInterfaceInc@4
00007ACA 00007B1E _wdmDevInterfaceDec@4
00007B23 00007B51 _HashStringNoCaseW@8
00007B56 00007B8F _lstrDuplicateW@4
00007BB0 00007C37 _mregHandleInternalMessages@28
00007C3C 00007CB2 _mregGetIdFromStringId@12
00007CB7 00007D41 _StringIdDict_Search@12
00007D46 00007E8F _StringIdDict_SearchType0And1@20
00007E94 00007FBF _waveOutGetDevCapsW@12
00007FC4 00008029 _waveReferenceDevInterfaceById@8
0000809E 0000816E _wdmDriverLoadAllClasses@8
00008173 000081EB _wdmDriverLoadClass@20
0000820B 00008244 _wdmDriverOpenDrvRegKey@12
00008259 0000827B _s_wdmDriverOpenDrvRegKey@16
00008280 000082C1 _wdmPnpUpdateDriver@12
000082C6 0000834B _wdmDevInterfaceInstall@8
0000847F 000084E5 _RegPrepareEnum@16
000084EA 00008532 _RegEnumOpenKey@24
00008546 0000856C _mregAddDriver@8
00008571 000085D5 _StringIdDict_Insert@4
000086AD 000088F1 _wdmDrvInstall@16
00008932 0000895D _KickMappers@0
0000896A 000089B0 _waveInMessage@16
000089BC 00008A1C _KickMapper@4
00008D7E 00008E05 _midiIDMessage@24
00008E0A 00008E8A _midiReferenceDriverById@16
00008EA9 00008FDE _waveInOpen@24
00008FE3 00009032 _auxReferenceDriverById@12
0000905F 000090BF _midiOutMessage@16
0000920C 0000928A _MidiMapperInit@0
0000928F 000092AD _mixerGetID@12
000092B2 00009443 _IMixerGetID@16
00009448 000094F3 _IMixerMessageId@16
000094F8 000095DC _mixerClose@4
000095E1 000097F0 _mixerOpen@20
000097F5 00009868 _mixerReferenceDriverById@12
0000986D 000098B5 _UnicodeStrToAsciiStr@12
00009907 00009937 _waveInGetSetupPreferredAudioCount@4
0000993C 000099A0 _waveInSetCurrentConsoleVoiceComId@8
000099A5 000099D5 _midiOutGetSetupPreferredAudioCount@4
000099DA 00009A5F _midiOutSetCurrentPreferredId@4
00009A64 00009A7D _midiOutSendPreferredMessage@4
00009A82 00009AE6 _waveOutSetCurrentConsoleVoiceComId@8
00009AEB 00009AF6 _mregCreateStringIdFromDriverPort@16
00009AF6 00009BAB _StringId_Create@16
00009C40 00009D1A _waveInGetDevCapsW@12
00009D1F 00009DF9 _midiOutGetDevCapsW@12
00009DFE 00009E63 _midiReferenceDevInterfaceById@8
00009E68 00009E98 _waveOutGetSetupPreferredAudioCount@4
00009E9D 00009F19 _GetDeviceInterfaceSetupPreferredAudioCount@4
0000A02A 0000A056 _mixerMessage@16
0000A05B 0000A17E _mixerGetLineControlsW@12
0000A183 0000A209 _mixerGetDevCapsW@12
0000A20E 0000A25A _mixerReferenceDevInterfaceById@4
0000A25F 0000A453 _mixerGetLineInfoW@12
0000A458 0000A474 _IMixerIsValidComponentType@8
0000A479 0000A586 _mixerGetControlDetailsW@12
0000A58B 0000A60C _IMixerMessageHandle@16
0000A667 0000A68E _WinmmLogon@4
0000A693 0000A6C2 _gfxLogon@4
0000A6D9 0000A762 _soundWait@0
0000A820 0000A842 _s_gfxLogon@8
0000A847 0000A8AE _MigrateSoundEvents@0
0000A8B3 0000A983 _mmRegSetMachineValue@12
0000A988 0000A9E1 _mmRegOpenSubkeyForWrite@8
0000A9E6 0000AA1D _TransAlias@4
0000ABC0 0000AC30 _MatchFile@8
0000ACDF 0000ADA0 _timeBeginPeriod@4
0000ADA5 0000AE58 _timeEndPeriod@4
0000AEDC 0000AF10 __allmul
0000AF10 0000AFF6 __except_handler3
0000AFF6 0000B016 __global_unwind2
0000B051 0000B0C1 __local_unwind2
0000B0C1 0000B0D7 __NLG_Notify
0000B0D7 0000B0DF __NLG_Dispatch2
0000C5F3 0000C5F9 _GetTickCount@0
0000D8DD 0000D8F7 _FreeUnicodeStr@4
0000D8FC 0000D933 _winmmAdvisePreferredDeviceChange@0
0000D949 0000D998 _gfxModifyGfx@8
0000D9A9 0000DA31 _gfxAddGfx@20
0000DA49 0000DA95 _gfxRemoveGfx@4
0000DAA9 0000DB84 _gfxDestroyDeviceInterfaceList@4
0000DB89 0000DC6B _gfxEnumerateGfxs@12
0000DC81 0000DD05 _gfxCreateGfxFactoriesList@8
0000DD19 0000DD9A _gfxCreateZoneFactoriesList@4
0000DDB1 0000DE8A _gfxBatchChange@24
0000DE8F 0000DEE5 _gfxOpenGfx@8
0000DEF9 0000DF30 _gfxLogoff@0
0000DF41 0000DFA8 _CreateServerPlayingThread@4
0000DFDF 0000E01A _auxReferenceDevInterfaceById@4
0000E01F 0000E091 _auxOutMessage@16
0000E096 0000E0BD _auxGetNumDevs@0
0000E0C2 0000E12F _auxGetDevCapsW@12
0000E134 0000E276 _auxGetDevCapsA@12
0000E27B 0000E2C6 _auxGetVolume@8
0000E2CB 0000E303 _auxSetVolume@8
0000E308 0000E34D _StringIdDict_Remove@4
0000E352 0000E382 _DefDriverProc@20
0000E387 0000E3FE _mregQueryStringId@16
0000E403 0000E42F _mregQueryStringIdSize@12
0000E434 0000E481 _mregGetDrvListFromClass@4
0000E486 0000E4ED _mregRemoveDriver@4
0000E4F2 0000E4FD _mregIncUsage@4
0000E502 0000E50D _mregDecUsage@4
0000E512 0000E569 _mregFindDevice@16
0000E56E 0000E66A _TestExeFormat@4
0000E66F 0000E672 _winmmSetDebugLevel@4
0000E677 0000E6CD _ValidateString@8
0000E6E1 0000E6E5 _joyGetNumDevs@0
0000E6EA 0000E746 _AssignToArray@12
0000E74B 0000E777 _AssignToRGODF@8
0000E77C 0000E903 _DIEnumDeviceObjectsCallback@8
0000E999 0000EC21 _AssignMappings@16
0000EC26 0000EC32 _DllEnterCrit@0
0000EC37 0000EC43 _DllLeaveCrit@0
0000EC48 0000EC91 _joyReleaseCapture@4
0000EC96 0000ED32 _joyMonitorThread@4
0000ED37 0000ED73 _joyConfigChanged@4
0000ED78 0000F562 _joyOpen@8
0000F5B3 0000F661 _joyGetDevCapsW@12
0000F666 0000F8E8 _joyGetDevCapsA@12
0000F8ED 0000FBF7 _joyGetPosEx@8
0000FBFC 0000FC53 _joyGetPos@8
0000FC58 0000FCEF _joyGetThreshold@8
0000FCF4 0000FD80 _joySetThreshold@8
0000FD85 0000FF0A _joyPollCallback@16
0000FF0F 000100AC _joySetCapture@16
000100B1 00010111 _MixerCallbackFunc@20
00010116 0001013D _mixerGetNumDevs@0
00010142 000101A7 _ConvertMIXERLINEWToMIXERLINEA@8
000101AC 000102CF _mixerDesertHandle@4
000102D4 00010451 _mixerSetControlDetails@12
00010456 000105EE _mixerGetDevCapsA@12
000105F3 000106AD _mixerGetLineInfoA@12
000106B2 000107DC _mixerGetLineControlsA@12
000107E1 000108D0 _mixerGetControlDetailsA@12
000108D5 00010940 _NotifyCallbackData@20
00010971 000109E3 _CopyWaveOutCaps@12
000109E8 00010A54 _CopyWaveInCaps@12
00010A59 00010A98 _GetWaveHdr16@8
00010A9D 00010AC3 _PutWaveHdr16@8
00010AC8 00010B4C _CopyMidiOutCaps@12
00010B51 00010BAF _CopyMidiInCaps@12
00010BB4 00010BF3 _GetMidiHdr16@8
00010BF8 00010C1E _PutMidiHdr16@8
00010C23 00010C7A _PutMMTime@8
00010C7F 00010CD3 _GetMMTime@8
00010CD8 00010DA4 _WOW32DriverCallback@28
00010DA9 00010E15 _CopyAuxCaps@12
00010E1A 00010F48 _tid32Message@20
00010F4D 000110C5 _joy32Message@20
000110CA 00011107 _GetLineInfo@8
0001110C 0001114A _PutLineInfo@8
0001114F 00011236 _WOW32ResolveMultiMediaHandle@24
00011249 000112B6 _ThunkCommonWaveReadWrite@16
000112BB 0001133A _ThunkCommonWavePrepareHeader@12
0001133F 000113B4 _ThunkCommonWaveUnprepareHeader@12
000113B9 00011414 _ThunkCommonMidiReadWrite@16
00011419 0001149E _ThunkCommonMidiPrepareHeader@12
000114A3 00011504 _ThunkCommonMidiUnprepareHeader@12
00011509 000115EC _W32CommonDeviceCB@20
0001160C 000116EC _aux32Message@20
000116F1 000119AE _mxd32Message@20
000119B3 00011B08 _ThunkCommonWaveOpen@20
00011B0D 00011BB0 _ThunkCommonMidiOpen@20
00011BB5 00011DDA _wod32Message@20
