0000266E 0000268F ?IDirectDraw2EnumDisplayModes@@YGJPAUIDirectDraw2@@KPAU_DDSURFACEDESC@@PAXP6GJ12@Z@Z
00002694 000026B5 ?IDirectDrawEnumSurfaces@@YGJPAUIDirectDraw@@KPAU_DDSURFACEDESC@@PAXP6GJPAUIDirectDrawSurface@@12@Z@Z
000026BA 000026D2 ?IDirectDraw2GetDisplayMode@@YGJPAUIDirectDraw2@@PAU_DDSURFACEDESC@@@Z
000026D7 000026F2 ?IDirectDrawGetFourCCCodes@@YGJPAUIDirectDraw@@PAK1@Z
000026F7 0000270C ?IDirectDraw4RestoreDisplayMode@@YGJPAUIDirectDraw4@@@Z
00002711 0000272F ?IDirectDrawSetDisplayMode@@YGJPAUIDirectDraw@@KKK@Z
00002734 00002753 ?IDirectDraw2AggQueryInterface@@YGJPAUIDirectDraw2@@ABU_GUID@@PAPAX@Z
00002758 00002776 ?IDirectDraw4CreateClipper@@YGJPAUIDirectDraw4@@KPAPAUIDirectDrawClipper@@PAUIUnknown@@@Z
0000277B 00002796 ?IDirectDraw2DuplicateSurface@@YGJPAUIDirectDraw2@@PAUIDirectDrawSurface@@PAPAU2@@Z
0000279B 000027B6 ?IDirectDraw4GetCaps@@YGJPAUIDirectDraw4@@PAU_DDCAPS@@1@Z
000027BB 000027D6 ?IDirectDrawWaitForVerticalBlank@@YGJPAUIDirectDraw@@KPAX@Z
000027DB 000027F9 ?IDirectDraw4GetAvailableVidMem@@YGJPAUIDirectDraw4@@PAU_DDSCAPS2@@PAK2@Z
000027FE 00002813 ?IDirectDraw4FlipToGDISurface@@YGJPAUIDirectDraw4@@@Z
00002818 00002830 ?IDirectDraw4GetScanLine@@YGJPAUIDirectDraw4@@PAK@Z
00002835 0000284D ?IDirectDraw4GetVerticalBlankStatus@@YGJPAUIDirectDraw4@@PAH@Z
00002852 00002876 ?IDirectDraw4SetDisplayMode@@YGJPAUIDirectDraw4@@KKKKK@Z
0000287B 00002896 ?IDirectDraw4GetSurfaceFromDC@@YGJPAUIDirectDraw4@@PAUHDC__@@PAPAUIDirectDrawSurface4@@@Z
0000289B 000028B0 ?IDirectDraw4RestoreAllSurfaces@@YGJPAUIDirectDraw4@@@Z
000028B5 000028CA ?IDirectDraw4TestCooperativeLevel@@YGJPAUIDirectDraw4@@@Z
000028CF 000028EE ?IDirectDrawSurface4AggQueryInterface@@YGJPAUIDirectDrawSurface4@@ABU_GUID@@PAPAX@Z
000028F3 00002911 ?IDirectDrawSurfaceUpdateOverlayZOrder@@YGJPAUIDirectDrawSurface@@K0@Z
00002916 00002934 ?IDirectDrawSurface4BltBatch@@YGJPAUIDirectDrawSurface4@@PAU_DDBLTBATCH@@KK@Z
00002939 00002957 ?IDirectDrawSurface3EnumOverlayZOrders@@YGJPAUIDirectDrawSurface3@@KPAXP6GJPAUIDirectDrawSurface@@PAU_DDSURFACEDESC@@1@Z@Z
0000295C 00002974 ?IDirectDrawSurfaceGetPixelFormat@@YGJPAUIDirectDrawSurface@@PAU_DDPIXELFORMAT@@@Z
00002979 00002991 ?IDirectDrawSurfaceSetClipper@@YGJPAUIDirectDrawSurface@@PAUIDirectDrawClipper@@@Z
00002996 000029BD ?IDirectDrawSurfaceUpdateOverlay@@YGJPAUIDirectDrawSurface@@PAUtagRECT@@01KPAU_DDOVERLAYFX@@@Z
000029C2 000029DA ?IDirectDrawSurface4AddOverlayDirtyRect@@YGJPAUIDirectDrawSurface4@@PAUtagRECT@@@Z
000029DF 000029F7 ?IDirectDrawSurface3GetBltStatus@@YGJPAUIDirectDrawSurface3@@K@Z
000029FC 00002A14 ?IDirectDrawGetGDISurface@@YGJPAUIDirectDraw@@PAPAUIDirectDrawSurface@@@Z
00002A19 00002A31 ?IDirectDraw4GetMonitorFrequency@@YGJPAUIDirectDraw4@@PAK@Z
00002A36 00002A4E ?IDirectDraw2Initialize@@YGJPAUIDirectDraw2@@PAU_GUID@@@Z
00002A53 00002A6E ?IDirectDrawSurface3SetOverlayPosition@@YGJPAUIDirectDrawSurface3@@JJ@Z
00002A73 00002A8E ?IDirectDrawSurfaceUpdateOverlayDisplay@@YGJPAUIDirectDrawSurface@@K@Z
00002A93 00002AAE ?IDirectDrawSurface3PageLock@@YGJPAUIDirectDrawSurface3@@K@Z
00002AB3 00002ACE ?IDirectDrawSurface4PageUnlock@@YGJPAUIDirectDrawSurface4@@K@Z
00002AD3 00002AF1 ?IDirectDrawSurface4SetSurfaceDesc@@YGJPAUIDirectDrawSurface4@@PAU_DDSURFACEDESC2@@K@Z
00002AF6 00002B1A ?IDirectDrawSurfaceBltFast@@YGJPAUIDirectDrawSurface@@KK0PAUtagRECT@@K@Z
00002B1F 00002B3A ?IDirectDrawSurface3EnumAttachedSurfaces@@YGJPAUIDirectDrawSurface3@@PAXP6GJPAUIDirectDrawSurface@@PAU_DDSURFACEDESC@@1@Z@Z
00002B3F 00002B5A ?IDirectDrawSurface4GetColorKey@@YGJPAUIDirectDrawSurface4@@KPAU_DDCOLORKEY@@@Z
00002B5F 00002B7A ?IDirectDrawSurface3GetOverlayPosition@@YGJPAUIDirectDrawSurface3@@PAJ1@Z
