000032F2 000032FF ?IncrementGenerationId@CDXBaseSurface@@WLI@AGJH@Z
00003304 00003311 ?GetObjectSize@CDXBaseSurface@@WLI@AGJPAK@Z
00003316 00003320 ?AddRef@?$CComContainedObject@VCDXTLabel@@@ATL@@WM@AGKXZ
00003325 0000332F ?Release@?$CComContainedObject@VCDXGradient@@@ATL@@WM@AGKXZ
00003334 0000333E ?QueryInterface@?$CComContainedObject@VCDXSurfaceModifier@@@ATL@@WBA@AGJABU_GUID@@PAPAX@Z
00003343 0000334D ?AddRef@?$CComContainedObject@VCDXSurfaceModifier@@@ATL@@WBA@AGKXZ
00003352 0000335C ?Release@?$CComContainedObject@VCDXGradient@@@ATL@@WBA@AGKXZ
00003361 0000336E ?AddRef@?$CComContainedObject@VCDXGradient@@@ATL@@WME@AGKXZ
00003373 00003380 ?Release@?$CComContainedObject@VCDXGradient@@@ATL@@WME@AGKXZ
00003385 0000338F ?QueryInterface@?$CComContainedObject@VCDXTScale@@@ATL@@WM@AGJABU_GUID@@PAPAX@Z
00003394 000033A1 ?QueryInterface@?$CComContainedObject@VCDXGradient@@@ATL@@WMA@AGJABU_GUID@@PAPAX@Z
000033A6 000033B3 ?AddRef@?$CComContainedObject@VCDXGradient@@@ATL@@WMA@AGKXZ
000033B8 000033C5 ?Release@?$CComContainedObject@VCDXGradient@@@ATL@@WMA@AGKXZ
000033CA 000033D7 ?GetGenerationId@CDXBaseSurface@@WLI@AGJPAK@Z
000033DC 000033E9 ?QueryInterface@?$CComContainedObject@VCDXGradient@@@ATL@@WME@AGJABU_GUID@@PAPAX@Z
000033EE 000033FB ?AddRef@?$CComContainedObject@VCDXGradient@@@ATL@@WBAA@AGKXZ
00003400 0000340D ?Release@?$CComContainedObject@VCDXSurfaceModifier@@@ATL@@WBAA@AGKXZ
00003412 0000341C ?QueryInterface@?$CComContainedObject@VCDXTFilterBehavior@@@ATL@@W3AGJABU_GUID@@PAPAX@Z
00003421 0000342B ?AddRef@?$CComContainedObject@VCDXTFilterBehavior@@@ATL@@W3AGKXZ
00003430 0000343A ?Release@?$CComContainedObject@VCDXTFilterBehavior@@@ATL@@W3AGKXZ
0000343F 00003449 ?QueryInterface@?$CComContainedObject@VCDXTFilterBehavior@@@ATL@@W7AGJABU_GUID@@PAPAX@Z
0000344E 00003458 ?AddRef@?$CComContainedObject@VCDXTFilterBehavior@@@ATL@@W7AGKXZ
0000345D 00003467 ?Release@?$CComContainedObject@VCDXTFilterBehavior@@@ATL@@W7AGKXZ
0000346C 00003476 ?QueryInterface@?$CComContainedObject@VCDXTFilterBehavior@@@ATL@@WM@AGJABU_GUID@@PAPAX@Z
0000347B 00003485 ?AddRef@?$CComContainedObject@VCDXTFilterBehavior@@@ATL@@WM@AGKXZ
0000348A 00003494 ?Release@?$CComContainedObject@VCDXTFilterBehavior@@@ATL@@WM@AGKXZ
00003499 000034A3 ?QueryInterface@?$CComContainedObject@VCDXTFilterBehavior@@@ATL@@WBA@AGJABU_GUID@@PAPAX@Z
000034A8 000034B2 ?AddRef@?$CComContainedObject@VCDXTFilterBehavior@@@ATL@@WBA@AGKXZ
000034B7 000034C1 ?Release@?$CComContainedObject@VCDXTFilterBehavior@@@ATL@@WBA@AGKXZ
000034C6 000034D0 ?QueryInterface@?$CComContainedObject@VCDXTFilterBehavior@@@ATL@@WBE@AGJABU_GUID@@PAPAX@Z
000034D5 000034DF ?AddRef@?$CComContainedObject@VCDXTFilterBehavior@@@ATL@@WBE@AGKXZ
000034E4 000034EE ?Release@?$CComContainedObject@VCDXTFilterBehavior@@@ATL@@WBE@AGKXZ
