000045EF 000045FD _DllUnregisterServer@0
00004602 00004616 ??0?$CComObjectRoot_CreateInstance_Verify@VCActiveIMMAppEx@@@@QAE@XZ
0000461B 0000463D ??0CComActiveIMMApp@@QAE@XZ
000047B9 000047C1 ?End@CComActiveIMMApp@@UAGJXZ
000047C6 000047CE ?Pause@CComActiveIMMApp@@UAGJPAK@Z
000047D3 000047F3 ?CreateContext@CComActiveIMMApp@@UAGJPAPAUHIMC__@@@Z
000047F8 00004817 ?DestroyContext@CComActiveIMMApp@@UAGJPAUHIMC__@@@Z
0000481C 00004837 ?AssociateContext@CComActiveIMMApp@@UAGJPAUHWND__@@PAUHIMC__@@PAPAU3@@Z
0000483C 00004861 ?AssociateContextEx@CComActiveIMMApp@@UAGJPAUHWND__@@PAUHIMC__@@K@Z
00004866 0000487E ?GetContext@CComActiveIMMApp@@UAGJPAUHWND__@@PAPAUHIMC__@@@Z
00004883 000048A5 ?ReleaseContext@CComActiveIMMApp@@UAGJPAUHWND__@@PAUHIMC__@@@Z
000048AA 000048C0 ?GetOpenStatus@CComActiveIMMApp@@UAGJPAUHIMC__@@@Z
000048C5 000048E7 ?SetOpenStatus@CComActiveIMMApp@@UAGJPAUHIMC__@@H@Z
000048EC 00004911 ?GetConversionStatus@CComActiveIMMApp@@UAGJPAUHIMC__@@PAK1@Z
00004916 0000493B ?SetConversionStatus@CComActiveIMMApp@@UAGJPAUHIMC__@@KK@Z
00004940 00004962 ?GetStatusWindowPos@CComActiveIMMApp@@UAGJPAUHIMC__@@PAUtagPOINT@@@Z
00004967 00004989 ?SetStatusWindowPos@CComActiveIMMApp@@UAGJPAUHIMC__@@PAUtagPOINT@@@Z
0000498E 000049BC ?SetCompositionStringA@CComActiveIMMApp@@UAGJPAUHIMC__@@KPAXK1K@Z
000049C1 000049EF ?SetCompositionStringW@CComActiveIMMApp@@UAGJPAUHIMC__@@KPAXK1K@Z
000049F4 00004A16 ?GetCompositionFontA@CComActiveIMMApp@@UAGJPAUHIMC__@@PAUtagLOGFONTA@@@Z
00004A1B 00004A3D ?GetCompositionFontW@CComActiveIMMApp@@UAGJPAUHIMC__@@PAUtagLOGFONTW@@@Z
00004A42 00004A64 ?SetCompositionFontA@CComActiveIMMApp@@UAGJPAUHIMC__@@PAUtagLOGFONTA@@@Z
00004A69 00004A8B ?SetCompositionFontW@CComActiveIMMApp@@UAGJPAUHIMC__@@PAUtagLOGFONTW@@@Z
00004A90 00004AB2 ?GetCompositionWindow@CComActiveIMMApp@@UAGJPAUHIMC__@@PAUtagCOMPOSITIONFORM@@@Z
00004AB7 00004AD9 ?SetCompositionWindow@CComActiveIMMApp@@UAGJPAUHIMC__@@PAUtagCOMPOSITIONFORM@@@Z
00004ADE 00004B0A ?GetCandidateListA@CComActiveIMMApp@@UAGJPAUHIMC__@@KIPAUtagCANDIDATELIST@@PAI@Z
00004B0F 00004B3B ?GetCandidateListW@CComActiveIMMApp@@UAGJPAUHIMC__@@KIPAUtagCANDIDATELIST@@PAI@Z
00004B40 00004B66 ?GetCandidateListCountA@CComActiveIMMApp@@UAGJPAUHIMC__@@PAK1@Z
00004B6B 00004B91 ?GetCandidateListCountW@CComActiveIMMApp@@UAGJPAUHIMC__@@PAK1@Z
00004B96 00004BBB ?GetCandidateWindow@CComActiveIMMApp@@UAGJPAUHIMC__@@KPAUtagCANDIDATEFORM@@@Z
00004BC0 00004BE2 ?SetCandidateWindow@CComActiveIMMApp@@UAGJPAUHIMC__@@PAUtagCANDIDATEFORM@@@Z
00004BE7 00004C08 ?GetGuideLineA@CComActiveIMMApp@@UAGJPAUHIMC__@@KKPADPAK@Z
00004C0D 00004C2E ?GetGuideLineW@CComActiveIMMApp@@UAGJPAUHIMC__@@KKPAGPAK@Z
00004C33 00004C5B ?NotifyIME@CComActiveIMMApp@@UAGJPAUHIMC__@@KKK@Z
00004C60 00004C87 ?GetImeMenuItemsA@CComActiveIMMApp@@UAGJPAUHIMC__@@KKPAUtagIMEMENUITEMINFOA@@1KPAK@Z
00004C8C 00004CB3 ?GetImeMenuItemsW@CComActiveIMMApp@@UAGJPAUHIMC__@@KKPAUtagIMEMENUITEMINFOW@@1KPAK@Z
00004CB8 00004CE0 ?RegisterWordA@CComActiveIMMApp@@UAGJPAUHKL__@@PADK1@Z
00004CE5 00004D0D ?RegisterWordW@CComActiveIMMApp@@UAGJPAUHKL__@@PAGK1@Z
00004D12 00004D3A ?UnregisterWordA@CComActiveIMMApp@@UAGJPAUHKL__@@PADK1@Z
00004D3F 00004D67 ?UnregisterWordW@CComActiveIMMApp@@UAGJPAUHKL__@@PAGK1@Z
00004D6C 00004D74 ?EnumRegisterWordA@CComActiveIMMApp@@UAGJPAUHKL__@@PADK1PAXPAPAUIEnumRegisterWordA@@@Z
00004D79 00004D97 ?GetRegisterWordStyleA@CComActiveIMMApp@@UAGJPAUHKL__@@IPAUtagSTYLEBUFA@@PAI@Z
00004D9C 00004DBA ?GetRegisterWordStyleW@CComActiveIMMApp@@UAGJPAUHKL__@@IPAUtagSTYLEBUFW@@PAI@Z
00004DBF 00004DE7 ?ConfigureIMEA@CComActiveIMMApp@@UAGJPAUHKL__@@PAUHWND__@@KPAUtagREGISTERWORDA@@@Z
00004DEC 00004E14 ?ConfigureIMEW@CComActiveIMMApp@@UAGJPAUHKL__@@PAUHWND__@@KPAUtagREGISTERWORDW@@@Z
00004E19 00004E43 ?GetDescriptionA@CComActiveIMMApp@@UAGJPAUHKL__@@IPADPAI@Z
00004E48 00004E72 ?GetDescriptionW@CComActiveIMMApp@@UAGJPAUHKL__@@IPAGPAI@Z
00004E77 00004E95 ?GetIMEFileNameA@CComActiveIMMApp@@UAGJPAUHKL__@@IPADPAI@Z
00004E9A 00004EB8 ?GetIMEFileNameW@CComActiveIMMApp@@UAGJPAUHKL__@@IPAGPAI@Z
00004EBD 00004ED8 ?InstallIMEA@CComActiveIMMApp@@UAGJPAD0PAPAUHKL__@@@Z
00004EDD 00004EF8 ?InstallIMEW@CComActiveIMMApp@@UAGJPAG0PAPAUHKL__@@@Z
00004EFD 00004F18 ?GetProperty@CComActiveIMMApp@@UAGJPAUHKL__@@KPAK@Z
00004F1D 00004F4B ?IsIME@CComActiveIMMApp@@UAGJPAUHKL__@@@Z
00004F50 00004F71 ?EscapeA@CComActiveIMMApp@@UAGJPAUHKL__@@PAUHIMC__@@IPAXPAJ@Z
00004F76 00004F97 ?EscapeW@CComActiveIMMApp@@UAGJPAUHKL__@@PAUHIMC__@@IPAXPAJ@Z
00004F9C 00004FC3 ?GetConversionListA@CComActiveIMMApp@@UAGJPAUHKL__@@PAUHIMC__@@PADIIPAUtagCANDIDATELIST@@PAI@Z
00004FC8 00004FEF ?GetConversionListW@CComActiveIMMApp@@UAGJPAUHKL__@@PAUHIMC__@@PAGIIPAUtagCANDIDATELIST@@PAI@Z
00004FF4 0000500C ?GetDefaultIMEWnd@CComActiveIMMApp@@UAGJPAUHWND__@@PAPAU2@@Z
00005011 00005029 ?GetVirtualKey@CComActiveIMMApp@@UAGJPAUHWND__@@PAI@Z
0000502E 0000504D ?IsUIMessageA@CComActiveIMMApp@@UAGJPAUHWND__@@IIJ@Z
00005052 00005071 ?IsUIMessageW@CComActiveIMMApp@@UAGJPAUHWND__@@IIJ@Z
00005076 0000508F ?SimulateHotKey@CComActiveIMMApp@@UAGJPAUHWND__@@K@Z
00005094 000050B3 ?DisableIME@CComActiveIMMApp@@UAGJK@Z
000050B8 00005104 ?GetCompositionStringA@CComActiveIMMApp@@UAGJPAUHIMC__@@KKPAJPAX@Z
00005109 0000514E ?IsGuidMapEnable@CComActiveIMMApp@@AAEHPAUHIMC__@@@Z
00005153 0000519F ?GetCompositionStringW@CComActiveIMMApp@@UAGJPAUHIMC__@@KKPAJPAX@Z
000051A4 000051DF ??0CActiveIMMAppEx@@QAE@XZ
00005359 00005383 ?AddRef@CActiveIMMAppEx@@UAGKXZ
00005388 0000549A ?QueryInterface@CActiveIMMAppEx@@UAGJABU_GUID@@PAPAX@Z
0000549F 000054E7 ?EnableGuidMap@CActiveIMMAppEx@@SGJPAXABU_GUID@@PAPAXK@Z
000054EC 000054F6 ?QueryInterface@CActiveIMMAppEx@@W3AGJABU_GUID@@PAPAX@Z
000054FB 00005505 ?QueryInterface@CActiveIMMAppEx@@W7AGJABU_GUID@@PAPAX@Z
0000550A 00005514 ?QueryInterface@CActiveIMMAppEx@@WM@AGJABU_GUID@@PAPAX@Z
00005519 00005554 ??0CActiveIMMAppEx_Trident@@QAE@XZ
000056C9 000057B2 ?QueryInterface@CActiveIMMAppEx_Trident@@UAGJABU_GUID@@PAPAX@Z
000057B7 000057C1 ?QueryInterface@CActiveIMMAppEx_Trident@@W3AGJABU_GUID@@PAPAX@Z
000057C6 000057D0 ?QueryInterface@CActiveIMMAppEx_Trident@@W7AGJABU_GUID@@PAPAX@Z
000057D5 000057DF ?QueryInterface@CActiveIMMAppEx_Trident@@WM@AGJABU_GUID@@PAPAX@Z
000057E4 000057EE ?AddRef@CActiveIMMAppEx@@WM@AGKXZ
000057F3 0000582E ??0CActiveIMMApp@@QAE@XZ
000059A9 00005A7E ?QueryInterface@CActiveIMMApp@@UAGJABU_GUID@@PAPAX@Z
00005A83 00005A8D ?QueryInterface@CActiveIMMApp@@W3AGJABU_GUID@@PAPAX@Z
00005A92 00005A9C ?AddRef@CActiveIMMAppEx_Trident@@W3AGKXZ
00005AA1 00005AAB ?QueryInterface@CActiveIMMApp@@W7AGJABU_GUID@@PAPAX@Z
00005AB0 00005ABA ?AddRef@CActiveIMMAppEx_Trident@@W7AGKXZ
00005ABF 00005AC9 ?QueryInterface@CActiveIMMApp@@WM@AGJABU_GUID@@PAPAX@Z
00005ACE 00005B14 ?Release@CActiveIMMAppEx_Trident@@UAGKXZ
00005B19 00005B20 ?Release@CActiveIMMApp@@W3AGKXZ
00005B25 00005B2C ?Release@CActiveIMMApp@@W7AGKXZ
00005B31 00005B38 ?Release@CActiveIMMAppEx@@WM@AGKXZ
00005CE1 00005D04 ?CreateInstance@?$CComObjectRoot_CreateInstance_Verify@VCActiveIMMAppEx@@@@SGJPAUIUnknown@@ABU_GUID@@PAPAX@Z
00005D09 00005D2C ?CreateInstance@?$CComObjectRoot_CreateInstance_Verify@VCActiveIMMAppEx_Trident@@@@SGJPAUIUnknown@@ABU_GUID@@PAPAX@Z
00005D31 00005D54 ?CreateInstance@?$CComObjectRoot_CreateInstance_Verify@VCActiveIMMApp@@@@SGJPAUIUnknown@@ABU_GUID@@PAPAX@Z
