000394B3 000394BB ?Resolve@CTagFactory@@UAGJPAG00PAUIElementNamespace@@@Z
000394C0 000394FC ??0?$CComContainedObject@VCTagFactory@@@ATL@@QAE@PAX@Z
00039501 00039509 ??_E?$CComContainedObject@VCTagFactory@@@ATL@@WBA@AEPAXI@Z
0003950E 0003952F ??_E?$CComContainedObject@VCTagFactory@@@ATL@@UAEPAXI@Z
00039534 0003953C ??_E?$CComObject@VCTagFactory@@@ATL@@WBA@AEPAXI@Z
00039541 00039555 ?GetTypeInfoCount@IEventHandlerImpl@@UAGJPAI@Z
0003955A 00039562 ?GetTypeInfo@IEventHandlerImpl@@UAGJIKPAPAUITypeInfo@@@Z
00039567 0003956F ?GetIDsOfNames@IEventHandlerImpl@@UAGJABU_GUID@@PAPAGIKPAJ@Z
00039574 000395BD ?Invoke@IEventHandlerImpl@@UAGJJABU_GUID@@KGPAUtagDISPPARAMS@@PAUtagVARIANT@@PAUtagEXCEPINFO@@PAI@Z
000395C2 000395DF ?UpdateRegistry@CTagFactory@@SGJH@Z
000395E4 00039632 ?CreateInstance@?$CComCreator@V?$CComObject@VCTagFactory@@@ATL@@@ATL@@SGJPAXABU_GUID@@PAPAX@Z
00039637 0003964D ??1CComClassFactory@ATL@@QAE@XZ
00039652 00039668 ??0?$CComObjectRootEx@VCComMultiThreadModel@ATL@@@ATL@@QAE@XZ
0003966D 0003967F ?AddRef@?$CComObject@VCTagFactory@@@ATL@@UAGKXZ
00039684 000396A9 ?Release@?$CComObject@VCTagFactory@@@ATL@@UAGKXZ
000396AE 000396CB ?QueryInterface@?$CComObject@VCTagFactory@@@ATL@@UAGJABU_GUID@@PAPAX@Z
000396D0 000396FE ??0?$CComAggObject@VCTagFactory@@@ATL@@QAE@PAX@Z
00039703 00039763 ?QueryInterface@?$CComAggObject@VCTagFactory@@@ATL@@UAGJABU_GUID@@PAPAX@Z
00039768 0003977D ?AddRef@?$CComContainedObject@VCTagFactory@@@ATL@@UAGKXZ
00039782 00039797 ?Release@?$CComContainedObject@VCTagFactory@@@ATL@@UAGKXZ
0003979C 000397D3 ?QueryInterface@?$CComContainedObject@VCTagFactory@@@ATL@@UAGJABU_GUID@@PAPAX@Z
000397D8 000397F9 ??_E?$CComObject@VCTagFactory@@@ATL@@UAEPAXI@Z
000397FE 0003983E ??1?$CComObject@VCTagFactory@@@ATL@@UAE@XZ
00039843 0003984D ?QueryInterface@?$CComContainedObject@VCTagFactory@@@ATL@@W3AGJABU_GUID@@PAPAX@Z
00039852 0003985C ?AddRef@?$CComContainedObject@VCTagFactory@@@ATL@@W3AGKXZ
00039861 0003986B ?Release@?$CComContainedObject@VCTagFactory@@@ATL@@W3AGKXZ
00039870 0003987A ?QueryInterface@?$CComContainedObject@VCTagFactory@@@ATL@@W7AGJABU_GUID@@PAPAX@Z
0003987F 00039889 ?AddRef@?$CComContainedObject@VCTagFactory@@@ATL@@W7AGKXZ
0003988E 00039898 ?Release@?$CComContainedObject@VCTagFactory@@@ATL@@W7AGKXZ
0003989D 000398A7 ?QueryInterface@?$CComObject@VCTagFactory@@@ATL@@W3AGJABU_GUID@@PAPAX@Z
000398AC 000398B6 ?AddRef@?$CComObject@VCTagFactory@@@ATL@@W3AGKXZ
000398BB 000398C5 ?Release@?$CComObject@VCTagFactory@@@ATL@@W3AGKXZ
000398CA 000398D4 ?QueryInterface@?$CComObject@VCTagFactory@@@ATL@@W7AGJABU_GUID@@PAPAX@Z
000398D9 000398E3 ?AddRef@?$CComObject@VCTagFactory@@@ATL@@W7AGKXZ
000398E8 000398F2 ?Release@?$CComObject@VCTagFactory@@@ATL@@W7AGKXZ
000398F7 0003990E ??0CComClassFactory@ATL@@QAE@XZ
00039913 00039961 ?CreateInstance@CComClassFactory@ATL@@UAGJPAUIUnknown@@ABU_GUID@@PAPAX@Z
00039966 00039988 ?LockServer@CComClassFactory@ATL@@UAGJH@Z
0003998D 000399B2 ??1?$CComAggObject@VCTagFactory@@@ATL@@QAE@XZ
000399B7 000399CD ?AddRef@?$CComObjectNoLock@VCExtTagFactory@@@ATL@@UAGKXZ
000399D2 000399EF ?QueryInterface@?$CComObjectNoLock@VCExtTagFactory@@@ATL@@UAGJABU_GUID@@PAPAX@Z
000399F4 00039A08 ??0CExtTagFactory@@QAE@XZ
00039A0D 00039A2E ??_G?$CComAggObject@VCTagFactory@@@ATL@@QAEPAXI@Z
00039A33 00039A56 ?Release@?$CComAggObject@VCTagFactory@@@ATL@@UAGKXZ
00039A5B 00039A89 ??_G?$CComObjectNoLock@VCExtTagFactory@@@ATL@@QAEPAXI@Z
00039A8E 00039AA4 ??0?$CComObjectNoLock@VCExtTagFactory@@@ATL@@QAE@PAX@Z
00039AA9 00039AD8 ?Release@?$CComObjectNoLock@VCExtTagFactory@@@ATL@@UAGKXZ
00039ADD 00039B2B ?CreateInstance@?$CComCreator@V?$CComAggObject@VCTagFactory@@@ATL@@@ATL@@SGJPAXABU_GUID@@PAPAX@Z
00039B30 00039B84 ?CreateInstance@?$CComCreator@V?$CComObjectNoLock@VCExtTagFactory@@@ATL@@@ATL@@SGJPAXABU_GUID@@PAPAX@Z
00039B89 00039BAB ?CreateInstance@?$CComCreator2@V?$CComCreator@V?$CComObject@VCTagFactory@@@ATL@@@ATL@@V?$CComCreator@V?$CComAggObject@VCTagFactory@@@ATL@@@2@@ATL@@SGJPAXABU_GUID@@PAPAX@Z
00039BB0 00039BED ?StringCopyWorkerA@@YGJPADIPBD@Z
00039BF2 00039C40 ?StringVPrintfWorkerW@@YGJPAGIPBGPAD@Z
00039C45 00039C5C ??1CSysBstrHolder@@QAE@XZ
00039C61 00039C78 ??1CTaskMemHolder@@QAE@XZ
00039C7D 00039CD1 ??0CWchBufferHolder@@QAE@K@Z
00039CD6 00039D15 ??1CWchBufferHolder@@QAE@XZ
