0000504A 00005067 ??1CRefdKey@@QAE@XZ
00005085 000050CC _InternetFreeThreadInfo@4
000050D1 00005102 ?GetInternetSettingsKey@@YGPAVCRefdKey@@XZ
00005107 0000511B _EnsureInternetSettingsKeyCached@0
00005120 00005186 ??4ICSTRING@@QAEAAV0@PAD@Z
000051C9 0000528D _InternetCreateThreadInfo@4
00005292 000052D9 ??0GetOSVersion@@QAE@XZ
000052DE 0000533F _FindFirstUrlCacheEntryA@12
00005344 00005376 ?FindNextEntry@CConMgr@@QAEKPAPAXPBDPAU_INTERNET_CACHE_ENTRY_INFOA@@PAKK_JK@Z
0000537B 000054DB ?FindNextEntry@CConMgr@@QAEKPAPAXPBDPAPAU_INTERNET_CACHE_ENTRY_INFOA@@PAKK_JKK@Z
000054E0 00005529 ?GetInitialFindHandle@URL_CONTAINER@@QAEKXZ
00005541 0000560C ?FindNextEntry@URL_CONTAINER@@QAEKPAKPAPAU_INTERNET_CACHE_ENTRY_INFOA@@0K_JKK@Z
00005621 000056CD ?FindNextEntry@MEMMAP_FILE@@QAEPAUFILEMAP_ENTRY@@PAKK_JK@Z
00005707 00005733 ?AppendSlashIfNecessary@@YGHPADPAK@Z
00005738 00005756 ?EstablishFunction@@YGHPAD0PAP6GXXZ@Z
0000575B 0000577E ??0CFileMgr@@QAE@PAVMEMMAP_FILE@@K@Z
00005783 000057B4 ?ValidateAndCreatePath@@YGKPAD@Z
000057EA 0000581D ?CloseMapping@MEMMAP_FILE@@QAEXXZ
00005864 00005959 ?ValidateCache@MEMMAP_FILE@@AAEHXZ
0000595E 00005B1A ?Init@MEMMAP_FILE@@QAE?AW4MemMapStatus@@PADKH@Z
00005B1F 00005C68 ?RemapAddress@MEMMAP_FILE@@AAEKXZ
00005C6D 00005F1C ?Init@URL_CONTAINER@@QAEKXZ
00005F21 00006102 _GetDiskInfoA@16
0000611D 00006153 ?GetPartitionClusterSize@@YGKPADK@Z
000061B6 000061DF ??_GREGISTRY_OBJ@@QAEPAXI@Z
000061E4 000061F8 ?Release@MUTEX_HOLDER@@QAEXXZ
000061FD 00006201 ?GetDeleted@URL_CONTAINER@@QAEHXZ
00006206 0000627D ?CreateExtensiRegObj@@YGPAVREGISTRY_OBJ@@PAUHKEY__@@@Z
00006282 000062A9 ??0REGISTRY_OBJ@@QAE@PAV0@PADK@Z
000062AE 000062FE ?WorkWith@REGISTRY_OBJ@@QAEKPAV1@PADK@Z
00006303 0000634D ?UnlockAllItems@URL_CONTAINER@@IAEXXZ
00006352 00006389 _InternetGetThreadInfo@0
0000638E 0000639C ?GetHeaderData@CConMgr@@QAEHKPAK@Z
000063A1 000063D7 _InternetSettingsChanged@0
000063DC 00006402 _GetCurrentSettingsVersion@4
0000647F 000064A8 ?GetValue@REGISTRY_OBJ@@QAEKPADPAK@Z
000064AD 000064D1 ??_H@YGXPAXIHP6EPAX0@Z@Z
00006516 00006586 _GetUrlCacheEntryInfoExA@28
000065AC 000065C9 ?CleanOutLists@PROXY_INFO@@IAEXXZ
000065CE 000065EA ?CloseBaseProxyKey@@YGHPAVCRefdKey@@@Z
000065EF 000065FB ?AuthLock@@YGXXZ
00006600 0000660C ?AuthUnlock@@YGXXZ
00006611 00006642 ?Purge@CCookieJar@@QAEXPAU_FILETIME@@H@Z
00006647 00006689 _ResizeBuffer@12
00007190 00007321 _InternetQueryOptionA@16
00007326 0000733F _InternetReadRegistryDword@8
00007344 000073A0 _InternetReadRegistryDwordKey@12
000073A5 000073D8 _ReadRegistryDword@12
000073DD 0000742C _NewString@8
00007431 00007434 ?GetError@RasEnumConnHelp@@QAEKXZ
00007461 00007497 _GetWininetUserName@0
0000749C 000074C6 ?InitAutodialModule@@YGXH@Z
000074DC 0000755B ?IsAutodialEnabled@@YGHPAHPAU_autodial@@@Z
00007560 0000759B ?UrlZonesAttach@@YGHXZ
000075A0 000075BC ??0CPriorityList@@QAE@XZ
0000760A 00007628 _GetUrlCacheHeaderData@8
0000762D 00007664 ?Initialize@RESOURCE_LOCK@@QAEXXZ
000076F3 00007767 _CatString@8
00007812 0000784F ?SetWorkingContainer@IE5_REGISTRYSET@@QAEKK@Z
00007854 0000785E ??_FREGISTRY_OBJ@@QAEXXZ
00007863 00007871 ??1REGISTRY_OBJ@@QAE@XZ
00007876 0000791E ?CheckCacheLocationConsistency@@YGXXZ
00007958 00007977 ?Grab@MUTEX_HOLDER@@QAEXPAXK@Z
0000799A 00007B9A ?MoveCachedFiles@@YGKPAD0@Z
00007BC5 00007BD5 ??0CConList@@QAE@XZ
00007BE6 00007C0A ?Init@GroupMgr@@QAEHPAVURL_CONTAINER@@@Z
00007C0F 00007C32 ?GetHeaderData@GroupMgr@@AAEHKPAK@Z
00007C37 00007C7A ?FindRootEntry@GroupMgr@@AAEKPAPAUGROUP_ENTRY@@H@Z
00007C7F 00007C9B ?IsBadGroupOffset@MEMMAP_FILE@@QAEHK@Z
00007CA0 00007CA6 _srand
00007CCF 00007E15 ??0URL_CONTAINER@@QAE@PAD00_JK@Z
00007E1A 00007FBD ?GetCacheConfigInfo@CConMgr@@AAEKXZ
00007FC2 00007FE4 ??1IE3_REGISTRYSET@@QAE@XZ
00007FE4 00008025 ??1IE5_REGISTRYSET@@QAE@XZ
000080FE 00008139 ?SHGetFolderPath@@YGJPAUHWND__@@HPAXKPAD@Z
0000813E 000081F7 ?Add@CConList@@QAEHPAVURL_CONTAINER@@@Z
0000829F 000082D8 ?FindNextKey@REGISTRY_OBJ@@QAEKPADK@Z
000082DD 00008328 ??0IE5_REGISTRYSET@@QAE@XZ
00008355 00008389 ??0REGISTRY_OBJ@@QAE@PAUHKEY__@@K@Z
0000838E 000083C0 ??0CConMgr@@QAE@XZ
000083C5 000083DE ?Init@CConMgr@@AAEKXZ
000083E3 0000842F ?ConfigureCache@CConMgr@@AAEKXZ
00008434 00008520 ?InitFixedContainers@CConMgr@@AAEKXZ
00008535 000085F0 ?EnableCacheVu@@YGHPADK@Z
00008601 000086C5 ?GetPath@IE5_REGISTRYSET@@UAEKPAD@Z
000086CA 00008702 ?ValidatePath@IE5_REGISTRYSET@@IAEHPAD@Z
00008707 0000874F ?GetPrefix@IE5_REGISTRYSET@@UAEKPAD@Z
00008754 0000877D ?StripTrailingWhiteSpace@@YGXPADPAK@Z
00008782 000087B6 ?GetLimit@IE5_REGISTRYSET@@UAEKPADAAK@Z
000087C8 000088D7 ?InitialiseKeys@IE5_REGISTRYSET@@UAEKAAH@Z
000088E9 00008984 ?InitCommonKeys@IE5_REGISTRYSET@@IAEKHPAD@Z
00008A1B 00008A44 ??0IE3_REGISTRYSET@@QAE@XZ
00008A71 00008B18 ?DetermineKeyPlacing@IE5_REGISTRYSET@@MAEHK@Z
00008B29 00008BC4 ?IsFirstTimeFor@IE5_REGISTRYSET@@AAEHPAUHKEY__@@@Z
00008BC9 00008BE9 ?GetValue@REGISTRY_OBJ@@QAEKPADPAEPAK@Z
00008BEE 00008C18 ?FixLegacySettings@IE3_REGISTRYSET@@QAEXPADK@Z
00008C1D 00008CFD ?InitialiseKeys@IE3_REGISTRYSET@@QAEKXZ
00008E92 00008EE5 ?CreateDefaultGroups@CConMgr@@QAEKXZ
00008EEA 00008FAF ?CreateDefaultGroups@GroupMgr@@QAEKXZ
00008FC1 0000901A ?FindEntry@GroupMgr@@AAEK_JPAPAUGROUP_ENTRY@@H@Z
0000901F 0000903B ?IsIndexToNewPage@GroupMgr@@AAEHPAUGROUP_ENTRY@@@Z
0000906F 0000909F ??0CSecFileMgr@@QAE@PAVMEMMAP_FILE@@K@Z
000090F6 00009169 ?RegisterCacheNotify@URL_CONTAINER@@QAEKPAUHWND__@@I_JK@Z
00009334 0000936E _PerformStartupProcessing@0
00009389 000093A3 ?Initialize@SECURITY_CACHE_LIST@@QAEXXZ
000093BD 00009436 _HandleInitialize@0
0000943B 000094A7 _InitializeResolverCache@0
000094DD 00009511 ?InitializeProxySettings@PROXY_INFO@@UAEXXZ
0000970D 0000973E ?LoadBackgroundTaskMgr@@YGHXZ
00009743 00009757 ??0BackgroundTaskMgr@@QAE@XZ
0000975C 000097E9 _GlobalDataReadWarningUIFlags@0
0000984C 0000987A _RefreshOfflineFromRegistry@0
0000987F 000098A4 _SetOfflineUserState@8
000098A9 000098D3 ?OpenTheCookieJar@@YGHXZ
000098D8 000098E5 ?Construct@CCookieJar@@SGPAV1@XZ
000098EA 0000992E ??2CCookieBase@@SGPAXII@Z
00009B9B 00009BB7 _CreateHeaderExclusionTableForCache@0
0000A241 0000A251 ?RetryHeaderOnlyPostOnConnectionReset@@YGHXZ
0000A256 0000A293 _CoInternetIsFeatureEnabledInternal@4
0000A298 0000A2F4 _LoadFeatureEntry@4
0000A2F9 0000A306 ??0FEATUREENTRY@@QAE@XZ
0000A367 0000A3AC _InternetCacheReadRegistryDword@8
0000A3FB 0000A41A _CreateMimeExclusionTableForCache@0
0000A43B 0000A46A ?CreateTableFromRegistryList@@YGKPADPAPADPAPAPADPAPAKPAK@Z
0000A46F 0000A48B _InternetReadRegistryString@12
0000A490 0000A4FA ?InternetReadRegistryStringKey@@YGKPAUHKEY__@@PBDPADPAK@Z
0000A4FF 0000A55B ?ReadRegistryOemString@@YGKPAUHKEY__@@PBDPADPAK@Z
0000A560 0000A763 _LoadFeatureEntryFromRegistry@8
0000A930 0000A9CB _CoInternetQueryFeatureDWORD@12
0000A9D0 0000AB32 _GlobalDataInitialize@0
0000ABF0 0000AC26 ?ReleaseQueuedRefresh@PROXY_INFO_GLOBAL@@QAEXXZ
0000AE94 0000AF24 _strnistr@12
0000AF29 0000B003 _InternetOpenW@20
0000B16A 0000B17B ?SetAutodialEnable@@YGXH@Z
0000B1D8 0000BB08 _InternetSetOptionA@16
0000BC41 0000BD7D _InternetSetOptionW@16
0000BE4B 0000BE88 ?IsValid@HANDLE_OBJECT@@QAEKW4HINTERNET_HANDLE_TYPE@@@Z
0000BEF9 0000BF2A _DereferenceObject@4
0000BF2F 0000BF4E ?Dereference@HANDLE_OBJECT@@QAEHXZ
0000BF53 0000BFFF _MapHandleToAddress@12
0000C004 0000C036 ?Reference@HANDLE_OBJECT@@QAEKXZ
0000C03B 0000C04D ?IsProxy@INTERNET_HANDLE_OBJECT@@QBEHXZ
0000C052 0000C058 ?GetHandleType@INTERNET_HANDLE_OBJECT@@UAE?AW4HINTERNET_HANDLE_TYPE@@XZ
0000C109 0000C139 _RGetHandleType@8
0000C13E 0000C1A4 _LoadWinsock@0
0000C2F9 0000C35A __InternetSetLastError@20
0000C35F 0000C384 ?IsAutoProxy@AUTO_PROXY_DLLS@@QAEHXZ
0000C389 0000C3B1 ?IsProxySettingsConfigured@PROXY_INFO_GLOBAL@@UAEHXZ
0000C3BF 0000C3D4 ?FreeURL@INTERNET_CONNECT_HANDLE_OBJECT@@QAEXXZ
0000C3D9 0000C3FE ?SetOriginalUrl@INTERNET_CONNECT_HANDLE_OBJECT@@QAEXPAD@Z
0000C403 0000C40A ?GetHandleType@INTERNET_CONNECT_HANDLE_OBJECT@@UAE?AW4HINTERNET_HANDLE_TYPE@@XZ
0000C40F 0000C415 ?GetHandleType@HTTP_REQUEST_HANDLE_OBJECT@@UAE?AW4HINTERNET_HANDLE_TYPE@@XZ
0000C41A 0000C436 ?SetProxyName@HTTP_REQUEST_HANDLE_OBJECT@@QAEXPADKG@Z
0000C43B 0000C478 ?Dereference@CServerInfo@@QAEHXZ
0000C47D 0000C4ED _InternetIndicateStatus@12
0000C4F2 0000C506 ?GetStatusCallback@INTERNET_HANDLE_OBJECT@@QAEP6GXPAXKK0K@ZXZ
