000049C3 000049E5 ?GetLinkStatus@CFileOpenBrowser@@QAEHPBU_ITEMIDLIST@@PAU_SHTCUTINFO@@@Z
000049EA 00004A03 ?IsLink@@YGHPAUIShellFolder@@PBU_ITEMIDLIST@@@Z
00004A39 00004A3F _SHGetObjectCompatFlags@8
00004A6D 00004BE4 ??0CFileOpenBrowser@@QAE@PAUHWND__@@H@Z
00004C09 00004C7C ?GetControlsArea@@YGXPAUHWND__@@00PAUtagPOINT@@PAH@Z
00004C81 00004C8B __imp_load__OleInitialize@4
00004C90 00004C9A __imp_load__CoCreateInstance@20
00004C9F 00004CE9 ?GetShellFolder@MYLISTBOXITEM@@QAEPAUIShellFolder@@XZ
00004CEE 00004DC5 ?Init@MYLISTBOXITEM@@QAEHPAUHWND__@@PAV1@PAUIShellFolder@@PBU_ITEMIDLIST@@KKPAUIShellTaskScheduler@@@Z
00004DCA 00004EFA ?JumpToIDList@CFileOpenBrowser@@QAEHPBU_ITEMIDLIST@@HH@Z
00004EFF 00004F67 ?InsertItem@@YGHPAUHWND__@@HPAVMYLISTBOXITEM@@PAG@Z
00004F7D 00004F93 ?GetWindow@CFileOpenBrowser@@UAGJPAPAUHWND__@@@Z
00004F98 00004FFD ?_IsThumbnailFolder@CFileOpenBrowser@@QAEHPBU_ITEMIDLIST@@@Z
00005002 0000502B ?GetViewFlags@CFileOpenBrowser@@UAGJPAK@Z
00005030 0000503A ?AddRef@CFileOpenBrowser@@W3AGKXZ
0000503F 0000507C ?GetViewStateStream@CFileOpenBrowser@@UAGJKPAPAUIStream@@@Z
00005081 000050B6 ?_IsRecentFolder@@YGHPBU_ITEMIDLIST@@@Z
000050BB 00005107 ?_GetLocationType@CFileOpenBrowser@@QAE?AW4LOCTYPE@@PAVMYLISTBOXITEM@@@Z
0000510C 0000516B ?_IsWIAFolder@CFileOpenBrowser@@QAEHPAUIShellFolder@@@Z
000051FD 00005228 ?HideControl@@YGXPAUHWND__@@I@Z
0000522D 0000527C ?EnableFileMRU@CFileOpenBrowser@@QAEXH@Z
00005281 000052FE ?InitFilterBox@@YGKPAUHWND__@@PBG@Z
00005303 00005347 ?_IsRestrictedDrive@CFileOpenBrowser@@QAEHPBGPBU_ITEMIDLIST@@@Z
0000534C 00005388 ?_InitTabletPCContext@CFileOpenBrowser@@QAEXPAUHWND__@@@Z
0000538D 000053C3 ?ResetDialogHeight@CFileOpenBrowser@@QAEXPAUHWND__@@00H@Z
000053E4 00005552 ?InitLookIn@CFileOpenBrowser@@QAEHPAUHWND__@@@Z
000055CA 00005605 ?Create_TravelLog@@YGJPAPAVTravelLog@@@Z
0000560A 00005732 ?GetPathFromLastVisitedMRU@@YGHPAGK@Z
00005737 00005741 __imp_load__CoInitializeEx@8
00005746 00005750 __imp_load__CoUninitialize@0
00005755 00005B03 ?CreateToolbar@CFileOpenBrowser@@QAEHXZ
00005B08 00005B40 ?IsRestricted@@YGKW4COMMDLG_RESTRICTIONS@@@Z
00005B87 00005CA2 ?AutoComplete@@YGJPAUHWND__@@PAPAUICurrentWorkingDirectory@@K@Z
00005E95 000060F3 ?CreateHookDialog@CFileOpenBrowser@@QAEHPAUtagPOINT@@@Z
000060F8 0000612D ?MoveControls@@YGXPAUHWND__@@HHHH@Z
00006132 00006274 ?RefreshFilter@CFileOpenBrowser@@QAEXPAUHWND__@@@Z
00006279 000062CB ?SetCurrentFilter@CFileOpenBrowser@@QAEXPBGI@Z
000062DA 00006307 _FindResourceExFallback@16
00006307 00006327 __global_unwind2
00006362 00006448 __except_handler3
00006448 000064B8 __local_unwind2
000064B8 000064CE __NLG_Notify
000064CE 000064D6 __NLG_Dispatch2
000064DB 0000650B _StoreExtendedError@4
0000659D 000065BF _GetDialogLanguage@8
000065C4 00006664 _IsBiDiLocalizedSystemEx@4
00006669 000066AB _Mirror_GetUserDefaultUILanguage@0
000066CA 0000685F _GenericGetFileNameA@8
00006889 0000688F __chkstk
000068D6 0000694C ?MeasureDriveItems@@YGXPAUHWND__@@PAUtagMEASUREITEMSTRUCT@@@Z
00006955 000069F7 ?SetEditFile@CFileOpenBrowser@@QAEXPBG0HH@Z
000069FC 00006A19 ??0_SELFOCUS@@QAE@XZ
00006A1E 00006A74 ?EnumItemObjects@CFileOpenBrowser@@QAEHIP6GHPAV1@PBU_ITEMIDLIST@@J@ZJ@Z
00006AC3 00006B2E ?SelFocusChange@CFileOpenBrowser@@QAEXH@Z
00006B33 00006B58 ??1_SELFOCUS@@QAE@XZ
00006B6F 00006BB6 ?RealSetSaveButton@CFileOpenBrowser@@QAEXI@Z
00006BBB 00006E05 ?PaintDriveLine@CFileOpenBrowser@@QAEXPAUtagDRAWITEMSTRUCT@@@Z
00006E0A 00006E11 __imp_load__IsAppThemed@0
00006E11 00006E22 __tailMerge_UxTheme
00006E34 00006E83 ?OnNotify@CFileOpenBrowser@@QAEJPAUtagNMHDR@@@Z
00006E9C 00006EF0 ?VerifyListViewPosition@CFileOpenBrowser@@QAEXXZ
00006F30 00006F45 ?SendControlMsg@CPrintBrowser@@UAGJIIIJPAJ@Z
00006F4A 00006F4F ?SetToolbarItems@CFileOpenBrowser@@UAGJPAU_TBBUTTON@@II@Z
00006F5B 00006F7A ?GetCurrent@TravelLog@@QAEJPAPAU_ITEMIDLIST@@@Z
00006F7F 00006FFA ?RemoveOldPath@CFileOpenBrowser@@QAEXPAH@Z
00006FFF 00007064 ?SwitchCurrentDirectory@MYLISTBOXITEM@@QAEXPAUICurrentWorkingDirectory@@@Z
00007069 000070C9 ?GetPathFromLocation@@YGHPAVMYLISTBOXITEM@@PAG@Z
000070E1 00007152 ?UpdateNavigation@CFileOpenBrowser@@QAEXXZ
00007157 000071FF ?UpdateUI@CFileOpenBrowser@@QAEXPAU_ITEMIDLIST@@@Z
00007204 0000721A ?CanTravel@TravelLog@@QAEHH@Z
0000721F 00007265 ?AddEntry@TravelLog@@QAEJPAU_ITEMIDLIST@@@Z
0000726A 00007296 ??0TLogLink@@QAE@PAU_ITEMIDLIST@@@Z
000072F7 00007431 ?ProcessEdit@CFileOpenBrowser@@QAEXXZ
000074AF 00007553 ?_CleanupDialog@CFileOpenBrowser@@QAEXH@Z
00007558 000078C5 ?OKButtonPressed@CFileOpenBrowser@@QAEHPBGI@Z
0000790D 00007973 ?EnableModelessSB@CFileOpenBrowser@@UAGJH@Z
00007978 000079A1 ?EnableChildrenWithException@@YGXPAUHWND__@@IH@Z
000079A6 00007A2B ?_EnableKidsEnum@@YGHPAUHWND__@@J@Z
00007A3C 00007A95 ?_PostProcess@CFileOpenBrowser@@QAEHPAG@Z
00007A9A 00007B19 _ThunkOpenFileNameA2WDelayed@4
00007B1E 00007B36 ?PathIsDotOrDotDotW@@YGHPBG@Z
00007B3B 00007BC2 ?GetFullEditName@CFileOpenBrowser@@QAEIPAGIPAVTEMPSTR@@PAH@Z
00007BC7 00007C07 ?CD_SendOKMsg@@YGJPAUHWND__@@PAUtagOFNW@@PAUOPENFILEINFO@@@Z
00007C0C 00007C27 ??$IUnknown_SafeReleaseAndNullPtr@UIBindCtx@@@@YGXAAPAUIBindCtx@@@Z
00007C2C 00007D46 ?AddToMRU@@YGHPAUtagOFNW@@@Z
00007D4B 00007DDF ?CreateMRU@@YGPAXPBGH@Z
00007E77 00007EAB ?StringCatWorkerW@@YGJPAGIPBG@Z
00007EB0 00007EE9 ?StringLengthWorkerW@@YGJPBGIPAI@Z
00007EEE 00007F27 ??1MYLISTBOXITEM@@AAE@XZ
00007F2C 00007F44 ?_CleanupPlacesbar@CFileOpenBrowser@@QAEXXZ
00007F49 00007F60 ?_CleanupTabletPCContext@CFileOpenBrowser@@QAEXXZ
00007F65 00007F6F __imp_load__OleUninitialize@0
00007F8A 00007FAB ??_GCFileOpenBrowser@@QAEPAXI@Z
00007FB0 00008081 ??1CFileOpenBrowser@@QAE@XZ
00008086 00008096 ?Release@TravelLog@@QAEIXZ
0000809B 000080BC ??_GTravelLog@@QAEPAXI@Z
000080C1 000080CD ??1TravelLog@@QAE@XZ
000080D2 000080E2 ?Release@TLogLink@@QAEIXZ
000080E7 00008108 ??_GTLogLink@@QAEPAXI@Z
0000810D 00008129 ??1TLogLink@@QAE@XZ
00008144 00008165 ??_GMYLISTBOXITEM@@AAEPAXI@Z
0000816A 0000817A ??3@YAXPAX@Z
000081F2 00008256 ?ClearListbox@@YGXPAUHWND__@@@Z
000082F3 00008358 _PortName@4
000083CA 000083FB ?IsKnownExtension@CFileOpenBrowser@@QAEHPBG@Z
00008400 0000844C ?_ValidateSelectedFile@CFileOpenBrowser@@QAEHPBGPAH@Z
00008451 0000846C ?_CopyTitleToOFN@CFileOpenBrowser@@QAEXPBG@Z
00008471 000084BB ?VerifyOpen@@YGHPBGPAG@Z
000084C0 0000851C ?CDPathQualify@@YGHPBGPAG@Z
00008521 00008681 ?_CopyFileNameToOFN@CFileOpenBrowser@@QAEHPAGPAK@Z
00008686 000086C7 _ParseFileOld@20
000086CC 0000871C ?SetDirRetry@CFileOpenBrowser@@QAEHPAGH@Z
00008721 00008752 _IsUNC@4
00008757 00008861 ?FindNameInView@CFileOpenBrowser@@QAEIPAGI0HHPAHH@Z
00008866 000088D2 ?_IsNoDereferenceLinks@CFileOpenBrowser@@QAEHPBGPAUIShellItem@@@Z
000088DF 00008A25 ?AddToLastVisitedMRU@@YGHPBGH@Z
