0000849E 000084F2 ?HrPopSeqStack@CLdapBer@@AAEKPAK000@Z
000084F7 00008745 _LdapAllocateConnection@16
00008759 0000877A _SetNullCredentials@4
0000877F 000087AF _LdapGetTickCount@0
000087AF 000087D8 __aulldiv
000087DD 00008821 ?Inet_addrW@@YGKPAG@Z
00008826 000088B6 _FromUnicodeWithAlloc@16
000088BB 000088D8 _strlenW@4
000088DD 00008922 _cldap_open
00008927 000089BC ?LdapConnectionOpen@@YGPAUldap@@PAGKE@Z
000089C1 000089DA _LdapWakeupSelect@0
000089DF 00008B25 _LdapParseResult@36
00008B2A 00008BAF ?HrGetValueWithAlloc@CLdapBer@@QAEKPAPAGE@Z
00008BB4 00008C7F ?LdapAllBuffersToMessages@@YGPAUldap_connection@@PAU1@K@Z
00008C84 00008C90 ??1CRequestListHolder@@QAE@XZ
00008C95 00008F5A ?LdapWaitForResponseFromServer@@YGKPAUldap_connection@@PAUldap_request@@KKPAPAUldapmsg@@E@Z
00008F5F 00008FC7 _LdapFreeMessageWaitStructure@4
00008FCC 00009067 _LdapGetMessageWaitStructure@16
0000906C 000090C7 _ReferenceLdapConnection@4
000090D9 00009119 _FindLdapRequest@4
0000911E 0000912F ?FreeAll@CRequestListHolder@@QAEXXZ
00009134 000091B3 _ldap_get_values_len
000091B8 00009224 _GetConnectionPointer@4
00009239 0000927F _ldap_first_entry
00009284 000092B5 _ldap_first_record@12
000092BA 00009396 _LdapSaveSearchParameters@20
0000939B 000093E7 _ldap_dup_string@12
000093EC 00009433 ?LdapLoadSecurityDLL@@YGEPAD@Z
00009450 000094AE _CloseCredentials@4
000094B3 000094D1 _CheckForNullCredentials@4
000094D6 0000953D ?LdapSend@@YGKPAUldap_connection@@PAVCLdapBer@@@Z
00009542 0000959B _LdapSendRaw@12
000095A0 00009617 _ldap_unbind
0000961C 00009714 _CloseLdapConnection@4
00009719 0000972D ??0CRequestListHolder@@QAE@XZ
0000DA89 0000DBF5 ?SendLdapAbandon@@YGKPAUldap_connection@@K@Z
0000DBFA 0000DD1B _LdapAbandon@12
0000DD20 0000DD7E _ldap_abandon
0000DD83 0000DECC ?EncodeAddList@@YGKPAVCLdapBer@@QAPAUldapmodW@@E@Z
0000DED1 0000DFC2 _LdapFreeLDAPModStructure@8
0000DFC7 0000E133 ?SendLdapAdd@@YGKPAUldap_request@@PAUldap_connection@@PAGQAPAUldapmodW@@PAPAVCLdapBer@@EJ@Z
0000E138 0000E365 _LdapDupLDAPModStructure@12
0000E36A 0000E4D7 ?LdapAdd@@YGKPAUldap_connection@@PAGQAPAUldapmodW@@EEPAPAUldapcontrolW@@3PAK@Z
0000E4DC 0000E53B _ldap_addW
0000E540 0000E5A3 _ldap_add_extW
0000E5A8 0000E65B _ldap_add_extA
0000E660 0000E70D _ldap_add_ext_sW
0000E712 0000E7EF _ldap_add_ext_sA
0000E7F4 0000E81C _ldap_add
0000E821 0000E83D _ldap_add_sW
0000E842 0000E85E _ldap_add_s
0000E863 0000E9E6 _LdapNextAttribute@16
0000E9EB 0000EA3E _ldap_next_attributeW
0000EA43 0000EA96 _ldap_next_attribute
0000EA9B 0000EC41 _LdapFirstAttribute@16
0000EC46 0000EC99 _ldap_first_attributeW
0000EC9E 0000ECF1 _ldap_first_attribute
0000ECF6 0000ED16 ??_GCryptStream@@QAEPAXI@Z
