00009859 0000992E _SamCreateGroupInDomain@20
00009941 000099F7 _SamEnumerateGroupsInDomain@20
00009A09 00009ADA _SamCreateUserInDomain@20
00009AF1 00009BAA _SamEnumerateUsersInDomain@24
00009BC1 00009C96 _SamCreateAliasInDomain@20
00009CA9 00009D5F _SamEnumerateAliasesInDomain@20
00009D71 00009E06 _SamGetDisplayEnumerationIndex@16
00009E19 00009EE8 _SamOpenGroup@16
00009EF9 00009FC9 _SamQueryInformationGroup@12
00009FED 0000A060 _SamSetInformationGroup@12
0000A071 0000A0E4 _SamAddMemberToGroup@12
0000A0F9 0000A178 _SamDeleteGroup@4
0000A189 0000A1F9 _SamRemoveMemberFromGroup@8
0000A211 0000A2D7 _SamGetMembersInGroup@16
0000A2E9 0000A35C _SamSetMemberAttributesOfGroup@12
0000A371 0000A440 _SamOpenAlias@16
0000A451 0000A4C8 _SamQueryInformationAlias@12
0000A4D9 0000A54C _SamSetInformationAlias@12
0000A561 0000A5E0 _SamDeleteAlias@4
0000A5F1 0000A661 _SamAddMemberToAlias@8
0000A679 0000A6E9 _SamRemoveMemberFromAlias@8
0000A701 0000A771 _SamRemoveMemberFromForeignDomain@8
0000A789 0000A82C _SamGetMembersInAlias@12
0000A841 0000A8C9 _SamAddMultipleMembersToAlias@12
0000A8E1 0000A969 _SamRemoveMultipleMembersFromAlias@12
0000A981 0000AA00 _SamDeleteUser@4
0000AA11 0000AA7D _SampOwfPassword@28
0000AA82 0000B01A _SamSetInformationUser@12
0000B03D 0000B0D2 _SamiLmChangePasswordUser@12
0000B0E9 0000B30C _SamiChangePasswordUser@28
0000B321 0000B46A _SamChangePasswordUser@12
0000B481 0000B5ED _SampChangePasswordUser2@16
0000B5F2 0000B71D _SampGetPasswordChangeFailureInfo@12
0000B722 0000B9B6 _SamiChangePasswordUser3@36
0000B9D5 0000BAAA _SamChangePasswordUser3@24
0000BAAF 0000BB53 _SamChangePasswordUser2@16
0000BB58 0000BBCE _SamiSetBootKeyInformation@16
0000BBE1 0000BC51 _SamiGetBootKeyInformation@8
0000BC69 0000BE14 _SamiChangeKeys@0
0000BE19 0000BEAB _SamConnectWithCreds@28
0000BEB0 0000C01A _SamCreateUser2InDomain@28
0000C031 0000C074 _SampRandomFill@8
0000C079 0000C0E5 _SampCalculateLmPassword@8
0000C0EA 0000C34E _SamiEncryptPasswords@28
0000C34E 0000C446 ___report_gsfailure
0000C44B 0000C482 _wcsncmp
0000C487 0000C4CB _wcspbrk
0000C4D0 0000C510 _wcsncpy
0000C515 0000C741 __ValidateEH3RN
0000C746 0000C74C _RtlUnwind@16
0000C751 0000C757 _MD5Final@4
0000C75C 0000C762 _MD5Update@12
0000C767 0000C76D _MD5Init@4
0000C772 0000C778 _SystemFunction028@8
0000C77D 0000C783 _SystemFunction020@12
0000C788 0000C78E _SystemFunction022@12
0000C793 0000C799 _SystemFunction026@12
0000C79E 0000C7A4 _SystemFunction007@8
0000C7A9 0000C7AF _SystemFunction006@8
0000C7B4 0000C7BA _SystemFunction014@12
0000C7BF 0000C7C5 _SystemFunction012@12
0000C7CA 0000C7D0 _LsaFreeMemory@4
0000C7D5 0000C7DB _LsaClose@4
0000C7E0 0000C7E6 _LsaQueryInformationPolicy@12
0000C7EB 0000C7F1 _LsaOpenPolicy@16
0000C7F6 0000C7FC _SystemFunction036@8
0000C801 0000C807 _I_RpcExceptionFilter@4
0000D047 0000D095 _WxSaveSysKey@8
0000D09A 0000D0F8 _WxReadSysKeyEx@12
0000D0FD 0000D113 _WxReadSysKey@8
0000D4EB 0000D51E _STGenerateRandomBits@8
0000D523 0000D601 _A_SHAInit@4
0000D606 0000D726 _A_SHAUpdate@12
0000D72B 0000D7DC _A_SHAFinal@8
0000D7E1 0000D808 _DWORDToBigEndian@12
0000D80D 0000D890 _towlower
0000D895 0000DB02 ___crtLCMapStringW
0000DB25 0000DB80 _iswctype
0000DB85 0000DBC2 _free
0000DBC7 0000DC12 __heap_alloc
0000DC17 0000DC45 __nh_malloc
0000DC4A 0000DC61 _malloc
0000DC66 0000DCE5 __resetstkoflw
0000DCEA 0000DD2F ___ansicp
0000DD34 0000DF28 ___convertcp
0000DF39 0000E176 ___crtGetStringTypeW
0000E195 0000E1C5 ___sbh_find_block
0000E1CA 0000E4E4 ___sbh_free_block
0000E4E9 0000E5A0 ___sbh_alloc_new_region
0000E5A5 0000E6AD ___sbh_alloc_new_group
0000E6B2 0000E9B0 ___sbh_alloc_block
0000E9B5 0000E9D6 __callnewh
0000E9DB 0000EA5B _atol
0000EA60 0000EAFB _calloc
0000EB00 0000EB80 __isctype
0000EB85 0000ED51 ___crtGetStringTypeA
