000052DA 00005301 ??_E?$Interface@UITfFnConfigure@@@@UAEPAXI@Z
00005306 0000532D ??_E?$Interface@UITfFnConfigureRegisterWord@@@@UAEPAXI@Z
00005332 00005359 ??_E?$Interface@UITfRange@@@@UAEPAXI@Z
0000535E 00005385 ??_G?$Interface@UITfFnReconversion@@@@UAEPAXI@Z
0000538A 000053B1 ??_G?$Interface@UITfDisplayAttributeInfo@@@@UAEPAXI@Z
000053B6 000053DD ??_E?$Interface@UITfConfigureSystemKeystrokeFeed@@@@UAEPAXI@Z
000053E2 00005412 ?EscbHandleThisKey@CicInputContext@@QAEJAAVIMCLock@@I@Z
00005417 00005446 ?EscbCompComplete@CicInputContext@@QAEJAAVIMCLock@@@Z
0000544B 00005478 ?EscbCompCancel@CicInputContext@@QAEJAAVIMCLock@@@Z
0000547D 000054AD ?EscbGetSelection@CicInputContext@@QAEJAAVIMCLock@@PAV?$Interface@UITfRange@@@@@Z
000054B2 000054FD ?GetInputContext@CicBridge@@ABE?AV?$Interface_Attach@UITfContext@@@@AAV?$IMCCLock@UtagCTFIMECONTEXT@@@@@Z
00005502 0000554D ?GetDocumentManager@CicBridge@@ABE?AV?$Interface_Attach@UITfDocumentMgr@@@@AAV?$IMCCLock@UtagCTFIMECONTEXT@@@@@Z
00005552 0000560C ?DeactivateIMMX@CicBridge@@QAEJPAVTLS@@PAUITfThreadMgr_P@@@Z
00005611 000056AE ?IsDefaultIMCDim@CicBridge@@AAEHPAUITfDocumentMgr@@@Z
000056B3 0000583F ?ToAsciiEx@CicBridge@@QAEJPAVTLS@@PAUITfThreadMgr_P@@IIQAEPAUtagTRANSMSGLIST@@IPAUHIMC__@@PAI@Z
00005844 00005898 ?OnSetOpenStatus@CicBridge@@AAEJPAVTLS@@PAUITfThreadMgr_P@@AAVIMCLock@@AAVCicInputContext@@@Z
0000589D 0000595E ?OnSetConversionSentenceMode@CicBridge@@AAEJPAUITfThreadMgr_P@@AAVIMCLock@@AAVCicInputContext@@KG@Z
00005963 00005A39 ?ConfigureGeneral@CicBridge@@QAEJPAVTLS@@PAUITfThreadMgr_P@@PAUHKL__@@PAUHWND__@@@Z
00005A3E 00005B64 ?ConfigureRegisterWord@CicBridge@@QAEJPAVTLS@@PAUITfThreadMgr_P@@PAUHKL__@@PAUHWND__@@PAUtagREGISTERWORDW@@@Z
00005B69 00005CFB ?DoOpenCandidateHanja@CicBridge@@AAEJPAUITfThreadMgr_P@@AAVIMCLock@@AAVCicInputContext@@@Z
00005D00 00005D85 ?GetDisplayAttributeInfo@CicBridge@@QAEJKPAUTF_DISPLAYATTRIBUTE@@@Z
00005D8A 00005E2A ?DefaultKeyHandling@CicBridge@@AAEHPAVTLS@@AAVIMCLock@@PAVCicInputContext@@IJ@Z
00005E2F 00005F07 ?CTFDetection@CicBridge@@SGHPAVTLS@@PAUITfDocumentMgr@@@Z
00005F0C 00005F5E ??0?$CompData@GG@@QAE@PAUHIMC__@@PAGK@Z
00005F63 00005F80 ??0CWCompString@@QAE@PAUHIMC__@@PAGK@Z
00005F85 00005FF5 ??0CWReconvertString@@QAE@PAUHIMC__@@PAUtagRECONVERTSTRING@@K@Z
00005FFA 000060A8 ??0CicInputContext@@QAE@KPAUtag_LIBTHREAD@@PAUHIMC__@@@Z
000060AD 000060B7 ?QueryInterface@CicInputContext@@W3AGJABU_GUID@@PAPAX@Z
000060BC 000060C6 ?AddRef@CicInputContext@@W3AGKXZ
000060CB 000060D5 ?Release@CicInputContext@@W3AGKXZ
000060DA 000060E4 ?QueryInterface@CicInputContext@@W7AGJABU_GUID@@PAPAX@Z
000060E9 000060F3 ?AddRef@CicInputContext@@W7AGKXZ
000060F8 00006102 ?Release@CicInputContext@@W7AGKXZ
00006107 0000613F ??_ECicInputContext@@UAEPAXI@Z
00006144 00006228 ?SelectEx@CicBridge@@QAEJPAVTLS@@PAUITfThreadMgr_P@@PAUHIMC__@@HPAUHKL__@@@Z
0000622D 000063F2 ?SetAssociate@CicBridge@@AAEXPAVTLS@@PAUHWND__@@PAUHIMC__@@PAUITfThreadMgr_P@@PAUITfDocumentMgr@@@Z
000063F7 00006526 ?ProcessKey@CicBridge@@QAEHPAVTLS@@PAUITfThreadMgr_P@@PAUHIMC__@@IJQAEPAH@Z
0000652B 000066C3 ?Notify@CicBridge@@QAEJPAVTLS@@PAUITfThreadMgr_P@@PAUHIMC__@@KKK@Z
000066C8 00006853 ?EscHanjaMode@CicBridge@@AAEJPAVTLS@@PAUHIMC__@@PAG@Z
00006858 00006C5B ?OnSysKeyboardProc@CicBridge@@UAGJIJ@Z
00006C60 00006DE5 ?CreateInputContext@CicBridge@@QAEJPAVTLS@@PAUHIMC__@@@Z
00006DEA 00006F8F ?SetActiveContextAlways@CicBridge@@QAEJPAVTLS@@PAUHIMC__@@HPAUHWND__@@PAUHKL__@@@Z
00006F94 00006FCE ?EscapeKorean@CicBridge@@QAEJPAVTLS@@PAUHIMC__@@IPAX@Z
00006FD3 00006FEF ?EnumCreateInputContextCallback@CicBridge@@CGHPAUHIMC__@@J@Z
00006FF4 00007115 ?ActivateIMMX@CicBridge@@QAEJPAVTLS@@PAUITfThreadMgr_P@@@Z
0000711A 0000713C ??0_IMCLock@@QAE@PAUHIMC__@@@Z
00007141 00007172 ?_LockIMC@IMCLock@@UAEJPAUHIMC__@@PAPAUtagINPUTCONTEXT@@@Z
00007177 00007196 ?_UnlockIMC@IMCLock@@UAEJPAUHIMC__@@@Z
0000719B 000071C3 ?InitContext@IMCLock@@QAEXXZ
000071C8 000071F9 ?_LockIMCC@InternalIMCCLock@@UAEJPAUHIMCC__@@PAPAX@Z
000071FE 00007226 ?_UnlockIMCC@InternalIMCCLock@@UAEJPAUHIMCC__@@@Z
0000722B 0000724A ??0_IMCCLock@@QAE@PAUHIMCC__@@@Z
0000724F 00007283 ??0IMCLock@@QAE@PAUHIMC__@@@Z
00007288 000072BC ??0InternalIMCCLock@@QAE@PAUHIMCC__@@@Z
000072C1 00007315 ?ValidCompositionString@IMCLock@@QAEHXZ
0000731A 00007400 ?ClearCand@IMCLock@@QAEHXZ
00007405 0000743B ?IsTopNow@CicInputContext@@AAEHXZ
00007440 00007455 ?SetCallbackPV@CTextEventSink@@IAEXPAX@Z
0000745A 00007483 ??_ECTextEventSink@@UAEPAXI@Z
00007488 00007492 ?QueryInterface@CTextEventSink@@W3AGJABU_GUID@@PAPAX@Z
00007497 000074A1 ?Release@CTextEventSink@@W3AGKXZ
000074A6 00007517 ?QueryInterface@CicInputContext@@UAGJABU_GUID@@PAPAX@Z
0000751C 00007532 ?AddRef@CicInputContext@@UAGKXZ
00007537 00007566 ?Release@CicInputContext@@UAGKXZ
0000756B 000076BA ?OnCleanupContext@CicInputContext@@UAGJKPAUITfContext@@@Z
000076BF 000076F4 ?OnStartComposition@CicInputContext@@UAGJPAUITfCompositionView@@PAH@Z
000076F9 000076FE _ImeUnregisterWord@12
00007703 00007717 ?OnEndComposition@CicInputContext@@UAGJPAUITfCompositionView@@@Z
0000771C 0000775D ?QueryCharPos@CicInputContext@@AAEHAAVIMCLock@@PAUtagIMECHARPOSITION@@@Z
00007762 0000779E ?WantThisKey@CicInputContext@@QAEHI@Z
000077A3 000077C3 ?GetSize@?$CFirstInFirstOut@UtagTRANSMSG@@U1@@@QBEHXZ
000077C8 00007801 ?GetData@?$CFirstInFirstOut@UtagTRANSMSG@@U1@@@QAEHAAUtagTRANSMSG@@@Z
00007806 00007824 ?GetData@GuidMapAttribute@@SGPAUtagGUIDMAPATTRIBUTE@@AAV?$IMCCLock@UtagCOMPOSITIONSTRING@@@@@Z
00007829 0000783F ??1CCompartmentEventSink@@UAE@XZ
00007844 00007865 ??_GCCompartmentEventSink@@UAEPAXI@Z
0000786A 00007978 ?TranslateImeMessage@CicInputContext@@QAEIAAVIMCLock@@PAUtagTRANSMSGLIST@@@Z
0000797D 000079E9 ?InquireIMECharPosition@CicInputContext@@QAEJGAAVIMCLock@@PAW4IME_QUERY_POS@1@@Z
000079EE 00007A10 ?RetrieveIMECharPosition@CicInputContext@@QAEJAAVIMCLock@@PAUtagIMECHARPOSITION@@@Z
00007A15 00007A7F ?GetGuidAtom@CicInputContext@@QAEJAAVIMCLock@@EPAK@Z
00007A84 00007B82 ?MapAttributes@CicInputContext@@QAEJAAVIMCLock@@@Z
00007B87 00007BA7 ??1?$Interface_RefCnt@UIUnknown@@@@UAE@XZ
00007BAC 00007BCD ??_G?$Interface_RefCnt@UIUnknown@@@@UAEPAXI@Z
00007BD2 00007BF3 ??_G?$CFirstInFirstOut@UtagTRANSMSG@@U1@@@QAEPAXI@Z
00007BF8 00007C72 ?GenerateMessage@CicInputContext@@QAEXAAVIMCLock@@@Z
00007C77 00007C9E ??_G?$Interface@UIUnknown@@@@UAEPAXI@Z
00007CA3 00007CD4 ?EscbUpdateCompositionString@CicInputContext@@IAEJAAVIMCLock@@@Z
00007CD9 00007D15 ??0CCandidatePosition@@QAE@KV?$Interface_Attach@UITfContext@@@@PAUtag_LIBTHREAD@@@Z
00007D1A 00007D2E ??1CCandidatePosition@@UAE@XZ
00007D33 00007D54 ??_GCCandidatePosition@@UAEPAXI@Z
00007D59 00007DAE ??0CTextEventSinkCallBack@@QAE@PAUHIMC__@@KV?$Interface_Attach@UITfContext@@@@PAUtag_LIBTHREAD@@@Z
00007DB3 00007DD4 ??_GCTextEventSinkCallBack@@UAEPAXI@Z
00007DD9 00007E08 ??1CTextEventSinkCallBack@@UAE@XZ
00007E0D 00007E5B ??0CKbdOpenCloseEventSink@@QAE@KPAUHIMC__@@V?$Interface_Attach@UITfContext@@@@PAUtag_LIBTHREAD@@@Z
00007E60 00007E81 ??_GCKbdOpenCloseEventSink@@UAEPAXI@Z
00007E86 00007EA7 ??1CKbdOpenCloseEventSink@@UAE@XZ
00007EAC 00007EFA ??0CCandidateWndOpenCloseEventSink@@QAE@KPAUHIMC__@@V?$Interface_Attach@UITfContext@@@@PAUtag_LIBTHREAD@@@Z
00007EFF 00007F20 ??_ECCandidateWndOpenCloseEventSink@@UAEPAXI@Z
00007F25 00007F46 ??1CCandidateWndOpenCloseEventSink@@UAE@XZ
00007F4B 00008084 ?DestroyInputContext@CicInputContext@@QAEJXZ
00008089 000080C0 ?MsImeMouseHandler@CicInputContext@@QAEJKKKAAVIMCLock@@@Z
000080C5 00008245 ?OnSetCandidatePos@CicInputContext@@QAEJPAVTLS@@AAVIMCLock@@@Z
0000824A 000085E3 ?CreateInputContext@CicInputContext@@QAEJPAUITfThreadMgr_P@@AAVIMCLock@@@Z
000085E8 00008747 ?SetCompositionString@CicInputContext@@QAEHAAVIMCLock@@PAUITfThreadMgr_P@@KPAXK2KI@Z
0000874C 00008755 ?EndReconvertString@CicInputContext@@QAEJAAVIMCLock@@@Z
0000875A 0000877C ?Internal_QueryReconvertString_ICOwnerSink@CicInputContext@@CGJIPAUICOARGS@@PAX@Z
00008781 000087A2 ??$ConstructElements@E@@YGXPAEH@Z
000087A7 000087DC ?_mbstowcs@CBCompString@@AAEHPAGI@Z
000087E1 00008819 ?_wcstombs@CWCompString@@AAEHPADI@Z
0000881E 00008845 ??_G?$Interface@UITfContext@@@@UAEPAXI@Z
0000884A 0000896D ?SetSize@?$CArray@DD@@QAEHHH@Z
00008972 00008992 ?IsDBCSLeadByteEx@CBCompString@@QAEHK@Z
00008997 000089C2 ?UnicodeToMultiByteSize@CWCompString@@QAEHK@Z
000089C7 00008A0D ??4CBCompString@@QAEABV0@AAVCWCompString@@@Z
00008A12 00008A58 ??4CWCompString@@QAEABV0@AAVCBCompString@@@Z
00008A5D 00008AB1 ?ReadCompData@CBReconvertString@@QAE?BKPAUtagRECONVERTSTRING@@K@Z
00008AB6 00008AEF ?CalcCharacterPositionAtoW@@YGKKPAVCBCompString@@@Z
00008AF4 00008B24 ?CalcCharacterPositionWtoA@@YGKKPAVCWCompString@@@Z
00008B29 00008B64 ?WriteCompData@?$CompData@EE@@QAEKPAEK@Z
00008B69 00008BBF ?SetData@CBReconvertString@@QAEXAAVCWReconvertString@@@Z
00008BC4 00008C1A ?SetData@CWReconvertString@@QAEXAAVCBReconvertString@@@Z
00008C1F 00008C4F ?EscbReplaceWholeText@CicInputContext@@IAEJAAVIMCLock@@PAVCWCompString@@@Z
00008C54 00008C85 ?EscbClearDocFeedBuffer@CicInputContext@@IAEJAAVIMCLock@@H@Z
00008C8A 00008CD1 ?EscbQueryReconvertString@CicInputContext@@IAEJAAVIMCLock@@V?$Interface_Attach@UITfContext@@@@PAVCWReconvertString@@PAV?$Interface@UITfRange@@@@@Z
00008CD6 00008D0C ?EscbReconvertString@CicInputContext@@IAEJAAVIMCLock@@PAVCWReconvertString@@PAV?$Interface@UITfRange@@@@H@Z
00008D11 00008D58 ?EscbCalcRangePos@CicInputContext@@IAEJAAVIMCLock@@V?$Interface_Attach@UITfContext@@@@PAVCWReconvertString@@PAV?$Interface@UITfRange@@@@@Z
00008D5D 00008E61 ?MakeReconversionFuncCall@CicInputContext@@AAEJAAVIMCLock@@PAUITfThreadMgr_P@@AAVCWReconvertString@@H@Z
00008E66 00008F95 ?_ReconvertStringTextStore@CicInputContext@@AAEJAAVIMCLock@@PAUITfThreadMgr_P@@I@Z
00008F9A 000090A0 ?Internal_ReconvertString@CicInputContext@@AAEJAAVIMCLock@@PAUITfThreadMgr_P@@AAVCWReconvertString@@2@Z
000090A5 000090CB ?Internal_SetCompositionString@CicInputContext@@AAEJAAVIMCLock@@AAVCWCompString@@1@Z
000090D0 00009122 ??0?$CompData@EE@@QAE@PAUHIMC__@@PAEK@Z
00009127 00009193 ??0CBReconvertString@@QAE@PAUHIMC__@@PAUtagRECONVERTSTRING@@K@Z
00009198 000091B9 ??4CBReconvertString@@QAEABV0@AAVCWReconvertString@@@Z
000091BE 000091DF ??4CWReconvertString@@QAEABV0@AAVCBReconvertString@@@Z
000091E4 000092D6 ?DelayedReconvertFuncCall@CicInputContext@@QAEJAAVIMCLock@@@Z
000092DB 00009719 ?Internal_QueryReconvertString@CicInputContext@@AAEJAAVIMCLock@@PAUITfThreadMgr_P@@PAUtagRECONVERTSTRING@@IH@Z
0000971E 0000983D ?SetupDocFeedString@CicInputContext@@QAEJAAVIMCLock@@I@Z
00009842 00009AB5 ?_ReconvertStringNegotiation@CicInputContext@@AAEJAAVIMCLock@@PAUITfThreadMgr_P@@IIH@Z
00009ABA 00009AE1 ?SetupReconvertString@CicInputContext@@QAEJAAVIMCLock@@PAUITfThreadMgr_P@@IIH@Z
00009AE6 00009B1E ?GetSelectionSimple@@YGJKPAUITfContext@@PAPAUITfRange@@@Z
00009B23 00009B52 ?_ConvertAttributeToImm32@ImmIfEditSessionCallBack@@AAEEW4IME_UIWND_STATE@@W4__MIDL___MIDL_itf_msctf_0204_0004@@@Z
00009B57 00009B7C ?EditSessionCallBack@ImmIfEditSession@@SGJKPAV1@@Z
00009B81 00009BB1 ?_SetCompositionString@ImmIfCompositionComplete@@AAEJAAVIMCLock@@AAVCicInputContext@@PAVCWCompString@@PAVCWCompClause@@23@Z
00009BB6 00009BE0 ?_SetCompositionString@ImmIfUpdateCompositionString@@AAEJAAVIMCLock@@AAVCicInputContext@@PAVCWInterimString@@@Z
00009BE5 00009C15 ?SetTextInRange@ImmIfEditSessionCallBack@@IAEJKPAUITfRange@@PAGKAAVCicInputContext@@@Z
00009C1A 00009C35 ?ClearTextInRange@ImmIfEditSessionCallBack@@IAEJKPAUITfRange@@AAVCicInputContext@@@Z
00009C3A 00009C4D ?DoEditSession@ImmIfEditSession@@UAGJK@Z
00009C52 00009C9F ?QueryInterface@ImmIfEditSession@@UAGJABU_GUID@@PAPAX@Z
00009CA4 00009CB6 ?AddRef@ImmIfEditSession@@UAGKXZ
00009CBB 00009CDA ?Release@ImmIfEditSession@@UAGKXZ
00009CDF 00009D1F ?ShiftSelectionToLeft@ImmIfHandleThisKey@@AAEJKPAUITfRange@@H_N@Z
00009D24 00009D61 ?ShiftSelectionToRight@ImmIfHandleThisKey@@AAEJKPAUITfRange@@H_N@Z
00009D66 00009D8D ??$ConstructElements@UtagTRANSMSG@@@@YGXPAUtagTRANSMSG@@H@Z
00009D92 00009DB9 ??1Interface_TFSELECTION@@UAE@XZ
00009DBE 00009DDF ??_GInterface_TFSELECTION@@UAEPAXI@Z
00009DE4 00009E43 ?SendMessageToUI@UIComposition@@CGJAAVIMCLock@@IJ@Z
00009E48 00009E70 ?RequestEditSession@ImmIfEditSession@@QAEJKI@Z
00009E75 00009E9A ?RequestEditSession@ImmIfEditSession@@QAEJKPAVCWCompString@@0PAV?$Interface@UITfRange@@@@@Z
00009E9F 00009EC4 ?RequestEditSession@ImmIfEditSession@@QAEJKPAVCWReconvertString@@PAV?$Interface@UITfRange@@@@H@Z
00009EC9 00009EE8 ?RequestEditSession@ImmIfEditSession@@QAEJKPAVCWCompString@@PAVCWCompAttribute@@@Z
00009EED 00009F06 ?RequestEditSession@ImmIfEditSession@@QAEJKH@Z
00009F0B 00009F2A ?RequestEditSession@ImmIfEditSession@@QAEJKPAV?$Interface@UITfRangeACP@@@@PAJ@Z
00009F2F 00009F57 ?RequestEditSession@ImmIfEditSession@@QAEJKPBU_GUID@@@Z
00009F5C 00009F7D ??0CCompStrFactory@@QAE@PAUHIMCC__@@@Z
00009F82 00009FD3 ??0CReconvertPropStore@@QAE@U_GUID@@GJ@Z
00009FD8 00009FEC ?Shrink@CReconvertPropStore@@UAGJPAUITfRange@@PAH@Z
00009FF1 0000A002 ?OnTextUpdated@CReconvertPropStore@@UAGJKPAUITfRange@@PAH@Z
