0000C973 0000CA67 _RasGetAutodialParamW@12
0000CA6C 0000CA7C _RasGetAutodialParamA@12
0000CA81 0000CC5B _DDMGetPhonebookInfo@32
0000CC60 0000CD2D _RasIsRouterConnection@4
0000CD32 0000CD6D _RasInvokeEapUI@16
0000CD72 0000CDEB _RasGetLinkStatistics@12
0000CE24 0000CE93 _RasGetConnectionStatistics@8
0000CECD 0000CF47 _RasClearLinkStatistics@8
0000CFB0 0000D029 _RasClearConnectionStatistics@4
0000D0A5 0000D171 _RasGetEapUserDataW@20
0000D1A8 0000D26D _RasSetEapUserDataW@20
0000D28E 0000D33A _RasGetEapUserDataA@20
0000D33F 0000D3D4 _RasSetEapUserDataA@20
0000D3D9 0000D4C8 _RasGetCustomAuthDataW@16
0000D4FF 0000D5BF _RasSetCustomAuthDataW@16
0000D5F7 0000D694 _RasGetCustomAuthDataA@16
0000D699 0000D71F _RasSetCustomAuthDataA@16
0000D724 0000D77F _RasQueryRedialOnLinkFailure@12
0000D784 0000DB2C _RasGetEapUserIdentityW@20
0000DBC4 0000DCFD _RasGetEapUserIdentityA@20
0000DD02 0000DD1D _RasFreeEapUserIdentityW@4
0000DD22 0000DD32 _RasDeleteSubEntryW@12
0000DD37 0000DDC3 _RasDeleteSubEntryA@12
0000DDC8 0000DE52 _RasGetNapStatus@8
0000DECB 0000E0B1 _RasGetEntryDialParamsA@12
0000E0B6 0000E601 _RasGetEntryPropertiesA@24
0000E606 0000E877 _RasGetSubEntryPropertiesA@28
0000E895 0000E8BA _RemoveAsyncWorkItem@4
0000E8BF 0000E9D9 _NotifyCaller@36
0000EA79 0000EADB _SignalDone@4
0000EAFE 0000EB3A _ShutdownAsyncMachine@0
0000EB62 0000EB83 _SuspendAsyncMachine@8
0000EB88 0000EB9A _ResetAsyncMachine@4
0000EB9F 0000EC35 _fAsyncMachineRunning@4
0000EC70 0000EEBC _WaitForEvent@8
0000F0E6 0000F198 _EnableAsyncMachine@12
0000F22D 0000F315 _AsyncMachineWorker@4
0000F357 0000F3CF _CloseAsyncMachine@4
0000F3E7 0000F531 _StartAsyncMachine@8
0000F54B 0000F57D _StopAsyncMachine@4
0000F596 0000F758 _DwGetDllPath@8
0000F7FA 0000F8F4 _DwLoadEapDllAndGetEntryPoints@16
0000F96B 0000FA74 _DwCallEapUIEntryPoint@8
0000FB06 0000FCB2 _InvokeEapUI@16
0000FD98 00010128 _CreateConnectionBlock@4
0001012D 000101AD _AssignVpnProtsOrder@4
