000030E5 0000311F ?Open@CMyRegKey@@QAEJPAUHKEY__@@PBDK@Z
00003124 000031A3 ?InitDelayedLibs@@YGXXZ
000031AE 000031CE ?Init_ImmSetHotKey@@YGXXZ
000031F7 0000351B ?ProcessAttach@@YGHPAUHINSTANCE__@@@Z
000036DF 00003701 ?Init@CCicCriticalSectionStatic@@QAEHXZ
00003706 00003809 ?InitLangChangeHotKey@@YGHXZ
00003839 00003868 ?QueryValue@CMyRegKey@@UAEJAAKPBD@Z
0000386D 000038DD ?Start@CCiceroSharedMem@@QAEHXZ
000038F5 00003951 ?Create@CCicFileMappingStatic@@QAEPAXPAU_SECURITY_ATTRIBUTES@@KPAH@Z
00003956 0000397C ?_Map@CCicFileMappingStatic@@AAEPAXXZ
00003981 00003991 ?_InitClass@CAnchorRef@@SGXXZ
00003996 000039BB ?MemCache_New@@YGPAU_MEMCACHE@@K@Z
000039C0 00003A1A ?RegisterMarshalWndClass@@YGXXZ
00003A35 00003A4B ??0?$CStructArray@UTF_LANGUAGEPROFILE@@@@QAE@XZ
00003A50 00003A72 ??0CVoidStructArray@@QAE@H@Z
00003A77 00003B07 ?InitUniqueString@@YGHXZ
00003B0C 00003B99 ?GetUserSIDString@@YGPADXZ
00003B9E 00003BED ?RunningOnWow64@@YGHXZ
00003C0F 00003C5A ?GetSystemModuleHandle@@YGPAUHINSTANCE__@@PBD@Z
00003C5F 00003CDE ?Init@CicSystemModulePath@@QAEIPBDH@Z
00003D23 00003D29 __initterm
00003D49 00003D90 ?ReleaseDelayedLibs@@YGXXZ
00003D95 00003DAD ?CreateInstance@CClassFactory@@UAGJPAUIUnknown@@ABU_GUID@@PAPAX@Z
00003DB2 00003DE5 ?FreeGlobalObjects@@YGXXZ
00003DEA 00003E56 ?Insert@CVoidPtrArray@@QAEHHH@Z
00003E5B 00003E82 ?TFInitLib_PrivateForCiceroOnly@@YGHP6GJABU_GUID@@PAUIUnknown@@K0PAPAX@Z@Z
00003E87 00003EAA ?TFUninitLib@@YGXXZ
00003EAF 0000401B ?StringAToCLSID@@YGHPADPAU_GUID@@@Z
00004042 000040AB ?HexStringToDword@@YGHAAPBDAAKHG@Z
000041AE 00004396 ?NoTipsInstalled@@YGHPAH@Z
000043D3 000043DB _DllGetClassObject@12
000043E0 0000448B ?COMBase_DllGetClassObject@@YGJABU_GUID@@0PAPAX@Z
000045ED 00004610 ?CreateInstance@?$CComObjectRoot_CreateSingletonInstance_Verify@VCThreadInputMgr@@@@SGJPAUIUnknown@@ABU_GUID@@PAPAX@Z
0000473A 0000473B nullsub_3
00004746 0000475A ?DllAddRef@@YGXXZ
0000475A 00004792 ?DllInit@@YGHXZ
00004797 0000479D ?GetServerCritSec@@YGPAU_RTL_CRITICAL_SECTION@@XZ
000047A2 000047E8 ?BuildGlobalObjects@@YGXXZ
00004801 0000480F ?Release@CClassFactory@@UAGKXZ
00004814 0000484D ?DllRelease@@YGXXZ
0000484D 00004883 ?DllUninit@@YGXXZ
00004888 000048B8 _MuiFlushDlls@4
000048BD 00004A09 ?Init@CSharedBlockNT@@UAEJPAU_SECURITY_DESCRIPTOR@@KKPAXHPAH@Z
00004A16 00004A59 ?SetName@@YGHPADIPBDK@Z
00004A5E 00004A91 ?EnsureTIMList@@YGPAUtag_TL_THREADINFO@@PAUSYSTHREAD@@@Z
00004A96 00004B77 ?Init@CTimList@@QAEHH@Z
00004BA1 00004BC4 ??0CSharedBlockNT@@QAE@PBDKH@Z
00004BE5 00004C06 ??_GCSharedBlockNT@@UAEPAXI@Z
00004C0B 00004C3B ??1CSharedBlockNT@@UAE@XZ
00004C5D 00004C99 ?VerifyCreateInstance@CThreadInputMgr@@SGHPAUIUnknown@@ABU_GUID@@PAPAX@Z
00004C9E 00004CF9 ?IsDisabledTextServices@@YGHXZ
00004D38 00004E14 ?IsTIPClsidEnabled@@YGHPAUHKEY__@@PADPAH@Z
00004F44 00004F87 ?GetSYSTHREAD@@YGPAUSYSTHREAD@@XZ
00005117 00005162 ?FreeSYSTHREAD2@@YGXPAUSYSTHREAD@@@Z
000052B9 000052D8 ?FreeSYSTHREAD@@YGXXZ
00006119 0000611A nullsub_1
0000611A 0000611B nullsub_2
00007E21 00007E3B ??BCRStr@@QAEPAGXZ
00007E40 00007E59 ?MyRegisterGUIDDescription@@YGJABU_GUID@@PAG@Z
00007E5E 00007E74 ?MyUnregisterGUIDDescription@@YGJABU_GUID@@@Z
00007E79 00007E8F ?MyUnregisterGUIDDWORD@@YGJABU_GUID@@@Z
00007E94 00007E97 ?GetId@CCompartmentBase@@UAEKXZ
00007E9C 00007EB7 ??0CComObjectRootImmx@@QAE@XZ
00007EBC 00007EBF ?PostCreateInstance@CThreadInputMgr@@SGXABU_GUID@@PAX@Z
00007EC4 0000806D _DllRegisterServer@0
00008072 00008160 _DllUnregisterServer@0
000082BF 000082E0 ??0CMSAAControl@@QAE@XZ
000082F9 00008351 ?QueryInterface@CMSAAControl@@UAGJABU_GUID@@PAPAX@Z
00008369 000083CB ?CreateInstance@?$CComObjectRoot_CreateInstance@VCCategoryMgr@@@@SGJPAUIUnknown@@ABU_GUID@@PAPAX@Z
000083D0 00008432 ?CreateInstance@?$CComObjectRoot_CreateInstance@VCLangBarMgr@@@@SGJPAUIUnknown@@ABU_GUID@@PAPAX@Z
00008437 00008454 ?CreateInstance@?$CComObjectRoot_CreateSingletonInstance@VCInputProcessorProfiles@@@@SGJPAUIUnknown@@ABU_GUID@@PAPAX@Z
00008459 00008476 ?CreateInstance@?$CComObjectRoot_CreateSingletonInstance@VCDisplayAttributeMgr@@@@SGJPAUIUnknown@@ABU_GUID@@PAPAX@Z
0000847B 000084A0 ??0CLangBarItemMgr_Ole@@QAE@XZ
000084A5 000084FD ?QueryInterface@CLangBarItemMgr_Ole@@UAGJABU_GUID@@PAPAX@Z
00008502 0000851A ?EnumItems@CLangBarItemMgr_Ole@@UAGJPAPAUIEnumTfLangBarItems@@@Z
0000851F 0000853A ?GetItem@CLangBarItemMgr_Ole@@UAGJABU_GUID@@PAPAUITfLangBarItem@@@Z
0000853F 00008557 ?AddItem@CLangBarItemMgr_Ole@@UAGJPAUITfLangBarItem@@@Z
0000855C 00008574 ?RemoveItem@CLangBarItemMgr_Ole@@UAGJPAUITfLangBarItem@@@Z
00008579 00008597 ?AdviseItemSink@CLangBarItemMgr_Ole@@UAGJPAUITfLangBarItemSink@@PAKABU_GUID@@@Z
0000859C 000085B4 ?UnadviseItemSink@CLangBarItemMgr_Ole@@UAGJK@Z
000085B9 000085D7 ?GetItemFloatingRect@CLangBarItemMgr_Ole@@UAGJKABU_GUID@@PAUtagRECT@@@Z
000085DC 000085FA ?GetItemsStatus@CLangBarItemMgr_Ole@@UAGJKPBU_GUID@@PAK@Z
000085FF 00008617 ?GetItemNum@CLangBarItemMgr_Ole@@UAGJPAK@Z
0000861C 00008640 ?GetItems@CLangBarItemMgr_Ole@@UAGJKPAPAUITfLangBarItem@@PAUTF_LANGBARITEMINFO@@PAK2@Z
00008645 00008666 ?AdviseItemsSink@CLangBarItemMgr_Ole@@UAGJKPAPAUITfLangBarItemSink@@PBU_GUID@@PAK@Z
0000866B 00008686 ?UnadviseItemsSink@CLangBarItemMgr_Ole@@UAGJKPAK@Z
0000868B 000086CC ?Release@CLangBarItemMgr_Ole@@UAGKXZ
000086D1 000086FD ??1CLangBarItemMgr_Ole@@QAE@XZ
00008702 0000878D ?CreateInstance@CLangBarItemMgr_Ole@@SGJPAUIUnknown@@ABU_GUID@@PAPAX@Z
00008792 000087D8 ?Release@CMSAAControl@@UAGKXZ
000087DD 0000883F ?CreateInstance@?$CComObjectRoot_CreateInstance@VCMSAAControl@@@@SGJPAUIUnknown@@ABU_GUID@@PAPAX@Z
00008844 0000884A ?GetServerHINSTANCE@@YGPAUHINSTANCE__@@XZ
0000884F 00008864 ?CicExceptionFilter@@YGJPAU_EXCEPTION_POINTERS@@@Z
00008869 000088AC ?_Remove@?$CPtrMap@PAUHWND__@@VCDocumentInputManager@@@@QAEHPAVCDocumentInputManager@@@Z
000088B1 000088FC ??0CDocumentInputManager@@QAE@PAVCThreadInputMgr@@@Z
00008901 0000898F ?QueryInterface@CDocumentInputManager@@UAGJABU_GUID@@PAPAX@Z
000089A5 000089AF ?QueryInterface@CDocumentInputManager@@W3AGJABU_GUID@@PAPAX@Z
000089B4 000089BC ??_ECDocumentInputManager@@W3AEPAXI@Z
000089C1 000089EB ?AddRef@CEmptyInputContext@@UAGKXZ
000089F0 00008A2B ?Release@CDocumentInputManager@@UAGKXZ
00008A30 00008AAB ??1CDocumentInputManager@@UAE@XZ
00008AB0 00008ABA ?Release@CDocumentInputManager@@W3AGKXZ
00008ABF 00008AE0 ??_GCDocumentInputManager@@UAEPAXI@Z
00008AE5 00008B15 _TF_GetThreadMgr@4
00008B1A 00008B32 _TF_CreateLangBarItemMgr@4
00008B37 00008B6C _TF_InvalidAssemblyListCache@0
00008B71 00008BA2 _TF_InvalidAssemblyListCacheIfExist@0
00008BA7 00008C47 _TF_PostAllThreadMsg@8
00008C4C 00008C5E _TF_IsFullScreenWindowAcitvated@0
00008C63 00008CD0 _TF_GetGlobalCompartment@4
00008CD5 00008D04 _TF_CUASAppFix@4
00008D2A 00008D42 _TF_CreateThreadMgr@4
00008D47 00008D5F _TF_CreateDisplayAttributeMgr@4
00008D64 00008D7C _TF_CreateLangBarMgr@4
00008D81 00008D99 _TF_CreateInputProcessorProfiles@4
00008D9E 00008DB6 _TF_CreateCategoryMgr@4
00008DBB 00008DD8 ?GetCInputContext@@YGPAVCInputContext@@PAUIUnknown@@@Z
00008DDD 00008E0A ?_IsValidTfClientId@CThreadInputMgr@@QAEHK@Z
00008E0F 00008E9C ?_GetContext@CDocumentInputManager@@QAEJHPAPAUITfContext@@@Z
00008EA1 00009023 ?CreateContext@CDocumentInputManager@@UAGJKKPAUIUnknown@@PAPAUITfContext@@PAK@Z
00009039 000090C5 ?Push@CDocumentInputManager@@UAGJPAUITfContext@@@Z
000090CA 00009105 ?_Pop@CDocumentInputManager@@QAEHPAVCThreadInputMgr@@@Z
0000910A 0000915B ?EnumContexts@CDocumentInputManager@@UAGJPAPAUIEnumTfContexts@@@Z
00009160 00009170 ?_GetTopIC@CDocumentInputManager@@QAEPAVCInputContext@@XZ
00009175 0000918C ?GetTop@CDocumentInputManager@@UAGJPAPAUITfContext@@@Z
00009191 000091A7 ?GetBase@CDocumentInputManager@@UAGJPAPAUITfContext@@@Z
000091AC 00009241 ?Pop@CDocumentInputManager@@UAGJK@Z
00009246 00009263 ?IsEqualGUID@@YGHABU_GUID@@0@Z
00009268 00009289 ??_GCProperty@@QAEPAXI@Z
0000928E 000092C8 ?MemCache_Remove@@YGPAXPAU_MEMCACHE@@@Z
000092CD 00009311 ?MemCache_NewOp@@YGPAXPAU_MEMCACHE@@I@Z
00009316 0000935C ?_IsValidEditCookie@CInputContext@@QAEHKK@Z
00009361 00009378 ?_GetClientInEditSession@CInputContext@@QAEKK@Z
0000937D 00009394 ??2CRange@@SGPAXI@Z
00009399 000093B6 ?GetCRange_NA@@YGPAVCRange@@PAUIUnknown@@@Z
000093BB 000093DF ?CompareAnchors@@YGJPAUIAnchor@@0@Z
000093E4 00009408 ?IsEqualAnchor@@YGHPAUIAnchor@@0@Z
0000940D 00009422 ?_AdviseOwner@CTextStoreImpl@@QAEXPAUITfContextOwner@@@Z
00009427 0000943F ?_UnadviseOwner@CTextStoreImpl@@QAEXXZ
00009444 00009468 ??_H@YGXPAXIHP6EPAX0@Z@Z
