00028AAB 00028AF5 __getdcwd
00028AFA 00028B00 __getpid
00028B05 00028B37 __mkdir
00028B3C 00028B6F _rename
00028B74 00028BA4 __rmdir
00028BA9 00028C66 ___dtoxmode
00028C6B 0002907D __stat32
000290E7 0002953D __stat64
000295C1 00029A00 __stat64i32
00029A05 00029E2E __stat32i64
00029E33 00029E63 _remove
00029E68 00029E73 __unlink
00029E78 00029F01 __waccess_s
00029F06 00029F1E __waccess
00029F23 0002A05B __wchdir
0002A060 0002A0CF __wchmod
0002A0D4 0002A1E2 __wfullpath
0002A1E7 0002A333 __wgetdcwd_nolock
0002A338 0002A381 __wgetcwd
0002A386 0002A3D0 __wgetdcwd
0002A3D5 0002A407 __wmkdir
0002A40C 0002A43F __wrename
0002A444 0002A474 __wrmdir
0002A479 0002A53C ___wdtoxmode
0002A541 0002A95A __wstat32
0002A9C4 0002AE21 __wstat64
0002AE26 0002B26C __wstat64i32
0002B317 0002B747 __wstat32i64
0002B74C 0002B77C __wremove
0002B781 0002B78C __wunlink
0002B791 0002BB6A __cenvarg
0002BB6F 0002BD7E __dospawn
0002BD83 0002BDCF __execl
0002BDD4 0002BE2D __execle
0002BE32 0002BE7C __execlp
0002BE81 0002BEDA __execlpe
0002BEDF 0002BF2E __execv
0002BFB1 0002C1CC __execve
0002C1D1 0002C1E8 __execvp
0002C1ED 0002C470 __execvpe
0002C475 0002C4A6 __getdllprocaddr
0002C4AB 0002C4BB __loaddll
0002C4C0 0002C4DD __unloaddll
0002C4E2 0002C531 __spawnl
0002C536 0002C592 __spawnle
0002C597 0002C5E5 __spawnlp
0002C5EA 0002C646 __spawnlpe
0002C64B 0002C69D __spawnv
0002C721 0002C942 __spawnve
0002C947 0002C961 __spawnvp
0002C966 0002CBDE __spawnvpe
0002CBE3 0002CCC3 _system
0002CCC8 0002CD59 __cwait
0002CD5E 0002D173 __wcenvarg
0002D178 0002D38F __wdospawn
0002D394 0002D3E2 __wexecl
0002D3E7 0002D442 __wexecle
0002D447 0002D493 __wexeclp
0002D498 0002D4F3 __wexeclpe
0002D4F8 0002D549 __wexecv
0002D5CC 0002D7E6 __wexecve
0002D7EB 0002D802 __wexecvp
0002D807 0002DA32 __wexecvpe
0002DA37 0002DA88 __wspawnl
0002DA8D 0002DAEB __wspawnle
0002DAF0 0002DB40 __wspawnlp
0002DB45 0002DBA3 __wspawnlpe
0002DBA8 0002DBFC __wspawnv
0002DC80 0002DEA0 __wspawnve
0002DEA5 0002DEBF __wspawnvp
0002DEC4 0002E106 __wspawnvpe
0002E10B 0002E1EB __wsystem
0002E1F0 0002E21C __mbclen_l
0002E221 0002E249 __mbclen
0002E24E 0002E275 __mbsinc_l
0002E27A 0002E2C0 __mbsinc
0002E2C5 0002E2EA __mbsninc_l
0002E2EF 0002E306 __mbsninc
0002E30B 0002E346 __mbctohira_l
0002E34B 0002E35E __mbctohira
0002E363 0002E38F __mbctokata_l
0002E394 0002E3A7 __mbctokata
0002E3AC 0002E3E0 _feof
0002E3E5 0002E419 _ferror
0002E41E 0002E522 _getc
0002E527 0002E547 __getc_nolock
0002E54C 0002E559 __fgetchar
0002E55E 0002E563 _getchar
0002E568 0002E6B0 _fgets
0002E6B5 0002E860 __fgetwc_nolock
0002E865 0002E8D9 _fgetwc
0002E8DE 0002E8E9 _getwc
0002E8EE 0002E9AF _fgetws
0002E9B4 0002E9C1 __fgetwchar
0002E9C6 0002E9CB _getwchar
0002E9D0 0002EA02 __fileno
0002EA07 0002EB13 _fputc
0002EB18 0002EC27 _fputs
0002EC2C 0002EC46 __fputchar
0002EC4B 0002EC56 _putchar
0002EC5B 0002EDE2 __fputwc_nolock
0002EDE7 0002EE60 _fputwc
0002EE65 0002EE70 _putwc
0002EE75 0002EF21 _fputws
0002EF26 0002EF40 __fputwchar
0002EF45 0002EF50 _putwchar
0002EF55 0002F080 __filbuf
0002F085 0002F1BE __filwbuf
0002F1C3 0002F1C9 ___p__iob
0002F1CE 0002F267 ___initstdio
0002F26C 0002F28C ___endstdio
0002F291 0002F2D2 __lock_file
0002F2D7 0002F309 __lock_file2
0002F30E 0002F34A __unlock_file
0002F34F 0002F37E __unlock_file2
0002F383 0002F4E7 __flsbuf
0002F4EC 0002F660 __flswbuf
0002F665 0002F696 __freebuf
0002F69B 0002F6DE __getbuf
0002F6E3 0002F9A6 __openfile
0002F9AB 0002FA41 __stbuf
0002FA46 0002FA7A __ftbuf
0002FA7F 0002FB2C _clearerr_s
0002FB31 0002FB3C _clearerr
0002FB41 0002FBE0 __fcloseall
0002FBE5 0002FC5C __fclose_nolock
0002FC61 0002FCDD _fclose
0002FCE2 0002FE62 __fdopen
0002FE67 0002FECF __flush
0002FED4 0002FF1C __fflush_nolock
00030000 00030053 _fflush
00030058 00030061 __flushall
00030066 000300D4 _fgetpos
000300D9 0003019D __fsopen
000301A2 000301B9 _fopen
000301BE 00030211 _fopen_s
00030216 00030332 _fprintf
00030337 00030353 __fprintf_l
00030358 00030374 __fprintf_s_l
00030379 00030394 _fprintf_s
00030399 000303B5 __fprintf_p_l
000303BA 000303D5 __fprintf_p
000303DA 000305E4 __fread_nolock_s
000305E9 00030606 __fread_nolock
0003060B 000306A1 _fread_s
000306A6 000306C3 _fread
000306C8 000307A1 __freopen_helper
000307A6 000307CC _freopen
000307D1 000307F1 _freopen_s
000307F6 00030900 _vfscanf
00030905 00030925 _fscanf
0003092A 0003094B __fscanf_l
00030950 00030970 _fscanf_s
00030975 00030996 __fscanf_s_l
0003099B 00030A25 __fseek_nolock
00030A2A 00030AAF _fseek
00030AB4 00030B50 __fseeki64_nolock
00030B55 00030BA4 __fseeki64
00030BA9 00030BEE _fsetpos
00030BF3 00030D90 __ftell_nolock
00030D95 00030E03 _ftell
00030E08 00031154 __ftelli64_nolock
00031159 000311A3 __ftelli64
