0000EBD7 0000EE69 GetTcpExTable2FromStack
0000EF91 0000F00B AllocateAndGetTcpExTable2FromStack
0000F010 0000F088 AllocateAndGetTcpExTableFromStack
0000F08D 0000F208 GetUdpExTable2FromStack
0000F2E8 0000F365 AllocateAndGetUdpExTable2FromStack
0000F36A 0000F3DF AllocateAndGetUdpExTableFromStack
0000F4CD 0000F4DD _PfCreateInterface@24
0000F4E2 0000F4F2 _PfDeleteInterface@4
0000F4F7 0000F53F _PfAddFiltersToInterface@24
0000F544 0000F589 _PfRemoveFiltersFromInterface@20
0000F58E 0000F5CD _PfRemoveFilterHandles@12
0000F5D2 0000F60E _PfAddGlobalFilterToInterface@8
0000F613 0000F64F _PfRemoveGlobalFilterFromInterface@8
0000F654 0000F68D _PfUnBindInterface@4
0000F692 0000F73B _PfBindInterfaceToIndex@16
0000F751 0000F7D3 _PfBindInterfaceToIPAddress@12
0000F7E9 0000F85E _PfRebindFilters@8
0000F871 0000F881 _PfMakeLog@4
0000F886 0000F896 _PfSetLogBuffer@28
0000F89B 0000F8DD _PfGetInterfaceStatistics@16
0000F8E2 0000F8EC _PfDeleteLog@0
0000F8F1 0000F99C _PfTestPacket@20
00010C15 00010CCC NTTimeToNTPTime
00010CED 00010DAD NTPTimeToNTFileTime
00011F56 0001214D SetAdapterIpAddress
00012D16 00012D1C _except_handler3
00012D21 00012D27 ??2@YAPAXI@Z
00012D2C 00012D32 _ftol
00012D54 00012D5A DhcpReleaseParameters
00012D6B 00012D71 DhcpAcquireParameters
00012D82 00012D88 DhcpNotifyConfigChange
00012D8D 00012D93 DelayLoadFailureHook
00012DA7 00012DAD MprAdminMIBBufferFree
00012DC1 00012DC7 MprAdminMIBEntryGet
00012DDB 00012DE1 MprAdminMIBEntryDelete
00012DF5 00012DFB MprAdminMIBEntrySet
00012E0F 00012E15 MprAdminMIBEntryCreate
00012E29 00012E2F MprAdminMIBServerDisconnect
00012E43 00012E49 MprAdminMIBServerConnect
00012EB8 00012EBE GetModuleInformation
00012ECF 00012ED5 EnumProcessModules
00012EE6 00012EEC GetModuleFileNameExW
00012EFD 00012F03 GetModuleBaseNameW
00012F25 00012F2B DwEnumEntryDetails
