000057E9 00005A90 ?_WalkChain@@YGHPAU_CRYPT_PROVIDER_DATA@@KPAKHKHPAH@Z
00005A95 00005B17 ?_IsLifetimeSigningCert@@YGHPBU_CERT_CONTEXT@@@Z
00005B1C 00005C1F ?_IsValidTimeStampCert@@YGHPBU_CERT_CONTEXT@@PAH@Z
00005C3C 00005C93 ?_VerifyMessageSignatureWithChainPubKeyParaInheritance@@YGHPAU_CRYPT_PROVIDER_DATA@@KPBU_CERT_CONTEXT@@@Z
00005C98 00005CD1 ?_VerifyCountersignatureWithChainPubKeyParaInheritance@@YGHPAU_CRYPT_PROVIDER_DATA@@PAEK1KPBU_CERT_CONTEXT@@@Z
00005CD6 00005CDC _CryptMsgVerifyCountersignatureEncodedEx@40
00005D79 00005D7C nullsub_1
00005D81 00005D9D _AddToSignerChain@12
00005DA2 00005DBA _WVTDelete@4
00005DCA 00005DE6 _WTHelperGetFileName@4
00005DEB 00005E4E ?_FindCounterSignersCert@@YGPBU_CERT_CONTEXT@@PAU_CRYPT_PROVIDER_DATA@@PAU_CRYPTOAPI_BLOB@@1@Z
00005E53 00005E59 ?GetDataOIDHint@SIPObjectPE_@@UAEPADXZ
00005E5E 00005E72 ?GetDigestFlags@SIPObjectPE_@@MAEKPAUSIP_SUBJECTINFO_@@@Z
00005E77 00005E92 ?GetMessageFromFile@SIPObjectPE_@@MAEHPAUSIP_SUBJECTINFO_@@PAU_WIN_CERTIFICATE@@KPAK@Z
00005E97 00005EC0 ?ConvertSPCFlags@SIPObjectPE_@@MAEKK@Z
00005EC5 00005EEF ??0SIPObject_@@QAE@K@Z
00005EF4 00005F11 ?CryptBitBlobToFlags@SIPObject_@@IAEKPAU_CRYPT_BIT_BLOB@@@Z
00005F16 00005F3A ??0EXCLUDE_LIST@@QAE@XZ
00005F3F 00005F66 ?Init@EXCLUDE_LIST@@QAEXPAU_LOADED_IMAGE@@P6GHPAXPAEK@Z1@Z
00005F6B 00005FA8 _PkiAsn1GetBitString@24
00005FB0 0000724F _SHATransformP3@8
00007254 0000725A _I_CryptGetAsn1Decoder@4
0000726A 000072A0 ?Add@EXCLUDE_LIST@@QAEXKK@Z
000072A5 00007306 ?GetDigestStream@SIPObjectPE_@@MAEHPAUDIGEST_DATA@@P6GHPAXPAEK@ZK@Z
0000730B 00007456 ?imagehack_AuImageGetDigestStream@@YGHPAXKP6GH0PAEK@Z0@Z
0000745B 00007496 ??1EXCLUDE_LIST@@QAE@XZ
0000749B 0000758F ?GetSignedDataMsg@SIPObject_@@UAEHPAUSIP_SUBJECTINFO_@@KPAKPAE1@Z
00007594 0000761F ?Emit@EXCLUDE_LIST@@QAEHPAEK@Z
0000767B 000076C7 ?DigestFileData@@YGHPAXPBEK@Z
000076CC 00007705 ?SipHashData@@YGHPAUDIGEST_DATA@@PAEK@Z
0000770A 00007806 _A_SHAUpdate@12
0000780B 0000784C _WVTAddSigner@16
000078A7 00007926 ?SipGetHashValue@@YGPAEPAUDIGEST_DATA@@PAK@Z
0000792B 000079DD _A_SHAFinal@8
000079E2 00007A09 _DWORDToBigEndian@12
00007A0E 00007A7E _CryptSIPVerifyIndirectData@8
00007A83 00007AE8 ?mssip_CreateSubjectObject@@YGPAVSIPObject_@@PBU_GUID@@@Z
00007AED 00007B0E ??0SIPObjectPE_@@QAE@K@Z
00007B55 00007B7C ??_GSIPObjectPE_@@UAEPAXI@Z
00007B81 00007BB8 ??1SIPObject_@@UAE@XZ
00007BBD 00007BDE ?UnmapFile@SIPObject_@@IAEHXZ
00007BE3 00007C87 ?VerifyIndirectData@SIPObjectPE_@@UAEHPAUSIP_SUBJECTINFO_@@PAUSIP_INDIRECT_DATA_@@@Z
00007C8C 00007D06 ?VerifyIndirectData@SIPObject_@@UAEHPAUSIP_SUBJECTINFO_@@PAUSIP_INDIRECT_DATA_@@@Z
00007D0B 00007DD9 ?DigestFile@SIPObject_@@IAEPAEKKPADPAK@Z
00007DDE 00007E24 ?SipDestroyHash@@YGXPAUDIGEST_DATA@@@Z
00007E29 00007E73 ?FileHandleFromSubject@SIPObject_@@MAEHPAUSIP_SUBJECTINFO_@@KK@Z
00007E78 00007E8F ?MapFile@SIPObject_@@IAEHXZ
00008227 0000824A _WVTAddStore@8
0000824F 0000826B _AddToStoreChain@12
00008270 00008292 ?WVTAsn1GetOctetString@@YGXPAUtagASN1octetstring_t@@KPAU_CRYPTOAPI_BLOB@@PAPAEPAJ@Z
00008297 00008300 _PkiAsn1GetOctetString@24
00008305 000083C6 _WVTAsn1SpcPeImageDataDecode@28
000083CB 000083FD ?WVTAsn1GetSpcLinkPointer@@YGHPAUSpcLink@@KPAPAUSPC_LINK_@@PAPAEPAJ@Z
00008402 0000845B ?WVTAsn1GetSpcLink@@YGHPAUSpcLink@@KPAUSPC_LINK_@@PAPAEPAJ@Z
00008460 0000848B ?WVTAsn1GetSpcString@@YGXPAUSpcString@@KPAPAGPAPAEPAJ@Z
00008490 000084B2 ?WVTAsn1GetBMP@@YGXPAUtagASN1char16string_t@@KPAPAGPAPAEPAJ@Z
000084B7 0000851E _PkiAsn1GetBMPString@24
00008523 0000857F ?WVTAsn1GetObjId@@YGXPAUtagASN1objectidentifier2_t@@KPAPADPAPAEPAJ@Z
00008584 00008651 _PkiAsn1FromObjectIdentifier@16
00008656 0000865C __ltoa
00008661 000086B1 ?WVTAsn1GetAlgorithm@@YGXPAUAlgorithmIdentifier@@KPAU_CRYPT_ALGORITHM_IDENTIFIER@@PAPAEPAJ@Z
