00008482 0000972F _SplitSymbols@16
0000973A 00009854 _UpdateDebugInfoFileEx@20
00009859 00009AA6 _RemovePrivateCvSymbolicEx@16
00009AF1 00009BF2 _CopyPdb@12
00009C09 00009C27 _UpdateDebugInfoFile@16
00009C2C 00009C5E _RemovePrivateCvSymbolic@12
00009C63 00009C79 ??0EXCLUDE_LIST@@QAE@XZ
00009C7E 00009CA1 ??1EXCLUDE_LIST@@QAE@XZ
00009CA6 00009CCD ?Init@EXCLUDE_LIST@@QAEXPAU_LOADED_IMAGE@@P6GHPAXPAEK@Z1@Z
00009CD2 00009D2C ?Add@EXCLUDE_LIST@@QAEXKKW4ADDRTYPE@@@Z
00009D31 00009DC0 ?Emit@EXCLUDE_LIST@@QAEHPAEK@Z
00009DC5 0000A249 _ImageGetDigestStream@16
0000A261 0000A40F _ImageAddCertificate@12
0000A421 0000A517 _ImageRemoveCertificate@8
0000A529 0000A650 _ImageEnumerateCertificates@20
0000A661 0000A6EE _ImageGetCertificateHeader@12
0000A701 0000A712 @__security_check_cookie@4
0000A712 0000A80A ___report_gsfailure
0000A80F 0000A816 __imp_load__EnumerateLoadedModules64@12
0000A816 0000A827 __tailMerge_DBGHELP
0000A82C 0000A832 _EnumerateLoadedModules64@12
0000A837 0000A83E __imp_load__EnumerateLoadedModules@12
0000A843 0000A849 _EnumerateLoadedModules@12
0000A84E 0000A855 __imp_load__FindDebugInfoFile@12
0000A85A 0000A860 _FindDebugInfoFile@12
0000A865 0000A86C __imp_load__FindDebugInfoFileEx@20
0000A871 0000A877 _FindDebugInfoFileEx@20
0000A87C 0000A883 __imp_load__FindExecutableImage@12
0000A888 0000A88E _FindExecutableImage@12
0000A893 0000A89D __imp_load__FindExecutableImageEx@20
0000A8A2 0000A8A8 _FindExecutableImageEx@20
0000A8AD 0000A8B7 __imp_load__FindFileInPath@32
0000A8BC 0000A8C2 _FindFileInPath@32
0000A8C7 0000A8D1 __imp_load__FindFileInSearchPath@28
0000A8D6 0000A8DC _FindFileInSearchPath@28
0000A8E1 0000A8EB __imp_load__ImagehlpApiVersion@0
0000A8F0 0000A8F6 _ImagehlpApiVersion@0
0000A8FB 0000A905 __imp_load__ImagehlpApiVersionEx@4
0000A90A 0000A910 _ImagehlpApiVersionEx@4
0000A915 0000A91F __imp_load__MakeSureDirectoryPathExists@4
0000A924 0000A92A _MakeSureDirectoryPathExists@4
0000A92F 0000A939 __imp_load__MapDebugInformation@16
0000A93E 0000A944 _MapDebugInformation@16
0000A949 0000A953 __imp_load__SearchTreeForFile@12
0000A958 0000A95E _SearchTreeForFile@12
0000A963 0000A96D __imp_load__StackWalk64@36
0000A972 0000A978 _StackWalk64@36
0000A97D 0000A987 __imp_load__StackWalk@36
0000A98C 0000A992 _StackWalk@36
0000A997 0000A9A1 __imp_load__SymCleanup@4
0000A9A6 0000A9AC _SymCleanup@4
0000A9B1 0000A9BB __imp_load__SymEnumSourceFiles@24
0000A9C0 0000A9C6 _SymEnumSourceFiles@24
0000A9CB 0000A9D5 __imp_load__SymEnumSym@20
0000A9DA 0000A9E0 _SymEnumSym@20
0000A9E5 0000A9EF __imp_load__SymEnumSymbols@24
0000A9F4 0000A9FA _SymEnumSymbols@24
0000A9FF 0000AA09 __imp_load__SymEnumTypes@20
0000AA0E 0000AA14 _SymEnumTypes@20
0000AA19 0000AA23 __imp_load__SymEnumerateModules64@12
0000AA28 0000AA2E _SymEnumerateModules64@12
0000AA33 0000AA3D __imp_load__SymEnumerateModules@12
0000AA42 0000AA48 _SymEnumerateModules@12
0000AA4D 0000AA57 __imp_load__SymEnumerateSymbols64@20
0000AA5C 0000AA62 _SymEnumerateSymbols64@20
0000AA67 0000AA71 __imp_load__SymEnumerateSymbols@16
0000AA76 0000AA7C _SymEnumerateSymbols@16
0000AA81 0000AA8B __imp_load__SymEnumerateSymbolsW64@20
0000AA90 0000AA96 _SymEnumerateSymbolsW64@20
0000AA9B 0000AAA5 __imp_load__SymEnumerateSymbolsW@16
0000AAAA 0000AAB0 _SymEnumerateSymbolsW@16
0000AAB5 0000AABF __imp_load__SymFindFileInPath@40
0000AAC4 0000AACA _SymFindFileInPath@40
0000AACF 0000AAD9 __imp_load__SymFromAddr@20
0000AADE 0000AAE4 _SymFromAddr@20
0000AAE9 0000AAF3 __imp_load__SymFromName@12
0000AAF8 0000AAFE _SymFromName@12
0000AB03 0000AB0D __imp_load__SymFunctionTableAccess64@12
0000AB12 0000AB18 _SymFunctionTableAccess64@12
0000AB1D 0000AB27 __imp_load__SymFunctionTableAccess@8
0000AB2C 0000AB32 _SymFunctionTableAccess@8
0000AB37 0000AB41 __imp_load__SymGetLineFromAddr64@20
0000AB46 0000AB4C _SymGetLineFromAddr64@20
0000AB51 0000AB5B __imp_load__SymGetLineFromAddr@16
0000AB60 0000AB66 _SymGetLineFromAddr@16
0000AB6B 0000AB75 __imp_load__SymGetLineFromName64@24
0000AB7A 0000AB80 _SymGetLineFromName64@24
0000AB85 0000AB8F __imp_load__SymGetLineFromName@24
0000AB94 0000AB9A _SymGetLineFromName@24
0000AB9F 0000ABA9 __imp_load__SymGetLineNext64@8
0000ABAE 0000ABB4 _SymGetLineNext64@8
0000ABB9 0000ABC3 __imp_load__SymGetLineNext@8
0000ABC8 0000ABCE _SymGetLineNext@8
0000ABD3 0000ABDD __imp_load__SymGetLinePrev64@8
0000ABE2 0000ABE8 _SymGetLinePrev64@8
0000ABED 0000ABF7 __imp_load__SymGetLinePrev@8
0000ABFC 0000AC02 _SymGetLinePrev@8
0000AC07 0000AC11 __imp_load__SymGetModuleBase64@12
0000AC16 0000AC1C _SymGetModuleBase64@12
0000AC21 0000AC2B __imp_load__SymGetModuleBase@8
0000AC30 0000AC36 _SymGetModuleBase@8
0000AC3B 0000AC45 __imp_load__SymGetModuleInfo64@16
0000AC4A 0000AC50 _SymGetModuleInfo64@16
0000AC55 0000AC5F __imp_load__SymGetModuleInfo@12
0000AC64 0000AC6A _SymGetModuleInfo@12
0000AC6F 0000AC79 __imp_load__SymGetModuleInfoW64@16
0000AC7E 0000AC84 _SymGetModuleInfoW64@16
0000AC89 0000AC93 __imp_load__SymGetModuleInfoW@12
0000AC98 0000AC9E _SymGetModuleInfoW@12
0000ACA3 0000ACAD __imp_load__SymGetOptions@0
0000ACB2 0000ACB8 _SymGetOptions@0
0000ACBD 0000ACC7 __imp_load__SymGetSearchPath@12
0000ACCC 0000ACD2 _SymGetSearchPath@12
0000ACD7 0000ACE1 __imp_load__SymGetSymFromAddr64@20
0000ACE6 0000ACEC _SymGetSymFromAddr64@20
0000ACF1 0000ACFB __imp_load__SymGetSymFromAddr@16
0000AD00 0000AD06 _SymGetSymFromAddr@16
