00007D89 00007DBE _PathFileExistsW@4
00007DC3 00007DF8 _PathIsNetworkPathW@4
00007E0A 00007E3B _ChrCmpIW@8
00007E40 00007E77 _StrChrIW@8
00007E7C 00007ED1 _StrStrIW@8
00007ED6 00007F5E _PathFileExistsAndAttributesW@8
00007F63 00007F84 _PathIsUNCServerW@4
00007F89 00007FAA _PathIsUNCServerShareW@4
00007FAF 00007FFD _CreateFileWrapW@28
00008002 0000824F _wvnsprintfA@16
00008254 00008277 _SP_GetFmtValue@8
0000827C 00008295 _wnsprintfA
0000832A 00008349 _IUnknown_AtomicRelease@4
00008369 0000838B _SHWeakReleaseInterface@8
00008390 000083E0 _IUnknown_QueryService@16
000083F5 00008424 _PathStripToRootW@4
00008495 0000855D _StrCmpLogicalW@8
00008562 000085E5 _SHStringFromGUIDA@12
000085FB 00008690 _NullTerminateRegExpandSzStringW@28
00008695 000086E0 ?_ExpandRegString@@YGKPAGKPAK@Z
0000880D 00008884 _SHGetObjectCompatFlags@8
00008889 000088FE ?_GetRegistryObjectCompatFlags@@YGKABU_GUID@@@Z
0000894D 00008963 _SHInterlockedCompareExchange@12
00008968 000089A7 _SHWeakQueryInterface@16
000089AC 000089EB _LoadLibraryExWrapW@12
000089F0 00008AB9 _SHPinDllOfCLSID@4
00008AD8 00008B44 _SHRegCloseUSKey@4
00008B49 00008C85 _SHRegOpenUSKeyA@20
00008C8A 00008CED _SHRegOpenUSKeyW@20
00008CF2 00008DF6 _SHRegGetUSValueW@32
00008E3A 00008E70 _PrivRegQueryValue@28
00008E75 00008F2D _SHRegQueryUSValueW@32
00008F50 00008F8F _PrivFullOpen@4
00008F94 000090A4 _SHRegGetBoolUSValueW@16
000090E9 0000911A _IUnknown_Exec@24
0000911F 0000916B _IUnknown_FindConnectionPoint@12
000091F1 000093B6 _wvnsprintfW@16
000093BB 000093E1 _SP_GetFmtValueW@8
000093E6 000093FF _wnsprintfW
00009435 00009471 _SHCoCreateInstanceAC@20
00009491 00009497 _memmove
000094C9 0000952E _RegCreateKeyExWrapW@36
0000956B 0000959A ?ExecuteWorkItem@@YGXPAUWorkItem@@@Z
0000959F 00009665 _SHQueueUserWorkItem@28
0000966A 00009699 ?TpsEnter@@YGKXZ
00009719 0000973F ?Release@CAssocElement@@UAGKXZ
00009744 0000975A ?AddRef@CBasePropertyBag@@UAGKXZ
0000975F 000097E0 _SHSetValueW@24
000097E5 00009861 _SP_PutNumberW@28
0000995E 00009975 _SP_ReverseW@8
000099EA 00009A33 _IUnknown_GetClassID@8
00009B25 00009B2C ?Release@CAssocShellElement@@W3AGKXZ
00009B31 00009B4B ?Release@CAssocShellElement@@UAGKXZ
00009B7D 00009B9E ?Release@CRegistrySource@@UAGKXZ
00009BA3 00009BDA ??_GCRegistrySource@@QAEPAXI@Z
00009BED 00009C20 ??1CAssocShellElement@@UAE@XZ
00009C20 00009C37 ??1CAssocElement@@UAE@XZ
00009C79 00009C94 ??$IUnknown_SafeReleaseAndNullPtr@UIQuerySource@@@@YGXAAPAUIQuerySource@@@Z
00009CE9 00009CFB ?AddRef@CRegistrySource@@UAGKXZ
00009D00 00009D22 ??0CAssocShellElement@@QAE@XZ
00009D27 00009D2E ?QueryInterface@CAssocShellElement@@W3AGJABU_GUID@@PAPAX@Z
00009D33 00009D4F ?QueryInterface@CAssocShellElement@@UAGJABU_GUID@@PAPAX@Z
00009DD5 00009E54 ?_GetAppDelegate@CAssocShellVerbElement@@IAEJABU_GUID@@PAPAX@Z
00009E69 00009EE3 _AssocCreate@24
00009EE8 00009FE3 ?AssocCreateElement@@YGJABU_GUID@@0PAPAX@Z
00009FF9 0000A06A _QuerySourceCreateFromKey@20
0000A06F 0000A0A2 ?Init@CRegistrySource@@QAEJPAUHKEY__@@PBGH@Z
0000A0D2 0000A0DC ?AddRef@CAssocShellElement@@W3AGKXZ
0000A0E1 0000A0FD ?QueryInterface@CRegistrySource@@UAGJABU_GUID@@PAPAX@Z
0000A125 0000A12F ?AddRef@CAssocShellElement@@WBA@AGKXZ
0000A134 0000A184 ?SetString@CAssocShellElement@@UAGJPBG@Z
0000A189 0000A193 ?Release@CAssocShellElement@@WBA@AGKXZ
0000A198 0000A1A2 ?QueryInterface@CAssocShellElement@@WBA@AGJABU_GUID@@PAPAX@Z
0000A1A7 0000A1FA _SKGetValueW@24
0000A1FF 0000A21E ?_QuerySourceCreateFromKey@@YGJPAUHKEY__@@PBGHPAPAUIQuerySource@@@Z
0000A235 0000A256 ??_ECAssocClientElement@@UAEPAXI@Z
0000A25B 0000A2A3 ?_PathAppend@@YGHPBG0PAGK@Z
0000A2E8 0000A33A ?_QuerySourceCreateFromKey2@@YGJPAUHKEY__@@PBG1PAPAUIQuerySource@@@Z
0000A362 0000A3F9 ?_InitSource@CAssocProgidElement@@MAEJXZ
0000A3FE 0000A487 ?_OpenProgidKey@@YGPAUHKEY__@@PBG@Z
0000A4A9 0000A4E9 ?_AssocOpenRegKey@@YGJPAUHKEY__@@PBGPAPAU1@H@Z
0000A516 0000A53A ?GetSource@CAssocElement@@UAGJABU_GUID@@PAPAX@Z
0000A53F 0000A565 _SHRegDuplicateHKey@4
