00016D89 00016DC9 _SHFusionInitializeFromModule@4
00016DCE 00016DE1 _SHFusionInitialize@4
00016DE6 00016DFC _SHFusionInitializeID@8
00016E01 00016E96 _SHFusionInitializeIDCC@12
00016E9B 00016EC4 ___security_init_cookie
00016EC4 00016EFF __SEH_prolog
00016F04 00016F0A __initterm
00016F0F 00016F15 _LoadLibraryWrapW@4
00016F1A 00016F20 _GetModuleFileNameWrapW@12
00016F25 00016F67 _NT5_CreateActCtx@4
00016FC8 00016FDF _atexit
00016FE4 0001700D __onexit
00017012 00017018 ___dllonexit
0001701D 00017042 _SHActivateContext@4
00017047 00017097 _NT5_ActivateActCtx@8
000170B7 000170BD ??0stringdispid@CComTypeInfoHolder@ATL@@QAE@XZ
000170C2 000170E3 ?InitNFCtl@@YGXXZ
000170E8 00017105 ?SetupDelayloadErrorHandler@@YGXXZ
00017131 00017167 _MLLoadResourcesW@8
0001716C 000171AB _IsBiDiLocalizedWin95@4
000171B0 000171D1 _Mirror_IsEnabledOS@0
000171FC 0001720D __SEH_epilog
00017212 00017218 _StopWatchMode@0
0001721D 0001723A _AtlInit@4
0001723F 0001727D ?Init@CComModule@ATL@@QAEJPAU_ATL_OBJMAP_ENTRY@2@PAUHINSTANCE__@@PBU_GUID@@@Z
00017282 00017301 ?AtlModuleInit@ATL@@YGJPAU_ATL_MODULE_30@1@PAU_ATL_OBJMAP_ENTRY@1@PAUHINSTANCE__@@@Z
00017328 0001733D _SHDeactivateContext@4
0001733D 00017388 _NT5_DeactivateActCtx@4
0001745F 000174AE _IsPlatformNT@0
000174B3 0001750E ?SHShouldRegisterActxprxy@@YGXXZ
000176A3 0001772D ?IsProxyRegisteredProperly@@YGHPBG0@Z
00017789 0001779F ?AddRef@CToolbarExt@@UAGKXZ
000177A4 000177C0 ?QueryInterface@CDocObjectFolder@@UAGJABU_GUID@@PAPAX@Z
000177C5 00017802 ??0CDocObjectFolder@@QAE@PBU_ITEMIDLIST@@@Z
00017821 00017847 ?Release@CInternetFolder@@UAGKXZ
0001784C 00017878 ?Initialize@CDocObjectFolder@@UAGJPBU_ITEMIDLIST@@@Z
0001787D 000178A8 ??1CDocObjectFolder@@IAE@XZ
000178AD 000178B7 ?AddRef@CBrowserExtension@@W3AGKXZ
000178BC 000178D3 ??0ShStrW@@QAE@XZ
000178D8 0001790A ?Reset@ShStrW@@QAEXXZ
00017925 00017946 ??_GCInternetFolder@@IAEPAXI@Z
0001794B 00017975 ??1CInternetFolder@@IAE@XZ
0001797A 00017984 ?Release@CInternetFolder@@W3AGKXZ
00017989 000179D3 _CInternetFolder_CreateInstance@12
000179D8 00017A03 ??0CInternetFolder@@QAE@PBU_ITEMIDLIST@@@Z
00017AE9 00017B81 _SHRestricted2W@12
00017B86 00017BB5 ?_IsValidUrlID@@YGPBUtagURLID@@PBU_ITEMIDLIST@@@Z
00017BBA 00017BFF ?_ExtractURL@@YGXPBUtagURLID@@PAGH@Z
00017C04 00017C2A ?_CreateProtocolHandlerFromPidl@CInternetFolder@@IAEJPBU_ITEMIDLIST@@PAUIBindCtx@@PAPAUIShellFolder@@@Z
00017C2F 00017C4A ?_PidlToDelegateProtocol@@YGPBDPBU_ITEMIDLIST@@@Z
00017C4F 00017C6B ?_IsValidDelegateID@@YGPBUtagDELEGATEITEMID@@PBU_ITEMIDLIST@@@Z
00017C70 00017CF3 ?GetDisplayNameOf@CInternetFolder@@UAGJPBU_ITEMIDLIST@@KPAU_STRRET@@@Z
00017CF8 00017D1A _StringToStrRet@8
00017D20 00017D35 ?AddRef@CAggregatedUnknown@@UAGKXZ
00017D40 00017D73 ?QueryInterface@CUnkInner@CAggregatedUnknown@@UAGJABU_GUID@@PAPAX@Z
00017D80 00017DA8 ?Release@CUnkInner@CAggregatedUnknown@@UAGKXZ
00017DDD 00017DF7 ?v_InternalQueryInterface@CBaseBrowser2@@UAEJABU_GUID@@PAPAX@Z
00017DFC 00017E07 ?AddRef@CShellUIHelper@@EAGKXZ
00017E0C 00017E13 ?AddRef@CShellUIHelper@@GBE@AGKXZ
00017E18 00017E1F ?AddRef@CBaseBrowser2@@WBA@AGKXZ
00017E35 00017E71 ?v_InternalQueryInterface@CIEFrameAuto@@MAEJABU_GUID@@PAPAX@Z
00017E80 00017E95 ?Release@CAggregatedUnknown@@UAGKXZ
00017E9A 00017EAF ?AddRef@CIEFrameAuto@@UAGKXZ
00017EB4 00017EC9 ?Release@CIEFrameAuto@@UAGKXZ
00017ECE 00017EDC _GetBrowserProcess@0
00017EE1 00017F7D ?GetWBConnectionPoints@@YGJPAUIUnknown@@PAPAUIConnectionPoint@@1@Z
00017F90 00017FA5 ?AddRef@CDocObjectFrame@@UAGKXZ
00017FB0 00017FC5 ?Release@CDocObjectFrame@@UAGKXZ
00017FCA 0001805E ?DoInvokeParamHelper@@YAJPAUIUnknown@@PAUIConnectionPoint@@PAHPAPAXJIZZ
00018070 0001808A ?QueryInterface@CAggregatedUnknown@@UAGJABU_GUID@@PAPAX@Z
0001808F 000180BE ?FindCIE4ConnectionPoint@CImpIExpDispSupport@@UAGJABU_GUID@@PAPAVCIE4ConnectionPoint@@@Z
000180C3 000180DF ?GetConnectionInterface@CConnectionPoint@@UAGJPAU_GUID@@@Z
000180E4 00018142 ?Next@CConnectionPointEnum@@UAGJKPAUtagCONNECTDATA@@PAK@Z
00018147 00018166 ?Release@CConnectionPointEnum@@UAGKXZ
0001816B 00018196 ??_GCConnectionPointEnum@@AAEPAXI@Z
0001819B 000181B1 ?EnumConnections@CConnectionPoint@@UAGJPAPAUIEnumConnections@@@Z
000181B6 000181EF ?CConnectionPointEnum_Create@@YGJPAVCConnectionPoint@@HPAPAUIEnumConnections@@@Z
000181F4 00018222 ??0CConnectionPointEnum@@AAE@PAVCConnectionPoint@@H@Z
00018227 00018255 ??1CString@LBSTR@@QAE@XZ
0001825A 0001831A ?Exec@CBaseBrowser2@@UAGJPBU_GUID@@KKPAUtagVARIANT@@1@Z
0001831F 0001833A ?QueryInterface@CIEFrameAuto@@UAGJABU_GUID@@PAPAX@Z
0001833F 0001834A ?Release@CShellUIHelper@@EAGKXZ
0001834F 00018398 ?AllocBuffer@CString@LBSTR@@IAEHH@Z
0001839D 000183C6 ?get_Silent@CIEFrameAuto@@UAGJPAF@Z
000183CB 0001846F _FireEvent_DoInvokeStringW@12
00018474 0001847E ?QueryInterface@CIEFrameAuto@@WDE@AGJABU_GUID@@PAPAX@Z
000184A8 00018501 ?SendControlMsg@CBaseBrowser2@@UAGJIIIJPAJ@Z
00018506 0001852F ?get_Offline@CIEFrameAuto@@UAGJPAF@Z
00018534 00018559 _SafeGetItemObject@16
0001855E 00018583 ?UpdateBackForwardState@CBaseBrowser2@@UAGJXZ
00018588 000185B9 ?GetTravelLog@CBaseBrowser2@@UAGJPAPAUITravelLog@@@Z
000185BE 000186CE ?_UpdateBackForwardState@CBaseBrowser2@@MAEXXZ
000186D3 000186EF ?QueryInterface@CTravelLog@@UAGJABU_GUID@@PAPAX@Z
000186F4 0001873D ?GetTravelEntry@CTravelLog@@UAGJPAUIUnknown@@HPAPAUITravelEntry@@@Z
00018742 00018768 ?Release@CTravelLog@@UAGKXZ
0001876D 00018783 ?AddRef@CTravelLog@@UAGKXZ
000187C4 000187EF ?_FindEntryByOffset@CTravelLog@@IAEJPAUIUnknown@@HPAPAVCTravelEntry@@@Z
000187F4 00018824 ??0CTravelEntry@@QAE@H@Z
00018829 000188AB ?AddEntry@CTravelLog@@UAGJPAUIUnknown@@H@Z
000188B0 000188F2 ?Size@CTravelEntry@@QAEKXZ
0001890A 00018ADA ?QueryService@CBaseBrowser2@@UAGJABU_GUID@@0PAPAX@Z
00018ADF 00018B51 ?QueryService@CIEFrameAuto@@UAGJABU_GUID@@0PAPAX@Z
00018B56 00018B60 ?AddRef@CIEFrameAuto@@WBI@AGKXZ
00018B65 00018B6F ?Release@CIEFrameAuto@@WBI@AGKXZ
00018B74 00018B89 ?AddRef@CMimeTypes@CIEFrameAuto@@UAGKXZ
00018B8E 00018BA6 ?AddRef@CAutomationStub@CIEFrameAuto@@UAGKXZ
00018BAB 00018BC0 ?Release@COmLocation@CIEFrameAuto@@UAGKXZ
00018BC5 00018BDD ?Release@CAutomationStub@CIEFrameAuto@@UAGKXZ
00018BE2 00018BEC ?AddRef@CIEFrameAuto@@WCA@AGKXZ
00018BF1 00018C0E ?TargetQueryService@@YGJPAUIUnknown@@ABU_GUID@@PAPAX@Z
00018C9A 00018CBA ?VariantClearLazy@@YGJPAUtagVARIANT@@@Z
00018CBF 00018D4A ?GetTopWBConnectionPoints@@YGJPAUIUnknown@@PAPAUIConnectionPoint@@1@Z
00018D4F 00018DA4 ?GetEventURL@@YGXPBU_ITEMIDLIST@@AAVCString@LBSTR@@@Z
00018DDD 00018DE7 ?AddRef@CBaseBrowser2@@WDE@AGKXZ
00018DEC 00018DF6 ?Release@CWebBrowserSB@@WDE@AGKXZ
00018DFB 00018E78 ?OnReadyStateChange@CBaseBrowser2@@UAGJPAUIShellView@@K@Z
00018E8D 00018ECE ?QueryService@IProfferServiceImpl@@QAEJABU_GUID@@0PAPAX@Z
00018ED3 00018EEB _InitPSFInternet@0
00018EF0 00018F86 ?get_Document@CIEFrameAuto@@UAGJPAPAUIDispatch@@@Z
00018F8B 00019063 ?_UIActivateView@CBaseBrowser2@@MAGJI@Z
0001907F 00019089 ?AddRef@CIEFrameAuto@@WBE@AGKXZ
000190CE 00019113 ?GetViewRect@CBaseBrowser2@@UAGJPAUtagRECT@@@Z
00019118 00019169 ?_UpdateViewRectSize@CBaseBrowser2@@UAGJXZ
000191C5 000191CF ?AddRef@CShellUIHelper@@GBI@AGKXZ
000191D4 000191DE ?AddRef@CShellUIHelper@@GBM@AGKXZ
000191FC 00019290 ?_InternalQueryInterface@COmWindow@CIEFrameAuto@@MAEJABU_GUID@@QAPAX@Z
000192AB 000192C6 ?QueryInterface@CMimeTypes@CIEFrameAuto@@UAGJABU_GUID@@PAPAX@Z
000192CB 0001933B ?QueryInterface@CAutomationStub@CIEFrameAuto@@UAGJABU_GUID@@PAPAX@Z
00019348 0001935C ?_MayUnblockAsyncOperation@CBaseBrowser2@@IAEXXZ
00019361 000193AB ?EnableModelessSB@CBaseBrowser2@@UAGJH@Z
000193B0 000193C9 ?CanNavigate@COmWindow@CIEFrameAuto@@UAGJXZ
000193CE 000193E0 ?RetryNavigate@COmLocation@CIEFrameAuto@@QAEXXZ
000193E5 000193EF ?Release@CWebBrowserSB@@WBA@AGKXZ
000193F4 00019435 ?_Exec_psbMixedZone@CBaseBrowser2@@IAEXXZ
0001943A 000194AC ?GetBuffer@CString@LBSTR@@QAEPAGH@Z
000194B1 000194CB ?Release@CString@LBSTR@@KGXPAVCStringData@2@@Z
000194D0 00019506 ?ReleaseBuffer@CString@LBSTR@@QAEXH@Z
0001950B 00019520 ?CopyBeforeWrite@CString@LBSTR@@IAEXXZ
00019525 00019545 _IEGetDisplayName@12
0001954A 000195D0 _IEGetNameAndFlagsEx@24
000195D5 00019667 ?_CombineHidden@@YGJPBU_ITEMIDLIST@@KPAGK@Z
0001966C 00019688 _IEILGetFragment@12
0001968D 000196B1 _ILGetHiddenStringW@16
000196B6 000196F7 _ILFindHiddenIDOn@12
000196FC 00019706 ?AddRef@COpsProfile@CIEFrameAuto@@W3AGKXZ
0001970B 00019715 ?Release@CPlugins@CIEFrameAuto@@W3AGKXZ
0001971A 00019744 ?FireOnLoad@COmWindow@CIEFrameAuto@@AAEJXZ
00019749 00019765 ?_ViewChange@CBaseBrowser2@@MAEXKJ@Z
0001976A 000197A2 ?_updateNavigationUI@CBaseBrowser2@@IAEJXZ
