000057A8 000057C3 _RasSetAddressDisable@8
000057C8 000057EA _RasGetDevConfigEx@20
000057EF 0000580C _RasSendCreds@8
00005811 0000582C _RasGetUnicodeDeviceName@8
00005831 00005859 _RasGetDeviceNameW@8
0000585E 00005886 _RasRefreshKerbCreds@4
0000588B 000058A6 _RasStartPPPRenegotiation@4
000058AB 000058CB _RasGetNapState@8
000058D0 0000594E _RasmanUninitialize@0
00005953 00005B00 _RasInitialize@0
00005BF0 00005C6E _RasPortOpenEx@20
00005C73 00005C9F _RasBundleClearStatisticsEx@8
00005CA4 00005E34 _RasDeviceSetInfo@16
00005E45 00005E53 _GetRequestBuffer@0
00005E58 00005E64 _FreeRequestBuffer@4
00005E69 00005E92 _OpenNamedMutexHandle@4
00005E97 00005ECB _PutRequestInQueue@12
00005ED0 00005F55 _CopyParams@12
00005F5A 00005F86 _ConvParamPointerToOffset@8
00005F8B 00005FB7 _ConvParamOffsetToPointer@8
00005FBC 000061F3 _DwRasGetHostByName@12
00006219 000062D0 _RasRPCBind@12
0000634B 00006435 _RasRpcConnect@8
0000645C 00006495 _RasRpcDisconnect@4
000064C0 0000655F _RemoteSubmitRequest@12
00006599 000065A4 _RasRpcConnectServer@8
000065A9 000065BC _RasRpcDisconnectServer@4
000065C1 000065C6 _RasRpcUnloadDll@0
000065CB 000065D7 _RasRpcRemoteGetSystemDirectory@12
000065DC 000065FD _RasRpcRemoteRasDeleteEntry@12
00006602 0000660E _RasRpcRemoteGetUserPreferences@12
00006613 0000661F _RasRpcRemoteSetUserPreferences@12
00006624 00006729 _DwGetSidFromHtoken@12
0000672E 00006744 _GetUserSid@8
00006749 00006810 _lrGetEapKeyFromToken@8
00006815 000068ED _DwUpgradeEapInfo@8
000068F2 00006A20 _DwGetEapInfo@20
00006A4D 00006A6E _DwSetEapInfo@12
00006A73 00006B1C _DwRemoveEapUserInfo@24
00006B21 00006BEF _DwReplaceEapUserInfo@28
00006BF4 00006D4F _DwSetEapUserInfo@28
00006D54 00006E92 _DwGetEapUserInfo@24
00006E97 00006EB9 _RasRpcPortEnum@16
00006EBE 00006EE0 _RasRpcDeviceEnum@20
00006EE5 00006F07 _RasRpcGetDevConfig@20
00006F0C 00006F2E _RasRpcPortGetInfo@16
00006F33 00006F55 _RasRpcEnumConnections@20
00006F5A 00006F7C _RasRpcDeleteEntry@12
00006F81 00006FA3 _RasRpcGetErrorString@16
00006FA8 00006FCA _RasRpcGetCountryInfo@12
00006FCF 00006FF1 _RasRpcGetInstalledProtocols@4
00006FF6 00007018 _RasRpcGetUserPreferences@12
0000701D 0000703F _RasRpcSetUserPreferences@12
00007044 00007066 _RasRpcGetSystemDirectory@12
0000706B 0000708D _RasRpcSubmitRequest@12
00007092 000070B4 _RasRpcGetInstalledProtocolsEx@16
000070B9 000070DB _RasRpcGetVersion@8
000070E0 00007145 _AllocateBuffer@12
0000714A 000090BF _SubmitRequest
00009429 00009521 ___report_gsfailure
00009526 0000952C __except_handler3
00009531 00009537 _I_RpcExceptionFilter@4
0000953C 00009542 _NdrClientCall2
00009547 0000954D _WSACleanup@0
00009552 00009558 _WSAGetLastError@0
0000955D 00009563 _WSAStartup@8
00009568 0000956E _inet_ntoa@4
00009573 00009579 _inet_addr@4
0000957E 0000961A _LoadSkuAndRole@0
0000961F 00009646 _GetComputerSuite@4
0000964B 00009672 _GetComputerRole@4
00009677 00009698 _IsPersonalPlatform@0
