000691E1 00069203 ?IsPositionNotification@@YGHPAVCNotification@@@Z
00069210 0006921E ?GetMarkupPtr@CLayout@@UBEPAVCMarkup@@XZ
00069223 00069251 ?ElementWantsNotification@@YGHPAVCElement@@PAVCNotification@@@Z
00069258 00069259 ?OnTerminate@CRecalcTask@@UAEXXZ
0006925E 00069276 ?Release@CSecurityContext@@UAGKXZ
0006927B 00069295 ?QueryInterface@CDOMImplementation@@UAGJABU_GUID@@PAPAX@Z
0006929A 000692B9 ?Release@CBaseFT@@QAEKXZ
000692BE 000692D4 ?Disconnect@CDwnChan@@QAEXXZ
000692D9 000692DF _VariantInit@4
000692E4 000692EA _SysFreeString@4
000692F3 00069379 ?Find@CAttrArray@@QAEPAVCAttrValue@@JW4AATYPE@2@PAKH@Z
00069380 00069398 ?ReleaseInterface@@YGXPAUIUnknown@@@Z
000693B1 0006940B ?Set@CStr@@QAEJPBGI@Z
00069410 0006942B ?_Free@CStr@@AAEXXZ
00069430 00069482 __MemFree@4
00069487 000694BB ___sbh_free_block
000694D0 000694EB ?CompareWith@CAttrValue@@QAEHJW4AATYPE@1@@Z
000694F0 00069544 ?NextTreePos@CTreePos@@QAEPAV1@XZ
00069549 0006955C ?CurrentlyHasAnyLayout@CElement@@QBEHXZ
00069561 000695CB ?PlainRelease@@YGKPAUTEAROFF_THUNK@@@Z
000695D0 000695F5 ?FindNextAAIndex@CBase@@QAEKJW4AATYPE@CAttrValue@@K@Z
000695FA 00069628 ?FindAAIndex@CBase@@QAEKJW4AATYPE@CAttrValue@@KH@Z
0006962D 0006963D ??1CImplAry@@QAE@XZ
00069642 00069666 ??0CTxtPtr@@QAE@PAVCMarkup@@K@Z
0006966B 00069692 ?Reinit@CTxtPtr@@QAEXPAVCMarkup@@K@Z
00069697 000696CD ?BindToCp@CTxtPtr@@QAEKK@Z
000696D2 000696E5 ?BindToCp@CRunPtrBase@@QAEKK@Z
000696E5 00069736 ?AdvanceCp@CRunPtrBase@@QAEJJ@Z
0006973B 00069758 ?Elem@CArrayBase@@QBEPAXK@Z
0006976C 0006984C ?SendNotification@CMarkup@@IAEXPAVCNotification@@PAV?$CDataAry@VCNotification@@@@@Z
00069851 00069878 ?DeleteAll@CImplAry@@QAEXXZ
000698A9 000698C5 ?SetAAreadystate@CMarkup@@QAEJJ@Z
000698CA 0006990B ?SetSimple@CAttrArray@@SGJPAPAV1@PBUPROPERTYDESC@@KG@Z
00069910 00069940 ?Set@CAttrArray@@SGJPAPAV1@JPAUtagVARIANT@@PBUPROPERTYDESC@@W4AATYPE@CAttrValue@@GH@Z
00069945 00069A3F ?Set@CAttrArray@@AAEJJPBUPROPERTYDESC@@PAUtagVARIANT@@W4AATYPE@CAttrValue@@GH@Z
00069A44 00069A7A ?FindSimple@CAttrArray@@QAEHJPAKW4AATYPE@CAttrValue@@PAPBUPROPERTYDESC@@@Z
00069A7F 00069AAE ?GetDwnDoc@CMarkup@@QAEPAVCDwnDoc@@XZ
00069AB3 00069AE7 ?GetPointerAt@CBase@@QAEJKPAPAX@Z
00069AEC 00069B0B ?FindAt@CAttrArray@@QAEPAVCAttrValue@@K@Z
00069B10 00069B66 ?PlainQueryInterface@@YGJPAUTEAROFF_THUNK@@ABU_GUID@@PAPAX@Z
00069B6B 00069BA3 ?FindSimple@CAttrArray@@SGHPAV1@PBUPROPERTYDESC@@PAK@Z
00069BDB 00069C02 ?SubRelease@CBase@@QAEKXZ
00069C22 00069C5D ?Free@CAttrValue@@QAEXXZ
00069C70 00069D0A ?CreateTearOffThunk@@YGJPAXPBXPAUIUnknown@@PAPAX00KPBQBU_GUID@@0@Z
00069D0F 00069D5E __MemGetSize@4
00069D63 00069DB8 ___sbh_find_block
00069DBD 00069DD7 ?Document@CMarkup@@QAEPAVCDocument@@XZ
00069DD7 00069DDB ?SecurityContext@CAccBase@@UBEPAVCSecurityContext@@XZ
00069E1E 00069F12 ?PrivateQueryInterface@COmWindowProxy@@UAGJABU_GUID@@PAPAX@Z
00069F17 00069F42 ?ReplaceInterfaceFn@@YGXPAPAUIUnknown@@PAU1@@Z
00069FD0 0006A03A ?InitVariant@CAttrValue@@QAEJPBUtagVARIANT@@H@Z
0006A03F 0006A0AB ?AppendIndirect@CImplAry@@IAEJIPAXPAPAX@Z
0006A0B0 0006A14B ?EnsureSize@CImplAry@@IAEJIJ@Z
0006A150 0006A173 ?UIntMult@@YGJIIPAI@Z
0006A189 0006A19B ?AddRef@CBaseEnum@@UAGKXZ
0006A22D 0006A247 ?Passivate@CBase@@UAEXXZ
0006A2A5 0006A2AA ?GetAtomTable@CRenderStyle@@UAEPAVCAtomTable@@PAH@Z
0006A2D1 0006A2DA ??_9@$B3AG
0006A30D 0006A316 ??_9@$B7AG
0006A31B 0006A350 ?Initialize@CNotification@@QAEXW4NOTIFYTYPE@@PAVCElement@@PAVCTreeNode@@PAXK@Z
0006A355 0006A3A4 ?SetElement@CNotification@@QAEXPAVCElement@@H@Z
0006A3A9 0006A581 ?PrivateQueryInterface@CDoc@@UAGJABU_GUID@@PAPAX@Z
0006A586 0006A5C8 ?DispNonDualDIID@@YGHU_GUID@@@Z
0006A5CD 0006A5FC ?PrivateAddRef@CElement@@UAGKXZ
0006A610 0006A623 ?GetMarkupPtr@CElement@@QBEPAVCMarkup@@XZ
0006A628 0006A671 ?GetTreeExtent@CElement@@QAEXPAPAVCTreePos@@0@Z
0006A676 0006A687 ?NextBranch@CTreeNode@@QAEPAV1@XZ
0006A68C 0006A6D7 ?Notify@CBodyElement@@UAEXPAVCNotification@@@Z
0006A6DC 0006A755 ?Notify@CElement@@UAEXPAVCNotification@@@Z
0006A75A 0006A773 ?ClearInterfaceFn@@YGXPAPAUIUnknown@@@Z
0006A778 0006A817 ?ShowWaitCursor@CMarkup@@QAEXH@Z
0006A81C 0006A8A0 ?Notify@CMarkup@@QAEXPAVCNotification@@@Z
0006A8A5 0006A908 ?IsSpecialUrl@@YGHPBG@Z
0006A90D 0006A913 _CoInternetIsFeatureEnabled@8
0006A918 0006A92C ?Release@CProgSink@@UAGKXZ
0006A931 0006A950 ?SubRelease@CBaseFT@@QAEKXZ
0006A955 0006A98A ?GetObjectAt@CBase@@QAEJKGPAPAX@Z
0006A98F 0006A9D3 ?FetchObject@CBase@@QAEJPAVCAttrValue@@GPAPAX@Z
0006A9D8 0006AA69 ?ArAdd@CArrayBase@@IAEPAXKPAK@Z
0006AA6E 0006AAAE __MemRealloc@8
0006AAB3 0006AB1C __MemAlloc@4
0006AB21 0006AB4C ?ReInit@CHtPvPv@@QAEXXZ
0006AB51 0006AB70 ?Init@CHtPvPv@@IAEXXZ
0006AB75 0006ABCA ?Remove@CHtPvPv@@QAEPAXPAXPBX@Z
0006ABCF 0006ABFF ?HtKeyEqual@CHtPvPv@@IBEHPAUHTENT@1@PAXPBX@Z
0006AC04 0006AC21 ??0CLock@CMarkup@@QAE@PAV1@@Z
0006AC6C 0006AC83 ?Url@CMarkup@@QAEPAGXZ
0006AC88 0006ACFE ?UnescapeAndTruncateUrl@@YGJPAGH@Z
0006AD09 0006AD32 ?HashString@@YGKPBGKK@Z
0006AD66 0006AD72 ?WriterClaim@CRWLock@@QAEXXZ
0006AD77 0006AD81 ?WriterRelease@CRWLock@@QAEXXZ
0006AD86 0006ADAF ?_tcscmp@@YAHPBG0@Z
0006ADB4 0006ADD3 ?HashCompare@CStringAtomizer@@CGHPBX00@Z
0006ADD8 0006ADEE ?_IncrementObjectCount@@YGXXZ
0006ADF3 0006AE4E ?OpenView@CView@@IAEHHHH@Z
0006AE53 0006AE82 ?GetCodepageSettings@CMarkup@@QAEPAUCODEPAGESETTINGS@@XZ
0006AE87 0006AE99 ?PrivateEnterTree@CElement@@QAEXXZ
0006AE9E 0006AEDB ?GetLookasidePtr2@CElement@@ABEPAXH@Z
0006AEE0 0006AF21 ?SetLookasidePtr2@CElement@@AAEJHPAX@Z
0006AF40 0006AF58 ?SetElement@CTreeNode@@QAEXPAVCElement@@@Z
0006AFA0 0006AFA6 ?GetClassDesc@CRootElement@@UBEPBUCLASSDESC@CBase@@XZ
0006AFAB 0006AFC0 ?AddRef@CScriptControl@@UAGKXZ
0006AFC5 0006AFDA ?Release@CBookmarkCollection@@UAGKXZ
0006AFDF 0006B025 ?Notify@CRootElement@@UAEXPAVCNotification@@@Z
0006B02A 0006B046 ?GetEventsToHook@CBase@@QAEPAUInlineEvts@@XZ
0006B065 0006B0AB ?IncreaseCounts@CTreePos@@AAEXPBV1@I@Z
0006B0B0 0006B0E2 ?IsPreLikeTag@@YGHW4ELEMENT_TAG@@@Z
0006B0E7 0006B10A ?ArInsert@CArrayBase@@IAEPAXKK@Z
0006B220 0006B2C8 ?EnterTree@CElement@@QAEJXZ
0006B2D5 0006B300 ?EnterView@CElement@@QAEXXZ
0006B305 0006B341 ?AttachDataBindings@CElement@@QAEJXZ
0006B346 0006B379 ?IsConnectedToPrimaryWindow@CElement@@QAEHXZ
0006B37E 0006B40D ?ProcessPeerTask@CElement@@QAEJW4PEERTASK@@@Z
0006B412 0006B41F ?HasIdentityPeerHolder@CElement@@QAEHXZ
0006B424 0006B46C ?DelLookasidePtr2@CElement@@AAEPAXH@Z
0006B471 0006B487 ?DelLookasidePtr2@CDocExtra@@QAEPAXPAX@Z
0006B48C 0006B4B5 ?SetMarkupPtr@CElement@@QAEXPAVCMarkup@@@Z
0006B4BA 0006B4E2 ?ReplaceSecurityContext@CElement@@QAEXPAVCMarkup@@@Z
0006B4E7 0006B52C ??0CTreeNode@@QAE@PAV0@PAVCElement@@@Z
0006B531 0006B548 ?SetPre@CTreeNode@@QAEXH@Z
0006B557 0006B56D ?SetModified@CMarkup@@QAEXXZ
0006B572 0006B596 ?OnDataChange@CServer@@QAEXH@Z
0006B59B 0006B5D4 ?NeedsIdentityPeer@CElement@@QAEHPAVCExtendedTagDesc@@@Z
0006B5D9 0006B605 ?GetExtendedTagDesc@CElement@@QAEPAVCExtendedTagDesc@@XZ
0006B60A 0006B681 ?InsertRepeatingChar@CTxtPtr@@QAEJJG@Z
0006B686 0006B71B ?InsertRange@CTxtPtr@@QAEJKPBG@Z
