0000319B 000031B0 ?Release@HLNK_DataObj@@UAGKXZ
000031B5 00003237 ?QueryGetData@HLNK_DataObj@@UAGJPAUtagFORMATETC@@@Z
0000323C 00003279 ?GetCanonicalFormatEtc@HLNK_DataObj@@UAGJPAUtagFORMATETC@@0@Z
0000327E 00003286 ?SetData@HLNK_DataObj@@UAGJPAUtagFORMATETC@@PAUtagSTGMEDIUM@@H@Z
0000328B 000032AA ?DAdvise@HLNK_DataObj@@UAGJPAUtagFORMATETC@@KPAUIAdviseSink@@PAK@Z
000032AF 000032B7 ?DUnadvise@HLNK_DataObj@@UAGJK@Z
000032BC 000032DB ?EnumDAdvise@HLNK_DataObj@@UAGJPAPAUIEnumSTATDATA@@@Z
000032E0 00003426 ?HrGetDataCfHyperlink@HLNK_DataObj@@QAEJPAUtagFORMATETC@@PAUtagSTGMEDIUM@@@Z
0000342B 0000346C ?StringLengthWorkerW@@YGJPBGIPAI@Z
00003471 000034DE ?HrGetDataHereCfHyperlink@HLNK_DataObj@@QAEJPAUtagFORMATETC@@PAUtagSTGMEDIUM@@@Z
000034E3 000034FA ?CompObjAlloc@@YGPAXK@Z
000034FF 00003516 ?HrWriteDWStm@@YGJPAUIStream@@K@Z
0000351B 00003531 ?HrWriteGuidStm@@YGJPAUIStream@@PAU_GUID@@@Z
00003536 0000354C ?HrReadGuidStm@@YGJPAUIStream@@PAU_GUID@@@Z
00003551 00003567 ?HrWriteFileTimeStm@@YGJPAUIStream@@PAU_FILETIME@@@Z
0000356C 00003582 ?HrReadFileTimeStm@@YGJPAUIStream@@PAU_FILETIME@@@Z
00003587 000035A6 ?W2A@@YGXPBGPADH@Z
000035AB 000035C4 ?SzDupWzToSz@@YGPADPBGH@Z
000035C9 000035F3 ?SetBindStatusCallback@HLNK_Bsc@@AAEXPAUIBindStatusCallback@@@Z
000035F8 00003671 ?QueryInterface@HLNK_Bsc@@UAGJABU_GUID@@PAPAX@Z
00003676 000036A1 ?FIsSpaceString@@YGHPBG@Z
000036A6 000036BB ?AddRef@HLNK_Bsc@@UAGKXZ
000036C0 000036D5 ?Release@HLNK_Bsc@@UAGKXZ
000036DA 0000370F ?OnStartBinding@HLNK_Bsc@@UAGJKPAUIBinding@@@Z
00003714 00003736 ?GetPriority@HLNK_Bsc@@UAGJPAJ@Z
0000373B 00003740 ?OnDataAvailable@HLNK_Bsc@@UAGJKKPAUtagFORMATETC@@PAUtagSTGMEDIUM@@@Z
00003745 00003767 ?OnLowResource@HLNK_Bsc@@UAGJK@Z
0000376C 0000380E ?QueryService@HLNK_Bsc@@UAGJABU_GUID@@0PAPAX@Z
00003813 000038CD ?InitClass@HLNK_EnumFORMATETC@@SGXXZ
000038D2 0000391E ?QueryInterface@HLNK_EnumFORMATETC@@UAGJABU_GUID@@PAPAX@Z
00003923 00003945 ?Release@HLNK_EnumFORMATETC@@UAGKXZ
0000394A 000039AB ?Next@HLNK_EnumFORMATETC@@UAGJKPAUtagFORMATETC@@PAK@Z
000039B0 000039D6 ?Skip@HLNK_EnumFORMATETC@@UAGJK@Z
000039DB 00003A02 ?StubCreateURLMoniker@@YGJPAUIMoniker@@PBGPAPAU1@@Z
00003A07 00003A19 ?Reset@HLNK_EnumFORMATETC@@UAGJXZ
00003A1E 00003A45 ?StubRevokeBindStatusCallback@@YGJPAUIBindCtx@@PAUIBindStatusCallback@@@Z
00003A4A 00003AB7 ?HrCallGetBindInfo@HLNK@@QAEJXZ
