00009D81 00009D90 _NtGdiSetDIBitsToDeviceInternal@64
00009D95 00009E04 _IcmGetBitmapColorSpace@16
00009E09 00009F7C _CreateDIBSection@24
00009F81 00009F90 _NtGdiCreateDIBSection@36
00009F95 0000A075 _GetDIBits@28
0000A07A 0000A089 _NtGdiGetDIBitsInternal@36
0000A0B1 0000A12C _MaskBlt@48
0000A131 0000A140 _NtGdiMaskBlt@52
0000A145 0000A1E1 _CreatePen@12
0000A1E6 0000A1F5 _NtGdiCreatePen@16
0000A20A 0000A2AC _MoveToEx@16
0000A2B1 0000A2C0 _NtGdiGetWidthTable@28
0000A2C0 0000A2FE _lCvt@12
0000A3AE 0000A488 _pcfCreateCFONT@24
0000A48D 0000A4BF _pcfAllocCFONT@0
0000A4BF 0000A534 _divff3_c@12
0000A582 0000A591 _NtGdiGetTextMetricsW@12
0000A5A7 0000A5B6 _NtGdiGetTextFaceW@16
0000A5BB 0000A5E3 _GetTextFaceW@12
0000A60F 0000A77C _bFillWidthTableForGTE@20
0000A781 0000A7F7 _GdiAlphaBlend@44
0000A7FC 0000A80B _NtGdiAlphaBlend@48
0000A867 0000A89A _GdiFixUpHandle@4
0000A8AA 0000A8C6 _CreatePolygonRgn@12
0000A8CB 0000A92B _TranslateCharsetInfo@12
0000A94D 0000A97D _ExtCreateRegion@12
0000A982 0000A991 _NtGdiExtCreateRegion@12
0000A9C2 0000A9D1 _NtGdiCreateRectRgn@16
0000A9D6 0000A9EB _GetTextCharset@4
0000AAC3 0000AACB _GetNearestColor@8
0000AAD0 0000AADF _NtGdiGetNearestColor@8
0000AAE4 0000AAEC _GetBitmapBits@12
0000AAF1 0000AB00 _NtGdiGetBitmapBits@12
0000AB87 0000AC84 _SetDIBits@28
0000AC89 0000AC9F _GdiGetPaletteFromDC@4
0000ACA4 0000ACB3 _NtGdiGetDCforBitmap@4
0000ACB8 0000ACCD _CreatePatternBrush@4
0000ACD2 0000ACE1 _NtGdiCreatePatternBrushInternal@12
0000AD13 0000AEB0 _CreateDIBitmap@24
0000AEB5 0000AEC4 _NtGdiCreateDIBitmapInternal@44
0000AEC9 0000AFF4 _GdiGetCharDimensions@12
0000AFF9 0000B099 _CreateFontW@56
0000B09E 0000B1B5 _StretchDIBits@52
0000B1BA 0000B1C9 _NtGdiStretchDIBitsInternal@64
0000B1CE 0000B1F6 _GetDIBColorTable@16
0000B1FB 0000B214 _IcmInitLocalDC@16
0000B219 0000B2AA _hdcCreateDCW@20
0000B2AF 0000B2BE _NtGdiOpenDCW@28
0000B2C3 0000B377 _bCreateDCA@20
0000B37C 0000B41A _SetGraphicsMode@8
0000B41F 0000B42E _NtGdiGetTransform@12
0000B433 0000B442 _NtGdiModifyWorldTransform@12
0000B447 0000B45D _SetWorldTransform@8
0000B497 0000B4A6 _NtGdiGetBoundsRect@12
0000B4AB 0000B4BA _NtGdiSetBoundsRect@12
0000B4BF 0000B4D8 _GetWorldTransform@8
0000B4E9 0000B4F8 _NtGdiGetSpoolMessage@16
0000B4FD 0000B58D _ModifyWorldTransform@12
0000B5DA 0000B5F1 _CreatePalette@4
0000B5F6 0000B605 _NtGdiCreatePaletteInternal@8
0000B60A 0000B628 _GetPaletteEntries@16
0000B6AC 0000B6BB _NtGdiComputeXformCoefficients@4
0000B6C0 0000B723 _StretchBlt@44
0000B728 0000B737 _NtGdiStretchBlt@48
0000B73C 0000B7A9 _GetPixel@12
0000B7AE 0000B7BD _NtGdiGetPixel@12
0000B7C2 0000B7DE _CreateDCA@16
0000B83B 0000B8EB _SetPixel@16
0000B8F0 0000B8FF _NtGdiSetPixel@16
0000B904 0000B99C _SetPixelV@16
0000B9A1 0000BA26 _GdiTransparentBlt@44
0000BA2B 0000BA3A _NtGdiTransparentBlt@44
0000BA3F 0000BA75 _TextOutA@20
0000BA7A 0000BA89 _NtGdiCreateHalftonePalette@4
0000BA8E 0000BB1B _GetSystemPaletteEntries@16
0000BB20 0000BB2F _NtGdiGetCharWidthInfo@8
0000BB34 0000BB3A _QueryFontAssocStatus@0
0000BBDE 0000BBE4 _GetAppCompatFlags@4
0000BBE9 0000BC22 _EnumFontFamiliesExW@20
0000BC27 0000BD27 _EnumFontsInternalW@28
0000BD2C 0000BD5F _ulEnumFontsOpen@24
0000BD64 0000BD73 _NtGdiEnumFontOpen@28
0000BD78 0000BD87 _NtGdiEnumFontClose@4
0000BD8C 0000BD9B _NtGdiEnumFontChunk@20
0000BDA0 0000BE23 _bCreateDCW@20
0000BE28 0000BE44 _CreateDCW@16
0000BE60 0000BF60 _bGetANSISetMap@0
0000BF77 0000BFCC _FrameRgn@20
0000BFD1 0000BFE0 _NtGdiFrameRgn@20
0000BFE5 0000BFED _CreateRoundRectRgn@24
0000BFF2 0000C001 _NtGdiCreateRoundRectRgn@24
0000C006 0000C0BB _OffsetViewportOrgEx@16
0000C0CC 0000C0D4 _SetFontEnumeration@4
0000C0D9 0000C0E8 _NtGdiSetFontEnumeration@4
0000C10F 0000C1D9 _GdiGradientFill@24
0000C1DE 0000C1ED _NtGdiGradientFill@24
0000C1F2 0000C28E _SetDCBrushColor@8
0000C2B5 0000C2C4 _NtGdiSetupPublicCFONT@12
0000C3BC 0000C562 _ExtEscape@24
0000C567 0000C576 _NtGdiExtEscape@32
0000C57B 0000C82D _bLoadSpooler@0
0000CB0A 0000CBEA _cGetTTFFromFOT@28
0000CC01 0000CCAB _bMakePathNameW@16
0000CCB0 0000CCF2 _bInitSystemAndFontsDirectoriesW@8
0000CE01 0000CE3D _GdiAddFontResourceW@12
0000CE42 0000CEAC _bFileIsOnTheHardDrive@4
0000CF51 0000CF60 _NtGdiAddFontResourceW@24
0000D0E9 0000D0F8 _NtGdiEnableEudc@4
0000D0FD 0000D10A _NtGdiInitSpool@0
0000D126 0000D13E _SetBitmapAttributes@8
0000D13E 0000D14D _NtGdiSetBitmapAttributes@8
0000D18E 0000D1A6 _ClearBitmapAttributes@8
0000D1A6 0000D1B5 _NtGdiClearBitmapAttributes@8
0000D242 0000D25F _GetBoundsRect@12
0000D264 0000D281 _SetBoundsRect@12
0000D286 0000D3AF _GdiConvertToDevmodeW@4
0000D3D6 0000D3E5 _NtGdiPatBlt@24
0000D3EA 0000D412 _ExtTextOutA@32
0000D417 0000D466 _GetTextAlign@4
0000D4B7 0000D558 _LPtoDP@12
0000D6D9 0000D756 _GetRgnBox@8
0000D7AE 0000D7B9 _GetRandomRgn@12
0000D7F2 0000D7FA _SetBitmapBits@12
0000D7FF 0000D80E _NtGdiSetBitmapBits@12
0000D813 0000D822 _NtGdiSetBrushOrg@16
0000D827 0000D846 _UnrealizeObject@4
0000D85B 0000D86A _NtGdiGetRgnBox@8
0000D8C0 0000D954 _SetROP2@8
0000D959 0000D982 _CreateBrushIndirect@4
0000D987 0000D9C6 _LineTo@12
0000D9CB 0000D9DA _NtGdiLineTo@12
0000D9DF 0000D9F5 _GetDCOrgEx@8
0000D9FA 0000DA09 _NtGdiGetDCPoint@12
0000DA0E 0000DA7C _GetWindowOrgEx@8
0000DB0F 0000DB56 _InvertRgn@8
0000DB5B 0000DB6A _NtGdiInvertRgn@8
0000DB83 0000DCEA _GetTextExtentPointAInternal@20
0000DCEF 0000DD0B _GetTextExtentPointA@16
0000DD62 0000DECC _bCvtPts1@12
0000DED1 0000DF30 @vTextMetricWToTextMetricStrict@8
0000DF35 0000DFE3 _GetTextMetricsA@8
0000DFE8 0000E006 @vTextMetricWToTextMetric@8
0000E00B 0000E05A _FillRgn@12
0000E05F 0000E06E _NtGdiFillRgn@12
0000E073 0000E0AA _Polyline@12
0000E0AF 0000E0CB _GetCharABCWidthsW@16
0000E0D0 0000E10B _bGetCharABCWidthsW@20
0000E110 0000E11F _NtGdiGetCharABCWidthsW@24
0000E124 0000E1F2 _bComputeCharWidths@20
0000E1F7 0000E216 _GetCharWidthA@16
0000E21B 0000E3CC _bGetCharWidthA@20
0000E3D1 0000E432 _IcmSelectColorTransform@16
0000E437 0000E473 _IcmDeleteLocalDC@12
0000E478 0000E487 _NtGdiSetIcmMode@12
0000E558 0000E567 _NtGdiTransformPoints@20
0000E58C 0000E5C7 _GetAndSetDCDWord@24
0000E5CC 0000E5DB _NtGdiGetAndSetDCDword@16
0000E601 0000E688 _DPtoLP@12
0000E68D 0000E732 _SetTextCharacterExtra@8
0000E7D9 0000E7EE _GdiSetLastError@4
0000E858 0000E915 _SetICMMode@8
0000E91A 0000E934 _DdLock@4
0000E939 0000E948 _NtGdiDdLock@12
0000E94D 0000E965 _DdUnlock@4
0000E96A 0000E979 _NtGdiDdUnlock@8
0000E97E 0000E995 _GdiEntry6@8
0000E99A 0000E9A9 _NtGdiDdResetVisrgn@8
0000E9AE 0000E9F3 _Rectangle@20
0000E9F8 0000EA07 _NtGdiRectangle@20
0000EA4B 0000EA74 _RealizePalette@4
0000EA79 0000EA95 _CreateICA@16
0000EB2D 0000EB3C _NtGdiGetDeviceCapsAll@8
