00005F86 00005F9F ?ClassInstall32@@YGKIPAXPAU_SP_DEVINFO_DATA@@@Z
00005FA4 00005FCD ??0CBuffer@@QAE@K@Z
00005FD2 00006025 ??0CTextString@@QAE@XZ
0000602A 0000605D ??0CTextMultistring@@QAE@XZ
00006075 00006096 ??_GCTextMultistring@@UAEPAXI@Z
0000609B 000060BC ??_ECHandleList@@UAEPAXI@Z
000060C1 000060E3 ??1CHandleList@@UAE@XZ
000060E8 00006159 ?Clear@CHandleList@@QAEXXZ
0000615E 000061C9 ?Close@CHandleList@@QAEPAVCHandle@@K@Z
000061CE 0000622F ?Get@CHandleList@@QAEQAVCHandle@@K@Z
00006234 000062D2 _SCardReleaseContext@4
000062FA 0000637A _SCardDisconnect@8
000063BC 0000646C _SCardIsValidContext@4
00006494 0000650B _SCardFreeMemory@8
00006533 000065B3 _SCardCancel@4
000065DB 00006687 _SCardReconnect@20
000066AF 00006735 _SCardBeginTransaction@4
0000675D 000067E6 _SCardEndTransaction@8
0000680E 00006930 _SCardState@20
00006958 00006A4F _SCardTransmit@28
00006A77 00006B60 _SCardControl@28
00006B88 00006FAF _SCardGetAttrib@16
00006FDA 00007069 _SCardSetAttrib@16
00007091 00007187 ?PlaceResult@@YGXPAVCSCardUserContext@@AAVCBuffer@@PADPAK@Z
0000718C 00007282 ?PlaceMultiResult@@YGXPAVCSCardUserContext@@AAVCBuffer@@PADPAK@Z
00007287 000073A0 _SCardListReaderGroupsA@12
000073C8 00007522 _SCardListReadersA@16
0000754A 000075F0 _SCardListCardsA@24
00007618 0000771E _SCardListInterfacesA@16
00007746 0000784F _SCardGetProviderIdA@12
00007877 00007943 _SCardGetCardTypeProviderNameA@20
0000796B 00007A71 _SCardIntroduceReaderGroupA@8
00007A99 00007B9F _SCardForgetReaderGroupA@8
00007BC7 00007D10 _SCardIntroduceReaderA@12
00007D38 00007E3E _SCardForgetReaderA@8
00007E66 00007FAF _SCardAddReaderToGroupA@12
00007FD7 00008120 _SCardRemoveReaderFromGroupA@12
00008148 000081E6 _SCardIntroduceCardTypeA@32
0000820E 000082CE _SCardSetCardTypeProviderNameA@16
000082F6 00008382 _SCardForgetCardTypeA@8
000083AA 0000849A _SCardLocateCardsByATRA@20
000084C2 000085AC _SCardGetStatusChangeA@16
000085D4 00008777 _SCardConnectA@24
000087E5 0000892E _SCardStatusA@28
00008956 00008B75 _SCardLocateCardsA@16
00008B85 00008C82 ?PlaceResult@@YGXPAVCSCardUserContext@@AAVCBuffer@@PAGPAK@Z
00008C87 00008D84 ?PlaceMultiResult@@YGXPAVCSCardUserContext@@AAVCBuffer@@PAGPAK@Z
00008D89 00008EA2 _SCardListReaderGroupsW@12
00008ECA 00009024 _SCardListReadersW@16
0000904C 000090F2 _SCardListCardsW@24
0000911A 00009220 _SCardListInterfacesW@16
00009248 00009351 _SCardGetProviderIdW@12
00009379 00009445 _SCardGetCardTypeProviderNameW@20
0000946D 00009573 _SCardIntroduceReaderGroupW@8
0000959B 000096A1 _SCardForgetReaderGroupW@8
000096C9 00009812 _SCardIntroduceReaderW@12
0000983A 00009940 _SCardForgetReaderW@8
00009968 00009AB1 _SCardAddReaderToGroupW@12
00009AD9 00009C22 _SCardRemoveReaderFromGroupW@12
00009C4A 00009CE8 _SCardIntroduceCardTypeW@32
00009D10 00009DD0 _SCardSetCardTypeProviderNameW@16
00009DF8 00009E84 _SCardForgetCardTypeW@8
00009EAC 00009F9C _SCardLocateCardsByATRW@20
00009FC4 0000A0AE _SCardGetStatusChangeW@16
0000A0D6 0000A279 _SCardConnectW@24
0000A2E7 0000A430 _SCardStatusW@28
0000A458 0000A6BE _SCardLocateCardsW@16
0000A6CE 0000A710 ?TsRdrLogEvent@@YGXGKIPAPBD@Z
0000A715 0000A800 ?GetSystemErrorString@@YGJJPAPAD@Z
0000A814 0000A985 ?LoadRedirectionDll@@YG_NXZ
0000A9A9 0000AA87 ?SetRedirectDisabledValue@@YGXXZ
0000AB27 0000AB8F ?RedirectDisabled@@YG_NXZ
0000ABA1 0000ABBE ??4CBuffer@@QAEAAV0@ABV0@@Z
0000ABC3 0000ABCA ??1CHandle@@MAE@XZ
0000ABD1 0000ABD2 ?Cancel@CHandle@@MAEXXZ
0000ABD7 0000ABF2 ?MarkAsBad@CHandle@@MAEXH@Z
0000ABF7 0000AC19 ??_ECHandle@@MAEPAXI@Z
0000AC1E 0000AC3C ??0COwnCriticalSection@@QAE@PAVCCriticalSectionObject@@PBE1@Z
0000AC41 0000AC53 ?IsValid@CHandleObject@@QBEHXZ
0000AC58 0000AC79 ??_GCComObject@@UAEPAXI@Z
0000AC7E 0000ACA1 ?InitRequest@ComEstablishContext@@QAEPAUCObjEstablishContext_request@1@K@Z
0000ACA6 0000ACC9 ?InitResponse@ComEstablishContext@@QAEPAUCObjEstablishContext_response@1@K@Z
0000ACCE 0000ACF1 ?InitRequest@ComReleaseContext@@QAEPAUCObjReleaseContext_request@1@K@Z
0000ACF6 0000AD19 ?InitResponse@ComReleaseContext@@QAEPAUCObjReleaseContext_response@1@K@Z
0000AD1E 0000AD41 ?InitRequest@ComIsValidContext@@QAEPAUCObjIsValidContext_request@1@K@Z
0000AD46 0000AD69 ?InitResponse@ComIsValidContext@@QAEPAUCObjIsValidContext_response@1@K@Z
0000AD6E 0000AD91 ?InitRequest@ComLocateCards@@QAEPAUCObjLocateCards_request@1@K@Z
0000AD96 0000ADB9 ?InitResponse@ComLocateCards@@QAEPAUCObjLocateCards_response@1@K@Z
0000ADBE 0000ADE1 ?InitRequest@ComGetStatusChange@@QAEPAUCObjGetStatusChange_request@1@K@Z
