0000BC1A 0000BCD6 _CopyDibHdr@12
0000BCE9 0000BD2A _HowManyColors@12
0000BD2F 0000BD8E __SetCursorIconData@8
0000BD93 0000BDA2 _NtUserSetCursorIconData@16
0000BDCB 0000BE62 _CreateScreenBitmap@24
0000BE86 0000BF25 _Convert1BppToMonoBitmap@8
0000BFC9 0000BFEC _WowGetModuleFileName@12
0000C035 0000C0C2 _ObjectFromDIBResource@24
0000C0C7 0000C112 _LoadDIB@24
0000C117 0000C131 _SplFindResource@12
0000C1EC 0000C21B _TrulyMonochrome@8
0000C271 0000C2B7 _ChangeDibColors@8
0000C2BC 0000C465 _ConvertDIBIcon@28
0000C46A 0000C4A3 _CreateIcoCur@4
0000C4A8 0000C4D5 _GetResourceBpp@8
0000C4DA 0000C50F _LookupIconIdFromDirectoryEx@20
0000C514 0000C57F _RtlGetIdFromDirectory@24
0000C584 0000C5FE _GetBestImage@24
0000C603 0000C689 _MatchImage@20
0000C68E 0000C6AC _MyAbs@12
0000C6BF 0000C6F9 _Magnitude@4
0000C721 0000C787 _CopyBmp@16
0000C78C 0000C867 _DIBFromBitmap@8
0000C86C 0000CA14 _CreateIconIndirect@4
0000CA19 0000CAC8 _SmartStretchDIBits@52
0000CCFC 0000CED8 _PrivateExtractIconsW@32
0000CEDD 0000CEF5 _PathIsUNC@4
0000CEFA 0000CFC1 _HasExtension@4
0000CFC6 0000D010 _PathFindExtension@4
0000D01C 0000D0D5 _FindResourcePE@20
0000D0DA 0000D11E _GetResourceTablePE@4
0000D123 0000D188 _RVAtoP@8
0000D18D 0000D348 _ExtractIconFromEXE@32
0000D354 0000D3B7 _CreateIconFromResourceEx@28
0000D3C3 0000D41D _PrivateExtractIconExW@20
0000D436 0000D546 _MixRGB@24
0000D621 0000D72C _ScaleDIB@16
0000D74B 0000D87F _MixRGBI@28
0000D8A6 0000D9B6 _Scale424@44
0000D9BB 0000D9CA _NtUserCreateAcceleratorTable@8
0000DA62 0000DAB2 _AddAccResource@8
0000DAB7 0000DB4F _ThunkedMenuItemInfo@24
0000DB54 0000DBEB _SetMenuItemInfoStruct@20
0000DCD9 0000DCE8 _NtUserUnlockWindowStation@4
0000DD58 0000DE09 _GetClassInfoExA@12
0000DE46 0000DE55 _NtUserSetWindowPlacement@8
0000DE5A 0000DE6D _LockSetForegroundWindow@4
0000DE72 0000DEB7 _CopyIcon@4
0000DEBC 0000DF62 _GetClassInfoExW@12
0000DF91 0000DFA0 _NtUserEnumDisplaySettings@16
0000E03C 0000E0DE _EnumDisplayDevicesW@16
0000E0E3 0000E0FF _FindWindowExW@16
0000E104 0000E117 _RegisterShellHookWindow@4
0000E14B 0000E198 _SetClassLongW@12
0000E443 0000E4BF _GetWindowRgn@8
0000E4C4 0000E52E _fnINDEVICECHANGE@28
0000E533 0000E643 _BroadcastSystemMessageWorker@28
0000E666 0000E687 _BroadcastSystemMessageW@20
0000E68C 0000E74F ___fnINDEVICECHANGE@4
0000E754 0000E812 _Scale824@44
0000E817 0000E8A2 _RegisterDeviceNotificationWorker@16
0000E8B9 0000E8D2 _RegisterDeviceNotificationW@12
0000E8D7 0000E949 _UnregisterDeviceNotification@4
0000E9E2 0000E9F8 _CtxInitUser32@0
0000EA3B 0000EA9F _CreateDialogParamW@20
0000EBB3 0000EBC2 _NtUserRegisterHotKey@16
0000EBE2 0000EC10 _ResetMessagePumpHook@4
0000EC32 0000EC41 _NtUserRealInternalGetMessage@24
0000EC46 0000EC8A ___ClientGetMessageMPH@4
0000ECA3 0000ECB2 _NtUserOpenInputDesktop@12
0000ECB7 0000ECC8 _LoadRemoteFonts@0
0000ED14 0000ED66 ___ClientAddFontResourceW@4
0000ED6B 0000ED71 _GdiAddFontResourceW@12
0000EDD8 0000EDE2 _LoadLocalFonts@0
0000EDFB 0000EE08 _NtUserUnregisterUserApiHook@0
0000EE0D 0000EE20 ___ClientLoadLocalT1Fonts@4
0000EE25 0000EE30 _vLoadLocalT1Fonts@0
0000EE5D 0000EFAB _RtlLoadObjectFromDIBFile@20
0000F11F 0000F254 _vSweepFonts@16
0000F259 0000F28C _vLoadT1Fonts@4
0000F291 0000F31F _bLoadableFontDrivers@0
0000F324 0000F333 _NtUserSetWindowStationUser@16
0000F338 0000F36D _SetWindowStationUser@16
0000F372 0000F397 _Logon@4
0000F3C4 0000F3D3 _NtUserLockWindowStation@4
0000F4B2 0000F4EC ___ClientGetCharsetInfo@4
0000F51F 0000F55D _ModifyMenuW@20
0000F5B4 0000F5C3 _NtUserSetMenuDefaultItem@12
0000F5C8 0000F5FC _InsertMenuItemW@16
0000F601 0000F609 _CreatePopupMenu@0
0000F60E 0000F64C _InsertMenuW@20
0000F667 0000F68E _GetMenuDefaultItem@12
0000F716 0000F725 _NtUserRemoveMenu@12
0000F72A 0000F7AE _GetMenuItemInfoW@16
0000F83E 0000F8FA _GetMenuItemInfoInternalW@16
0000F914 0000F962 __GetMenuDefaultItem@12
0000F967 0000F997 _GetMenuState@12
0000F99C 0000F9C9 __GetMenuState@12
0000FA3E 0000FABC _ExtractIconFromICO@24
0000FB5D 0000FD1A _IconFromBestImage@36
0000FE08 0000FE69 _UnregisterMessagePumpHook@0
0000FE6E 0000FE7D _NtUserSwitchDesktop@4
0000FEC6 0000FF37 _MakeInstSpecificAtom@8
0000FF3C 0000FF8D _GlobalToLocalAtom@4
0000FF92 0000FFA1 _NtUserSetShellWindowEx@8
0000FFA6 0001007D _ProcessRegistrationMessage@16
00010082 00010107 _DoCallback@36
00010107 00010133 _UserCallDDECallback@36
00010138 00010206 _SubtractRect@12
00010242 0001025B _LoadBitmapW@8
00010260 00010273 _SetTaskmanWindow@4
00010278 00010287 _NtUserCallHwndOpt@8
0001028C 000102DD _IncGlobalAtomCount@4
000102E2 00010333 _LocalToGlobalAtom@4
00010338 00010361 _ValidateHSZ@4
00010366 000103B7 _IncLocalAtomCount@4
000103BC 000103CB _NtUserDdeInitialize@20
000103D0 000103D6 _EnableEUDC@4
000103FC 00010442 _SendRegisterMessageToClass@20
00010447 0001045C _DdeCreateStringHandleW@12
0001045C 000104EC _InternalDdeCreateStringHandle@12
000104F1 00010527 _ValidateInstance@4
0001052C 00010582 _ValidateCHandle@12
00010587 0001061C _AddInstance@4
00010621 000106D2 _CreateHandle@12
000106D7 000106FA _DdeInitializeW@16
000106FF 00010833 _InternalDdeInitialize@16
00010838 00010859 _SetHandleData@8
0001085E 00010978 _DdeNameService@16
0001097D 000109DF _RegisterService@12
000109E4 000109F7 ___ClientLoadRemoteT1Fonts@4
000109FC 00010A07 _vLoadRemoteT1Fonts@0
00010A0C 00010C27 _GetKeyboardDllName1@16
00010C2C 00010CA0 _OpenKeyboardLayoutFile@20
00010CA5 00010E19 _OpenKeyboardLayoutFileWorker@20
00010E1E 00010E2D _NtUserSetImeHotKey@20
00010E32 00010E91 _CliImmSetHotKeyWorker@20
00010E96 00010F69 _CliGetImeHotKeysFromRegistry@0
00010F6E 00011028 _CliSetSingleHotKey@8
0001102D 000110A2 _CliReadRegistryValue@8
000110A7 0001115D _LoadKeyboardLayoutWorker@16
00011162 00011207 _CliImmInitializeHotKeys@8
0001120C 0001125C _SetFeKeyboardFlags@8
00011261 0001129B __LoadKeyboardLayoutEx@28
000112A0 000112AF _NtUserLoadKeyboardLayoutEx@28
000112B4 000113AE _GetActiveKeyboardName@4
000113B3 000113D8 _SetUserObjectSecurity@12
000113DD 00011407 _CreateWindowStationW@16
0001140C 00011611 _CommonCreateWindowStation@16
00011616 00011625 _NtUserCreateWindowStation@28
0001162A 00011672 _CreateDesktopW@24
00011677 000116D2 _CommonCreateDesktop@24
000116D7 000116E6 _NtUserCreateDesktop@20
000116EB 0001177B ___ClientLoadImage@4
000117A9 000117B8 _NtUserUpdatePerUserSystemParameters@8
00011805 0001188D ___ClientLoadStringW@4
00011892 000118AD _UpdatePerUserImmEnabling@0
000118B2 000118B8 _LdrFlushAlternateResourceModules@0
000118DB 0001196E _CliGetPreloadKeyboardLayouts@4
00011973 000119B8 _GetRemoteKeyboardLayout@4
000119BD 000119C3 __chkstk
000119C8 00011A33 _UpdatePerUserSystemParameters@8
00011A38 00011ABD _LoadPreloadKeyboardLayouts@0
00011AC2 00011B1D _IsCharAlphaNumericW@4
00011B3B 00011B54 _RegisterDeviceNotificationA@12
00011B8A 00011BA0 _SetWindowsHookW@8
00011BA5 00011BBB _UnhookWindowsHook@8
00011BD0 00011C80 _Scale2424@44
00011CFF 00011D74 _RegisterUserApiHook@8
00011D79 00011D88 _NtUserRegisterUserApiHook@8
00011E40 00011E53 _AllowSetForegroundWindow@4
00011EFC 00011FA9 _RegisterMessagePumpHook@4
