00004543 000045EE ?GetNextToken@XMLStream@@QAEJPAKPAPBGPAJ2@Z
0000462C 000048BE ?Run@XMLParser@@UAGJJ@Z
0000493D 00004B72 ?SxspComProgIdRedirectionContributorCallback@@YGXPAT_ACTCTXCTB_CALLBACK_DATA@@@Z
00004BB9 00004C9E ?SxspProcessElementPathMap@@YGHPBU_ACTCTXCTB_PARSE_CONTEXT@@PBU_ELEMENT_PATH_MAP_ENTRY@@KAAKAA_N@Z
00004CA3 00004CED ?GetLineNumber@XMLParser@@UAGKXZ
00004CF2 00004D06 ?GetLine@XMLStream@@QAEKXZ
00004D06 00004D0A ?getLine@BufferedStream@@QAEJXZ
00004D0F 00004D52 ?getCurrentStream@XMLStream@@AAEPAVBufferedStream@@XZ
00004D57 00004DB9 ?getLineBuf@BufferedStream@@QAEPAGPAK0@Z
00004DBE 00004EC1 ?ConvertXMLNodeInfoToSXSNodeInfo@CNodeFactory@@QAEJPBU_XML_NODE_INFO@@AAU_SXS_NODE_INFO@@@Z
00004EC6 00004F23 ?Clear@?$CGenericBaseStringBuffer@VCUnicodeCharTraits@@@@QAEX_N@Z
00004F73 00004F9F ?init@XMLStream@@AAEJXZ
00004FA4 00005042 ?parseContent@XMLStream@@AAEJXZ
00005042 000050E4 ?parsePCData@XMLStream@@AAEJXZ
000050E9 00005126 ??_E_SXS_NODE_INFO@@QAEPAXI@Z
0000512B 00005184 ??_M@YGXPAXIHP6EX0@Z@Z
00005199 00005277 ?SxspIsInternalAssemblyIdentityAttribute@@YGHKPBU_INTERNAL_ASSEMBLY_IDENTITY_ATTRIBUTE@@PBGK1KPAH@Z
000053FA 00005582 ?SxspWindowClassRedirectionContributorCallback@@YGXPAT_ACTCTXCTB_CALLBACK_DATA@@@Z
0000579A 00005866 ?PopulateCallbackHeader@CActivationContextGenerationContextContributor@@QAEXAAU_ACTCTXCTB_CBHEADER@@KPAU_ACTCTXGENCTX@@@Z
