0000BACE 0000BB90 _GetRC4KeyForSymWrap@16
0000BB95 0000BBF5 _GetSymmetricKeyChecksum@12
0000BBFA 0000BD96 _BlockEncrypt@28
0000BD9B 0000BEFB _BlockDecrypt@24
0000BF00 0000BFCA _feedPlainText@20
0000BFCF 0000C076 _feedCypherText@16
0000C07B 0000C0BC _generateSignature@20
0000C0C1 0000C1AA _verifySignature@24
0000C1AF 0000C4B8 _TestEncDec@32
0000C4BD 0000C501 _TestSymmetricAlgorithm@28
0000C506 0000C861 _WrapSymKey@20
0000C866 0000C9ED _exportKey@32
0000C9F2 0000CA72 _openKeyGroup@4
0000CA77 0000CBE2 _OpenUserKeyGroup@12
0000CBE7 0000CC76 _readKey@16
0000CC7B 0000CC9A _saveKey@16
0000CC9F 0000CCFA _CheckKeySetType@4
0000CCFF 0000CDBA _DeleteOldKeyGroup@8
0000CDBF 0000CDF1 _DeleteKeyGroup@4
0000CDF6 0000CE3C _MyPrimitiveSHA@12
0000CE41 0000CE8D _MyPrimitiveMD5@12
0000CE92 0000D033 _MyPrimitiveHMACParam@24
0000D038 0000D13C _P_Hash@28
0000D141 0000D23F _PRF@32
0000D244 0000D440 _SCHSetKeyParam@16
0000D445 0000D577 _SSL3SingleHash@36
0000D57C 0000D62C _SSL3HashPreMaster@32
0000D631 0000D982 _SChGenMasterKey@8
0000D987 0000DA23 _HelperHash@24
0000DA28 0000DB90 _RCDeriveSChKey@20
0000DB95 0000DC45 _MakeNewKey@32
0000DC4A 0000E068 _SSL3DeriveWriteKey@12
0000E06D 0000E13F _TLSDeriveExportableRCKey@32
0000E144 0000E263 _TLSDeriveExportableEncKey@32
0000E268 0000E425 _TLSDeriveKey@16
0000E42A 0000E52F _SecureChannelDeriveKey@16
0000E534 0000E592 _SetPRFHashParam@12
0000E597 0000E5F3 _CalculatePRF@12
0000E5F8 0000E7C5 _readUserKeys@8
0000E7CA 0000EC3C _ProtectPrivKey@16
0000EC41 0000EF1E _UnprotectPrivKey@16
0000EF23 0000EF87 _writeUserKeys@4
0000EF8C 0000F029 _GetRegKeySecDescr@16
0000F02E 0000F0C6 _MigrateKeysToNT5Format@4
0000F0CB 0000F320 _logonUser@20
0000F325 0000F338 _logoffUser@4
0000F33D 0000F378 _FreePSInfo@4
0000F37D 0000F3D9 _CheckPStoreAvailability@4
0000F3DE 0000F4F2 _GetKeysetTypeAndSubType@4
0000F4F7 0000F5C9 _SetKeyTypeSubtype@8
0000F5CE 0000F6CF ?RestoreKeyFromProtectedStorage@@YGKPAUContext_t@@PAU_Key_t_@@PAG2HHPAH@Z
0000F6D4 0000F71F ?MakeUnicodeKeysetName@@YGKPAEPAPAG@Z
0000F724 0000F771 _RestoreKeysetFromProtectedStorage@20
0000F776 0000F82F _DeleteKeyFromProtectedStorage@16
0000F834 0000F893 _DeleteFromProtectedStorage@12
0000F898 0000F8DC _bignum_alloc@4
0000F8E1 0000F90B _bignum_free@4
0000F910 0000F93E _get_generator@12
0000F943 0000FA10 ___delayLoadHelper2@8
0000FA15 0000FA83 ___security_init_cookie
0000FA88 0000FA9E @__security_check_cookie@4
0000FAA3 0000FB9B ___report_gsfailure
0000FBA0 0000FC52 __CRT_INIT@12
0000FC57 0000FCF6 __DllMainCRTStartup@12
0000FCFC 0000FD02 _wcslen
0000FD10 0000FD4D __chkstk
0000FD54 0000FD8F __SEH_prolog
0000FD8F 0000FDA0 __SEH_epilog
0000FDA6 0000FDAC __except_handler3
0000FDB6 0000FDBC __initterm
0000FDC2 0000FDC8 _A_SHAFinal@8
0000FDCE 0000FDD4 _A_SHAUpdate@12
0000FDDA 0000FDE0 _A_SHAInit@4
0000FDE6 0000FDEC _SystemFunction036@8
0000FDF2 0000FDF8 _MD5Final@4
0000FDFE 0000FE04 _MD5Update@12
0000FE0A 0000FE10 _MD5Init@4
0000FE10 0000FE1A __imp_load__CoTaskMemFree@4
0000FE1A 0000FE2B __tailMerge_ole32
0000FE2B 0000FE35 __imp_load__CryptEncodeObjectEx@28
0000FE35 0000FE46 __tailMerge_CRYPT32
0000FE4B 0000FE92 _I_PrivKeyCacheLock@4
0000FE97 0000FEA3 _I_PrivKeyCacheUnlock@4
0000FEA8 0000FF3C _I_PrivKeyCacheGetCurrentLuid@4
0000FF41 0000FF5C _ContAlloc@4
0000FF61 0000FF7F _ContRealloc@8
0000FF84 0000FFA5 _ContFree@4
0000FFAA 0000FFC7 _MyRtlEncryptMemory@8
0000FFCC 0000FFE9 _MyRtlDecryptMemory@8
0000FFEE 00010000 _IsForceHighProtectionEnabled@4
00010005 0001009E _InitializeForceHighProtection@4
000100A3 00010102 _OpenCallerToken@8
00010107 00010172 _MyCryptProtectData@28
00010177 0001022A _MyCryptUnprotectData@32
0001022F 0001026D _FreeEnumOldMachKeyEntries@4
00010272 000102B0 _FreeEnumRegEntries@4
000102B5 00010374 _FreeContainerInfo@4
00010379 00010421 _GetHashOfContainer@8
00010426 00010552 _GetMachineGUID@4
00010557 000105EB _AddMachineGuidToContainerName@8
000105F0 0001066A _TryDPAPI@0
0001066F 00010729 _ProtectExportabilityFlag@16
0001072E 000107CF _UnprotectExportabilityFlag@16
000107D4 000108F1 _GetMachineKeysetDirDACL@4
000108F6 000109D2 _CreateSystemDirectory@8
000109D7 00010B02 _CreateNestedDirectories@12
00010B07 00010B77 _FIsWinNT@0
00010B7C 00010D69 _IsLocalSystem@4
00010D6E 00010EF7 _IsThreadLocalSystem@4
00010EFC 0001100C _GetTextualSidA@12
00011011 00011124 _GetTextualSidW@12
00011129 000111C3 _GetUserSid@12
000111C8 00011254 _GetUserTextualSidA@8
00011259 000112E5 _GetUserTextualSidW@8
000112EA 0001133A _GetUserDirectory@12
0001133F 0001158F _GetUserStorageArea@20
00011594 00011609 _GetFilePath@12
0001160E 00011723 _MyCreateFile@28
00011728 000117F1 _OpenFileInStorageArea@20
000117F6 00011967 _FindClosestFileInStorageArea@16
0001196C 00011A13 _ZeroizeFile@4
00011A18 00011AB5 _DeleteFileInStorageArea@8
00011ABA 00011AF7 _SetContainerUserName@8
00011AFC 00011FD6 _ReadContainerInfo@20
00011FDB 00012263 _WriteContainerInfo@16
00012268 0001237E _ReadContainerNameFromFile@20
00012383 0001247B _GetUniqueContainerName@12
00012480 000124C8 _MachineGuidInFilename@8
000124CD 000126ED _GetNextContainer@24
000126F2 00012811 _MyRegOpenKeyEx@20
00012816 0001290B _MyRegDeleteKey@8
00012910 00012B68 _AllocAndSetLocationBuff@32
00012B6D 00012E70 _EnumOldMachineKeys@8
00012E75 00012F0D _GetNextEnumedOldMachKeys@16
00012F12 00013094 _EnumRegKeys@20
00013099 00013113 _GetNextEnumedRegKeys@12
00013118 00013284 _OpenRegKeyWithTokenPriviledges@16
00013289 00013312 _CheckAndChangeAccessMasks@4
00013317 00013408 _ConvertContainerSecurityDescriptor@12
0001340D 00013503 _SetSecurityOnContainer@20
00013508 00013684 _GetSecurityOnContainer@24
00013689 000136AF _FreeOffloadInfo@4
000136B4 0001386E _InitExpOffloadInfo@4
00013873 000138CC _ModularExpOffload@36
000138D1 000139D8 _FetchString@24
000139DD 00013DBC _LoadStrings@0
00013DC1 00013DE6 _UnloadStrings@0
00013DEB 00013E91 _MACBytes@24
00013E96 00013EE5 _GetResourcePtr@16
00013EEA 00013FAF _MACBytesOfFile@24
00013FB4 00014376 _MACTheFile@8
0001437B 0001441A _SelfMACCheck@4
