000030DD 000030E6 ?AfxLockTempMaps@@YGXXZ
000030EB 000031EC ?AfxUnlockTempMaps@@YGHH@Z
000031F1 0000327F ?OnCommand@CWnd@@MAEHIJ@Z
00003284 000032FD ?OnCommand@CFrameWnd@@MAEHIJ@Z
00003302 000033AC ?OnIdleUpdateCmdUI@CControlBar@@QAEJIJ@Z
000033B1 00003427 ?OnUpdateCmdUI@CStatusBar@@UAEXPAVCFrameWnd@@H@Z
0000342C 00003462 ?Enable@CStatusCmdUI@@UAEXH@Z
00003467 00003478 ?GetPaneStyle@CStatusBar@@QBEIH@Z
0000347D 000034D0 ?SetPaneStyle@CStatusBar@@QAEXHI@Z
000034D5 000035DA ?UpdateDialogControls@CWnd@@QAEXPAVCCmdTarget@@H@Z
000035DF 0000369C ?OnUpdateCmdUI@CToolBar@@UAEXPAVCFrameWnd@@H@Z
000036A1 000036C0 ?_GetButton@CToolBar@@IBEXHPAU_TBBUTTON@@@Z
000036C5 00003705 ?Enable@CToolCmdUI@@UAEXH@Z
0000370A 0000373F ?GetButtonStyle@CToolBar@@QBEIH@Z
00003744 000037A3 ?SetButtonStyle@CToolBar@@QAEXHI@Z
000037A8 000037AC ?GetBlob@CBlobProperty@@QAEPAXXZ
000037B1 000037C1 ?GetNextDocTemplate@CDocManager@@UBEPAVCDocTemplate@@AAPAU__POSITION@@@Z
000037C6 00003837 ?OnIdleUpdateCmdUI@CFrameWnd@@IAEXXZ
0000383C 0000386F ?OnIdle@CDocTemplate@@UAEXXZ
00003874 00003888 ?GetNextItem@COleDocument@@UBEPAVCDocItem@@AAPAU__POSITION@@@Z
0000388D 000038F0 ?OnUpdateKeyIndicator@CFrameWnd@@IAEXPAVCCmdUI@@@Z
000038F5 0000396D ?_AfxHandleSetCursor@@YGHPAVCWnd@@II@Z
00003972 0000399E ?OnSetCursor@CFrameWnd@@IAEHPAVCWnd@@II@Z
000039A3 000039B4 ?GetActiveDocument@CFrameWnd@@UAEPAVCDocument@@XZ
000039B9 000039DD ?GetDefaultAccelerator@CFrameWnd@@UAEPAUHACCEL__@@XZ
000039E2 00003A06 ?GetDefaultAccelerator@COleServerDoc@@MAEPAUHACCEL__@@XZ
00003A0B 00003A87 ?OnNotify@CWnd@@MAEHIJPAJ@Z
00003A8C 00003B2F ?OnCmdMsg@COleDocument@@UAEHIHPAXPAUAFX_CMDHANDLERINFO@@@Z
00003B34 00003B3A ?_GetBaseMessageMap@COleServerDoc@@KGPBUAFX_MSGMAP@@XZ
00003B3F 00003B84 ?SetCheck@CToolCmdUI@@UAEXH@Z
00003B89 00003BE2 ?OnIdle@COleDocument@@UAEXXZ
00003BE7 00003C62 ?GetScrollBarCtrl@CView@@UBEPAVCScrollBar@@H@Z
00003C67 00003CC6 ?GetParentSplitter@CView@@SGPAVCSplitterWnd@@PBVCWnd@@H@Z
00003CCB 00003CF5 ?GetScrollPos@CWnd@@QBEHH@Z
00003CFA 00003D41 ?GetWindowTextA@CWnd@@QBEXAAVCString@@@Z
00003D46 00003D56 ?OnUpdateCharBold@CRichEditView@@IAEXPAVCCmdUI@@@Z
00003D5B 00003D94 ?OnUpdateCharEffect@CRichEditView@@QAEXPAVCCmdUI@@KK@Z
00003D99 00003DC2 ?GetCharFormatSelection@CRichEditView@@QAEAAU_charformat@@XZ
00003DC7 00003DD7 ?OnUpdateCharItalic@CRichEditView@@IAEXPAVCCmdUI@@@Z
00003DDC 00003DEC ?OnUpdateCharUnderline@CRichEditView@@IAEXPAVCCmdUI@@@Z
00003DF1 00003DFF ?OnUpdateParaLeft@CRichEditView@@IAEXPAVCCmdUI@@@Z
00003E04 00003E4E ?OnUpdateParaAlign@CRichEditView@@QAEXPAVCCmdUI@@G@Z
00003E53 00003E7C ?GetParaFormatSelection@CRichEditView@@QAEAAU_paraformat@@XZ
00003E81 00003E8F ?OnUpdateParaCenter@CRichEditView@@IAEXPAVCCmdUI@@@Z
00003E94 00003EA2 ?OnUpdateParaRight@CRichEditView@@IAEXPAVCCmdUI@@@Z
00003EA7 00003ED8 ?OnUpdateBullet@CRichEditView@@IAEXPAVCCmdUI@@@Z
00003EDD 00003EF8 ?GetDlgCtrlID@CWnd@@QBEHXZ
00003EFD 00003F26 ?OnUpdateNeedText@CRichEditView@@IAEXPAVCCmdUI@@@Z
00003F2B 00003F58 ?OnUpdateNeedSel@CRichEditView@@IAEXPAVCCmdUI@@@Z
00003F5D 00003F8C ?GetSel@CRichEditCtrl@@QBEXAAJ0@Z
00003F91 00003FAA ?OnUpdateNeedClip@CRichEditView@@IAEXPAVCCmdUI@@@Z
00003FAF 00004037 ?CanPaste@CRichEditView@@QBEHXZ
0000403C 00004055 ?OnUpdateEditUndo@CEditView@@IAEXPAVCCmdUI@@@Z
0000405A 00004078 ?GetSelectionCharFormat@CRichEditCtrl@@QBEKAAU_charformat@@@Z
0000407D 0000409B ?GetParaFormat@CRichEditCtrl@@QBEKAAU_paraformat@@@Z
000040A0 000040B9 ?OnSelChange@CRichEditView@@IAEXPAUtagNMHDR@@PAJ@Z
000040BE 0000411E ?OnKeyDown@CRichEditView@@IAEXIII@Z
00004123 00004162 ??2@YAPAXI@Z
00004167 00004187 ?Create@CPlex@@SGPAU1@AAPAU1@II@Z
0000418C 00004192 ??3@YAXPAX@Z
00004197 000041D7 ??1CDC@@UAE@XZ
000041DC 000041F0 ??0CDC@@QAE@XZ
000041F5 0000421E ??4CString@@QAEABV0@PBD@Z
00004223 00004252 ?AssignCopy@CString@@IAEXHPBD@Z
00004257 00004282 ?AllocBeforeWrite@CString@@IAEXH@Z
00004287 000042BA ?Release@CString@@IAEXXZ
000042BF 00004307 ?OnNTCtlColor@CWnd@@IAEJIJ@Z
0000430C 00004335 ?OnCtlColor@CWnd@@IAEPAUHBRUSH__@@PAVCDC@@PAV1@I@Z
0000433A 0000438C ??0CString@@QAE@PBD@Z
00004391 000043C6 ??0CString@@QAE@ABV0@@Z
000043CB 0000440B ?ConcatCopy@CString@@IAEXHPBDH0@Z
00004410 0000458D ?AfxLoadString@@YGHIPADI@Z
00004592 0000464D ?SetPaneText@CStatusBar@@QAEHHPBDH@Z
00004652 00004668 ?OnPaint@CStatusBar@@IAEXXZ
0000466D 00004698 ?AddTail@CPtrList@@QAEPAU__POSITION@@PAX@Z
0000469D 000046F5 ?NewNode@CObList@@IAEPAUCNode@1@PAU21@0@Z
000046FA 0000471C ?RemoveAll@CObList@@QAEXXZ
00004721 00004727 ?GetMessageMap@CSplitterWnd@@MBEPBUAFX_MSGMAP@@XZ
0000472C 000047A3 ?Flush@CArchive@@QAEXXZ
000047A8 0000480E ??H@YG?AVCString@@ABV0@0@Z
00004813 000048A5 ?Write@CArchive@@QAEXPBXI@Z
000048AA 000048D3 ??6CArchive@@QAEAAV0@G@Z
000048D8 00004938 ?ConcatInPlace@CString@@IAEXHPBD@Z
0000493D 00004966 ??YCString@@QAEABV0@PBD@Z
0000496B 000049BD ??4CString@@QAEABV0@ABV0@@Z
000049C2 00004A66 ?LoadStringA@CString@@QAEHI@Z
00004A6B 00004A83 ??0AFX_EXCEPTION_LINK@@QAE@XZ
00004A88 00004AB2 ?AfxGetExceptionContext@@YAPAUAFX_EXCEPTION_CONTEXT@@XZ
00004AB7 00004AD7 ?AfxTryCleanup@@YGXXZ
00004ADC 00004BA0 ?FillBuffer@CArchive@@QAEXI@Z
00004BA5 00004CB3 ?Read@CArchive@@QAEIPAXI@Z
00004CB8 00004CED ??5CArchive@@QAEAAV0@AAG@Z
00004CF2 00004D44 ??ACMapPtrToPtr@@QAEAAPAXPAX@Z
00004D49 00004D7D ?GetAssocAt@CMapPtrToPtr@@IBEPAUCAssoc@1@PAXAAI@Z
00004D82 00004DCF ?NewAssoc@CMapPtrToPtr@@IAEPAUCAssoc@1@XZ
00004DD4 00004E1B ?InitHashTable@CMapStringToPtr@@QAEXIH@Z
