0000A7D8 0000A80E _AddCustomFormat@8
0000A813 0000A87F _RemoveCustomFormat@8
0000A884 0000A8AE _SetCustomFormat@8
0000A8B3 0000A8E4 _EmptyCustomFormats@4
0000A8E9 0000A913 _FlushCustomFormats@4
0000A918 0000A9B4 _RegisterUpdateNotify@4
0000A9EF 0000AA37 _UnRegisterUpdateNotify@4
0000AA3C 0000AA92 _NotifyINIChange@4
0000AA97 0000AB26 _CopyStruct@12
0000AB2B 0000AB4D _NewNameStore@4
0000AB52 0000ABA5 _MeasureItem@8
0000ABAA 0000ACF7 _DrawItem@8
0000ACFC 0000AD32 _SetTitle@4
0000AD37 0000AE83 _SetHelp@4
0000AF01 0000B034 _SelectCustomFormat@4
0000B039 0000B07F _SelectFormatTag@4
0000B084 0000B110 _SelectFormat@4
0000B115 0000B181 _MashNameWithRate@16
0000B186 0000B1D8 _TagUnavailable@4
0000B1DD 0000B22F _FormatUnavailable@4
0000B234 0000B26D _CustomCallback@16
0000B272 0000B399 _InEnumSet@16
0000B39E 0000B3B2 _FormatTagsCallbackSimpleOnlyOne@16
0000B3B7 0000B515 _FormatTagsCallbackSimple@16
0000B51A 0000B5BA _FormatTagsCallback@16
0000B5BF 0000B63D _FilterTagsCallback@16
0000B642 0000B6AA _EmptyFormats@4
0000B6AF 0000B751 _FormatsCallback@16
0000B756 0000B814 _FiltersCallback@16
0000B8E1 0000BA84 _GetCustomFormat@8
0000BA89 0000BB85 _NewInstance@8
0000BC0D 0000BC3E _DeleteInstance@4
0000BC43 0000BE41 _RefreshCustomFormats@8
0000BE46 0000C1FE _RefreshFormatTags@4
0000C203 0000C6BE _RefreshFormats@4
0000C6C3 0000C731 _DelName@4
0000C736 0000C900 _NewNameDlgProc@16
0000C905 0000C9D0 _InitCustomFormats@4
0000C9D5 0000CBA0 _FindFormat@12
0000CBA5 0000CCFB _FindFilter@12
0000CD00 0000CFFA _SetName@4
0000CFFF 0000D034 _FindSelCustomFormat@4
0000D039 0000D0E0 _FindInitCustomFormat@4
0000D0E5 0000D2B5 _InitDialog@12
0000D2BA 0000D357 _UpdateCustomFormats@4
0000D35C 0000D819 _NewSndDlgProc@16
0000D81E 0000DB37 _acmFilterChooseW@4
0000DB3C 0000DD28 _acmFilterChooseA@4
0000DD2D 0000E0BA _acmFormatChooseW@4
0000E0BF 0000E2AA _acmFormatChooseA@4
0000E2AF 0000E30E _IDriverPrioritiesWriteHadid@12
0000E313 0000E37E _IDriverPrioritiesIsMatch@8
0000E383 0000E3B5 _IPrioritiesThunklistFree@4
0000E3BA 0000E53D _IPrioritiesThunklistCreate@8
0000E542 0000E578 _IPrioritiesThunklistRemoveHadid@8
0000E57D 0000E59C _IPrioritiesThunklistGetNextHadid@4
0000E5A1 0000E6FB _IDriverPrioritiesSave@4
0000E700 0000E724 _MulDivRU@12
0000E729 0000E790 _pcmIsValidFormat@4
0000E795 0000E866 _acmdFormatSuggest@8
0000E86B 0000E91A _acmdFormatDetails@12
0000E939 0000E975 _acmdStreamOpen@8
0000E97A 0000EAA4 _acmdStreamSize@12
0000EAA9 0000EBDA _acmdStreamConvert@12
0000EBDF 0000EBF3 _pcmReadSample_M08M08@8
0000EBF8 0000EC15 _pcmReadSample_S08M08@8
0000EC1A 0000EC36 _pcmReadSample_M16M08@8
0000EC3B 0000EC62 _pcmReadSample_S16M08@8
0000EC67 0000ECA7 _pcmReadSample_M08S08@8
0000ECAC 0000ECFE _pcmReadSample_M16S08@8
0000ED03 0000ED35 _pcmReadSample_S16S08@8
0000ED3A 0000ED54 _pcmReadSample_M08M16@8
0000ED59 0000ED84 _pcmReadSample_S08M16@8
0000ED89 0000EDA1 _pcmReadSample_S08S08@8
0000EDA6 0000EDC4 _pcmReadSample_S16M16@8
0000EDC9 0000EE0F _pcmReadSample_M08S16@8
0000EE14 0000EE3E _pcmReadSample_S08S16@8
0000EE43 0000EE89 _pcmReadSample_M16S16@8
0000EE8E 0000EEA4 _pcmReadSample_S16S16@8
0000EEA9 0000EEBB _pcmWriteSample_M08@8
0000EEC0 0000EED6 _pcmWriteSample_S08@8
0000EEDB 0000EEEF _pcmWriteSample_S16@8
0000EEF4 0000EFEF _pcmConvert_C@28
0000EFF4 0000F03E _ValidateReadPointer@8
0000F051 0000F0A3 _ValidateReadWaveFormat@4
0000F0A8 0000F0DA _ValidateReadWaveFilter@4
0000F0DF 0000F0F6 _ValidateCallback@4
0000F0FB 0000F132 _ValidateDriverCallback@8
0000F137 0000F194 _AcquireLockShared@4
0000F199 0000F1BC _Imbstowcs@12
0000F1C1 0000F1E7 _Iwcstombs@12
0000F1EC 0000F254 _IRegOpenKeyAudio@4
0000F2A7 0000F4A7 _XRegThunkEntry@36
0000F4CF 0000F5C7 ___report_gsfailure
0000F5CC 0000F5D2 __except_handler3
