000081D6 0000823B ?AtlModuleTerm@ATL@@YGJPAU_ATL_MODULE@1@@Z
00008240 0000828D ?AtlModuleUnregisterServer@ATL@@YGJPAU_ATL_MODULE@1@PBU_GUID@@@Z
00008292 000083BA ?AtlModuleRegisterTypeLib@ATL@@YGJPAU_ATL_MODULE@1@PBG@Z
000083BF 000083FA ?GetProperty@CComDispatchDriver@ATL@@SGJPAUIDispatch@@JPAUtagVARIANT@@@Z
000083FF 000084BA ?IOleInPlaceObject_SetObjectRects@CComControlBase@ATL@@QAEJPBUtagRECT@@0@Z
000084BF 0000855A ?OnPaint@CComControlBase@ATL@@QAEJIIJAAH@Z
0000855F 000085C9 ?AtlCreateTargetDC@@YGPAUHDC__@@PAU1@PAUtagDVTARGETDEVICE@@@Z
000085CE 0000863F ?AtlHiMetricToPixel@@YGXPBUtagSIZE@@PAU1@@Z
00008644 00008763 ?Register@CWndClassInfo@ATL@@QAEGPAP6GJPAUHWND__@@IIJ@Z@Z
00008768 000087B8 ?WindowProc@CWindowImplBase@ATL@@SGJPAUHWND__@@IIJ@Z
000087BD 0000882B ?Create@CWindowImplBase@ATL@@QAEPAUHWND__@@PAU3@AAUtagRECT@@PBGKKIG@Z
00008830 00008854 ??0?$CComQIPtr@UIOleControlSite@@$1?IID_IOleControlSite@@3U_GUID@@B@ATL@@QAE@PAUIUnknown@@@Z
00008859 00008862 ??1CComVariant@ATL@@QAE@XZ
00008867 00008885 ?SendOnViewChange@CComControlBase@ATL@@QAEJKJ@Z
0000888A 000088C2 ?DoesVerbUIActivate@CComControlBase@ATL@@QAEHJ@Z
000088C7 000089C1 ?AddValue@CRegParser@ATL@@IAEJAAVCRegKey@2@PBGPAG@Z
000089C6 000089FA ?AddString@CParseBuffer@ATL@@QAEHPBG@Z
000089FF 00008B2E ?PreProcessBuffer@CRegParser@ATL@@QAEJPAGPAPAG@Z
00008B33 00008BF1 ?RecurseDeleteKey@CRegKey@ATL@@QAEJPBG@Z
00008BF6 00008C68 ?AtlModuleRegisterServer@ATL@@YGJPAU_ATL_MODULE@1@HPBU_GUID@@@Z
00008C6D 00008CF7 ?SetControlFocus@CComControlBase@ATL@@QAEHH@Z
00008CFC 00008E2C ?DoVerbProperties@CComControlBase@ATL@@QAEJPBUtagRECT@@PAUHWND__@@@Z
00008E31 000090E1 ?InPlaceActivate@CComControlBase@ATL@@QAEJJPBUtagRECT@@@Z
000090E6 00009135 ?SendOnDataChange@CComControlBase@ATL@@QAEJK@Z
0000913A 00009172 ?IOleObject_SetClientSite@CComControlBase@ATL@@QAEJPAUIOleClientSite@@@Z
00009177 000091A2 ?IOleObject_GetClientSite@CComControlBase@ATL@@QAEJPAPAUIOleClientSite@@@Z
000091A7 000091D3 ?IOleObject_Advise@CComControlBase@ATL@@QAEJPAUIAdviseSink@@PAK@Z
000091D8 000092AC ?IOleObject_Close@CComControlBase@ATL@@QAEJK@Z
000092B1 00009325 ?IOleInPlaceObject_InPlaceDeactivate@CComControlBase@ATL@@QAEJXZ
0000932A 000093CC ?IOleInPlaceObject_UIDeactivate@CComControlBase@ATL@@QAEJXZ
000093D1 00009418 ?FireViewChange@CComControlBase@ATL@@QAEJXZ
0000941D 000094AF ?GetZoomInfo@CComControlBase@ATL@@QAEXAAUATL_DRAWINFO@2@@Z
000094B4 00009593 ?OnDrawAdvanced@CComControlBase@ATL@@UAEJAAUATL_DRAWINFO@2@@Z
00009598 000095DD ?StartWindowProc@CWindowImplBase@ATL@@SGJPAUHWND__@@IIJ@Z
000095E2 00009B7C ?RegisterSubkeys@CRegParser@ATL@@IAEJPAUHKEY__@@HH@Z
00009B81 00009CAC ?RegisterBuffer@CRegParser@ATL@@QAEJPAGH@Z
00009CB1 00009DD7 ?RegisterFromResource@CRegObject@ATL@@IAEJPBG00H@Z
00009DDC 00009DFA ?ResourceRegister@CRegObject@ATL@@QAGJPBGI0@Z
00009DFF 00009E1D ?ResourceUnregister@CRegObject@ATL@@QAGJPBGI0@Z
00009E22 00009EF3 ?UpdateRegistryFromResourceS@CComModule@ATL@@QAGJIHPAU_ATL_REGMAP_ENTRY@2@@Z
00009EF8 00009FBD ?IOleObject_SetExtent@CComControlBase@ATL@@QAEJKPAUtagSIZE@@@Z
00009FC2 00009FD9 ?IsElementSiteSelectable@CHTMLEditor@@QAEJPAUIHTMLElement@@@Z
00009FDE 00009FF3 ?IsEmpty@CVariant@@QAEHXZ
00009FF8 0000A018 ??0CBlockCommand@@QAE@KPAVCHTMLEditor@@@Z
0000A01D 0000A020 ?IsProxy@CParentUndoBase@@UAEHXZ
0000A025 0000A045 ??0CGetBlockFmtCommand@@QAE@KPAVCHTMLEditor@@@Z
0000A04A 0000A070 ??_ECGetBlockFmtCommand@@UAEPAXI@Z
0000A075 0000A09B ??0CListCommand@@QAE@KW4_ELEMENT_TAG_ID@@PAVCHTMLEditor@@@Z
0000A0A0 0000A0C3 ??0CBlockFmtListCommand@@QAE@KW4_ELEMENT_TAG_ID@@PAVCHTMLEditor@@@Z
0000A0C8 0000A111 ??0CBlockFmtCommand@@QAE@KW4_ELEMENT_TAG_ID@@PAVCHTMLEditor@@@Z
0000A116 0000A136 ??_ECBlockFmtCommand@@UAEPAXI@Z
0000A13B 0000A161 ??1CBlockFmtCommand@@UAE@XZ
0000A166 0000A186 ??0COutdentCommand@@QAE@KW4_ELEMENT_TAG_ID@@PAVCHTMLEditor@@@Z
0000A18B 0000A1B1 ??_ECBlockCommand@@UAEPAXI@Z
0000A1B6 0000A1D6 ??0CIndentCommand@@QAE@KW4_ELEMENT_TAG_ID@@PAVCHTMLEditor@@@Z
0000A1DB 0000A201 ??0CAlignCommand@@QAE@KW4_ELEMENT_TAG_ID@@PAGPAVCHTMLEditor@@@Z
0000A206 0000A232 ??0CBlockDirCommand@@QAE@KW4_ELEMENT_TAG_ID@@PAGPAVCHTMLEditor@@@Z
0000A237 0000A24F ?MoveToPointer@CEditPointer@@UAGJPAUIMarkupPointer@@@Z
0000A254 0000A274 ??0CDeleteCommand@@QAE@KPAVCHTMLEditor@@@Z
0000A279 0000A299 ??0CPasteCommand@@QAE@KPAVCHTMLEditor@@@Z
0000A29E 0000A2C4 ??_ECPasteCommand@@UAEPAXI@Z
0000A2C9 0000A2E9 ??0CCopyCommand@@QAE@KPAVCHTMLEditor@@@Z
0000A2EE 0000A314 ??_ECCopyCommand@@UAEPAXI@Z
0000A319 0000A339 ??0CCutCommand@@QAE@KPAVCHTMLEditor@@@Z
0000A33E 0000A364 ??0CInsertParagraphCommand@@QAE@KPAVCHTMLEditor@@@Z
0000A369 0000A38F ??_GCInsertParagraphCommand@@UAEPAXI@Z
0000A394 0000A3BD ??0CInsertObjectCommand@@QAE@KW4_ELEMENT_TAG_ID@@PAG1PAVCHTMLEditor@@@Z
0000A3C2 0000A3E8 ??_GCInsertObjectCommand@@UAEPAXI@Z
0000A3ED 0000A40D ??0CSelectAllCommand@@QAE@KPAVCHTMLEditor@@@Z
0000A412 0000A438 ??_ECSelectAllCommand@@UAEPAXI@Z
0000A43D 0000A45D ??0CClearSelectionCommand@@QAE@KPAVCHTMLEditor@@@Z
0000A462 0000A488 ??_ECClearSelectionCommand@@UAEPAXI@Z
0000A48D 0000A4AD ??0CKeepSelectionCommand@@QAE@KPAVCHTMLEditor@@@Z
0000A4B2 0000A4D8 ??_ECKeepSelectionCommand@@UAEPAXI@Z
0000A4DD 0000A4FD ??0COverwriteCommand@@QAE@KPAVCHTMLEditor@@@Z
0000A502 0000A522 ??0CAutoDetectCommand@@QAE@KPAVCHTMLEditor@@@Z
0000A527 0000A547 ??0CLocalizeEditorCommand@@QAE@KPAVCHTMLEditor@@@Z
0000A54C 0000A572 ??_ECLocalizeEditorCommand@@UAEPAXI@Z
0000A577 0000A597 ??0CAutoUrlDetectModeCommand@@QAE@KPAVCHTMLEditor@@@Z
0000A59C 0000A5C2 ??_GCAutoUrlDetectModeCommand@@UAEPAXI@Z
0000A5C7 0000A5E7 ??0CIE50PasteModeCommand@@QAE@KPAVCHTMLEditor@@@Z
0000A5EC 0000A612 ??_GCIE50PasteModeCommand@@UAEPAXI@Z
0000A617 0000A637 ??0CCssEditingLevelCommand@@QAE@KPAVCHTMLEditor@@@Z
0000A63C 0000A662 ??_ECCssEditingLevelCommand@@UAEPAXI@Z
0000A667 0000A687 ??0CIMEReconversionCommand@@QAE@KPAVCHTMLEditor@@@Z
0000A68C 0000A6B2 ??_GCIMEReconversionCommand@@UAEPAXI@Z
0000A6B7 0000A6D7 ??0CMultipleSelectionCommand@@QAE@KPAVCHTMLEditor@@@Z
0000A6DC 0000A702 ??_GCMultipleSelectionCommand@@UAEPAXI@Z
0000A707 0000A727 ??0C2DPositionModeCommand@@QAE@KPAVCHTMLEditor@@@Z
0000A72C 0000A752 ??_GC2DPositionModeCommand@@UAEPAXI@Z
0000A757 0000A777 ??0C1DElementCommand@@QAE@KPAVCHTMLEditor@@@Z
0000A77C 0000A7A2 ??_GC1DElementCommand@@UAEPAXI@Z
0000A7A7 0000A7C7 ??0C2DElementCommand@@QAE@KPAVCHTMLEditor@@@Z
0000A7CC 0000A7F2 ??_EC2DElementCommand@@UAEPAXI@Z
0000A7F7 0000A817 ??0CAbsolutePositionCommand@@QAE@KPAVCHTMLEditor@@@Z
0000A81C 0000A842 ??_GCAbsolutePositionCommand@@UAEPAXI@Z
0000A847 0000A867 ??0CLiveResizeCommand@@QAE@KPAVCHTMLEditor@@@Z
0000A86C 0000A892 ??_ECLiveResizeCommand@@UAEPAXI@Z
0000A897 0000A8B7 ??0CDisalbeEditFocusHandlesCommand@@QAE@KPAVCHTMLEditor@@@Z
0000A8BC 0000A8E2 ??_GCDisalbeEditFocusHandlesCommand@@UAEPAXI@Z
0000A8E7 0000A907 ??0CAtomicSelectionCommand@@QAE@KPAVCHTMLEditor@@@Z
0000A90C 0000A932 ??_ECAtomicSelectionCommand@@UAEPAXI@Z
0000A937 0000A957 ??_GCRtfToHtmlConverter@@IAEPAXI@Z
0000A95C 0000A9AB ?OldDispCompare@CHTMLEditor@@QAEJPAUIDisplayPointer@@0PAH@Z
0000A9B0 0000A9D0 ??_GCStringCache@@QAEPAXI@Z
0000A9D5 0000A9F5 ??_GCAutoUrlDetector@@AAEPAXI@Z
0000A9FA 0000AA1A ??_GCCommandTable@@QAEPAXI@Z
0000AA1F 0000AA65 ?GetElementToTabFrom@CHTMLEditor@@UAGJHPAPAUIHTMLElement@@PAH@Z
0000AA6A 0000AA9F ?GetSelectionServices@CHTMLEditor@@UAEJPAPAUISelectionServices@@@Z
0000AAA4 0000AABC ?TerminateIMEComposition@CHTMLEditor@@UAGJXZ
