0000C300 0000C6AF ?CalculateTimeStampsForCache@CAutoProxy@@AAEXPAX@Z
0000C6B4 0000C73C ?AddIfModifiedSinceHeaders@CAutoProxy@@AAEXPAX@Z
0000C741 0000C87C ?RunProxyScript@CAutoProxy@@AAEKPBD0PAPAD@Z
0000C881 0000C937 ?IsDetectionNeeded@CAutoProxy@@AAEHXZ
0000C93C 0000C95D ??_GPROXY_STATE@@QAEPAXI@Z
0000C962 0000C97E ??1RESOURCE_LOCK@@QAE@XZ
0000C983 0000C9C0 ??1CAutoProxy@@QAE@XZ
0000C9C5 0000CB37 ?DetectAutoProxyUrl@CAutoProxy@@AAEKKPAPAD@Z
0000CB3C 0000D1B9 ?DownloadAutoConfigUrl@CAutoProxy@@AAEKPADPAUWINHTTP_AUTOPROXY_OPTIONS@@PAPAD@Z
0000D1BE 0000D209 ??1AUTO_PROXY_ASYNC_MSG@@QAE@XZ
0000D20E 0000D362 ?GetProxyForURL@CAutoProxy@@QAEKPBGPAUWINHTTP_AUTOPROXY_OPTIONS@@PAUWINHTTP_PROXY_INFO@@@Z
0000D367 0000D390 ?InProcGetProxyForUrl@@YGKPAVINTERNET_HANDLE_OBJECT@@PBGPAUWINHTTP_AUTOPROXY_OPTIONS@@PAUWINHTTP_PROXY_INFO@@@Z
0000D395 0000D5A3 _WinHttpGetProxyForUrl@16
0000D5A8 0000D5D1 ?Free@XSTRING@@QAEXXZ
0000D5D6 0000D644 ?Initialize@WINHTTP_REQUEST_CREDENTIALS@@QAEHKPBD00@Z
0000D649 0000D7C2 _WinHttpQueryAuthSchemes@16
0000D7C7 0000D7CC ??1XSTRING@@QAE@XZ
0000D7D1 0000D7EE ??0WINHTTP_REQUEST_CREDENTIALS@@QAE@XZ
0000D7F3 0000D84A ??1WINHTTP_REQUEST_CREDENTIALS@@QAE@XZ
0000D84F 0000D870 ??_GWINHTTP_REQUEST_CREDENTIALS@@QAEPAXI@Z
0000D875 0000DAEE _WinHttpSetCredentialsA@24
0000DAF3 0000DED5 _WinHttpSetCredentials@24
0000DEDA 0000DF9C ?AddCertContext@CERT_CONTEXT_ARRAY@@QAEKPBU_CERT_CONTEXT@@@Z
0000DFA1 0000DFD2 ?LockCredHandle@CERT_CONTEXT_ARRAY@@QAEHXZ
0000DFD7 0000E084 ?CopyOut@SECURITY_CACHE_LIST_ENTRY@@QAEXAAUINTERNET_SECURITY_INFO@@@Z
0000E089 0000E0AA ??_GCERT_CONTEXT_ARRAY@@QAEPAXI@Z
0000E0AF 0000E0D2 ?SetImpersonationLevel@SECURITY_CACHE_LIST@@QAEKH@Z
0000E0D7 0000E17D ?SetUserAndPass@WINHTTP_REQUEST_CREDENTIALS@@QAEHPBD0@Z
0000E182 0000E19F ?GetMaxConnectionsPerServer@INTERNET_HANDLE_BASE@@QAEKK@Z
0000E1A4 0000E1C4 ?SetMaxConnectionsPerServer@INTERNET_HANDLE_BASE@@QAEXKK@Z
0000E1C9 0000E1F2 ?GetBufferSize@HTTP_REQUEST_HANDLE_OBJECT@@QAEKK@Z
0000E1F7 0000E21F ?SetBufferSize@HTTP_REQUEST_HANDLE_OBJECT@@QAEXKK@Z
0000E224 0000E248 ?SetSecureFlags@HTTP_REQUEST_HANDLE_OBJECT@@QAEXK@Z
0000E24D 0000E262 ?GetSecureFlags@HTTP_REQUEST_HANDLE_OBJECT@@QAEKXZ
