000036FE 000037DE ?RetrieveTimeValidObjectByUrl@@YGHPAGPBDPAU_FILETIME@@KKPAU_CRYPT_CREDENTIALS@@PBU_CERT_CONTEXT@@PAXQAEPAPAX5@Z
000037E3 0000391F ?RetrieveObjectByUrlValidForSubject@@YGHPAGPBDHPAU_FILETIME@@KKPAU_CRYPT_CREDENTIALS@@PBU_CERT_CONTEXT@@PAXQAEPAPAX5@Z
00003924 000039D7 _CryptRetrieveObjectByUrlW@36
00003A06 00003B86 ?CryptRetrieveObjectByUrlWithTimeout@@YGHPBGPBDKKPAPAXPAU_CRYPT_RETRIEVE_AUX_INFO@@@Z
00003B8B 00003BAD _PkiZeroAlloc@4
00003BB2 00003BD0 ??0CObjectRetrievalManager@@QAE@XZ
00003BE5 00003C07 ?Release@CObjectRetrievalManager@@UAEXXZ
00003C0C 00003C2E ??_GCObjectRetrievalManager@@QAEPAXI@Z
00003C33 00003D1C ?RetrieveObjectByUrl@CObjectRetrievalManager@@UAEHPBGPBDKKPAPAXPAP6GX1PAU_CRYPT_BLOB_ARRAY@@PAX@Z24PAU_CRYPT_CREDENTIALS@@4PAU_CRYPT_RETRIEVE_AUX_INFO@@@Z
00003D21 00003E11 ?LoadProviders@CObjectRetrievalManager@@AAEHPBGPBD@Z
00003E29 00003E99 _InetRetrieveEncodedObject@40
00003EB1 00003ED3 ?Release@CInetSynchronousRetriever@@UAEXXZ
00003ED8 00003EFA ??_GCInetSynchronousRetriever@@QAEPAXI@Z
00003EFF 00003F31 ?I_CryptNetDebugTracePrintfA@@YAXPBDZZ
00003F49 00003F5C ?I_CryptNetIsDebugTracePrintEnabled@@YGHXZ
00004040 00004046 ??3@YAXPAX@Z
0000404B 0000410B ?I_SchemeGetCryptnetUrlCacheDir@@YGPAGXZ
0000414B 00004174 ?I_SchemeCloseHandle@@YGXPAX@Z
000041A0 000041D4 ?IsPendingCryptRetrieveObjectByUrl@@YGHPBG@Z
00004223 0000427F _SchemeRetrieveCachedCryptBlobArray@24
00004284 000042AD ?ObjectContextFindExtension@@YGPAU_CERT_EXTENSION@@PBDPAX0@Z
000042B2 000042DB ?ObjectContextGetAttribute@@YGHPBDPAXKK0PAU_CRYPT_ATTRIBUTE@@PAK@Z
000042E0 0000430D _GetUrlArrayIndex@20
00004312 0000436B ??0CCryptUrlArray@@QAE@KKAAH@Z
00004370 000043A4 ?FreeArray@CCryptUrlArray@@QAEXH@Z
000043E5 0000456F _ObjectContextGetRawUrlData@28
00004574 0000457A _CryptDecodeObject@28
0000457F 00004690 _GetUrlArrayAndInfoFromCrlDistPoint@24
00004695 000046FD ?AddUrl@CCryptUrlArray@@QAEHPAGH@Z
00004702 00004716 ?AllocUrl@CCryptUrlArray@@SGPAGK@Z
000047C8 00004828 ?GetArrayInSingleBufferEncodedForm@CCryptUrlArray@@QAEHPAPAU_CRYPT_URL_ARRAY@@PAK@Z
0000482D 000048CF ?CertificateGetCrlDistPointUrl@@YGHPBDPAXPAGPAPAU_CRYPT_URL_ARRAY@@PAK4PAH@Z
000048D4 00004946 _CryptGetObjectUrl@32
0000494B 0000496A _I_CryptNetIsConnected@0
0000496F 00004975 _IsNetworkAlive@4
00004992 000049F2 ?GetCryptNetDebugFlags@@YGKXZ
00004AF5 00004B27 ?I_CryptNetDebugErrorPrintfA@@YAXPBDZZ
00004B39 00004B7D ?MapOidToPropertyId@@YGHPBDPAK@Z
00004B9A 00004BC6 _CertificateCrlDistPointGetObjectUrl@32
00004BCB 00004C2B _ObjectContextUrlFromCrlDistPoint@40
00004C30 00004C58 _ObjectContextFreeRawUrlData@8
00004C5D 00004CBF ?GetOriginUrlStatusW@@YGJQAEPBGPBDK@Z
00004CC4 00004D09 ?FindOfflineUrlCacheEntry@@YGPAU_OFFLINE_URL_CACHE_ENTRY@@PAU_CRYPTOAPI_BLOB@@0PBDK@Z
00004D0E 00004D30 ?GetOfflineUrlCacheContextOid@@YGKPBDK@Z
00004D37 00004DE8 ?CryptRetrieveObjectByUrlWithTimeoutThreadProc@@YGKPAX@Z
00004DED 00004E1A ?ObjectContextGetNextUpdateUrl@@YGHPBDPAXPBU_CERT_CONTEXT@@PAGPAPAU_CRYPT_URL_ARRAY@@PAK5PAH@Z
00004E1F 00004E78 ??0CCryptBlobArray@@QAE@KKAAH@Z
00004E7D 00004EA0 ??0CCryptBlobArray@@QAE@PAU_CRYPT_BLOB_ARRAY@@K@Z
00004EA5 00004EB0 ?AllocBlob@CCryptBlobArray@@SGPAEK@Z
00004EB5 00004ECB ?GetArrayInNativeForm@CCryptBlobArray@@QAEXPAU_CRYPT_BLOB_ARRAY@@@Z
00004ED0 00004F1D ?AddBlob@CCryptBlobArray@@QAEHKPAEH@Z
00004F22 000050A5 ?InetGetProxy@@YGHPAX0PBGKPAPAUWINHTTP_PROXY_INFO@@@Z
000050EC 0000511F __chkstk
00005124 0000512A _CertOpenStore@20
0000512F 00005135 _I_CertUpdateStore@16
0000513A 00005140 _I_CryptCreateLruEntry@16
00005145 0000514B _CertEnumCertificatesInStore@8
00005150 00005156 _CryptQueryObject@44
0000515B 00005174 _GetFileAttributesU@4
00005179 00005192 _SetFileAttributesU@8
00005197 000051B0 _CreateDirectoryU@8
000051B5 000051CE _GetModuleFileNameU@12
000051D3 000054A4 _InetSendReceiveUrlRequest@24
000054A9 000055DD _SchemeCacheCryptBlobArray@16
0000566E 000056FE _I_RecursiveCreateDirectory@8
00005721 000057CC _InetGetBindings@16
00005811 00005817 __snwprintf
0000587A 00005893 _LoadLibraryExU@12
00005898 000058BC _FIsWinNT@0
000058C1 00005918 ?FIsWinNTCheck@@YGHXZ
0000591D 0000593B _CRLCreateObjectContext@16
00005940 00005A3E _CreateObjectContext@20
00005A43 00005A49 _CertCloseStore@8
00005A79 00005A8F ?InsertCacheEntry@CTVOCache@@QAEXPAU_TVO_CACHE_ENTRY@@@Z
00005A94 00005A9A _I_CryptInsertLruEntry@8
00005AD8 00005BA1 ?ObjectContextCreateTVOCacheEntry@@YGHPAXPBD0QAEKPAU_CRYPT_URL_ARRAY@@KPBU_CERT_CONTEXT@@PAPAU_TVO_CACHE_ENTRY@@@Z
00005BA6 00005BF8 ?ObjectContextGetCreateAndExpireTimes@@YGHPBDPAXPAU_FILETIME@@2@Z
00005BFD 00005C0E _LdapFreeEncodedObject@12
00005C13 00005C36 _LdapFreeCryptBlobArray@4
00005C3B 00005C70 ?FreeArray@CCryptBlobArray@@QAEXH@Z
00005C75 00005CAD ?ObjectContextGetOriginIdentifier@@YGHPBDPAXPBU_CERT_CONTEXT@@KQAE@Z
00005CB2 00005CEC ?CrlGetOriginIdentifier@@YGHPBU_CRL_CONTEXT@@PBU_CERT_CONTEXT@@KQAE@Z
00005CFB 00005D45 ?ObjectContextVerifySignature@@YGHPBDPAXPBU_CERT_CONTEXT@@@Z
00005D4A 00005D50 _CryptVerifyCertificateSignatureEx@32
00005D55 00005D99 ?ObjectContextEnumObjectsInStore@@YGPAXPAXPBD0PAPBD@Z
00005D9E 00005DA4 _CertEnumCRLsInStore@8
00005DA9 00005E03 ?OnRetrievalCompletion@CObjectRetrievalManager@@QAEHKPBGPBDKPAU_CRYPT_BLOB_ARRAY@@P6GX12PAX@Z33PAPAX@Z
00005E08 00005E35 ?UnloadProviders@CObjectRetrievalManager@@AAEXXZ
00005E3A 00005FAA ?InetSendAuthenticatedRequestAndReceiveResponse@@YGHPAX0PBGKPAU_CRYPT_CREDENTIALS@@@Z
00005FAF 00005FEC ?InetSetProxy@@YGHPAX0PAUWINHTTP_PROXY_INFO@@@Z
00006052 00006759 _InetFreeBindings@4
000084F9 0000851A _DllRegisterServer@0
0000851F 00008540 _DllUnregisterServer@0
00008540 00008638 ___report_gsfailure
0000863D 0000866C ?MSCtlCloseDefaultStores@@YGXXZ
0000891D 00008BE4 ?CertDllVerifyCTLUsage@@YGHKKPAXPAU_CTL_USAGE@@KPAU_CTL_VERIFY_USAGE_PARA@@PAU_CTL_VERIFY_USAGE_STATUS@@@Z
00008BE9 00008C25 ?IsSupportedCrlExtension@@YGHPAU_CERT_EXTENSION@@@Z
00008C2A 00008C48 _I_CryptIsZeroFileTime@4
00008C4D 00008C76 _I_CryptDecrementFileTimeBySeconds@12
00008C7B 00008CC1 _I_CryptRemainingMilliseconds@4
00008CC6 00008D0E ?GetCrlReason@@YGKPAU_CRL_ENTRY@@@Z
00008D1F 00008D8E ?FindIssuerCertInStores@@YGPBU_CERT_CONTEXT@@PBU1@KQAPAX@Z
00008DF8 00008DFE ?CryptnetWlxLogoffEvent@@YGHPAU_WLX_NOTIFICATION_INFO@@@Z
00008E03 00008E4B _I_CryptNetGetHostNameFromUrl@12
00008E50 00008E8E ??0CLdapStore@@QAE@AAH@Z
00008E93 00009054 ?InternalCommit@CLdapStore@@AAEHK@Z
00009059 000090CB ?WriteCheckSetDirtyWithLock@CLdapStore@@AAEHPBDPAXK@Z
000090D0 000090F3 ??_GCLdapStore@@QAEPAXI@Z
000090F8 000090FE ?LdapProvSetCertProperty@@YGHPAXPBU_CERT_CONTEXT@@KKPBX@Z
00009103 000092EE _I_CryptNetGetUserDsStoreUrl@8
