0000AF09 0000B0C1 ?GetRegisteredClientPages@@YGHPAPAU_PROPSHEETPAGEW@@PAKPBU_CERT_CONTEXT@@@Z
0000B0EF 0000B15C ?GetCertificatePropertiesPagesPropPageCallback@@YGIPAUHWND__@@IPAU_PROPSHEETPAGEW@@@Z
0000B161 0000B16C _CryptUIFreeCertificatePropertiesPagesA@8
0000B171 0000B1F2 _IsolationAwareImageList_LoadImageA@28
0000B261 0000C058 ?ViewPageSetPropertiesGeneral@@YGHPAUHWND__@@IIJ@Z
0000C095 0000C44E _CryptUIDlgViewCertificatePropertiesW@8
0000C453 0000C4C0 _CryptUIDlgViewCertificatePropertiesA@8
0000C4C5 0000C69A _CryptUIGetCertificatePropertiesPagesW@16
0000C69F 0000C6AA _CryptUIGetCertificatePropertiesPagesA@16
0000C6AF 0000C6CD _I_CryptIsZeroFileTime@4
0000C976 0000CAFF ?FormatRevocationStatus@@YGPAGPAU_CERT_CHAIN_ELEMENT@@@Z
0000CB04 0000CD54 ?CalculateUsages@@YGHPAUCERT_VIEW_HELPER@@@Z
0000CD59 0000CE61 ?BuildWinVTrustState@@YGHPBGPBU_CMSG_SIGNER_INFO@@KPAPAXPBDPAUCERT_VIEWSIGNERINFO_PRIVATE@@PAU_CRYPT_PROVIDER_DEFUSAGE@@PAU_WINTRUST_DATA@@@Z
0000CE66 0000CF1E ?FreeWinVTrustState@@YGHPBGPBU_CMSG_SIGNER_INFO@@KPAPAXPBDPAU_CRYPT_PROVIDER_DEFUSAGE@@PAU_WINTRUST_DATA@@@Z
0000CF23 0000D3FB ?BuildChain@@YGHPAUCERT_VIEW_HELPER@@PAD@Z
0000D400 0000D4A1 ?MyEditStreamCallback@@YGKKPAEJPAJ@Z
0000DD78 0000EDFE ?ViewPageGeneral@@YGHPAUHWND__@@IIJ@Z
0000FA55 00010346 ?ViewPageDetails@@YGHPAUHWND__@@IIJ@Z
000109CE 00010A3D _IsolationAwareImageList_Destroy@4
00010AA9 000110B5 ?ViewPageHierarchy@@YGHPAUHWND__@@IIJ@Z
00011CC5 000126BA ?ViewPageCTLGeneral@@YGHPAUHWND__@@IIJ@Z
00012F74 00013733 ?ViewPageCTLTrustList@@YGHPAUHWND__@@IIJ@Z
00013AD5 000146CF ?ViewPageSignerGeneral@@YGHPAUHWND__@@IIJ@Z
00014DC7 000152E6 ?ViewPageSignerAdvanced@@YGHPAUHWND__@@IIJ@Z
000156A6 00015BEC ?ViewPageCRLGeneral@@YGHPAUHWND__@@IIJ@Z
00015F62 0001649A ?ViewPageCRLRevocationList@@YGHPAUHWND__@@IIJ@Z
000164B9 000164F3 ?FormatAlgorithmString@@YGHPAPAGPBU_CRYPT_ALGORITHM_IDENTIFIER@@@Z
000164F8 00016619 ?FormatDateString@@YGHPAPAGU_FILETIME@@HHPAUHWND__@@@Z
0001661E 00016857 ?FormatValidityString@@YGHPAPAGPBU_CERT_CONTEXT@@PAUHWND__@@@Z
00016863 00016904 ?FormatSerialNoString@@YGHPAPAGPBU_CRYPTOAPI_BLOB@@@Z
00016911 00016B61 ?FormatMemBufToWindow@@YGHPAUHWND__@@PAEK@Z
00016B7D 00016BF7 ?FormatMemBufToString@@YGHPAPAGPAEK@Z
00016BFC 00017052 ?FormatDNNameString@@YGHPAPAGPAEKH@Z
00017061 00017251 ?FormatEnhancedKeyUsageString@@YGHPAPAGPBU_CERT_CONTEXT@@HH@Z
00017256 00017364 ?AllocAndReturnSignTime@@YGPAGPBU_CMSG_SIGNER_INFO@@PAPAU_FILETIME@@PAUHWND__@@@Z
0001737E 0001751E ?AllocAndReturnTimeStampersTimes@@YGPAGPBU_CMSG_SIGNER_INFO@@PAPAU_FILETIME@@PAUHWND__@@@Z
00017523 0001762E ?FormatCTLSubjectUsage@@YGPAGPAU_CTL_USAGE@@H@Z
00017633 00017665 ?OIDinArray@@YGHPBDPAPADK@Z
0001766A 0001769E ?OIDInUsages@@YGHPAU_CTL_USAGE@@PBD@Z
00017781 0001786B ?AllocAndReturnKeyUsageList@@YGHPAU_CRYPT_PROVIDER_CERT@@PAPAPADPAK@Z
00017895 00017BCB ?AllocAndReturnEKUList@@YGHPBU_CERT_CONTEXT@@PAPAPADPAK@Z
00017BD0 00017C01 ?FreeEKUList@@YGXPAPADK@Z
00017C06 00017C64 ?MyGetOIDInfo@@YGHPAGKPAD@Z
00017C69 00017C9F ?fPropertiesDisabled@@YGHPAU_CTL_USAGE@@@Z
00017CA4 00017D30 ?CertHasEmptyEKUProp@@YGHPBU_CERT_CONTEXT@@@Z
00017D35 00017EBD ?ValidateCertForUsage@@YGHPBU_CERT_CONTEXT@@PAU_FILETIME@@KPAPAXPAXPBD@Z
00017EC2 000180C6 ?AllocAndGetIssuerURL@@YGHPAPADPBU_CERT_CONTEXT@@@Z
000180D6 000181A9 ?AllocAndGetSubjectURL@@YGHPAPADPBU_CERT_CONTEXT@@@Z
000181BA 0001832B ?CryptuiGoLink@@YGXPAUHWND__@@PADH@Z
00018379 000183A7 ?MakeListDisplayHelper@@YGPAU_LIST_DISPLAY_HELPER@@HPAGPAEK@Z
000183AC 000183DD ?FreeListDisplayHelper@@YGXPAU_LIST_DISPLAY_HELPER@@@Z
000183E2 00018477 ?MakeListDisplayHelperForExtension@@YGPAU_LIST_DISPLAY_HELPER@@PADPAEK@Z
0001847C 0001853F ?SetTextFormatInitial@@YGXPAUHWND__@@@Z
00018544 00018607 ?SetTextFormatHex@@YGXPAUHWND__@@@Z
0001860C 0001869C ?GetUnknownErrorString@@YGHPAPAGK@Z
000186A1 000188E8 ?GetCertErrorString@@YGHPAPAGPAU_CRYPT_PROVIDER_CERT@@@Z
00018951 00018A9B ?ArrowCursorSubclassProc@@YGJPAUHWND__@@IIJ@Z
00018AA0 00018D26 ?LinkSubclassProc@@YGJPAUHWND__@@IIJ@Z
00018D2B 00018D5B ?CertSubclassEditControlForArrowCursor@@YGXPAUHWND__@@@Z
00018D60 00018DCC ?GetStoreName@@YGPAXPAXH@Z
00018E53 00018EF9 ?ModifyOrInsertRow@@YGXPAUHWND__@@PAUtagLVITEMW@@PAG2HH@Z
00018EFE 00018F70 ?HidePropSheetCancelButtonCallback@@YGHPAUHWND__@@IJ@Z
00018F75 00018FEE ?IsTrueErrorString@@YGHPAUCERT_VIEW_HELPER@@@Z
00018FF3 000191A1 ?DisplayExtensions@@YGXPAUHWND__@@KPAU_CERT_EXTENSION@@HPAK@Z
000191A6 0001924E ?DisplayHelperTextInEdit@@YGXPAUHWND__@@0HH@Z
00019253 000192CB _IsolationAwareCreateWindowExA@48
00019321 000193DE ?CertSubclassEditControlForLink@@YGXPAUHWND__@@0PAU_LINK_SUBCLASS_DATA@@@Z
000193F6 00019483 _PrshtIsolationAwarePrivatetEgCebCnDDeEff_pbMCgLDC_DLL@4
000194D9 0001954A _IsolationAwarePropertySheetA@4
000195B1 00019622 _IsolationAwarePropertySheetW@4
00019689 00019716 ?CryptUIPropertySheetA@@YGHPBU_PROPSHEETHEADERA@@@Z
0001971B 000197A8 ?CryptUIPropertySheetW@@YGHPBU_PROPSHEETHEADERW@@@Z
000197AD 0001980D ?CertUIMkMBStr@@YGPADPBG@Z
00019812 00019870 ?CertUIMkWStr@@YGPAGPBD@Z
00019875 000198B4 ?AllocAndCopyMBStr@@YGPADPBD@Z
000198B9 000198FD ?AllocAndCopyWStr@@YGPAGPBG@Z
00019902 000199AA ?ConvertToPropPageA@@YGPAU_PROPSHEETPAGEA@@PBU_PROPSHEETPAGEW@@K@Z
000199AF 000199E8 ?FreePropSheetPagesA@@YGXPAU_PROPSHEETPAGEA@@K@Z
000199ED 00019AB0 ?ConvertToPropPageW@@YGHPBU_PROPSHEETPAGEA@@KPAPBU_PROPSHEETPAGEW@@@Z
00019F27 00019FAD ?fUseCTLSigning@@YGHPAUCERT_VIEWSIGNATURES_HELPER@@@Z
00019FB2 0001A5AD ?ViewPageViewSignatures@@YGHPAUHWND__@@IIJ@Z
0001A5C5 0001A618 ?ViewSigsPropPageCallback@@YGIPAUHWND__@@IPAU_PROPSHEETPAGEW@@@Z
0001A61D 0001A771 _CryptUIGetViewSignaturesPagesW@12
0001A776 0001A7C5 _CryptUIGetViewSignaturesPagesA@12
0001A7CA 0001A7DF _CryptUIFreeCertificatePropertiesPagesW@8
0001A85F 0001A9DD pfnEnum
0001AB33 0001B334 ?SelectStoreDialogProc@@YGHPAUHWND__@@IIJ@Z
0001B349 0001B3B2 _CryptUIDlgSelectStoreW@4
0001B3B7 0001B41F _CryptUIDlgSelectStoreA@4
0001B7BF 0001B851 ?SupportEncryptedFileSystem@@YGHPBU_CERT_CONTEXT@@@Z
0001B930 0001B959 ??1CertContextList@@QAE@XZ
0001B95E 0001BA11 ?Add@CertContextList@@QAEJPBU_CERT_CONTEXT@@PAH@Z
0001BA16 0001BF98 ?AddFromDS@@YGJPAUHWND__@@PAU_CERT_SELECT_HELPER@@@Z
0001C006 0001C027 ??_GCertContextList@@QAEPAXI@Z
0001C02C 0001CA6C ?SelectCertDialogProc@@YGHPAUHWND__@@IIJ@Z
0001CA81 0001CB59 _CryptUIDlgSelectCertificateW@4
0001CB5E 0001CBE4 _CryptUIDlgSelectCertificateA@4
0001D17A 0001D608 ?ViewPageCatalogEntries@@YGHPAUHWND__@@IIJ@Z
0001D625 0001D6E1 _CryptUIDlgViewContext@24
0001D6E6 0001D748 _CryptUIDlgSelectCertificateFromStore@28
0001D74D 0001D7A7 _IsOKToFormatAsLinkW@8
0001D7AC 0001D86B _GetDisplayNameString@8
0001D870 0001D8CE _IsOKToFormatAsLinkA@8
0001D8D3 0001D9A0 ___delayLoadHelper2@8
0001D9A0 0001DA98 ___report_gsfailure
0001DA9D 0001DABA ?TabCtrl_InsertItemU@@YGHPAUHWND__@@HQAUtagTCITEMW@@@Z
0001DABF 0001DC62 ?GetFileContentFromCert@@YGHKHPBU_CERT_CONTEXT@@PAPAEPAK@Z
0001DC67 0001DCD4 _FreeFileNameAndContent@16
0001DCD9 0001DD82 ?GetValidFriendlyName@@YGHPBU_CERT_CONTEXT@@PAPAG@Z
