00008C41 00008CB9 _SslReferenceUserContext@8
00008CBE 00008CD1 _SslFindUserContext@4
00008CD6 00008D62 _SslFindUserContextEx@4
00008D67 00008D99 _SslDeleteUserContext@4
00008D9E 00008E87 _SslAddUserContext@16
00008E8C 00008ED2 _RemoteCryptReleaseContextCallback@16
00008ED7 00008FC2 _SerializeCertContext@12
00008FC7 00009041 _DeserializeCertContext@12
00009046 00009083 _PvExtVirtualAlloc@4
00009088 000090AF _FreeExtVirtualAlloc@8
000090B4 0000910E _SPFreeUserAllocMemory@8
00009113 000091F0 _PerformApplicationCallback@24
00009201 000092D4 _RemoteCryptAcquireContextCallback@16
000092D9 000093C2 _RemoteCryptAcquireContextW@24
000093C7 0000940B _RemoteCryptReleaseContext@12
00009410 000094FB _UploadCertContextCallback@16
00009500 000095BD _UploadCertStoreCallback@16
000095C2 00009678 _SignHashUsingCallback@32
0000967D 0000978D _SPSignatureCallback@16
00009792 00009802 _DownloadCertContextCallback@16
00009807 000098F0 _SPGetUserKeys@8
000098F5 00009AE6 _GetUserKeysCallback@16
00009AEB 00009B5A _SPUnloadRegOptions@0
00009B5F 00009BB8 _ReadRegistrySetting@20
00009BBD 0000A187 _SslReadRegOptions@4
0000A355 0000A3E6 _SslWatchParamKey@8
0000A3EB 0000A47B _FipsWatchParamKey@8
0000A4CF 0000A505 _SPLoadRegOptions@0
0000A50A 0000A5EC _SchReportEvent
0000A5F1 0000A64D _SchShutdownEvents@0
0000A652 0000A66B _LogSchannelStartedEvent@0
0000A670 0000A6BC _LogGlobalAcquireContextFailedEvent@8
0000A6C1 0000A6F8 _LogCreateCredEvent@8
0000A6FD 0000A7A4 _LogCredPropertiesEvent@12
0000A7D9 0000A80E _LogNoPrivateKeyEvent@4
0000A813 0000A870 _LogCredAcquireContextFailedEvent@8
0000A875 0000A8AA _LogCreateCredFailedEvent@4
0000A8AF 0000A8C8 _LogNoDefaultServerCredEvent@0
0000A8CD 0000A8E6 _LogNoCiphersSupportedEvent@0
0000A8EB 0000A904 _LogCipherMismatchEvent@0
0000A909 0000A922 _LogNoClientCertFoundEvent@0
0000A927 0000A9F8 _LogBogusServerCertEvent@12
0000A9FD 0000AA54 _LogBogusClientCertEvent@8
0000AA59 0000AAB0 _LogFastMappingFailureEvent@8
0000AAB5 0000AB04 _LogCertMappingFailureEvent@4
0000AB09 0000AC81 _LogHandshakeInfoEvent@20
0000AD45 0000AD86 _SchGetMessageString@12
0000AD8B 0000AE55 _SchInitializeEvents@0
0000AF7B 0000AF96 _GenerateRandomBits@8
0000AF9B 0000B00A _MapOidToKeyExch@4
0000B00F 0000B07E _MapOidToCertType@4
0000B083 0000B1AA _SPLoadCertificate@20
0000B1BD 0000B2A3 _SPPublicKeyFromCert@12
0000B2A8 0000B4CC _SPSerializeCertificate@24
0000B4D1 0000B57B _ChainCreateCollectionIncludingCtlCertificates@8
0000B580 0000B6AB _SchCreateWorldStore@16
0000B6BF 0000B6EE _IsCertSelfSigned@4
0000B6F3 0000B787 _MapWinTrustError@12
0000B78C 0000B89F _VerifyClientCertificate@20
0000B8A4 0000BA1B _VerifyServerCertificate@12
0000BA20 0000BB1A _SPCheckKeyUsage@16
0000BB1F 0000BBE3 _ExtractIssuerNamesFromStore@12
0000BBE8 0000BD93 _SchGetTrustedRoots@4
0000BD98 0000BE19 _AutoVerifyServerCertificate@4
0000BE1E 0000BE5C _GetDefaultIssuers@8
0000BE61 0000BE95 _GetSerializedKeyLength@4
0000BE9A 0000BF0D _SerializeKey@16
0000BF12 0000C254 _SerializeContext@20
0000C259 0000C2C6 _SPContextSerialize@20
0000C2CB 0000C5C7 _SPContextDeserialize@8
0000C5CC 0000C5EB _SPCacheReference@4
0000C5F0 0000C60F _SPCacheDereference@4
0000C614 0000C71C _SPCacheDelete@4
0000C721 0000C752 _IsSameTargetName@8
0000C757 0000C7D0 _DoesAppAllowCipher@8
0000C7D5 0000C921 _SPCacheRetrieveBySession@16
0000C926 0000C986 _ComputeClientCacheIndex@4
0000C98B 0000CB34 _SPCacheRetrieveByName@12
0000CB39 0000CB54 _IsApplicationCertificateMapper@4
0000CB59 0000CCC7 _CacheExpireElements@8
0000CCCC 0000CCED _CacheCleanupHandler@8
0000CCF2 0000CEA3 _SPCacheRetrieveNew@12
0000CEA8 0000CF7C _SPCacheAdd@4
0000CF81 0000D00F _SPCacheClone@4
0000D014 0000D05D _SetCacheAppData@12
0000D062 0000D0E7 _GetCacheAppData@12
0000D0EC 0000D17D _IsEntryToBeProcessed@20
0000D182 0000D24B _SPCachePurgeEntries@16
0000D250 0000D31D _SPCacheGetInfo@16
0000D322 0000D3AD _SPCacheGetPerfmonInfo@8
0000D3B2 0000D469 _SPShutdownSessionCache@0
0000D46E 0000D4E7 _SPCachePurgeCredential@4
0000D4EC 0000D541 _SPCachePurgeProcessId@4
0000D546 0000D62A _SPInitSessionCache@0
0000D62F 0000D64D _PkiAsn1FreeInfo@12
0000D652 0000D6B4 _InitSchannelAsn1@4
0000D716 0000D735 _ShutdownSchannelAsn1@0
0000D83D 0000D86F _RsaPublicKeyFromCert@12
0000D874 0000DA02 _DssPublicKeyFromCert@12
0000DA07 0000DA86 _OIDFromString@12
0000DA8B 0000DD41 _Asn1PrivateKeyInfoEncode@20
0000DD46 0000DD9A _Asn1PrivateKeyFileEncode@20
0000DDAD 0000DFAD _Asn1PrivateKeyInfoDecode@28
0000DFB2 0000E035 _Asn1PrivateKeyFileDecode@28
0000E03A 0000E057 _Asn1RSAPublicEncode@20
0000E192 0000E29C _SPSignDssParams@24
0000E2A1 0000E3A1 _SPVerifyDssParams@32
0000E3A6 0000E459 _GetDHEphemKey@12
0000E45E 0000E56C _ParseServerKeyExchange@40
0000E571 0000E6D8 _DHGenerateServerMasterKey@20
0000E6DD 0000E70F _ReverseInPlace@8
0000E714 0000E949 _DHGenerateServerExchangeValue@12
0000E94E 0000EC6C _DHGenerateClientExchangeValue@28
0000EC71 0000ED6C _GetSupportedCapiAlgs@16
0000ED71 0000EDD9 _GenerateRenegotiateClientHello@8
0000EDDE 0000EE64 _ClientVetAlg@12
0000EE69 0000EF5A _ClientBuildAlgList@16
0000EF5F 0000F043 _GenerateUniHelloMessage@12
0000F048 0000F124 _GenerateUniHello@12
0000F129 0000F275 _ClientProtocolHandler@12
0000F27A 0000F3C6 _GenerateHello@12
0000F3CB 0000F3F1 _ReverseMemCopy@12
0000F3F6 0000F5A2 _GenerateSsl3KeyPair@16
0000F5A7 0000F906 _PkcsGenerateServerExchangeValue@12
0000F90B 0000F97F _GenerateRandomMasterKey@8
0000F984 0000FC28 _PkcsFinishMasterKey@8
0000FC2D 0000FE55 _MakeSessionKeys@12
0000FE5A 000100E6 _Ssl3ParseServerKeyExchange@20
000100EB 00010453 _PkcsGenerateClientExchangeValue@28
00010458 000106D5 _PkcsGenerateServerMasterKey@20
000106DA 00010748 _Ssl3MakeWriteSessionKeys@4
0001074D 000107BB _Ssl3MakeReadSessionKeys@4
000107C0 00010917 _Tls1ComputeMac@24
0001091C 00010965 _MyPrimitiveSHA@12
0001096A 000109B9 _MyPrimitiveMD5@12
000109BE 00010B7A _MyPrimitiveHMACParam@24
00010B7F 00010C98 _P_Hash@28
00010C9D 00010D93 _PRF@32
00010D98 00010E69 _AssignNewClientCredential@12
00010E6E 00010FBB _QueryCredentialManagerForCert@8
00010FC0 000111D2 _IsThreadLocalSystem@4
000111D7 00011447 _FindDefaultMachineCred@8
0001144C 000114FB _GetImplementationType@8
00011500 00011664 _FindClientCertificate@20
00011669 0001183E _AcquireDefaultClientCredential@8
00011848 00011865 _Ssl3GetHeaderSize@12
0001186A 00011B09 _Ssl3ComputeMac@24
00011B0E 00011E45 _Ssl3BuildFinishMessage@16
00011E5A 00011E95 _Ssl3CiphertextLen@12
00011E9A 0001206D _Ssl3EncryptRaw@16
00012072 0001211B _SPSetWrap@24
00012120 0001214F _SetWrapNoEncrypt@12
00012154 00012194 _SetHandshake@16
00012199 00012287 _UpdateHandshakeHash@16
0001228C 0001238D _Tls1ComputeCertVerifyHashes@12
00012392 00012692 _Ssl3ComputeCertVerifyHashes@12
00012697 0001272E _Ssl3HandleCCS@12
00012733 00012846 _Ssl3SelectCipher@8
0001284B 000129CF _Ssl3SelectCipherEx@12
000129D4 00012AB7 _ComputeServerExchangeHashes@20
00012ABC 00012BAC _ParseAlertMessage@12
00012BB1 00012BDE _BuildAlertMessage@12
00012BE3 00012DA9 _Tls1BuildFinishMessage@16
00012DD1 00012E88 _SPBuildTlsAlertMessage@8
00012E8D 00012EB2 _SetTls1Alert@12
00012EB7 00012F9D _Ssl3DecryptHandler@12
00012FA2 00013016 _Ssl3EncryptMessage@12
0001301B 00013221 _Ssl3DecryptMessage@12
00013226 000132C6 _SPBuildS3FinalFinish@12
000132CB 00013330 _UnwrapSsl3Message@8
00013335 000133C7 _SPBuildTls1FinalFinish@12
000133CC 00013473 _BuildCCSAndFinishMessage@12
00013478 000134D2 _SslReferenceMapper@4
000134D7 00013531 _SslDereferenceMapper@4
00013536 000135BE _ReferenceMapperCallback@16
000135D1 0001367D _SslGetMapperIssuerList@12
00013682 00013745 _GetMapperIssuerListCallback@16
00013759 000138AE _SslMapCredential@20
000138B3 00013A00 _MapCredentialCallback@16
00013A11 00013A61 _SslCloseLocator@8
00013A66 00013AD0 _CloseLocatorCallback@16
00013AE1 00013BBA _QueryMappedCredAttributesCallback@16
00013BD1 00013BEF _SchCryptAcquireContextW@24
00013BF4 00013C12 _SchCryptCreateHash@24
00013C17 00013C38 _SchCryptDecrypt@28
00013C3D 00013C5B _SchCryptDeriveKey@24
00013C60 00013C72 _SchCryptDestroyHash@8
00013C77 00013C89 _SchCryptDestroyKey@8
00013C8E 00013CA9 _SchCryptDuplicateHash@20
00013CAE 00013CD2 _SchCryptEncrypt@32
00013CD7 00013CF8 _SchCryptExportKey@28
00013CFD 00013D18 _SchCryptGenKey@20
00013D1D 00013D3B _SchCryptGetHashParam@24
00013D40 00013D5E _SchCryptGetKeyParam@24
00013D63 00013D81 _SchCryptGetProvParam@24
00013D86 00013D9E _SchCryptGetUserKey@16
00013DA3 00013DBE _SchCryptHashData@20
00013DC3 00013DDB _SchCryptHashSessionKey@16
00013DE0 00013E01 _SchCryptImportKey@28
00013E06 00013E1B _SchCryptReleaseContext@12
00013E20 00013E3B _SchCryptSetHashParam@20
00013E40 00013E5B _SchCryptSetKeyParam@20
00013E60 00013E81 _SchCryptSignHash@28
00013E86 00013EA7 _SchCryptVerifySignature@28
00013EAC 00013F4B _SPVerifyFinishMsgCli@16
00013F50 000140BB _Ssl3PackClientHello@12
000140C0 000140EE _Ssl3GenerateRandom@4
000140F3 00014151 _GenerateSsl3ClientHello@8
00014156 000141B7 _GenerateTls1ClientHello@12
000141BC 000142F0 _BuildCertVerify@12
000142F5 000143EE _HandleCertVerify@12
000143F3 00014466 _CbLenOfEncode@8
0001446B 00014672 _SPDigestServerHello@16
00014677 0001474D _SpDigestRemoteCertificate@12
00014752 000147BF _SPDigestSrvKeyX@12
000147C4 00014864 _Ssl3CheckForExistingCred@4
00014869 00014B0E _SPGenerateSHResponse@8
00014B13 00014B97 _SPGenerateCloseNotify@8
00014B9C 00014BD1 _Ssl3StateConnected@4
00014BD6 00014C1A _FNoInputState@4
00014C1F 00014C9C _SPBuildHelloRequest@8
00014CA1 00014D12 _SPBuildCCSAndFinish@8
00014D17 00014E85 _Ssl3SrvHandleUniHello@12
00014E8A 00014F20 _Ssl3BuildServerHello@8
00014F25 00014F94 _ParseKeyExchgMsg@8
00014F99 00015022 _UpdateAndDuplicateIssuerList@12
00015027 0001509A _Ssl3BuildCertificateRequest@20
0001509F 00015288 _Ssl3ParseClientHello@20
0001528D 00015330 _FormatIssuerList@16
00015335 000155EC _SPSsl3SrvGenServerHello@8
000155F1 00015707 _SPSsl3SrvGenRestart@8
0001570C 000157D2 _SPSsl3SrvHandleClientHello@12
000157D7 00015932 _ParseCertificateRequest@12
00015937 00015DFC _SPProcessHandshake@12
00015E01 00015F54 _SPGenerateResponse@8
00015F59 00016071 _SPProcessMessage@16
00016076 0001626B _Ssl3ClientProtocolHandler@12
00016270 000162DC _Ssl3ProtocolHandler@12
000162E1 00016321 _Pct1GetHeaderSize@12
00016326 000163E5 _Pct1DecryptHandler@12
000163EA 00016435 _Pct1GenerateError@16
0001643A 0001645A _Pct1HandleError@12
0001645F 00016507 _Pct1BeginVerifyPrelude@20
00016511 00016624 _Pct1EndVerifyPrelude@12
0001677E 00016917 _Pct1ComputeResponse@36
00016928 00016AFF _Pct1EncryptRaw@16
00016B04 00016B1D _Pct1EncryptMessage@12
00016B22 00016C85 _Pct1DecryptMessage@12
00016C8A 00017305 _Pct1SrvHandleClientHello@16
0001730A 0001758F _Pct1SrvHandleCMKey@12
00017594 00017756 _Pct1SrvRestart@12
0001775B 000178DC _Pct1SrvHandleUniHello@16
000178E1 00017C4A _Pct1ServerProtocolHandler@12
00017C4F 00017D07 _Pct1ActivateSessionKeys@4
00017D0C 00017D55 _Pct1CheckForExistingCred@4
00017D5A 0001838C _Pct1CliHandleServerHello@16
00018391 000184B4 _Pct1CliRestart@12
000184B9 000185C2 _Pct1CliHandleServerVerify@12
000185C7 00018838 _GeneratePct1StyleHello@8
0001883D 00018B13 _Pct1ClientProtocolHandler@12
00018B18 00018B51 _Ssl2DecryptHandler@12
00018CA2 00018E40 _Ssl2EncryptMessage@12
00018E45 00018E86 _Ssl2GetHeaderSize@12
00018E8B 00018FEB _Ssl2DecryptMessage@12
00018FF0 0001929C _Ssl2SrvHandleClientHello@16
000192A1 000192E7 _Ssl2SrvVerifyClientFinishMsg@8
000192EC 000193DF _Ssl2SrvGenerateServerVerify@8
000193E4 00019502 _Ssl2SrvGenerateServerFinish@8
00019507 00019531 _Ssl2SrvHandleClientFinish@12
00019536 00019703 _Ssl2SrvGenRestart@12
00019708 000198D2 _Ssl2SrvHandleCMKey@12
000198D7 00019AFA _Ssl2ServerProtocolHandler@12
00019AFF 00019DC4 _Ssl2CliHandleServerHello@16
00019DC9 00019EAF _Ssl2GenCliFinished@8
00019EB4 00019F01 _Ssl2CliHandleServerVerify@12
00019F06 00019F4F _Ssl2CliFinishRestart@12
00019F54 00019FAE _Ssl2CliHandleServerFinish@12
00019FB3 0001A059 _Ssl2CliHandleServerRestart@16
0001A05E 0001A28D _Ssl2ClientProtocolHandler@12
0001A292 0001A2C8 _ASN1ENC_Module_Startup@0
0001A31D 0001A331 _ASN1ENC_Module_Cleanup@0
0001ACC1 0001ACE5 _Ssl2MapCipherToExternal@8
0001ACEA 0001AD06 _Ssl2MapCipherFromExternal@4
0001AD0B 0001AE68 _Ssl2PackClientHello@8
0001AE6D 0001AFBF _Ssl2UnpackClientHello@8
0001AFC4 0001B120 _Ssl2PackServerHello@8
0001B125 0001B273 _Ssl2UnpackServerHello@8
0001B278 0001B373 _Ssl2PackClientMasterKey@8
0001B378 0001B48A _Ssl2UnpackClientMasterKey@8
0001B48F 0001B60F _SPVerifySignature@36
0001B614 0001B726 _SignHashUsingCred@24
0001B72B 0001B745 _MapCipherToExternal@8
0001B74A 0001B765 _MapExchToExternal@8
0001B76A 0001B776 _MapCipherFromExternal@4
0001B77B 0001B790 _MapHashFromExternal@4
0001B795 0001B7BE _SslRecordSize@4
0001B7C3 0001BA37 _Pct1PackClientHello@8
0001BA3C 0001BCA6 _Pct1UnpackClientHello@8
0001BCAB 0001BEB6 _Pct1PackServerHello@8
0001BEBB 0001C0D7 _Pct1UnpackServerHello@8
0001C0DC 0001C28E _Pct1PackClientMasterKey@8
0001C293 0001C49A _Pct1UnpackClientMasterKey@8
0001C49F 0001C564 _Pct1PackServerVerify@8
0001C569 0001C649 _Pct1UnpackServerVerify@8
0001C64E 0001C711 _Pct1PackError@8
0001C716 0001CBCA _GenerateKeyPair@16
0001CC29 0001CC7E _EncodeLength@12
0001CC83 0001CCAA _EncodeHeader@12
0001CCAF 0001CCD6 _EncodeSetHeader@12
0001CCDB 0001CE0C _EncodeRDN@12
0001CE11 0001CEAB _EncodeDN@12
0001CEB0 0001CEF5 _PkiAsn1Encode@20
0001CEFA 0001CF35 _PkiAsn1Decode@20
