000085C8 000086B3 _lineGetAppPriorityA@24
000086E4 000086EF _lineGetAppPriority@24
000086F4 00008747 _lineGetCallInfoW@8
0000874C 00008821 _lineGetCallInfoA@8
00008826 00008831 _lineGetCallInfo@8
00008836 00008889 _lineGetCallStatus@8
0000888E 000088E1 _lineGetConfRelatedCalls@8
000088E6 00008989 _lineGetCountryW@12
000089BB 00008A20 _lineGetCountryA@12
00008A25 00008C26 _lineGetCountry@12
00008CD4 00008D5F _lineGetDevCapsW@20
00008D64 00008DE6 _lineGetDevCapsA@20
00008DEB 00008DF6 _lineGetDevCaps@20
00008DFB 00008E80 _lineGetDevConfigW@12
00008EAE 00008F53 _lineGetDevConfigA@12
00008F82 00008F8D _lineGetDevConfig@12
00008F92 0000902F _lineGetGroupListA@8
00009034 000090D1 _lineGetGroupListW@8
000090D6 00009165 _lineGetIconW@12
00009193 000091F2 _lineGetIconA@12
00009230 0000923B _lineGetIcon@12
00009240 000094FA _lineGetIDW@24
0000959A 00009611 _lineGetIDA@24
0000963B 00009646 _lineGetID@24
0000964B 0000969E _lineGetLineDevStatusW@8
000096A3 00009750 _lineGetLineDevStatusA@8
00009755 00009760 _lineGetLineDevStatus@8
00009765 000097CC _lineGetNewCalls@16
000097D1 0000982C _lineGetNumRings@12
00009831 000098CC _lineGetProviderListW@8
000098D1 00009915 _lineGetProviderListA@8
0000991A 00009922 _lineGetProviderList@8
00009927 0000999A _lineGetProxyStatus@16
0000999F 00009A55 _lineGetQueueInfo@12
00009A5A 00009B0D _lineGetQueueListA@12
00009B12 00009BC5 _lineGetQueueListW@12
00009BCA 00009C47 _lineGetRequestW@12
00009C4C 00009DC9 _lineGetRequestA@12
00009DCE 00009DD9 _lineGetRequest@12
00009DDE 00009E47 _lineGetStatusMessages@12
00009E4C 00009EB4 _lineHandoffW@12
00009EB9 00009F15 _lineHandoffA@12
00009F1A 00009F22 _lineHandoff@12
00009F27 00009F71 _lineHold@4
00009F76 0000A06D _lineMakeCallW@20
0000A072 0000A1E0 _lineMakeCallA@20
0000A23C 0000A247 _lineMakeCall@20
0000A24C 0000A29E _lineMonitorDigits@8
0000A2A3 0000A2F5 _lineMonitorMedia@8
0000A2FA 0000A373 _lineMonitorTones@12
0000A378 0000A419 _lineNegotiateAPIVersion@24
0000A41E 0000A4A8 _lineNegotiateExtVersion@24
0000A4AD 0000A5FB _lineOpenW@36
0000A600 0000A755 _lineOpenA@36
0000A75A 0000A765 _lineOpen@36
0000A76A 0000A852 _lineParkW@16
0000A857 0000A99A _lineParkA@16
0000A99F 0000A9AA _linePark@16
0000A9AF 0000AA9C _linePickupW@20
0000AAA1 0000AB1E _linePickupA@20
0000AB23 0000AB2E _linePickup@20
0000AB33 0000AC09 _linePrepareAddToConferenceW@12
0000AC0E 0000ACE9 _linePrepareAddToConferenceA@12
0000ACEE 0000ACF9 _linePrepareAddToConference@12
0000ACFE 0000AD77 _lineProxyMessage@24
0000AD7C 0000AE88 _lineProxyResponse@12
0000AE99 0000AEF4 _lineRedirectW@12
0000AEF9 0000AF42 _lineRedirectA@12
0000AF47 0000AF4F _lineRedirect@12
0000AF54 0000AFBB _lineRegisterRequestRecipient@16
0000AFC0 0000B00A _lineReleaseUserUserInfo@4
0000B00F 0000B059 _lineRemoveFromConference@4
0000B05E 0000B0A8 _lineSecureCall@4
0000B0AD 0000B119 _lineSendUserUserInfo@12
0000B11E 0000B17C _lineSetAgentActivity@12
0000B181 0000B1E7 _lineSetAgentGroup@12
0000B1EC 0000B24A _lineSetAgentMeasurementPeriod@12
0000B24F 0000B2B5 _lineSetAgentSessionState@16
0000B2BA 0000B320 _lineSetAgentState@16
0000B325 0000B38B _lineSetAgentStateEx@16
0000B390 0000B409 _lineSetAppPriorityW@24
0000B40E 0000B449 _lineSetAppPriorityA@24
0000B44E 0000B456 _lineSetAppPriority@24
0000B45B 0000B4AD _lineSetAppSpecific@8
0000B4B2 0000B51E _lineSetCallData@12
0000B523 0000B5AB _lineSetCallParams@20
0000B5B0 0000B602 _lineSetCallPrivilege@8
0000B607 0000B678 _lineSetCallQualityOfService@20
0000B67D 0000B6CF _lineSetCallTreatment@8
0000B6D4 0000B739 _lineSetDevConfigW@16
0000B73E 0000B791 _lineSetDevConfigA@16
0000B796 0000B79E _lineSetDevConfig@16
0000B7A3 0000B801 _lineSetLineDevStatus@12
0000B806 0000B92F _lineSetMediaControl@48
0000B934 0000B986 _lineSetMediaMode@8
0000B98B 0000B9E9 _lineSetNumRings@12
0000B9EE 0000BA4C _lineSetQueueMeasurementPeriod@12
0000BA51 0000BAAF _lineSetStatusMessages@12
0000BAB4 0000BB35 _lineSetTerminal@28
0000BB3A 0000BC88 _lineSetupConferenceW@24
0000BC8D 0000BDE0 _lineSetupConferenceA@24
0000BDE5 0000BDF0 _lineSetupConference@24
0000BDF5 0000BECB _lineSetupTransferW@12
0000BED0 0000BFAB _lineSetupTransferA@12
0000BFB0 0000BFBB _lineSetupTransfer@12
0000BFC0 0000C012 _lineSwapHold@8
0000C017 0000C069 _lineUncompleteCall@8
0000C06E 0000C0B8 _lineUnhold@4
0000C0BD 0000C18A _lineUnparkW@16
0000C18F 0000C1E2 _lineUnparkA@16
0000C1E7 0000C1EF _lineUnpark@16
0000C1F4 0000C26A _phoneClose@4
0000C26F 0000C363 _phoneDevSpecific@12
0000C368 0000C3C3 _phoneGetButtonInfoW@12
0000C3C8 0000C3F6 _phoneGetButtonInfoA@12
0000C3FB 0000C403 _phoneGetButtonInfo@12
0000C408 0000C46C _phoneGetData@16
0000C471 0000C4F3 _phoneGetDevCapsW@20
0000C4F8 0000C55D _phoneGetDevCapsA@20
0000C562 0000C56A _phoneGetDevCaps@20
0000C56F 0000C5C2 _phoneGetDisplay@8
0000C5C7 0000C622 _phoneGetGain@12
0000C627 0000C67A _phoneGetHookSwitch@8
0000C67F 0000C70E _phoneGetIconW@12
0000C747 0000C79A _phoneGetIconA@12
0000C79F 0000C7A7 _phoneGetIcon@12
0000C7AC 0000CA3A _phoneGetIDW@12
0000CAE0 0000CB3A _phoneGetIDA@12
