00007588 000076B0 _privateRegReadValue@24
000076B5 0000777F _Reg_ReadPrimaryDomainName@12
000077DF 0000780C _Dns_CreateForwardRecord@20
00007811 0000783D _Dns_CreateARecord@20
00007842 000078B3 _CreateRecordBasic@32
000078B8 0000790A _IpHelp_GetAdaptersInfo@4
0000790F 00007915 _GetAdaptersInfo@8
0000791A 00007990 _IpHelp_ParseIpAddressString@16
00007995 000079BA _Dns_ReverseOrderOfIpArray@4
00007A1D 00007A6B _DnsQueryConfigAllocEx@12
00007A70 00007B22 _DnsQueryConfig@24
00007B27 00007B74 _Reg_GetHostName@4
00007BD5 00007C2A _LocalIp_GetIp4Array@0
00007C2F 00007C72 _GetLocalAddrArrayFromResolver@0
00007C89 00007CAB _R_ResolverGetLocalAddrInfoArray@20
00007CB0 00007DAD _GetDnsServerRRSet@8
00007DB7 00007E35 _NetInfo_Get@8
00007E5A 00007E8C _Reg_GetPrimaryDomainName@4
00007E98 00007EA3 _MIDL_user_free@4
00007ECF 00007F2B _UpdateDnsConfig@0
00007F41 00007F63 _R_ResolverGetConfig@16
00007F68 00007FD9 _Reg_ReadGlobalInfo@8
00007FDE 00008027 _Reg_FreeGlobalInfo@8
0000802C 000081F8 _Reg_ReadAdapterInfo@16
0000823C 00008263 _Reg_FreeAdapterInfo@8
000082A6 000083E3 _NetInfo_Build@4
000083E8 00008406 _StrikeOutUnreachableDnsServers@4
00008579 000085A9 _NetInfo_AddAdapter@8
000085AE 00008603 _IpHelp_GetPerAdapterInfo@8
00008608 0000860E _GetPerAdapterInfo@12
00008613 00008666 _AdapterInfo_CreateFromIpArray@16
0000866B 000086AB _AdapterInfo_Create@16
000086B0 00008746 _SearchList_Build@24
0000874B 0000877B _SearchList_Parse@8
00008780 000088D1 _Dns_NameCompareEx@16
00008A31 00008B04 _Dns_OpenHostFile@4
00008B3B 00008B5A _Dns_CloseHostFile@4
00008B76 00008BDA _hostsFile_ScreenName@4
00008C4E 00008CAD _TokenizeHostFileLine@4
00008CB2 00008D51 _Dns_ReadHostFileLine@4
00008D56 00008DE1 _BuildHostfileRecords@4
00008DE6 00008E43 _Dns_CreatePtrRecordEx@20
00008E48 00008EA5 _Dns_CreatePtrTypeRecord@28
00008EFA 00008F2C _Dns_Ip4AddressToReverseNameAlloc_W@4
00008F31 00008F6E _Dns_Ip4AddressToReverseName_W@8
00008FA9 00009022 _Dns_MakeCanonicalNameInPlaceW@8
00009027 0000905B _Dns_MakeCanonicalNameW@16
0000906E 00009098 _LogIt
0000909D 000090DA _LogTime@4
000091AB 000091CB _DnsQueryConfigDword@8
000091D0 00009200 _LookupDwordConfigValue@12
00009205 00009250 _GetConfigToRegistryMapping@12
00009255 0000926C _DnsNotifyResolver@8
00009283 000092F0 @SendServiceControl@8
000092F5 00009361 _LogHostEntries@8
000093B8 00009495 _Reg_ReadUpdateInfo@8
000094CC 000095AA _DnsAsyncRegisterHostAddrs@40
000095AF 000097BA _privateAsyncRegisterHostAddrs@40
0000990F 0000995D _Reg_FreeUpdateInfo@8
00009962 000099AB _LogPipAddress@8
000099CF 000099DA _DnsNameCompare_UTF8@8
00009A32 00009A4F _ARecordCopy@12
00009A54 00009AAC _SrvRecordCopy@12
00009AC1 00009B85 _SrvRecordRead@20
00009B8A 00009BA3 _Dns_RecordSetCopyEx@12
00009BA8 00009C08 _Dns_RecordListCopyEx@16
00009C0D 00009CFA _privateRecordCopy@20
00009CFF 00009D21 _DnsQuery_UTF8@24
00009D26 00009DD4 _privateNarrowToWideQuery@28
00009DDE 00009E09 _Dns_InitializeWinsock@0
00009E0E 00009E78 _Dns_CacheSocketInit@4
00009FD7 0000A07C _ResetAdaptersInRegistry@0
0000A0A9 0000A0FF _DnsAsyncRegisterInit@4
0000A14E 0000A1A6 _LogInit@4
0000A289 0000A28F __except_handler3
0000A2A6 0000A2AC _I_RpcExceptionFilter@4
0000A2D6 0000A31E _Dns_GetLocalIpAddressArray@0
0000A323 0000A33C _DnsNameCompareEx_W@12
0000A388 0000A40E _Dns_RecordSetDetach@4
0000A413 0000A431 _Dns_NameComparePrivate@12
0000A436 0000A450 _Dns_PrioritizeRecordSetEx@8
0000A455 0000A4B0 _Dns_PrioritizeRecordSet@12
0000A4B5 0000A53B _Dns_PrioritizeSingleRecordSet@12
0000A540 0000A577 _Dns_CompareIpAddresses@12
0000A6D0 0000A765 _PtrRecordRead@20
0000A78D 0000A7FB _Reg_GetFullHostName@4
0000A811 0000A9D8 _Dns_GetIpAddresses@8
0000A9DD 0000AA47 _DnsGetLocalAddrArrayDirect@0
0000AA4C 0000AB0F ___delayLoadHelper2@8
0000AB14 0000AB1B __imp_load__GetAdaptersInfo@8
0000AB1B 0000AB2C __tailMerge_iphlpapi
0000AB31 0000AB38 __imp_load__GetPerAdapterInfo@12
0000AB3D 0000AB44 __imp_load__wsprintfW
0000AB44 0000AB55 __tailMerge_USER32
0000AB73 0000AB8E _Dns_CreateSocket@12
0000AB93 0000AC17 _Dns_CreateSocketEx@20
0000AC1C 0000AC87 __CRT_INIT@12
0000AC8C 0000ACF1 __DllMainCRTStartup@12
0000ACF6 0000AD20 _DllMain@12
0000AD27 0000AD28 _IpHelp_Cleanup@0
0000AE1D 0000AF16 _InitializeTracePrivate@0
0000AF34 0000AF5E _CleanupNetworkInfo@0
0000AF63 0000AF8D _Dns_CleanupWinsock@0
0000AF92 0000AFDA _Dns_CacheSocketCleanup@0
0000AFDF 0000AFF8 _Dns_TerminateSecurityPackage@0
0000B007 0000B08A _cleanupForExit@0
0000B08F 0000B09D _Trace_Cleanup@0
0000B0A2 0000B11B _NetInfo_ResetServerPriorities@8
0000B120 0000B153 _Dns_IsAddressInIpArray@8
0000CA7A 0000CA84 _Dns_GetRandomXid@4
0000FE3F 0000FFA5 _DnsAsyncRegisterTerm@0
00010072 000100BA _CreateNarrowStringCopy@4
000100BF 000100DF _PrivateHeapFree@4
000100E4 00010134 _FreeUpdateEntry@4
00010139 00010163 _FreeUpdateEntryList@4
00010168 000101BD _MarkAdapterAsPendingUpdate@4
000101C2 000102E2 _GetNextUpdateEntryFromList@8
00010440 00010488 _IsQuickRetryError@4
0001048D 000104CB _CreateDnsRecordSetUnion@8
000104D0 0001051F _LogPipArray@4
00010524 00010547 _registerUpdateStatus@8
0001054C 00010583 _enqueueUpdate@4
00010588 000105EF _enqueueUpdateMaybe@4
000105F4 00010625 _dequeueAndCleanupUpdate@4
0001062A 0001069A _compareHostEntryAddrs@12
0001069F 000106D8 _compareServerLists@8
000106DD 00010783 _compareUpdateEntries@8
00010788 000108E6 _GetRegistryValue@16
000108EB 00010929 _CreatePtrRecord@16
0001092E 00010A37 _CreateForwardRecords@8
00010A3C 00010A76 _SetUpdateStatus@12
00010A7B 00010BAF _AsyncLogUpdateEntry@8
00010DCC 00010E5B _GetUpdateEventId@16
00010E60 00011106 _LogRegistration@24
0001111E 000112EB _AllocateUpdateEntry@68
0001132E 000116BA _ReadUpdateEntryFromRegistry@4
000116F2 0001173A _DoRemoveUpdate@12
0001173F 0001191C _DeregisterUnusedAdapterInRegistry@4
000119F3 00011B6F _GetPreviousRegistrationInformation@12
00011B74 00011C7E _searchForOldUpdateEntriesAndCleanUp@12
00011C83 00011DF1 _UpdatePtrRecords@8
00011DF6 00011F66 _ModifyAdapterRegistration@20
000120E6 0001216F _DoModifyUpdate@20
00012174 00012207 _DoUpdate@12
00012248 00012457 _ProcessUpdateEntry@8
0001245C 00012698 _RegistrationThread@0
0001270E 000127AF _alertOrStartRegistrationThread@0
000127DE 000128CE _DnsRemoveRegistrations@0
0001298C 000129B9 _DnsSetConfigDword@12
000129BE 000129FA _DnsFreeConfigStructure@8
000129FF 00012A18 _CreateNetworkInformation@4
00012A1D 00012A6F _CreateSearchInformation@8
00012A74 00012BF3 _CreateSearchInformationCopyFromList@4
00012BF8 00012C55 _CreateAdapterInformation@16
00012C5A 00012CCB _CreateAdapterInformationCopyFromList@4
00012CD0 00012D47 _GetNetworkInformation@0
00012D4C 00012D74 _GetSearchInformation@0
00012D79 00012DC0 _FreeSearchInformation@4
00012DC5 00012E02 _FreeNetworkInformation@4
00012E07 00012E57 _IsKnownNetFailure@0
00012E5C 00012E8F _SetKnownNetFailure@4
00012E94 00012EFE _DnsGetCacheDataTable@4
00012F11 00012FCE _DynDnsAddForward@32
00013072 00013141 _DynDnsDeleteForwards@12
000131FE 0001336D _DynDnsAddEntry@40
00013470 00013725 _DynDnsDeleteEntry@36
00013957 00013D81 _DynDnsRegisterEntries@0
000140BB 00014123 _DynDnsConsumerThread@0
0001414E 000141A9 _CommonDynRegCleanup@0
000141AE 0001430F _DnsDhcpSrvRegisterInitialize@4
00014314 0001431C _DnsDhcpSrvRegisterInit@0
00014321 000143A0 _DnsDhcpSrvRegisterTerm@0
00014404 0001463C _DnsDhcpSrvRegisterHostName@48
000148DE 00014973 _DnsLogEvent@20
00014987 00014992 _DnsNameCompare_A@8
00014997 000149B0 _DnsNameCompareEx_A@12
000149B5 000149CE _DnsNameCompareEx_UTF8@12
000149D3 000149DE _DnsValidateName_UTF8@8
000149E3 000149EE _DnsValidateName_A@8
000149F3 000149FE _DnsRecordCompare@8
00014A03 00014A0E _DnsRecordSetCompare@16
00014A13 00014A1E _DnsRecordCopyEx@12
00014A23 00014A2E _DnsRecordSetCopyEx@12
00014A33 00014A3E _DnsRecordSetDetach@4
00014A43 00014A48 _GetCurrentTimeInSeconds@0
00014A4D 00014A52 @DnsIsAMailboxType@4
00014A57 00014A62 _DnsRecordTypeForName@8
00014A67 00014A72 _DnsRecordStringForType@4
00014A77 00014A82 _DnsRecordStringForWritableType@4
00014A87 00014A92 _DnsIsStringCountValidForTextType@8
00014A97 00014A9C @DnsStatusString@4
00014AA1 00014AA6 @DnsMapRcodeToStatus@4
00014AAB 00014AB0 @DnsIsStatusRcode@4
00014AB5 00014ABA @DnsGetDomainName@4
00014ABF 00014ACA _DnsCreateStringCopy@8
00014ACF 00014AFA _DnsGetBufferLengthForStringCopy@16
00014AFF 00014B30 _DnsCopyStringEx@20
00014B35 00014B5D _DnsStringCopyAllocateEx@16
00014B62 00014B6D _DnsNameCopy@24
00014B72 00014B7D _DnsNameCopyAllocate@16
00014B82 00014B8D _DnsWriteReverseNameStringForIpAddress@8
00014B92 00014B9D _DnsCreateReverseNameStringForIpAddress@4
00014BA2 00014BAD _DnsIpv6StringToAddress@12
00014BB2 00014BBD _DnsIpv6AddressToString@8
00014BC2 00014BCD _DnsAllocateRecord@4
00014BD2 00014BDD _DnsRecordBuild_UTF8@28
00014BE2 00014BED _DnsRecordBuild_W@28
00014BF2 00014C0B _DnsExtractRecordsFromMessage_W@12
00014C10 00014C29 _DnsExtractRecordsFromMessage_UTF8@12
00014C2E 00014C39 _DnsApiSetDebugGlobals@4
00014C3E 00014C49 _DnsCreateStandardDnsNameCopy@12
00014C4E 00014C59 _DnsDowncaseDnsNameLabel@16
00014C5E 00014C69 @DnsUnicodeToUtf8@16
00014C6E 00014C79 @DnsUtf8ToUnicode@16
00014C7E 00014C92 _DnsValidateUtf8Byte@8
00014C97 00014CDC _DnsNotifyResolverClusterIp@8
00014CE1 00014CFC _DnsGetDnsServerList@4
00014D01 00014D0D _DnsGetPrimaryDomainName_A@0
00014D12 00014D7F _Dns_BuildUpdateNetworkInfoFromFAZ@12
00014D84 00014EAB _Dns_FindAuthoritativeZoneLib@16
00014EB0 00014F22 _buildUpdateNetworkInfoFromFAZ@12
00014F27 00014F7C _ValidateZoneNameForUpdate@4
00014F96 000150C9 _DnsFindAuthoritativeZone@16
000150CE 0001515F _DoQuickFAZ@12
00015164 00015223 _GetDnsServerListsForUpdate@12
00015228 0001529E _cleanDeadAdaptersFromArray@12
000152A3 000152FF _eliminateDuplicateAdapterFromArrays@20
00015304 00015359 _combineDnsServerListsForTwoAdapters@16
0001535E 000154CA _CompareTwoAdaptersForSameNameSpace@28
000154CF 00015560 _CompareMultiAdapterSOAQueries@12
00015565 00015598 _FindHostIpAddressInRecordList@8
0001559D 00015675 _GetNameServersListForDomain@8
0001567A 000158E3 _CollapseDnsServerListsForUpdate@16
000158E8 00015C2B _QueryHostFile@4
00015C30 00015C3B _IpHelp_GetBestInterface@8
00015C40 00015CD0 _DnsGetIpAddressInfoList@4
00015CD5 00015CF3 _BuildRecordForLocalIp4@8
00015CF8 00015D24 _IP6_IS_ADDR_LOOPBACK@4
00015D29 00015D37 _DnsGetLocalAddrArray@0
