000081E4 00008290 _OleUIChangeIconW@4
00008295 00008296 ?IconBoxUninitialize@@YGXXZ
0000829B 0000843D ?IconBoxWndProc@@YGJPAUHWND__@@IIJ@Z
00008442 00008447 ?HookDlgProc@@YGHPAUHWND__@@IIJ@Z
0000844C 00008499 ?CheckButton@@YGXPAUHWND__@@H@Z
0000849E 0000853B ?UpdateClassType@@YGXPAUHWND__@@PAUtagINSERTOBJECT@@H@Z
00008540 000085F8 ?FValidateInsertFile@@YGHPAUHWND__@@HPAI@Z
000085FD 00008650 ?InsertObjectCleanup@@YGXPAUHWND__@@@Z
00008655 00008825 ?EnableChangeIconButton@@YGXPAUHWND__@@H@Z
0000882A 00008DFC ?UFillClassList@@YGIPAUHWND__@@IPAU_GUID@@HH@Z
00008F77 00008FF9 ?URefillClassList@@YGJPAUHWND__@@PAUtagINSERTOBJECT@@@Z
00008FFE 000091F8 ?SetInsertObjectResults@@YGXPAUHWND__@@PAUtagINSERTOBJECT@@@Z
000091FD 000095B0 ?FToggleObjectSource@@YGHPAUHWND__@@PAUtagINSERTOBJECT@@K@Z
000095B5 0000986E ?FInsertObjectInit@@YGHPAUHWND__@@IJ@Z
00009873 0000A4F2 ?InsertObjectDialogProc@@YGHPAUHWND__@@IIJ@Z
0000A4F7 0000A6B6 _OleUIInsertObjectW@4
0000A6BB 0000A734 ?BreakString@@YGXPAUtagLINKINFO@@@Z
0000A739 0000A7A4 ?GetSelectedItems@@YGHPAUHWND__@@PAPAH@Z
0000A7A9 0000A8DB ?AddLinkLBItem@@YGHPAUHWND__@@PAUIOleUILinkContainerW@@PAUtagLINKINFO@@H@Z
0000A8E0 0000ABA0 ?InitControls@@YGXPAUHWND__@@PAUtagEDITLINKS@@@Z
0000ABA5 0000AC2D ?UpdateLinkLBItem@@YGXPAUHWND__@@HPAUtagEDITLINKS@@H@Z
0000AC32 0000ACE3 ?LoadLinkLB@@YGHPAUHWND__@@PAUIOleUILinkContainerW@@@Z
0000ACE8 0000AD86 ?RefreshLinkLB@@YGXPAUHWND__@@PAUIOleUILinkContainerW@@@Z
0000AD8B 0000AF5D ?FEditLinksInit@@YGHPAUHWND__@@IJ@Z
0000AF62 0000B06E ?Container_AutomaticManual@@YGJPAUHWND__@@HPAUtagEDITLINKS@@@Z
0000B073 0000B1BA ?CancelLink@@YGJPAUHWND__@@PAUtagEDITLINKS@@@Z
0000B1BF 0000B298 ?Container_UpdateNow@@YGJPAUHWND__@@PAUtagEDITLINKS@@@Z
0000B29D 0000B343 ?Container_OpenSource@@YGJPAUHWND__@@PAUtagEDITLINKS@@@Z
0000B348 0000B5AF ?ChangeAllLinks@@YGXPAUHWND__@@PAUIOleUILinkContainerW@@PAG2@Z
0000B5B4 0000B703 ?Container_ChangeSource@@YGHPAUHWND__@@PAUtagEDITLINKS@@@Z
0000B708 0000BCCF ?EditLinksDialogProc@@YGHPAUHWND__@@IIJ@Z
0000BCD4 0000BD38 _OleUIEditLinksW@4
0000BD3D 0000BDD3 _OleUIUnInitialize@0
0000BDD8 0000BEB0 ?PromptUserDlgProc@@YGHPAUHWND__@@IIJ@Z
0000BEB5 0000BEEF ?OleUIPromptUserInternal@@YGHHPAUHWND__@@PAGPAD@Z
0000BEF4 0000BF0D _OleUIPromptUserW
0000BF12 0000C318 ?UpdateLinksDlgProc@@YGHPAUHWND__@@IIJ@Z
0000C31D 0000C3C7 _OleUIUpdateLinksW@16
0000C3CC 0000C803 _OleUIAddVerbMenuW@36
0000C808 0000C829 _OleStdQueryInterface@8
0000C82E 0000C8EA _OleStdGetData@20
0000C8EF 0000C928 _OleStdMalloc@4
0000C92D 0000C973 _OleStdFree@4
0000C978 0000C9B2 _OleStdGetSize@4
0000C9B7 0000C9E6 _OleStdLoadString@8
0000C9EB 0000CA24 _OleStdCopyString@4
0000CA29 0000CA3B _OleStdRelease@4
0000CA40 0000CA67 _OleStdIsOleLink@4
0000CA6C 0000CB75 _OleStdGetObjectDescriptorData@48
0000CB7A 0000CEC9 _OleStdFillObjectDescriptorFromData@12
0000CECE 0000D001 _OleStdMarkPasteEntryList@12
0000D006 0000D12F ?EnableDisplayAsIcon@@YGXPAUHWND__@@PAUtagPASTESPECIAL@@@Z
0000D134 0000D24E ?ChangeIcon@@YGXPAUHWND__@@PAUtagPASTESPECIAL@@@Z
0000D253 0000D29C ?FreeListData@@YGXPAUHWND__@@@Z
0000D2A1 0000D36C ?AllocateScratchMem@@YGPAXPAUtagPASTESPECIAL@@@Z
0000D371 0000D40C ?FAddPasteListItem@@YGHPAUHWND__@@HHPAUtagPASTESPECIAL@@PAGI2@Z
0000D411 0000D58D ?FFillPasteList@@YGHPAUHWND__@@PAUtagPASTESPECIAL@@@Z
0000D592 0000D793 ?FFillPasteLinkList@@YGHPAUHWND__@@PAUtagPASTESPECIAL@@@Z
0000D798 0000D81B ?FHasPercentS@@YGHPBGPAUtagPASTESPECIAL@@@Z
0000D820 0000D9D4 ?SetPasteSpecialHelpResults@@YGXPAUHWND__@@PAUtagPASTESPECIAL@@@Z
0000D9D9 0000DA2B ?ChangeListSelection@@YGXPAUHWND__@@PAUtagPASTESPECIAL@@0@Z
0000DA30 0000DA87 ?ToggleDisplayAsIcon@@YGXPAUHWND__@@PAUtagPASTESPECIAL@@@Z
0000DA8C 0000DCB6 ?FTogglePasteType@@YGHPAUHWND__@@PAUtagPASTESPECIAL@@K@Z
0000DCBB 0000E2DA ?FPasteSpecialReInit@@YGHPAUHWND__@@PAUtagPASTESPECIAL@@@Z
0000E2DF 0000E47A ?FPasteSpecialInit@@YGHPAUHWND__@@IJ@Z
0000E47F 0000E8CF ?PasteSpecialDialogProc@@YGHPAUHWND__@@IIJ@Z
0000E8D4 0000E9D4 _OleUIPasteSpecialW@4
0000E9D9 0000E9FF ?ULongAdd@@YGJKKPAK@Z
0000EA04 0000EA27 ?ULongSub@@YGJKKPAK@Z
0000EA2C 0000EA59 ?ExpandStringTable@CStringCache@@AAEHXZ
0000EA5E 0000EA9F ?ExpandOffsetTable@CStringCache@@AAEHXZ
0000EAA4 0000EAF9 ?IsUptodate@CStringCache@@QAEHXZ
0000EAFE 0000EB17 ?NextString@CStringCache@@QAEPBGXZ
0000EB1C 0000EB24 ?ResetEnumerator@CStringCache@@QAEXXZ
0000EB29 0000EB34 ?FlushCache@CStringCache@@QAEHXZ
0000EB39 0000EB3F ?OKToUse@CStringCache@@QAEHXZ
0000EB44 0000EB6C ?StringCbCopyW@@YGJPAGIPBG@Z
0000EB71 0000EBF7 ?Init@CStringCache@@QAEHXZ
0000EBFC 0000EC47 ?CleanUp@CStringCache@@QAEXXZ
0000EC4C 0000EC76 ?NewCall@CStringCache@@QAEXKK@Z
0000EC7B 0000ED21 ?AddString@CStringCache@@QAEHPAG@Z
0000ED26 0000ED47 ?InsertObjCacheInitialize@@YGHXZ
0000ED4C 0000ED60 ?InsertObjCacheUninitialize@@YGXXZ
0000ED65 0000ED9A _OleStdCompareTargetDevice@8
0000ED9F 0000EDF5 _XformWidthInHimetricToPixels@8
0000EDFA 0000EE50 _XformHeightInHimetricToPixels@8
0000EE55 0000EE75 ?ResultImageUninitialize@@YGXXZ
0000EE7A 0000F02F ?TransparentBlt@@YGXPAUHDC__@@IIPAUHBITMAP__@@IIIIK@Z
0000F034 0000F1CE ?ResultImageWndProc@@YGJPAUHWND__@@IIJ@Z
0000F1D3 0000F1F8 ?HourGlassOn@@YGPAUHICON__@@XZ
0000F1FD 0000F211 ?HourGlassOff@@YGXPAUHICON__@@@Z
0000F216 0000F24F ?ReplaceCharWithNull@@YGHPAGH@Z
