00005EA2 00005EB7 ?GetQualifierLocally@CBasicQualifierSet@@QAEPAUCQualifier@@PBG@Z
00005EBC 00005ED8 ?GetQualifierLocally@CBasicQualifierSet@@QAEPAUCQualifier@@PAVCCompressedString@@@Z
00005EDD 00005EFC ?GetText@CBasicQualifierSet@@QAEJJAAVWString@@@Z
00005F01 00005F3D ?SetData@CQualifierSet@@QAEXPAEPAVCQualifierSetContainer@@PAVCBasicQualifierSet@@@Z
00005F42 00005F60 ?SelfRebase@CQualifierSet@@QAEHXZ
00005F65 00005F6F ?IsComplete@CQualifierSet@@QAEHXZ
00005F74 00005F89 ?GetQualifier@CQualifierSet@@QAEPAUCQualifier@@PBG@Z
00005F8E 00005FA3 ??8CQualifierSet@@QAEHAAV0@@Z
00005FA8 00005FEE ?QueryInterface@CQualifierSet@@UAGJABU_GUID@@PAPAX@Z
00005FF3 00006014 ?AddRef@CQualifierSet@@UAGKXZ
00006019 00006051 ?Release@CQualifierSet@@UAGKXZ
000060A9 000060B2 ??0CQualifierSetListContainer@@QAE@XZ
000060B7 000060C2 ??0CQualifierSetListContainer@@QAE@ABV0@@Z
000060C7 000060CB ?Initialize@CWbemRefreshingSvc@@UAEHXZ
000060D0 000060DE ?IsEmpty@CQualifierSetList@@QAEHXZ
000060E3 00006107 ?GetLength@CQualifierSetList@@SGHPAEH@Z
0000610C 0000611B ?Rebase@CQualifierSetList@@QAEXPAE@Z
00006120 00006132 ?Rebase@CQualifierSetList@@QAEXXZ
00006137 00006159 ?GetQualifierSetData@CQualifierSetList@@SGPAEPAEH@Z
0000615E 00006172 ?GetQualifierSetData@CQualifierSetList@@QAEPAEH@Z
00006177 0000617E ?GetHeap@CQualifierSetList@@QAEPAVCFastHeap@@XZ
00006183 0000618B ?GetWbemObjectUnknown@CQualifierSetList@@QAEPAUIUnknown@@XZ
00006190 00006196 ?ComputeNecessarySpace@CQualifierSetList@@SGKH@Z
0000619B 000061AE ?ComputeRealSpace@CQualifierSetList@@SGKH@Z
000061B3 000061CB ??4CQualifierSetList@@QAEAAV0@ABV0@@Z
000061D0 0000620A ??0CInstanceQualifierSet@@QAE@H@Z
0000620F 00006236 ?Release@CInstanceQualifierSet@@UAGKXZ
0000623B 00006243 ??_FCInstanceQualifierSet@@QAEXXZ
0000629B 000062D5 ??0CClassQualifierSet@@QAE@H@Z
000062DA 000062FD ??1CInstanceQualifierSet@@UAE@XZ
00006302 0000630A ??_FCClassQualifierSet@@QAEXXZ
0000630F 00006320 ??0CInstancePQSContainer@@QAE@XZ
00006325 0000634B ?Create@CInstancePQSContainer@@QAEXPAVCQualifierSetList@@HPAVCClassPart@@K@Z
00006350 0000635A ?GetHeap@CInstancePQSContainer@@UAEPAVCFastHeap@@XZ
0000635F 00006367 ?CanContainAbstract@CMethodQualifierSetContainer@@UAEJH@Z
0000636C 000063BC ?ExtendQualifierSetSpace@CInstancePQSContainer@@UAEHPAVCBasicQualifierSet@@K@Z
000063C1 000063E3 ?ReduceQualifierSetSpace@CInstancePQSContainer@@UAEXPAVCBasicQualifierSet@@K@Z
000063E8 000063F3 ?GetWbemObjectUnknown@CInstancePQSContainer@@UAEPAUIUnknown@@XZ
00006411 00006425 ?SetData@CPropertyLookupTable@@QAEXPAEPAVCPropertyTableContainer@@@Z
0000642A 00006436 ?GetLength@CPropertyLookupTable@@QAEHXZ
0000643B 00006444 ?Skip@CPropertyLookupTable@@QAEPAEXZ
00006449 0000645B ?GetAt@CPropertyLookupTable@@QAEPAUCPropertyLookup@@H@Z
00006460 00006467 ?GetHeap@CPropertyLookupTable@@QAEPAVCFastHeap@@XZ
0000646C 000064D5 ?FindProperty@CPropertyLookupTable@@QAEPAUCPropertyLookup@@PBG@Z
000064DA 0000653E ?FindPropertyByName@CPropertyLookupTable@@QAEPAUCPropertyLookup@@PAVCCompressedString@@@Z
00006543 00006574 ?FindPropertyByPtr@CPropertyLookupTable@@QAEPAUCPropertyLookup@@K@Z
00006579 000065BD ?FindPropertyByOffset@CPropertyLookupTable@@QAEPAUCPropertyLookup@@K@Z
000065C2 000065C6 ?GetSeparatorLength@CCompressedStringList@@KGKXZ
000065CB 000065DD ?CreateEmpty@CPropertyLookupTable@@SGPAEPAE@Z
