0000C4DF 0000C504 _SdbpCleanupUserSDBCache@4
0000C509 0000C54A _SdbpGetAppPatchDir@4
0000C54F 0000C665 _SdbpMapFile@8
0000C66A 0000C6CB _SdbpUnmapFile@4
0000C6D0 0000C8E7 _SdbResetStackOverflow@0
0000C8EC 0000C961 _GetShimDbgLevel@0
0000C966 0000CA79 _SdbUnpackAppCompatData@16
0000CA7E 0000CADE _SdbGetAppCompatDataSize@4
0000CAE3 0000CB43 _SdbpDoesFileExistNTPath@4
0000CB48 0000CD0B _SdbpGetStandardDatabasePath@16
0000CD10 0000CD95 _SdbpGetProcessorArchitecture@0
0000CD9A 0000CE25 _SdbpGetWow64Flag@0
0000CE2A 0000CF06 _SdbpOpenDebugPipe@0
0000CF0B 0000CF26 _SdbpCloseDebugPipe@4
0000CF2B 0000D0DE _SdbpWriteDebugPipe@8
0000D0E3 0000D447 _SdbResolveDatabase@16
0000D44C 0000D5EF _SdbpIsOs@4
0000D5F4 0000D68B _SdbpGetOSSKU@8
0000D690 0000D6E2 _ShimExceptionHandler@12
0000D6E7 0000D7DE _PrepareFormatForUnicode@8
0000D7E3 0000D8C1 _SdbpOpenFile@8
0000D8C6 0000D910 _SdbpGetFileSize@4
0000D915 0000D935 _SdbAlloc@4
0000D93A 0000D95A _SdbFree@4
0000D95F 0000D98D _SdbGUIDFromString@8
0000D992 0000DA28 _SdbpGUIDToUnicodeString@8
0000DA2D 0000DA4C _SdbpFreeUnicodeString@4
0000DA51 0000DAAE _SdbFreeFileInfo@4
0000DAB3 0000DAE3 _SdbpCleanupAttributeMgr@4
0000DAE8 0000DB23 __SEH_prolog
0000DB23 0000DB34 __SEH_epilog
0000DB40 0000DB5F __aullshr
0000DB68 0000DC4E __except_handler3
0000DC4E 0000DC69 __seh_longjmp_unwind@4
0000DC6E 0000DC74 _wcschr
0000DC7A 0000DC80 __alloca_probe
0000DC86 0000DC8C _memmove
0000DC92 0000DC98 _NtQueryVirtualMemory@24
0000DC9E 0000DCA4 __snwprintf
0000DCAA 0000DCB0 _strpbrk
0000DCB6 0000DCBC _strspn
0000DCC2 0000DCC8 _strncpy
0000DCCE 0000DCD4 _strchr
0000DCDA 0000DCE0 _atol
0000DCE6 0000DCEC _isdigit
0000DCF4 0000DD14 __global_unwind2
0000DD4F 0000DDAF __local_unwind2
0000DDAF 0000DDB1 __NLG_Return2
0000DDBF 0000DDE2 __abnormal_termination
0000DDE2 0000DDEB __NLG_Notify1
0000DDEB 0000DE01 __NLG_Notify
0000DE01 0000DE09 __NLG_Dispatch2
0000DE0E 0000E030 __ValidateEH3RN
0000E036 0000E03C _RtlUnwind@16
