00007129 00007163 ?clear@HashEntry@@QAEXPAVHashtable@@@Z
00007185 00007187 ?weakRelease@Document@@UAEXXZ
0000718C 000071A5 ?_weakRelease@NonGCGenericBase@@QAEXXZ
000071AA 000071C6 ?weakRelease@@YGXPAPAVObject@@@Z
000071DE 00007211 ?Release@SlotAllocator@@UAGKXZ
00007216 00007242 ?Release@NodeManager@@UAGKXZ
00007247 00007258 ?weakRelease@SlotAllocator@@QAEKXZ
00007277 00007278 ?weakRelease@?$xobject@VObject@@$1?IID_IUnknown@@3U_GUID@@B@@UAEXXZ
0000727D 00007287 ?Release@BaseQuery@@WBA@AGKXZ
0000728F 00007296 ?getAllocator@Processor@@UAEPAVScopedAllocator@@XZ
0000729B 000072A5 ?Release@TextWriter@@W7AGKXZ
000072AA 000072CA ??_E?$_array@G@@UAEPAXI@Z
000072CF 000072E5 ??1Hashtable@@UAE@XZ
000072EA 00007300 ?finalize@Vector@@MAEXXZ
00007305 0000732D ??1ContainerAction@@UAE@XZ
00007332 00007362 ?FreeAll@GrowAllocator@@QAEXP6GXPAX@Z@Z
0000741C 0000742C ?clear@Hashtable@@QAEXXZ
00007431 0000744A ?finalize@Hashtable@@MAEXXZ
0000744F 00007465 ?finalize@AliasInfo@@MAEXXZ
00007475 000074F2 ?RemovePointerFromCache@@YGXPAX@Z
000074F7 00007520 ??_EHashtable@@UAEPAXI@Z
00007525 00007536 ?finalize@NamespaceMgr@@MAEXXZ
0000753B 0000755B ??_GNamespaceMgr@@MAEPAXI@Z
00007560 00007581 ??1NamespaceMgr@@MAE@XZ
0000758D 00007592 ??_EApartmentMutex@@O3AEPAXI@Z
00007597 000075B7 ??_EApartmentMutex@@MAEPAXI@Z
000075DC 00007623 ?_delete@NonGCBase@@IAEXXZ
00007645 000076CB ?finalize@Document@@MAEXXZ
000076F9 0000772A ?Release@DOMProcessor@@UAGKXZ
0000772F 00007758 ??1COMSafeControlRoot@@QAE@XZ
0000775D 00007779 ?finalize@ContainerAction@@MAEXXZ
00007779 0000777E ?finalize@Action@@MAEXXZ
00007783 00007797 ?reset@Processor@@QAEXXZ
0000779C 000077F2 ?setCompleteState@DOMProcessor@@IAEXXZ
00007809 00007877 ?ProcessorRelease@DOMProcessor@@IAEJXZ
000078AF 000078CF ??_EVector@@MAEPAXI@Z
000078D4 000078EF ??1Vector@@MAE@XZ
000078F4 00007914 ??_EAliasInfo@@UAEPAXI@Z
00007919 00007941 ??1NameDef@@UAE@XZ
00007977 00007A03 ?_remove@Node@@QAEXPAV1@@Z
00007A53 00007AC6 ___xsbh_decommit_pages
00007AFE 00007B37 ?ClaimShareLock@ShareMutex@@IAEHXZ
00007B3C 00007B76 ?set@HashEntry@@QAEXPAVHashtable@@PAVObject@@PAUIUnknown@@H@Z
00007B82 00007BA2 ?classInit@XMLNames@@SGXXZ
00007BC1 00007BE8 ?item@?$_array@V?$_reference@VTemplateAction@@@@@@QAEAAV?$_reference@VTemplateAction@@@@H@Z
00007BED 00007C0D ?classInit@SchemaNames@@SGXXZ
00007C2B 00007C3D ?newNamespaceMgr@NamespaceMgr@@SGPAV1@_N@Z
00007C42 00007C54 ?newVector@Vector@@SGPAV1@HH@Z
00007C59 00007C7B ??0Vector@@IAE@XZ
00007C80 00007CA7 ?initAtomCache@NamespaceMgr@@QAEXXZ
00007CAC 00007CD4 ?getDefaultVMM@VMManager@@SGXPAPAV1@@Z
00007CD9 00007CF6 ?_createDocNode@Document@@IAEXXZ
00007CFB 00007D08 ?GetTlsData@@YGPAUTLSDATA@@XZ
00007D1B 00007D40 ?isStartNameChar@XmlCharacter@@SGHG@Z
00007D45 00007D6F ?findElement@DTD@@QAEPAVElementDecl@@PAVNameDef@@@Z
00007D74 00007D88 ?AddRef@?$_dispatch@UIXMLElementCollection@@$1?LIBID_MSXML2@@3U_GUID@@B$1?IID_IXMLElementCollection@@3U3@B@@UAGKXZ
00007D8D 00007DA1 ?AddRef@DOMDocumentWrapper@@UAGKXZ
00007DA6 00007DC1 ?setQueryLanguage@QueryDialect@@SGXW4QueryLanguage@@@Z
00007DC6 00007DE7 ?setElement@Action@@IAEXPAVElement@@@Z
00007DEC 00007DF6 ?AddRef@PatternVarDecl@@W7AGKXZ
00007DFB 00007E0B ?getType@Node@@UAE?AW4NodeType@Element@@XZ
00007E3B 00007E4F ?clear@OperandValue@@QAEXXZ
00007E5B 00007E7A ?getTextDirect@Node@@UAEPAVString@@XZ
