0000BC74 0000BD8C _CM_Locate_DevNode_ExW@16
0000BDB9 0000BE1F _pSetupStringTableAddString@12
0000BE31 0000BEA8 __pSpUtilsStringTableAddString@20
0000BEB9 0000BF62 _pSetupOpenAndAddNewDevInfoElem@44
0000BF67 0000BFC3 _pSetupClassGuidFromDevInst@12
0000BFC8 0000C038 _pSetupGuidFromString@8
0000C03D 0000C196 _pSetupAddNewDeviceInfoElement@32
0000C22C 0000C262 _FindDevInfoByDevInst@12
0000C341 0000C359 _SetupDiCreateDeviceInfoList@8
0000C37E 0000C3A7 _pSetupStringTableInitialize@0
0000C3DD 0000C49B _SetupDiEnumDeviceInfo@12
0000C4A0 0000C522 _CM_Get_Device_ID_List_ExW@20
0000C545 0000C567 _PNP_GetDeviceList@20
0000C59D 0000C67F _CM_Get_DevNode_Status_Ex@20
0000C69D 0000C6BF _PNP_GetDeviceStatus@20
0000C6C4 0000C6E6 _CM_Get_DevNode_Registry_PropertyW@24
0000C6EB 0000C707 _CM_Get_DevNode_Status@16
0000C70C 0000C7D5 _CM_Get_Device_ID_Size_Ex@16
0000C7E9 0000C8AF _SetupDiGetDeviceInstanceIdW@20
0000C8C1 0000C9B5 _CM_Get_Device_ID_ExW@20
0000C9C9 0000CA50 _AddOrGetGuidTableIndex@12
0000CA55 0000CAF5 _SetupDiOpenClassRegKeyExW@20
0000CB09 0000CC60 _CM_Open_Class_Key_ExW@28
0000CC71 0000CD29 _pSetupStringFromGuid@12
0000CD59 0000CEB1 _SetupDiEnumDeviceInterfaces@20
0000CEB6 0000CF79 ___delayLoadHelper2@8
0000CF7E 0000CF85 __imp_load__WinVerifyTrust@12
0000CF85 0000CF96 __tailMerge_WINTRUST
0000CFA3 0000D0A6 _OpenDeviceInterfaceSubKey@24
0000D0D9 0000D125 _GetRegSubkeysFromDeviceInterfaceName@8
0000D12A 0000D22D _pSetupGetDevInstNameAndStatusForInterfaceDevice@24
0000D255 0000D28D _AddOrGetInterfaceClassList@16
0000D2BE 0000D3AA _pSetupAddInterfaceDeviceToDevInfoElem@36
0000D4AE 0000D4E0 _InterfaceDeviceDataFromNode@12
0000D4E5 0000D5CC _SetupDiGetDeviceInterfaceDetailW@24
0000D5E1 0000D612 _FindDevInfoElemForInterfaceDevice@8
0000D617 0000D664 _SetupDiGetClassDevsA@16
0000D669 0000D752 _SetupDiGetDeviceInstanceIdA@20
0000D773 0000D90A _SetupDiGetDeviceInterfaceDetailA@24
0000D91D 0000D9AD _SetupDiOpenDevRegKey@24
0000D9C1 0000DA9D _pSetupOpenOrCreateDevRegKey@32
0000DAB1 0000DCF6 _CM_Open_DevNode_Key_Ex@28
0000DD15 0000DDD1 _GetDevNodeKeyPath@32
0000DF4F 0000DF85 _CaptureStringArg@8
0000DF99 0000DFDF _SetupDiOpenDeviceInterfaceW@16
0000DFE4 0000E24C __SetupDiOpenInterfaceDevice@16
0000E42D 0000E7FD _pSetupBackupCreateReinstallKey@4
0000E86D 0000EAB6 _RetrieveAllDriversForDevice@16
0000EB01 0000EB26 _SetupDiGetDeviceRegistryPropertyW@28
0000EB2B 0000EC0C __SetupDiGetDeviceRegistryProperty@32
0000EC3F 0000EDD3 _CMP_RegisterNotification@16
0000EDF5 0000EE17 _PNP_RegisterNotification@36
0000EE1C 0000EE22 _I_ScPnPGetServiceName@12
0000EE27 0000EEA6 _CMP_UnregisterNotification@4
0000EEC5 0000EEE7 _PNP_UnregisterNotification@8
0000EEEC 0000F08A _SetupDiOpenDeviceInfoW@20
0000F103 0000F120 _pSetupReallocWithTag@12
0000F22B 0000F23E _CM_Is_Dock_Station_Present@4
0000F243 0000F2A3 _CM_Is_Dock_Station_Present_Ex@8
0000F2C5 0000F2E7 _PNP_IsDockStationPresent@8
0000F2EC 0000F30E _PNP_GetCustomDevProp@32
0000F313 0000F335 _CM_Get_DevNode_Custom_PropertyW@24
0000F33A 0000F492 _CM_Get_DevNode_Custom_Property_ExW@28
0000F497 0000F4B0 _CM_Locate_DevNodeW@12
0000F4B5 0000F4BB _pSetupGetGlobalFlags@0
0000F4C0 0000F4D3 _pSetupSetGlobalFlags@4
0000F4D8 0000F51B _pSetupModifyGlobalFlags@8
0000F59A 0000F733 _pSetupIsUserAdmin@0
0000F738 0000F7C1 _CMP_Report_LogOn@8
0000F7E5 0000F807 _PNP_ReportLogOn@12
0000F80C 0000F8CB _SetupDiDeleteDeviceInterfaceData@8
0000F900 0000FA38 _CM_Get_Parent_Ex@16
0000FA55 0000FA77 _PNP_GetRelatedDeviceInstance@24
0000FA7C 0000FAE6 _CMP_WaitServicesAvailable@4
0000FB05 0000FB27 _PNP_GetVersion@8
0000FB3A 0000FB59 _CM_Get_Device_Interface_ListW@20
0000FB5E 0000FB7A _CM_Get_Device_Interface_List_SizeW@16
0000FB7F 0000FB85 _I_RpcExceptionFilter@4
0000FB8A 0000FBD6 _MapRpcExceptionToCR@4
0000FC29 0000FC2F __except_handler3
0000FC9F 0000FD6B _pSetupOpenOrCreateInterfaceDeviceRegKey@24
0000FDA9 0000FE72 _SetupDiCreateDeviceInterfaceRegKeyW@24
0000FF2B 0000FF93 _MapCrToSpError@8
0000FFCB 0001011B _SetupDiGetDeviceInterfaceAlias@16
00010120 000101B1 _CM_Get_Device_Interface_Alias_ExW@24
000101D5 000101F7 _PNP_GetInterfaceDeviceAlias@28
00010217 000102D3 _SetupDiOpenDeviceInterfaceRegKey@16
00010301 00010315 _GetThreadLogContext@0
0001031A 00010329 _SpdFdiAlloc
00010344 000103C6 _pSetupFileExists@8
000103CB 00010416 _InfSourcePathFromFileName@12
0001041B 0001049E _pSetupInfIsFromOemLocation@8
000104A3 000104DC _pSetupGetFileTitle@4
00010504 00010553 _InheritLogContext@8
00010579 0001062B _ThreadTlsCreate@0
00010641 00010660 _ContextLoggingTlsInit@4
00010665 00010694 _SetupGetTlsData@0
00010699 000106A0 __imp_load__FDICreate
000106A0 000106B1 __tailMerge_Cabinet
000106B6 00010741 _SetupOpenInfFileA@16
00010759 000108D6 _SetupOpenInfFileW@16
