00009A54 00009A73 ?AddRefDll@@YGXPAU_DLL_ELEMENT@@@Z
00009A78 00009AD6 ?GetDllProcAddr@@YGHPAU_DLL_PROC_ELEMENT@@PAPAX1@Z
00009ADB 00009B0E _CryptFreeOIDFunctionAddress@8
00009B13 00009B70 ?ReleaseDll@@YGXPAU_DLL_ELEMENT@@@Z
00009B75 00009BCE _I_CryptGetDefaultCryptProv@4
00009BD3 00009D59 _CryptSIPRetrieveSubjectGuid@12
00009D71 00009DBE ?_Guid2Sz@@YGHPAU_GUID@@PAD@Z
00009EA7 00009EFA ?GetRegOIDFunctionAddress@@YGHPAU_REG_OID_FUNC_ELEMENT@@KPBDPAPAX2@Z
00009F81 00009FD1 ?LoadDll@@YGHPAU_DLL_ELEMENT@@@Z
0000A01C 0000A0A0 ?ILS_RegisterWaitForSingleObject@@YGHPAPAXPAXP6GX1E@Z1KK@Z
0000A0A5 0000A0BE _RegQueryInfoKeyU@48
0000A0C3 0000A0E3 _RegCloseHKCU@4
0000A0E8 0000A1A3 _GetTokenUserSidHKCU@8
0000A1A8 0000A1D1 ?ILS_CloseRegistryKey@@YGXPAUHKEY__@@@Z
0000A1D6 0000A1DC _atol
0000A21C 0000A243 _RegOpenHKCUKeyExU@20
0000A248 0000A261 _RegOpenKeyExU@20
0000A266 0000A279 _RegOpenHKCU@4
0000A27E 0000A331 _RegOpenHKCUEx@8
0000A336 0000A3C4 _GetUserTextualSidHKCU@8
0000A3C9 0000A4AB _GetTextualSidHKCU@12
0000A4D3 0000A4F2 _Pki_wcsicmp
0000A4F7 0000A510 _CompareStringU@24
0000A515 0000A585 _I_CryptReadTrustedPublisherDWORDValueFromRegistry@8
0000A699 0000A6EA ?OpenKeyAndReadDWORDValueFromRegistry@@YGHHPBG0PAK@Z
0000A6F4 0000A6FA __ltoa
0000A725 0000A7A4 ?GetNextRegSubKey@@YGPAUHKEY__@@PAU1@PAKPBDQAD@Z
0000A7C1 0000A804 ?LoadRegFunc@@YGXPAU_FUNC_SET@@@Z
