00008D4C 00008DDA ?LpcCompleteChangeNotification@@YGXPAU_WSM_REGISTERED_NOTIFY@@J@Z
00009150 00009183 _GetHostCleanup@0
00009188 0000926C ?WSM_NSPCleanup@@YGHPAU_GUID@@@Z
00009281 0000929A _NSPCleanup@4
0000929F 000092F5 _RnR2Cleanup@0
00009355 00009378 _SockDeleteRwLock@4
000097C7 000097CD _htonl@4
00009809 000098E3 _DoAsyncIoctl@48
000099E7 00009AA0 _WSPEventSelect@16
00009AA5 00009BC5 _SockEventSelectHelper@12
00009BFA 00009C5A _SockFindHelperDllForAddressFamily@4
00009C5F 00009C8A _SockIsAddressFamilySupported@8
00009C8F 00009CEF _WSPAddressToString@24
0000A105 0000A260 _WSPEnumNetworkEvents@16
0000A407 0000A45B _GetReceiveInformation@8
0000A460 0000A686 _MSAFD_WSPRecvMsg@20
0000A6E4 0000AA7D _SockImportHandle@8
0000AA91 0000AB03 _SockVerifyAndFixCatalogEntry@8
0000AB46 0000AB5C _Hostent_IsSupportedAddrType@4
0000AB61 0000AC09 _HostentBlob_WriteNameOrAlias@16
0000AC64 0000ADAC _HostentBlob_CreateFromRecords@20
0000ADB1 0000AFA0 _HostentBlob_Create@8
0000AFA5 0000AFC6 _Dns_AllocZero@4
0000AFCB 0000B02C _HostentBlob_WriteRecords@12
0000B031 0000B0BF _HostentBlob_WriteAddress@16
0000B0CF 0000B0F7 _HostentBlob_Free@4
0000B0FC 0000B11F _Dns_Free@4
0000B131 0000B147 ?HandleServiceEvent@@YGXPAXE@Z
0000B14C 0000B161 ?LpcCompleteWorkItem@@YGXXZ
0000B19B 0000B216 ?LpcHandlePublicPort@@YGXXZ
0000B21B 0000B29D ?LpcHandlePublicMessage@@YGKPAU_NLA_WORK_ITEM@@@Z
0000B2A2 0000B2B1 ?LpcHandleNotifyUserAddrChange@@YGKPAX@Z
0000B2B6 0000B341 ?LpcNotifyUserAddrChange@@YGXXZ
0000B36A 0000B370 __initterm
0000B419 0000B461 _SockInitializeRwLockAndSpinCount@8
0000B4B5 0000B4DE ___security_init_cookie
0000B595 0000B76D _myhostent_W@0
0000B772 0000B778 _DnsQueryConfigAllocEx@12
0000B77F 0000B785 _DnsApiFree@4
0000B8C4 0000B92F _Hostent_Init@20
0000B934 0000B94D _FlatBuf_Arg_ReserveAlignPointer@12
0000B9F1 0000BB16 _Hostent_Copy@32
0000BB1B 0000BB5B _Hostent_ConvertToOffsets@4
0000BB60 0000BB7C _Dns_PtrArrayToOffsetArray@8
0000BB81 0000BC0E _Hostent_Size@20
