00004A2F 00004ACC __heap_term
00004ACC 00004AD2 __get_heap_handle
00004AD2 00004BBF _free
00004BBF 00004C0E _V6_HeapAlloc
00004C0E 00004C6F _V5_HeapAlloc
00004C6F 00004D3F _malloc
00004D3F 00004EBE __calloc_impl
00004EBE 00004EFD _calloc
00004EFD 000052BC _realloc
000052BC 00005303 __recalloc
00005303 0000532E __get_sbh_threshold
0000532E 00005374 __set_amblksiz
00005374 000053B0 __get_amblksiz
000053B0 000053F8 ___sbh_heap_init
000053F8 00005423 ___sbh_find_block
00005423 00005737 ___sbh_free_block
00005737 000057E7 ___sbh_alloc_new_region
000057E7 000058ED ___sbh_alloc_new_group
000058ED 00005BCC ___sbh_resize_block
00005BCC 00005C99 ___sbh_heapmin
00005C99 00005F7B ___sbh_heap_check
00005F7B 000060BB ___old_sbh_new_region
000060BB 00006111 ___old_sbh_release_region
00006111 000061D3 ___old_sbh_decommit_pages
000061D3 0000623B ___old_sbh_find_block
0000623B 00006280 ___old_sbh_free_block
00006280 000063A6 ___old_sbh_alloc_block_from_page
000063A6 00006456 ___old_sbh_resize_block
00006456 000065BB ___old_sbh_heap_check
000065BB 000066C1 __set_sbh_threshold
000066C1 000069A4 ___sbh_alloc_block
000069A4 00006B9F ___old_sbh_alloc_block
00006B9F 00006DDF __ioinit
00006DDF 00006E2B __ioterm
00006E2B 00006EAD ??0_LocaleUpdate@@QAE@PAUlocaleinfo_struct@@@Z
00006EAD 00006EFE x_ismbbtype_l
00006EFE 00006F13 __ismbbkalnum_l
00006F13 00006F26 __ismbbkalnum
00006F26 00006F3B __ismbbkprint_l
00006F3B 00006F4E __ismbbkprint
00006F4E 00006F63 __ismbbkpunct_l
00006F63 00006F76 __ismbbkpunct
00006F76 00006F8E __ismbbalnum_l
00006F8E 00006FA4 __ismbbalnum
00006FA4 00006FBC __ismbbalpha_l
00006FBC 00006FD2 __ismbbalpha
00006FD2 00006FEA __ismbbgraph_l
00006FEA 00007000 __ismbbgraph
00007000 00007018 __ismbbprint_l
00007018 0000702E __ismbbprint
0000702E 00007043 __ismbbpunct_l
00007043 00007056 __ismbbpunct
00007056 0000706B __ismbblead_l
0000706B 0000707E __ismbblead
0000707E 00007093 __ismbbtrail_l
00007093 000070A6 __ismbbtrail
000070A6 000070F9 __ismbbkana_l
000070F9 00007107 __ismbbkana
00007107 00007136 CPtoLCID
00007136 0000718B setSBCS
0000718B 00007315 setSBUpLow
00007315 000073B9 ___updatetmbcinfo
000073B9 00007433 getSystemCP
00007433 000075DE __setmbcp_nolock
000075DE 0000761A __getmbcp
0000761A 000077B4 __setmbcp
000077B4 000077BF ___initmbctable
000077BF 000079D9 __mbsicmp_l
000079D9 000079EC __mbsicmp
000079EC 00007A07 __mbsnbcpy_s
00007A07 00007B23 __mbscmp_l
00007B23 00007B36 __mbscmp
00007B36 00007BCD __mbsdec_l
00007BCD 00007BE0 __mbsdec
00007BE0 00007CAA __mbspbrk_l
00007CAA 00007CBD __mbspbrk
00007CBD 00007ECA __mbsnbcpy_s_l
00007ECA 00007EE6 swprintf
00007EE6 0000872B __wassert
0000872B 00008735 __initp_misc_invarg
00008735 00008831 __invoke_watson
00008831 00008853 __set_invalid_parameter_handler
00008853 00008860 __get_invalid_parameter_handler
00008860 00008884 __invalid_parameter
00008884 00008894 __invalid_parameter_noinfo
00008894 0000889D ?_invalid_parameter@@YAXPBG00II@Z
0000889D 0000894A _onexit_nolock
0000894A 00008979 ___onexitinit
00008979 000089E6 _dllonexit_nolock
000089E6 00008A22 __onexit
00008A22 00008A34 _atexit
00008A34 00008A76 ___dllonexit
00008A78 00008ABD __SEH_prolog4
00008ABD 00008AD1 __SEH_epilog4
00008AD1 00008AF4 __except_handler4
00008AF4 00008C63 __XcptFilter
00008C63 00008C7E ___CppXcptFilter
00008C7E 00008C97 __initp_misc_winsig
00008C97 00008D32 ctrlevent_capture
00008D32 00008D66 siglookup
00008D66 00008D73 ___get_sigabrt
00008D7C 00008D85 ___pxcptinfoptrs
00008D85 00008FC2 _signal
00008FC2 00009172 _raise
00009172 0000917C __initp_misc_rand_s
0000917C 00009280 _rand_s
00009280 000093DA ___getlocaleinfo
000093DA 000093E4 __initp_misc_purevirt
000093E4 000093EE __initp_misc_initcrit
000093EE 000093FE __crtInitCritSecNoSpinCount
000093FE 000094C3 ___crtInitCritSecAndSpinCount
000094C3 00009661 ___crtMessageBoxA
00009661 000096E6 ___mbtow_environ
000096E6 00009847 ___crtGetEnvironmentStringsW
00009847 00009856 @__security_check_cookie@4
00009856 0000985C ____setlc_active_func
0000985C 00009862 ____unguarded_readlc_active_add_func
00009862 000099A2 ___freetlocinfo
000099A2 00009A28 ___addlocaleref
00009A28 00009AB4 ___removelocaleref
00009AB4 00009AD8 _copytlocinfo_nolock
00009AD8 00009B16 _updatetlocinfoEx_nolock
00009B16 00009B8C ___updatetlocinfo
00009B8C 00009BF2 __configthreadlocale
00009BF2 00009C45 sync_legacy_variables_lk
00009C45 00009CDB __free_locale_0
00009CDB 00009CE0 ___free_locale
00009CE0 00009D68 __get_current_locale_0
00009D68 00009D6D ___get_current_locale
00009D6D 00009DAB __strcats
00009DAB 00009ED4 ___lc_strtolc
00009ED4 00009F3F ___lc_lctostr
00009F3F 0000A0B0 _setlocale_get_all
0000A0B0 0000A284 __expandlocale
0000A284 0000A57A _setlocale_set_cat
0000A57A 0000A748 _setlocale_nolock
0000A748 0000A83B __create_locale_0
0000A83B 0000A840 ___create_locale
0000A840 0000A9B0 _setlocale
0000A9B0 0000A9B6 ___pwctype_func
0000A9B6 0000A9DF ___pctype_func
0000A9DF 0000AA7E ___crtGetCommandLineW
0000AA7E 0000ABB3 ___crtGetEnvironmentStringsA
0000ABB3 0000AC47 ___security_init_cookie
0000AC47 0000AD3A _abort
0000AD3A 0000AD58 __set_abort_behavior
0000AD58 0000AD73 __freea
0000AD73 0000B115 __crtLCMapStringA_stat
0000B115 0000B158 ___crtLCMapStringA
0000B158 0000B310 __crtGetStringTypeA_stat
0000B310 0000B350 ___crtGetStringTypeA
0000B350 0000B4EE ___crtMessageBoxW
0000B4EE 0000BB4A __assert
0000BB4A 0000BB52 __crt_debugger_hook
0000BB60 0000BCEC __except_handler4_common
0000BCEC 0000BE27 __crtGetLocaleInfoW_stat
0000BE27 0000BE62 ___crtGetLocaleInfoW
0000BE62 0000BF9F __crtGetLocaleInfoA_stat
0000BF9F 0000BFDA ___crtGetLocaleInfoA
0000BFDA 0000C02B wfindenv
0000C02B 0000C088 copy_environ
0000C088 0000C3E9 ___crtwsetenv
0000C3E9 0000C4ED ___report_gsfailure
0000C4ED 0000C906 _get_lc_time
0000C906 0000CA96 ___free_lc_time
0000CA96 0000CB09 ___init_time
0000CB09 0000CB49 ___free_lconv_num
0000CB49 0000CD11 ___init_numeric
0000CD11 0000CD9A ___free_lconv_mon
0000CD9A 0000D05E ___init_monetary
0000D05E 0000D3F3 ___init_ctype
0000D3F3 0000D41C ____mb_cur_max_func
0000D41C 0000D432 ____mb_cur_max_l_func
0000D432 0000D458 ____lc_codepage_func
0000D458 0000D47E ____lc_collate_cp_func
0000D47E 0000D4A4 ____lc_handle_func
0000D4A4 0000D4CA _localeconv
0000D4CA 0000D52A TranslateName
0000D52A 0000D5A1 ProcessCodePage
0000D5A1 0000D5BF TestDefaultCountry
0000D5BF 0000D5F1 LcidFromHexString
0000D5F1 0000D60C GetPrimaryLen
0000D60C 0000D6A2 CountryEnumProc
0000D6A2 0000D714 TestDefaultLanguage
0000D714 0000D8E4 LangCountryEnumProc
0000D8E4 0000D9A3 LanguageEnumProc
0000D9A3 0000DA08 GetLcidFromLangCountry
0000DA08 0000DA44 GetLcidFromLanguage
0000DA44 0000DC27 ___get_qualified_locale
0000DC27 0000DC6E ___ansicp
0000DC6E 0000DE20 ___convertcp
0000DE20 0000DEB0 __local_unwind4
0000DEB0 0000DEF6 _unwind_handler4
0000DEF6 0000DF12 __seh_longjmp_unwind4@4
0000DF12 0000DF29 @_EH4_CallFilterFunc@8
0000DF29 0000DF42 @_EH4_TransferToHandler@8
0000DF42 0000DF5C @_EH4_GlobalUnwind@4
0000DF5C 0000DF73 @_EH4_LocalUnwind@16
0000DF80 0000DFA9 __ValidateImageBase
0000DFB0 0000DFF2 __FindPESection
0000DFF2 0000E05E __IsNonwritableInCurrentImage
0000E060 0000E080 __global_unwind2
0000E080 0000E0C5 __unwind_handler
0000E0C5 0000E149 __local_unwind2
0000E149 0000E16C __abnormal_termination
0000E16C 0000E175 __NLG_Notify1
0000E175 0000E18C __NLG_Notify
0000E18C 0000E194 __NLG_Dispatch2
0000E194 0000E196 __NLG_Call
0000E196 0000E197 __NLG_Return2
0000E197 0000E1BB __RTC_Terminate
0000E1BB 0000E254 ___initstdio
0000E254 0000E274 ___endstdio
0000E274 0000E2A3 __lock_file
0000E2A3 0000E2C6 __lock_file2
0000E2C6 0000E2F5 __unlock_file
0000E2F5 0000E318 __unlock_file2
0000E318 0000E40E __vswprintf_helper
0000E40E 0000E435 __vswprintf_c
0000E435 0000E45D __vswprintf_c_l
0000E45D 0000E4E4 __vswprintf_s_l
0000E4E4 0000E4FF _vswprintf_s
0000E4FF 0000E606 __vsnwprintf_s_l
