0x0083 WM_NCCALCSIZE 当计算某个窗口的客户区大小和位置时发送此消息
0x0084 WM_NCHITTEST 移动鼠标，按住或释放鼠标时产生此消息
0x0085 WM_NCPAINT 当某个窗口的框架必须被绘制时，应用程序发送此消息给该窗口
0x0086 WM_NCACTIVATE 通过改变某个窗口的非客户区来表示窗口是处于激活还是非激活状态时，此消息被发送给该窗口
0x00A0 WM_NCMOUSEMOVE 当光标在窗口的非客户区（窗口标题栏及边框）内移动时发送此消息给该窗口
0x00A1 WM_NCLBUTTONDOWN 当光标在窗口的非客户区并按下鼠标左键时发送此消息
0x00A2 WM_NCLBUTTONUP 当光标在窗口的非客户区并释放鼠标左键时发送此消息
0x00A3 WM_NCLBUTTONDBLCLK 当光标在窗口的非客户区并双击鼠标左键时发送此消息
0x00A4 WM_NCRBUTTONDOWN 当光标在窗口的非客户区并按下鼠标右键时发送此消息
0x00A5 WM_NCRBUTTONUP 当光标在窗口的非客户区并释放鼠标右键时发送此消息
0x00A6 WM_NCRBUTTONDBLCLK 当光标在窗口的非客户区并双击鼠标右键时发送此消息
0x00A7 WM_NCMBUTTONDOWN 当光标在窗口的非客户区并按下鼠标中键时发送此消息
0x00A8 WM_NCMBUTTONUP 当光标在窗口的非客户区并释放鼠标中键时发送此消息
0x00A9 WM_NCMBUTTONDBLCL 当光标在窗口的非客户区并双击鼠标中键时发送此消息
0x0100 WM_KEYDOWN 按下一个非系统键（按下键时未按下“ALT”键）
0x0101 WM_KEYUP 释放一个非系统键
0x0102 WM_CHAR 按下某键，当TranslateMessage()转发WM_KEYDOWN后发送本消息
0x0103 WM_DEADCHAR 释放某键，当TranslateMessage()转发WM_KEYUP后发送本消息
0x0104 WM_SYSKEYDOWN 当按住ALT键同时按下其他键时发送此消息给拥有键盘焦点的窗口
0x0105 WM_SYSKEYUP 当释放一个键同时按住ALT键时发送此消息给拥有键盘焦点的窗口
0x0106 WM_SYSCHAR 当TranslateMessage()转发WM_SYSKEYDOWN后发送此消息给拥有键盘焦点的窗口
0x0107 WM_SYSDEADCHAR 当TranslateMessage()转发WM_SYSKEYUP后发送此消息给拥有键盘焦点的窗口
0x0110 WM_INITDIALOG 在被显示前发送此消息对话框，通常用此消息初始化控件和执行其他任务
0x0111 WM_COMMAND 选择窗口菜单项或某个控件发送一条消息给它的父窗口或按下一个快捷键时产生此消息
0x0112 WM_SYSCOMMAND 选择窗口菜单项或选择最大化或最小化时，发送此消息给该窗口
0x0113 WM_TIMER 发生了定时器事件
0x0114 WM_HSCROLL 当窗口水平滚动条产生一个滚动事件时发送此消息给该窗口和滚动条的所有者
0x0115 WM_VSCROLL 当窗口垂直滚动条产生一个滚动事件时发送此消息给该窗口和滚动条的所有者
0x0116 WM_INITMENU 当一个菜单将要被激活时发送此消息，它发生在按下菜单项或按下菜单快捷键时，它允许程序在显示前更改菜单
0x0117 WM_INITMENUPOPUP 当一个下拉菜单或子菜单将要被激活时发送此消息，它允许显示前在修改菜单而不必更改整个菜单
0x011F WM_MENUSELECT 选择一条菜单项时发送此消息给菜单的所有者（一般是窗口）
0x0120 WM_MENUCHAR 当菜单已被激活且用户按下了某个键（非快捷键），发送此消息给菜单的所有者
0x0121 WM_ENTERIDLE 当一个有模式对话框或菜单进入空闲状态时发送此消息给它的所有者，空闲状态指在处理完一条或几条先前的消息后，消息列队为空
0x0122 WM_MENURBUTTONUP 当光标位于菜单项上时，释放鼠标右键产生此消息
0x0123 WM_MENUDRAG 当拖动菜单项时，发送此消息给拖放菜单的所有者
0x0124 WM_MENUGETOBJECT 当光标移入菜单项或者从菜单项中心移到菜单项顶部或底部时，发送此消息给拖放菜单的所有者
0x0125 WM_UNINITMENUPOPUP 当下拉菜单或者子菜单被销毁时产生此消息
0x0126 WM_MENUCOMMAND 当用户选择菜单项时产生此消息
0x0127 WM_CHANGEUISTATE 应用程序发送此消息表明用户界面（UI）状态应当被改变
0x0128 WM_UPDATEUISTATE 应用程序发送此消息改变指定窗口及其子窗口的用户界面（UI）状态
0x0129 WM_QUERYUISTATE 应用程序发送此消息得到某个窗口的用户界面（UI）状态
0x0132 WM_CTLCOLORMSGBOX 绘制消息框前发送此消息给它的父窗口，通过响应这条消息，父窗口可以通过使用给定的相关显示设备的句柄来设置消息框的文本和背景颜色
0x0133 WM_CTLCOLOREDIT 绘制编辑型控件前发送此消息给它的父窗口，可用来设置编辑框的文本和背景颜色
0x0134 WM_CTLCOLORLISTBOX 绘制列表框控件前发送此消息给它的父窗口，可用来设置编辑框的文本和背景颜色
0x0135 WM_CTLCOLORBTN 绘制按钮控件前发送此消息给它的父窗口，可用来设置编辑框的文本和背景颜色
0x0136 WM_CTLCOLORDLG 绘制对话框前发送此消息给它的父窗口，可用来设置编辑框的文本和背景颜色
0x0137 WM_CTLCOLORSCROLLBAR 绘制滚动条控件前发送此消息给它的父窗口，可用来设置滚动条控件的文本和背景颜色
0x0138 WM_CTLCOLORSTATIC 绘制静态控件前发送此消息给它的父窗口，可用来设置静态控件的文本和背景颜色
0x0200 WM_MOUSEMOVE 鼠标移动
0x0201 WM_LBUTTONDOWN 按下鼠标左键
0x0202 WM_LBUTTONUP 释放鼠标左键
0x0203 WM_LBUTTONDBLCLK 双击鼠标左键
0x0204 WM_RBUTTONDOWN 按下鼠标右键
0x0205 WM_RBUTTONUP 释放鼠标右键
0x0206 WM_RBUTTONDBLCLK 双击鼠标右键
0x0207 WM_MBUTTONDOWN 按下鼠标中键
0x0208 WM_MBUTTONUP 释放鼠标中键
0x0209 WM_MBUTTONDBLCLK 双击鼠标中键
0x020A WM_MOUSEWHEEL 当鼠标滚轮转动时发送此消息给当前获得焦点的窗口
0x0210 WM_PARENTNOTIFY 当MDI子窗口被创建或被销毁，或当光标位于子窗口上且用户按了一下鼠标键时，发送此消息给它的父窗口
0x0211 WM_ENTERMENULOOP 发送此消息通知应用程序的主窗口进程已经进入了菜单模式循环
0x0212 WM_EXITMENULOOP 发送此消息通知应用程序的主窗口进程已经退出了菜单模式循环
0x0214 WM_SIZING 调整窗口大小时发送此消息给窗口，通过此消息应用程序可以监视或修改窗口大小和位置
0x0215 WM_CAPTURECHANGED 当窗口设定为不捕获鼠标事件时，发送此消息给该窗口
0x0216 WM_MOVING 移动窗口时发送此消息给窗口，通过此消息应用程序可以监视或修改窗口大小和位置
0x0218 WM_POWERBROADCAST 发送此消息给应用程序通知它有关电源管理事件
0x0219 WM_DEVICECHANGE 当设备的硬件配置改变时发送此消息给应用程序或设备驱动程序
0x0220 WM_MDICREATE 应用程序发送此消息给多文档的客户窗口来创建一个MDI子窗口
0x0221 WM_MDIDESTROY 应用程序发送此消息给多文档的客户窗口来关闭一个MDI子窗口
0x0222 WM_MDIACTIVATE 应用程序发送此消息给多文档的客户窗口通知客户窗口激活另一个MDI子窗口，当客户窗口收到此消息后，它发出WM_MDIACTIVE消息给MDI子窗口（未激活）来激活它
0x0223 WM_MDIRESTORE 应用程序发送此消息给MDI客户窗口通知子窗口恢复到原来大小
0x0224 WM_MDINEXT 应用程序发送此消息给MDI客户窗口激活下一个或前一个窗口
0x0225 WM_MDIMAXIMIZE 应用程序发送此消息给MDI客户窗口以最大化一个MDI子窗口
0x0226 WM_MDITILE 应用程序发送此消息给MDI客户窗口以平铺方式重新排列所有MDI子窗口
0x0227 WM_MDICASCADE 应用程序发送此消息给MDI客户窗口以层叠方式重新排列所有MDI子窗口
0x0228 WM_MDIICONARRANGE 应用程序发送此消息给MDI客户窗口重新排列所有最小化的MDI子窗口
0x0229 WM_MDIGETACTIVE 应用程序发送此消息给MDI客户窗口以找到激活的子窗口的句柄
0x0230 WM_MDISETMENU 应用程序发送此消息给MDI客户窗口用MDI菜单代替子窗口的菜单
0x0231 WM_ENTERSIZEMOVE 当窗口进入移动或改变大小模式循环时，发送此消息给该窗口
0x0232 WM_EXITSIZEMOVE 当窗口退出移动或改变大小模式循环时，发送此消息给该窗口
0x0233 WM_DROPFILES 当用户在应用程序窗口中拖动某个文件时，产生此消息
0x0234 WM_MDIREFRESHMENU 应用程序发送此消息给MDI客户窗口以刷新窗口菜单
0x02A1 WM_MOUSEHOVER 当光标在窗口客户区悬停超过TrackMouseEvent()指定的时间时，发送此消息给该窗口
0x02A3 WM_MOUSELEAVE 当光标离开窗口客户区超过TrackMouseEvent()指定的时间时，发送此消息给该窗口
0x0300 WM_CUT 应用程序发送此消息给一个编辑框或ComboBox以删除当前选择的文本
0x0301 WM_COPY 应用程序发送此消息给一个编辑框或ComboBox以复制当前选择的文本到剪贴板
0x0302 WM_PASTE 应用程序发送此消息给一个编辑框或ComboBox以从剪贴板中得到数据
0x0303 WM_CLEAR 应用程序发送此消息给一个编辑框或ComboBox以清除当前选择的内容
0x0304 WM_UNDO 应用程序发送此消息给一个编辑框或ComboBox以撤消最后一次操作
0x0307 WM_DESTROYCLIPBOARD 当调用EmptyClipboard()清空剪贴板时，发送此消息给剪贴板所有者
0x0308 WM_DRAWCLIPBOARD 当剪贴板的内容变化时发送此消息给剪贴板观察链中的第一个窗口，它允许用剪贴板观察窗口来显示剪贴板的新内容
0x0309 WM_PAINTCLIPBOARD 当剪贴板包含CF_OWNERDIPLAY格式的数据且剪贴板观察窗口的客户区需要重绘时，发送此消息给剪贴板所有者
0x030A WM_VSCROLLCLIPBOARD 当剪贴板包含CF_OWNERDIPLAY格式的数据且剪贴板观察窗口发生垂直滚动条事件时，剪贴板观察窗口发送此消息给剪贴板所有者
0x030B WM_SIZECLIPBOARD 当剪贴板包含CF_OWNERDIPLAY格式的数据且剪贴板观察窗口的客户区域的大小已经改变时，剪贴板观察窗口发送此消息给剪贴板的所有者
0x030C WM_ASKCBFORMATNAME 剪贴板观察窗口发送此消息给剪贴板所有者以获得CF_OWNERDISPLAY剪贴板格式的名字
0x030D WM_CHANGECBCHAIN 当一个窗口从剪贴板观察链中移去时发送此消息给剪贴板观察链中的第一个窗口
0x030E WM_HSCROLLCLIPBOARD 当剪贴板包含CF_OWNERDIPLAY格式的数据且剪贴板观察窗口发生水平滚动条事件时，剪贴板观察窗口发送此消息给剪贴板所有者
0x030F WM_QUERYNEWPALETTE 发送此消息给将要获得键盘焦点的窗口，此消息使窗口在获得焦点时同时有机会实现它的逻辑调色板
0x0310 WM_PALETTEISCHANGING 应用程序将要实现它的逻辑调色板时发送此消息通知所有应用程序
0x0311 WM_PALETTECHANGED 获得焦点的窗口实现它的逻辑调色板后发送此消息给所有顶级并重叠的窗口，以此来改变系统调色板
0x0312 WM_HOTKEY 当用户按下由RegisterHotKey()注册的热键时产生此消息
0x0317 WM_PRINT 应用程序发送此消息给窗口，要求窗口在指定设备环境中绘制自己，一般情况下是打印机设备环境
0x0318 WM_PRINTCLIENT 应用程序发送此消息给窗口，要求窗口在指定设备环境中绘制窗口客户区，一般情况下是打印机设备环境
